👶	ورنائوک, گوونڈک
👦	چوریکه
👧	جينيکو
👨	مردینزاگ
👩	جنینزاگ
🧓	پیرین
👴	پیره مرد
👵	پیره زال
🏁	شطرنجی, شطرنجین بیرغ, مسابقه
🚩	سه کونجین بیرغ, پوسٹ
؋	اوگانستانئ اوگانی
৳	بنگلادیشئ ٹاکه
