‾	vizë lart, vizë përmbi
⇒	shigjetë dyshe djathtas
⇏	shigjetë dyshe djathtas me fraksion
⇓	shigjetë dyshe poshtë
⇔	shigjetë dyshe majtas-djathtas
⇎	shigjetë dyshe majtas-djathtas me fraksion
⇖	shigjetë dyshe veriperëndim
⇗	shigjetë dyshe verilindje
⇘	shigjetë dyshe juglindje
⇙	shigjetë dyshe jugperëndim
⇚	shigjetë treshe majtas
⇛	shigjetë treshe djathtas
⇜	shigjetë e përdredhur majtas
⇝	shigjetë e përdredhur djathtas
⇞	shigjetë lart me dy viza
⇟	shigjetë poshtë me dy viza
⇠	shigjetë majtas me ndërprerje
⇡	shigjetë lart me ndërprerje
⇢	shigjetë djathtas me ndërprerje
⇣	shigjetë poshtë me ndërprerje
⇤	shigjetë me shufër majtas
⇥	shigjetë me shufër djathtas
⇦	shigjetë bosh majtas
⇧	shigjetë bosh lart
⇨	shigjetë bosh djathtas
⇩	shigjetë bosh poshtë
⇪	shigjetë bosh lart nga shufër
⇵	shigjetë poshtë majtas shigjetë lart
∀	dhënë, për të gjitha, universal, çdo
∂	diferencial, diferencial i pjesshëm
∃	ka
∅	bashkësi bosh, matematikë, operator bashkësie
∆	rritje, trekëndësh
∇	nabla, trekëndësh
∈	anëtarësi, bashkësi, element, element i, përmban
∉	element, jo element
∋	element, përmban si pjesëtar
∎	fundi i vërtetimit, gur varri, ç.d.v., çdv
∏	logjikë, prodhim, prodhim n
∑	matematikë, shumë, shumë n
+	dhe, plus, shenja e plusit
±	plus-minus
÷	obelus, pjesëtim, pjesëto, shenja e pjesëtimit
×	herë, shenja e shumëzimit, shumëzim, shumëzo
<	hap komandën, komandë, më e vogël se
≮	jo më pak se, matematikë, pabarazim
=	baras, baraz
≠	jo baras, mosbarazim, pabarazi
>	komandë, mbyll komandën, më e madhe se
≯	jo më shumë se, matematikë, pabarazim
¬	jo, mohim
|	dypikësh, kulm, shenjë, shenjë sheffer, shirit, shirit vertikal, shkop, vijë, vijë vertikale
~	tilde
−	minus, shenja e minusit, zbritje
⁻	minus, minus me superskript
∓	minus ose plus, plus-minus
∕	fraksion, thyesë, thyesë pjesëtimi
⁄	fraksion, thyesë
∗	operator yllth, yll
∘	kompozim, operator, operator rreth
∙	operator, operator pikë, operator pikësim
√	numër irracional, rrënja katrore, rrënjë, shprehje radikale
∝	përpjesëtim, përpjesëtimor
∞	infinit, shenja e infinitit
∟	kënd i djathtë, matematikë
∠	kënd, majë
∣	ndarëse, veçuese
∥	paralele
∧	dhe logjike, kulm, majë, pykë
∩	bashkësi, ndërprerje
∪	bashkim, bashkësi, koleksion
∫	integrale, njehsim
∬	integrale dyshe, njehsim
∮	integrale me kontur
∴	logjike, prandaj
∵	logjike, sepse
∶	raport
∷	përpjesëtim, përpjesëtueshmëri
∼	operator, operator dredhëz
∽	dredhëz, dredhëz përmbys
∾	infinit
≃	asimptotë, barazim asimptotik, matematikë
≅	afërsisht baraz
≈	afro, rreth, thuajse baras
≌	barazim, matematikë, të gjitha baras
≒	afërsisht baras me imazhin
