‾	surlignéation, trait suscrit, vinculé
▨	bas, carré, carré hachuré du haut à droite vers le bas à gauche, droite, gauche, hachuré, haut
▩	carré, diagonale, quadrillé
▬	plein, rectangle
▭	creux, rectangle
▮	plein, rectangle, vertical
▰	parallélogramme, plein
△	creux, haut, triangle
▴	haut, petit, plein, triangle
▵	creux, haut, petit, triangle
▷	creux, droite, triangle
▸	droite, petit, plein, triangle
▹	creux, droite, petit, triangle
►	droite, pleine, pointe
▻	creuse, droite, pointe
▽	bas, creux, triangle
▾	bas, petit, plein, triangle
▿	bas, creux, petit, triangle
◁	creux, gauche, triangle
◂	creux, gauche, triangle
◃	creux, gauche, petit, triangle
◄	gauche, pleine, pointe
◅	creuse, gauche, pointe
◆	losange, plein
◇	creux, losange
◈	creux, losange, plein
◉	cercle, creux, plein
◌	cercle, pointillés
◍	cercle, hachures, hachuré, verticalement, verticales
◎	cercles, concentriques
◐	cercle, gauche, moitié, pleine
◑	cercle, droite, moitié, pleine
◒	cercle, inférieure, moitié, pleine
◓	cercle, moitié, pleine, supérieure
◔	cercle, droit, plein, quadrant, supérieur
◕	cercle, gauche, plein, quadrant, supérieur
◖	demi-cercle, gauche, plein
◗	demi-cercle, droit, plein
◘	inversion, poing, point en inversion
◙	carré, cercle, creux, plein
◜	arc, cercle, gauche, quadrant, supérieur
◝	arc, cercle, droit, quadrant, supérieur
◞	arc, cercle, droit, inférieur, quadrant
◟	arc, cercle, gauche, inférieur, quadrant
◠	demi-cercle, supérieur
◡	demi-cercle, inférieur
◢	droit, inférieur, plein, rectangle, triangle
◣	gauche, inférieur, plein, rectangle, triangle
◤	gauche, plein, rectangle, supérieur, triangle
◥	droit, plein, supérieur, triangle rectangle
◦	creuse, puce
◳	carré, creux, droit, quadrant, supérieur
◷	cercle, creux, droit, quadrant, supérieur
◿	droit, inférieur, triangle rectangle
⨧	deux, indice, plus
⨯	produit, vectoriel
⨼	intérieur, produit
⩣	barres, deux, ou logique, souscrites
⩽	incliné, inférieur, égal
⪍	inférieur, similaire, sur, égal
⪺	non presque, suit sur, égal
😀	grand sourire, large sourire, visage, visage avec large sourire
😃	bouche ouverte, sourire, visage, visage souriant les yeux grands ouverts
😄	bouche ouverte, sourire, visage, visage avec large sourire et yeux rieurs, œil
😁	grand sourire, large sourire, sourire, visage, visage radieux et yeux rieurs, œil
😆	bouche, content, haha, heureux, lol, mdr, rire, sourire, visage avec large sourire, les yeux fermés
😅	excité, froid, goutte, nerveux, sourire, stressé, sueur
🤣	rire, rire à se rouler par terre, se rouler par terre, visage
😂	joie, larme, rire, visage, visage pleurant de joie
🙂	sourire, visage, visage avec un léger sourire
🙃	renversé, visage, visage à l’envers, à l’envers
😉	clin d’œil, visage, visage clignant d’un œil
😊	rougir, sourire, visage, visage souriant les yeux plissés, œil
😇	ange, auréole, innocent, visage, visage qui sourit avec une auréole
🥰	aimer, amour, amoureuse, amoureux, béguin, cœurs, visage souriant avec cœurs
😍	amour, sourire, visage, visage souriant aux yeux en forme de cœur, œil
🤩	grand sourire, large sourire, visage, visage aux yeux en forme d’étoiles, yeux, étoile
😘	baiser, visage, visage envoyant un baiser
😗	baiser, visage, visage donnant un baiser
☺️	détendu, sourire, visage, visage souriant
😚	baiser, visage, visage faisant un baiser les yeux fermés, yeux fermés
