‾	surlignéation, trait suscrit, vinculé
🧑🏻‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau claire et peau modérément foncée, couple, femme, homme, peau claire, peau modérément foncée
🧑🏻‍❤‍💋‍🧑🏿	bisou : adulte, adulte, peau claire et peau foncée
🧑🏼‍❤‍💋‍🧑🏻	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément claire et peau claire, couple, femme, homme, peau claire, peau modérément claire
🧑🏼‍❤‍💋‍🧑🏽	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément claire et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément claire
🧑🏼‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément claire et peau modérément foncée, couple, femme, homme, peau modérément claire, peau modérément foncée
🧑🏼‍❤‍💋‍🧑🏿	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément claire et peau foncée, couple, femme, homme, peau foncée, peau modérément claire
🧑🏽‍❤‍💋‍🧑🏻	bisou : adulte, adulte, peau légèrement mate et peau claire
🧑🏽‍❤‍💋‍🧑🏼	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau légèrement mate et peau modérément claire, couple, femme, homme, peau légèrement mate, peau modérément claire
🧑🏽‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau légèrement mate et peau modérément foncée, couple, femme, homme, peau légèrement mate, peau modérément foncée
🧑🏽‍❤‍💋‍🧑🏿	bisou : adulte, adulte, peau légèrement mate et peau foncée
🧑🏾‍❤‍💋‍🧑🏻	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément foncée et peau claire, couple, femme, homme, peau claire, peau modérément foncée
🧑🏾‍❤‍💋‍🧑🏼	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément foncée et peau modérément claire, couple, femme, homme, peau modérément claire, peau modérément foncée
🧑🏾‍❤‍💋‍🧑🏽	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément foncée et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément foncée
🧑🏾‍❤‍💋‍🧑🏿	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau modérément foncée et peau foncée, couple, femme, homme, peau foncée, peau modérément foncée
🧑🏿‍❤‍💋‍🧑🏻	bisou : adulte, adulte, peau foncée et peau claire
🧑🏿‍❤‍💋‍🧑🏼	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau foncée et peau modérément claire, couple, femme, homme, peau foncée, peau modérément claire
🧑🏿‍❤‍💋‍🧑🏽	bisou : adulte, adulte, peau foncée et peau légèrement mate
🧑🏿‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau foncée et peau modérément foncée, couple, femme, homme, peau foncée, peau modérément foncée
🧑🏻‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau claire et peau modérément claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
🧑🏻‍❤‍🧑🏽	couple avec cœur : adulte, adulte, peau claire et peau légèrement mate
🧑🏻‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau claire et peau modérément foncée, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
🧑🏻‍❤‍🧑🏿	couple avec cœur : adulte, adulte, peau claire et peau foncée
🧑🏼‍❤‍🧑🏻	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément claire et peau claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
🧑🏼‍❤‍🧑🏽	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément claire et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
🧑🏼‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément claire et peau modérément foncée, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
🧑🏼‍❤‍🧑🏿	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément claire et peau foncée, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
🧑🏽‍❤‍🧑🏻	couple avec cœur : adulte, adulte, peau légèrement mate et peau claire
🧑🏽‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau légèrement mate et peau modérément claire, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
🧑🏽‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau légèrement mate et peau modérément foncée, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
🧑🏽‍❤‍🧑🏿	couple avec cœur : adulte, adulte, peau légèrement mate et peau foncée
🧑🏾‍❤‍🧑🏻	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément foncée et peau claire, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
🧑🏾‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément foncée et peau modérément claire, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
🧑🏾‍❤‍🧑🏽	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément foncée et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
🧑🏾‍❤‍🧑🏿	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau modérément foncée et peau foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
🧑🏿‍❤‍🧑🏻	couple avec cœur : adulte, adulte, peau foncée et peau claire
🧑🏿‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau foncée et peau modérément claire, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
🧑🏿‍❤‍🧑🏽	couple avec cœur : adulte, adulte, peau foncée et peau légèrement mate
🧑🏿‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau foncée et peau modérément foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
🧑‍🦰	adulte, adulte : cheveux roux, cheveux roux, genre non défini, personne
🧑🏻‍🦰	adulte, adulte : peau claire et cheveux roux, cheveux roux, genre non défini, peau claire, personne
🧑🏼‍🦰	adulte, adulte : peau modérément claire et cheveux roux, cheveux roux, genre non défini, peau modérément claire, personne
🧑🏽‍🦰	adulte, adulte : peau légèrement mate et cheveux roux, cheveux roux, genre non défini, peau légèrement mate, personne
🧑🏾‍🦰	adulte, adulte : peau modérément foncée et cheveux roux, cheveux roux, genre non défini, peau modérément foncée, personne
🧑🏿‍🦰	adulte, adulte : peau foncée et cheveux roux, cheveux roux, genre non défini, peau foncée, personne
🧑‍🦱	adulte, adulte : cheveux bouclés, cheveux bouclés, genre non défini, personne
🧑🏻‍🦱	adulte, adulte : peau claire et cheveux bouclés, cheveux bouclés, genre non défini, peau claire, personne
🧑🏼‍🦱	adulte, adulte : peau modérément claire et cheveux bouclés, cheveux bouclés, genre non défini, peau modérément claire, personne
🧑🏽‍🦱	adulte, adulte : peau légèrement mate et cheveux bouclés, cheveux bouclés, genre non défini, peau légèrement mate, personne
🧑🏾‍🦱	adulte, adulte : peau modérément foncée et cheveux bouclés, cheveux bouclés, genre non défini, peau modérément foncée, personne
🧑🏿‍🦱	adulte, adulte : peau foncée et cheveux bouclés, cheveux bouclés, genre non défini, peau foncée, personne
🧑‍🦳	adulte, adulte : cheveux blancs, cheveux blancs, genre non défini, personne
🧑🏻‍🦳	adulte, adulte : peau claire et cheveux blancs, cheveux blancs, genre non défini, peau claire, personne
🧑🏼‍🦳	adulte, adulte : peau modérément claire et cheveux blancs, cheveux blancs, genre non défini, peau modérément claire, personne
🧑🏽‍🦳	adulte, adulte : peau légèrement mate et cheveux blancs, cheveux blancs, genre non défini, peau légèrement mate, personne
🧑🏾‍🦳	adulte, adulte : peau modérément foncée et cheveux blancs, cheveux blancs, genre non défini, peau modérément foncée, personne
🧑🏿‍🦳	adulte, adulte : peau foncée et cheveux blancs, cheveux blancs, genre non défini, peau foncée, personne
🧑‍🦲	adulte, adulte : chauve, chauve, genre non défini, personne
🧑🏻‍🦲	adulte, adulte : peau claire et chauve, chauve, genre non défini, peau claire, personne
🧑🏼‍🦲	adulte, adulte : peau modérément claire et chauve, chauve, genre non défini, peau modérément claire, personne
🧑🏽‍🦲	adulte, adulte : peau légèrement mate et chauve, chauve, genre non défini, peau légèrement mate, personne
🧑🏾‍🦲	adulte, adulte : peau modérément foncée et chauve, chauve, genre non défini, peau modérément foncée, personne
🧑🏿‍🦲	adulte, adulte : peau foncée et chauve, chauve, genre non défini, peau foncée, personne
👨	adulte, homme
👨🏻	adulte, homme, homme : peau claire, peau claire
👨🏼	adulte, homme, homme : peau modérément claire, peau modérément claire
👨🏽	adulte, homme, homme : peau légèrement mate, peau légèrement mate
👨🏾	adulte, homme, homme : peau modérément foncée, peau modérément foncée
👨🏿	adulte, homme, homme : peau foncée, peau foncée
🧔	barbe, barbu, homme barbu, personne, personne barbue
🧔🏻	barbe, barbu, homme barbu, peau claire, personne, personne barbue, personne barbue : peau claire
🧔🏼	barbe, barbu, homme barbu, peau modérément claire, personne, personne barbue, personne barbue : peau modérément claire
🧔🏽	barbe, barbu, homme barbu, peau légèrement mate, personne, personne barbue, personne barbue : peau légèrement mate
🧔🏾	barbe, barbu, homme barbu, peau modérément foncée, personne, personne barbue, personne barbue : peau modérément foncée
🧔🏿	barbe, barbu, homme barbu, peau foncée, personne, personne barbue, personne barbue : peau foncée
🧔‍♂	barbe, barbu, homme
🧔🏻‍♂	barbe, barbu, homme, homme barbu : peau claire, peau claire
🧔🏼‍♂	barbe, barbu, homme, homme barbu : peau modérément claire, peau modérément claire
🧔🏽‍♂	barbe, barbu, homme, homme barbu : peau légèrement mate, peau légèrement mate
🧔🏾‍♂	barbe, barbu, homme, homme barbu : peau modérément foncée, peau modérément foncée
🧔🏿‍♂	barbe, barbu, homme, homme barbu : peau foncée, peau foncée
👱‍♂	blond, homme
👱🏻‍♂	blond, homme, homme blond : peau claire, peau claire
👱🏼‍♂	blond, homme, homme blond : peau modérément claire, peau modérément claire
👱🏽‍♂	blond, homme, homme blond : peau légèrement mate, peau légèrement mate
👱🏾‍♂	blond, homme, homme blond : peau modérément foncée, peau modérément foncée
👱🏿‍♂	blond, homme, homme blond : peau foncée, peau foncée
👨🏻‍❤‍💋‍👨🏻	bisou : homme, homme et peau claire
👨🏻‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau claire et peau modérément claire, couple, femme, homme, peau claire, peau modérément claire
👨🏻‍❤‍💋‍👨🏽	bisou : homme, homme, peau claire et peau légèrement mate
👨🏻‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau claire et peau modérément foncée, couple, femme, homme, peau claire, peau modérément foncée
👨🏻‍❤‍💋‍👨🏿	bisou : homme, homme, peau claire et peau foncée
👨🏼‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément claire et peau claire, couple, femme, homme, peau claire, peau modérément claire
👨🏼‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme et peau modérément claire, couple, femme, homme, peau modérément claire
👨🏼‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément claire et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément claire
👨🏼‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément claire et peau modérément foncée, couple, femme, homme, peau modérément claire, peau modérément foncée
👨🏼‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément claire et peau foncée, couple, femme, homme, peau foncée, peau modérément claire
👨🏽‍❤‍💋‍👨🏻	bisou : homme, homme, peau légèrement mate et peau claire
👨🏽‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau légèrement mate et peau modérément claire, couple, femme, homme, peau légèrement mate, peau modérément claire
👨🏽‍❤‍💋‍👨🏽	bisou : homme, homme et peau légèrement mate
👨🏽‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau légèrement mate et peau modérément foncée, couple, femme, homme, peau légèrement mate, peau modérément foncée
👨🏽‍❤‍💋‍👨🏿	bisou : homme, homme, peau légèrement mate et peau foncée
👨🏾‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément foncée et peau claire, couple, femme, homme, peau claire, peau modérément foncée
👨🏾‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément foncée et peau modérément claire, couple, femme, homme, peau modérément claire, peau modérément foncée
👨🏾‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément foncée et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément foncée
👨🏾‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme et peau modérément foncée, couple, femme, homme, peau modérément foncée
👨🏾‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau modérément foncée et peau foncée, couple, femme, homme, peau foncée, peau modérément foncée
👨🏿‍❤‍💋‍👨🏻	bisou : homme, homme, peau foncée et peau claire
👨🏿‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau foncée et peau modérément claire, couple, femme, homme, peau foncée, peau modérément claire
👨🏿‍❤‍💋‍👨🏽	bisou : homme, homme, peau foncée et peau légèrement mate
👨🏿‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau foncée et peau modérément foncée, couple, femme, homme, peau foncée, peau modérément foncée
👨🏿‍❤‍💋‍👨🏿	bisou : homme, homme et peau foncée
👨🏻‍❤‍👨🏻	couple avec cœur : homme, homme et peau claire
👨🏻‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau claire et peau modérément claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
👨🏻‍❤‍👨🏽	couple avec cœur : homme, homme, peau claire et peau légèrement mate
👨🏻‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau claire et peau modérément foncée, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
👨🏻‍❤‍👨🏿	couple avec cœur : homme, homme, peau claire et peau foncée
👨🏼‍❤‍👨🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément claire et peau claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
👨🏼‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme et peau modérément claire, cœur, femme, homme, peau modérément claire, rendez-vous
👨🏼‍❤‍👨🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément claire et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
👨🏼‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément claire et peau modérément foncée, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
👨🏼‍❤‍👨🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément claire et peau foncée, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
👨🏽‍❤‍👨🏻	couple avec cœur : homme, homme, peau légèrement mate et peau claire
👨🏽‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau légèrement mate et peau modérément claire, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
👨🏽‍❤‍👨🏽	couple avec cœur : homme, homme et peau légèrement mate
👨🏽‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau légèrement mate et peau modérément foncée, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
👨🏽‍❤‍👨🏿	couple avec cœur : homme, homme, peau légèrement mate et peau foncée
👨🏾‍❤‍👨🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément foncée et peau claire, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
👨🏾‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément foncée et peau modérément claire, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
👨🏾‍❤‍👨🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément foncée et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
👨🏾‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme et peau modérément foncée, cœur, femme, homme, peau modérément foncée, rendez-vous
👨🏾‍❤‍👨🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau modérément foncée et peau foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
👨🏿‍❤‍👨🏻	couple avec cœur : homme, homme, peau foncée et peau claire
👨🏿‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau foncée et peau modérément claire, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
👨🏿‍❤‍👨🏽	couple avec cœur : homme, homme, peau foncée et peau légèrement mate
👨🏿‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau foncée et peau modérément foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
👨🏿‍❤‍👨🏿	couple avec cœur : homme, homme et peau foncée
👨‍🦰	adulte, cheveux roux, homme, homme : cheveux roux
👨🏻‍🦰	adulte, cheveux roux, homme, homme : peau claire et cheveux roux, peau claire
👨🏼‍🦰	adulte, cheveux roux, homme, homme : peau modérément claire et cheveux roux, peau modérément claire
👨🏽‍🦰	adulte, cheveux roux, homme, homme : peau légèrement mate et cheveux roux, peau légèrement mate
👨🏾‍🦰	adulte, cheveux roux, homme, homme : peau modérément foncée et cheveux roux, peau modérément foncée
👨🏿‍🦰	adulte, cheveux roux, homme, homme : peau foncée et cheveux roux, peau foncée
👨‍🦱	adulte, cheveux bouclés, homme, homme : cheveux bouclés
👨🏻‍🦱	adulte, cheveux bouclés, homme, homme : peau claire et cheveux bouclés, peau claire
👨🏼‍🦱	adulte, cheveux bouclés, homme, homme : peau modérément claire et cheveux bouclés, peau modérément claire
👨🏽‍🦱	adulte, cheveux bouclés, homme, homme : peau légèrement mate et cheveux bouclés, peau légèrement mate
👨🏾‍🦱	adulte, cheveux bouclés, homme, homme : peau modérément foncée et cheveux bouclés, peau modérément foncée
👨🏿‍🦱	adulte, cheveux bouclés, homme, homme : peau foncée et cheveux bouclés, peau foncée
👨‍🦳	adulte, cheveux blancs, homme, homme : cheveux blancs
👨🏻‍🦳	adulte, cheveux blancs, homme, homme : peau claire et cheveux blancs, peau claire
👨🏼‍🦳	adulte, cheveux blancs, homme, homme : peau modérément claire et cheveux blancs, peau modérément claire
👨🏽‍🦳	adulte, cheveux blancs, homme, homme : peau légèrement mate et cheveux blancs, peau légèrement mate
👨🏾‍🦳	adulte, cheveux blancs, homme, homme : peau modérément foncée et cheveux blancs, peau modérément foncée
👨🏿‍🦳	adulte, cheveux blancs, homme, homme : peau foncée et cheveux blancs, peau foncée
👨‍🦲	adulte, chauve, homme, homme : chauve
👨🏻‍🦲	adulte, chauve, homme, homme : peau claire et chauve, peau claire
👨🏼‍🦲	adulte, chauve, homme, homme : peau modérément claire et chauve, peau modérément claire
👨🏽‍🦲	adulte, chauve, homme, homme : peau légèrement mate et chauve, peau légèrement mate
👨🏾‍🦲	adulte, chauve, homme, homme : peau modérément foncée et chauve, peau modérément foncée
👨🏿‍🦲	adulte, chauve, homme, homme : peau foncée et chauve, peau foncée
👩	adulte, femme
👩🏻	adulte, femme, femme : peau claire, peau claire
👩🏼	adulte, femme, femme : peau modérément claire, peau modérément claire
👩🏽	adulte, femme, femme : peau légèrement mate, peau légèrement mate
👩🏾	adulte, femme, femme : peau modérément foncée, peau modérément foncée
👩🏿	adulte, femme, femme : peau foncée, peau foncée
🧔‍♀	barbe, barbue, femme
🧔🏻‍♀	barbe, barbue, femme, femme barbue : peau claire, peau claire
🧔🏼‍♀	barbe, barbue, femme, femme barbue : peau modérément claire, peau modérément claire
🧔🏽‍♀	barbe, barbue, femme, femme barbue : peau légèrement mate, peau légèrement mate
🧔🏾‍♀	barbe, barbue, femme, femme barbue : peau modérément foncée, peau modérément foncée
🧔🏿‍♀	barbe, barbue, femme, femme barbue : peau foncée, peau foncée
👱‍♀	blonde, femme
👱🏻‍♀	blonde, femme, femme blonde : peau claire, peau claire
👱🏼‍♀	blonde, femme, femme blonde : peau modérément claire, peau modérément claire
👱🏽‍♀	blonde, femme, femme blonde : peau légèrement mate, peau légèrement mate
👱🏾‍♀	blonde, femme, femme blonde : peau modérément foncée, peau modérément foncée
👱🏿‍♀	blonde, femme, femme blonde : peau foncée, peau foncée
👩🏻‍❤‍💋‍👨🏻	bisou : femme, homme et peau claire
👩🏻‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau claire et peau modérément claire, couple, femme, homme, peau claire, peau modérément claire
👩🏻‍❤‍💋‍👨🏽	bisou : femme, homme, peau claire et peau légèrement mate
👩🏻‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau claire et peau modérément foncée, couple, femme, homme, peau claire, peau modérément foncée
👩🏻‍❤‍💋‍👨🏿	bisou : femme, homme, peau claire et peau foncée
👩🏼‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément claire et peau claire, couple, femme, homme, peau claire, peau modérément claire
👩🏼‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : femme, homme et peau modérément claire, couple, femme, homme, peau modérément claire
👩🏼‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément claire et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément claire
👩🏼‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément claire et peau modérément foncée, couple, femme, homme, peau modérément claire, peau modérément foncée
👩🏼‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément claire et peau foncée, couple, femme, homme, peau foncée, peau modérément claire
👩🏽‍❤‍💋‍👨🏻	bisou : femme, homme, peau légèrement mate et peau claire
👩🏽‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau légèrement mate et peau modérément claire, couple, femme, homme, peau légèrement mate, peau modérément claire
👩🏽‍❤‍💋‍👨🏽	bisou : femme, homme et peau légèrement mate
👩🏽‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau légèrement mate et peau modérément foncée, couple, femme, homme, peau légèrement mate, peau modérément foncée
👩🏽‍❤‍💋‍👨🏿	bisou : femme, homme, peau légèrement mate et peau foncée
👩🏾‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément foncée et peau claire, couple, femme, homme, peau claire, peau modérément foncée
👩🏾‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément foncée et peau modérément claire, couple, femme, homme, peau modérément claire, peau modérément foncée
👩🏾‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément foncée et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément foncée
👩🏾‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : femme, homme et peau modérément foncée, couple, femme, homme, peau modérément foncée
👩🏾‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau modérément foncée et peau foncée, couple, femme, homme, peau foncée, peau modérément foncée
👩🏿‍❤‍💋‍👨🏻	bisou : femme, homme, peau foncée et peau claire
👩🏿‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau foncée et peau modérément claire, couple, femme, homme, peau foncée, peau modérément claire
👩🏿‍❤‍💋‍👨🏽	bisou : femme, homme, peau foncée et peau légèrement mate
👩🏿‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : femme, homme, peau foncée et peau modérément foncée, couple, femme, homme, peau foncée, peau modérément foncée
👩🏿‍❤‍💋‍👨🏿	bisou : femme, homme et peau foncée
👩🏻‍❤‍💋‍👩🏻	bisou : femme, femme et peau claire
👩🏻‍❤‍💋‍👩🏼	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau claire et peau modérément claire, couple, femme, homme, peau claire, peau modérément claire
👩🏻‍❤‍💋‍👩🏽	bisou : femme, femme, peau claire et peau légèrement mate
👩🏻‍❤‍💋‍👩🏾	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau claire et peau modérément foncée, couple, femme, homme, peau claire, peau modérément foncée
👩🏻‍❤‍💋‍👩🏿	bisou : femme, femme, peau claire et peau foncée
👩🏼‍❤‍💋‍👩🏻	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément claire et peau claire, couple, femme, homme, peau claire, peau modérément claire
👩🏼‍❤‍💋‍👩🏼	amour, anniversaire, baiser, bisou, bisou : femme, femme et peau modérément claire, couple, femme, homme, peau modérément claire
👩🏼‍❤‍💋‍👩🏽	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément claire et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément claire
👩🏼‍❤‍💋‍👩🏾	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément claire et peau modérément foncée, couple, femme, homme, peau modérément claire, peau modérément foncée
👩🏼‍❤‍💋‍👩🏿	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément claire et peau foncée, couple, femme, homme, peau foncée, peau modérément claire
👩🏽‍❤‍💋‍👩🏻	bisou : femme, femme, peau légèrement mate et peau claire
👩🏽‍❤‍💋‍👩🏼	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau légèrement mate et peau modérément claire, couple, femme, homme, peau légèrement mate, peau modérément claire
👩🏽‍❤‍💋‍👩🏽	bisou : femme, femme et peau légèrement mate
👩🏽‍❤‍💋‍👩🏾	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau légèrement mate et peau modérément foncée, couple, femme, homme, peau légèrement mate, peau modérément foncée
👩🏽‍❤‍💋‍👩🏿	bisou : femme, femme, peau légèrement mate et peau foncée
👩🏾‍❤‍💋‍👩🏻	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément foncée et peau claire, couple, femme, homme, peau claire, peau modérément foncée
👩🏾‍❤‍💋‍👩🏼	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément foncée et peau modérément claire, couple, femme, homme, peau modérément claire, peau modérément foncée
👩🏾‍❤‍💋‍👩🏽	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément foncée et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau modérément foncée
