‾	መስመር ላይ
👵🏻	ሴት, ሽማግሌ, አሮጊት, አሮጊት ሴት: የቆዳ ዓይነት-1-2, አስተዋይ, አያት, ወርቃማ ጸጉር, የቆዳ ዓይነት-1-2, የተበላሸ የጸጉር ቁርጥ
👵🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, ሽማግሌ, አሮጊት, አሮጊት ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አስተዋይ, አያት, ወርቃማ ጸጉር, የተበላሸ የጸጉር ቁርጥ
👵🏽	ሴት, ሽማግሌ, አሮጊት, አሮጊት ሴት: የቆዳ ዓይነት-4, አስተዋይ, አያት, ወርቃማ ጸጉር, የቆዳ ዓይነት-4, የተበላሸ የጸጉር ቁርጥ
👵🏾	ሴት, ሽማግሌ, አሮጊት, አሮጊት ሴት: የቆዳ ዓይነት-5, አስተዋይ, አያት, ወርቃማ ጸጉር, የቆዳ ዓይነት-5, የተበላሸ የጸጉር ቁርጥ
👵🏿	ሴት, ሽማግሌ, አሮጊት, አሮጊት ሴት: የቆዳ ዓይነት-6, አስተዋይ, አያት, ወርቃማ ጸጉር, የቆዳ ዓይነት-6, የተበላሸ የጸጉር ቁርጥ
🙍	ተስፋ የቆረጠች, የተረበሸች, የተበሳጨች, የተኮሳተረ, የተኮሳተረ ሰው, የተኮሳተረች ሴት, የእጅ ምልክት, ያኮረፈች ሴት
🙍🏻	ተስፋ የቆረጠች, የቆዳ ዓይነት-1-2, የተረበሸች, የተበሳጨች, የተኮሳተረ, የተኮሳተረ ሰው, የተኮሳተረ ሰው: የቆዳ ዓይነት-1-2, የተኮሳተረች ሴት, የእጅ ምልክት, ያኮረፈች ሴት
🙍🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ተስፋ የቆረጠች, የተረበሸች, የተበሳጨች, የተኮሳተረ, የተኮሳተረ ሰው, የተኮሳተረ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የተኮሳተረች ሴት, የእጅ ምልክት, ያኮረፈች ሴት
🙍🏽	ተስፋ የቆረጠች, የቆዳ ዓይነት-4, የተረበሸች, የተበሳጨች, የተኮሳተረ, የተኮሳተረ ሰው, የተኮሳተረ ሰው: የቆዳ ዓይነት-4, የተኮሳተረች ሴት, የእጅ ምልክት, ያኮረፈች ሴት
🙍🏾	ተስፋ የቆረጠች, የቆዳ ዓይነት-5, የተረበሸች, የተበሳጨች, የተኮሳተረ, የተኮሳተረ ሰው, የተኮሳተረ ሰው: የቆዳ ዓይነት-5, የተኮሳተረች ሴት, የእጅ ምልክት, ያኮረፈች ሴት
🙍🏿	ተስፋ የቆረጠች, የቆዳ ዓይነት-6, የተረበሸች, የተበሳጨች, የተኮሳተረ, የተኮሳተረ ሰው, የተኮሳተረ ሰው: የቆዳ ዓይነት-6, የተኮሳተረች ሴት, የእጅ ምልክት, ያኮረፈች ሴት
🙍‍♂	ወንድ, ወንድ ተኮሳትሮ, የተበሳጨ, የተኮሳተረ, የእጅ ምልክት
🙍🏻‍♂	ወንድ, ወንድ ተኮሳትሮ, ወንድ ተኮሳትሮ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የተበሳጨ, የተኮሳተረ, የእጅ ምልክት
🙍🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ወንድ ተኮሳትሮ, ወንድ ተኮሳትሮ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የተበሳጨ, የተኮሳተረ, የእጅ ምልክት
🙍🏽‍♂	ወንድ, ወንድ ተኮሳትሮ, ወንድ ተኮሳትሮ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የተበሳጨ, የተኮሳተረ, የእጅ ምልክት
🙍🏾‍♂	ወንድ, ወንድ ተኮሳትሮ, ወንድ ተኮሳትሮ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የተበሳጨ, የተኮሳተረ, የእጅ ምልክት
🙍🏿‍♂	ወንድ, ወንድ ተኮሳትሮ, ወንድ ተኮሳትሮ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የተበሳጨ, የተኮሳተረ, የእጅ ምልክት
🙍‍♀	ሴት ተኮሳትራ, ወንድ, የተኮሳተረ, የእጅ ምልክት
🙍🏻‍♀	ሴት ተኮሳትራ, ሴት ተኮሳትራ: የቆዳ ዓይነት-1-2, ወንድ, የቆዳ ዓይነት-1-2, የተኮሳተረ, የእጅ ምልክት
🙍🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት ተኮሳትራ, ሴት ተኮሳትራ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, የተኮሳተረ, የእጅ ምልክት
🙍🏽‍♀	ሴት ተኮሳትራ, ሴት ተኮሳትራ: የቆዳ ዓይነት-4, ወንድ, የቆዳ ዓይነት-4, የተኮሳተረ, የእጅ ምልክት
🙍🏾‍♀	ሴት ተኮሳትራ, ሴት ተኮሳትራ: የቆዳ ዓይነት-5, ወንድ, የቆዳ ዓይነት-5, የተኮሳተረ, የእጅ ምልክት
🙍🏿‍♀	ሴት ተኮሳትራ, ሴት ተኮሳትራ: የቆዳ ዓይነት-6, ወንድ, የቆዳ ዓይነት-6, የተኮሳተረ, የእጅ ምልክት
🙎	ሁኔታው ያልጣመው ሰው, ለንቦጭ መጣል, መበሳጨት, መነጫነጭ, መናደድ, ማኩረፍ, ሴት, ነገሩ ያልጣማት ሴት, ወሲብ የጠማት, የእጅ ምልክት, የፊት ምልክት, ያልተመቸው ፊት, ያልተመቻት, ያልጣመው ፊት, ፊት
🙎🏻	ሁኔታው ያልጣመው ሰው, ሁኔታው ያልጣመው ሰው: የቆዳ ዓይነት-1-2, ለንቦጭ መጣል, መበሳጨት, መነጫነጭ, መናደድ, ማኩረፍ, ሴት, ነገሩ ያልጣማት ሴት, ወሲብ የጠማት, የቆዳ ዓይነት-1-2, የእጅ ምልክት, የፊት ምልክት, ያልተመቸው ፊት, ያልተመቻት, ያልጣመው ፊት, ፊት
🙎🏼	ሁኔታው ያልጣመው ሰው, ሁኔታው ያልጣመው ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ለንቦጭ መጣል, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መበሳጨት, መነጫነጭ, መናደድ, ማኩረፍ, ሴት, ነገሩ ያልጣማት ሴት, ወሲብ የጠማት, የእጅ ምልክት, የፊት ምልክት, ያልተመቸው ፊት, ያልተመቻት, ያልጣመው ፊት, ፊት
🙎🏽	ሁኔታው ያልጣመው ሰው, ሁኔታው ያልጣመው ሰው: የቆዳ ዓይነት-4, ለንቦጭ መጣል, መበሳጨት, መነጫነጭ, መናደድ, ማኩረፍ, ሴት, ነገሩ ያልጣማት ሴት, ወሲብ የጠማት, የቆዳ ዓይነት-4, የእጅ ምልክት, የፊት ምልክት, ያልተመቸው ፊት, ያልተመቻት, ያልጣመው ፊት, ፊት
🙎🏾	ሁኔታው ያልጣመው ሰው, ሁኔታው ያልጣመው ሰው: የቆዳ ዓይነት-5, ለንቦጭ መጣል, መበሳጨት, መነጫነጭ, መናደድ, ማኩረፍ, ሴት, ነገሩ ያልጣማት ሴት, ወሲብ የጠማት, የቆዳ ዓይነት-5, የእጅ ምልክት, የፊት ምልክት, ያልተመቸው ፊት, ያልተመቻት, ያልጣመው ፊት, ፊት
🙎🏿	ሁኔታው ያልጣመው ሰው, ሁኔታው ያልጣመው ሰው: የቆዳ ዓይነት-6, ለንቦጭ መጣል, መበሳጨት, መነጫነጭ, መናደድ, ማኩረፍ, ሴት, ነገሩ ያልጣማት ሴት, ወሲብ የጠማት, የቆዳ ዓይነት-6, የእጅ ምልክት, የፊት ምልክት, ያልተመቸው ፊት, ያልተመቻት, ያልጣመው ፊት, ፊት
🙎‍♂	ለንቦጩን የጣለ ወንድ, ለንቦጭ መጣል, ማለክለክ, ማኩረፍ, ወንድ, ወንድ ማለክለክ, የእጅ ምልክት
🙎🏻‍♂	ለንቦጩን የጣለ ወንድ, ለንቦጭ መጣል, ማለክለክ, ማኩረፍ, ወንድ, ወንድ ማለክለክ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የእጅ ምልክት
🙎🏼‍♂	ለንቦጩን የጣለ ወንድ, ለንቦጭ መጣል, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ማለክለክ, ማኩረፍ, ወንድ, ወንድ ማለክለክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የእጅ ምልክት
🙎🏽‍♂	ለንቦጩን የጣለ ወንድ, ለንቦጭ መጣል, ማለክለክ, ማኩረፍ, ወንድ, ወንድ ማለክለክ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የእጅ ምልክት
🙎🏾‍♂	ለንቦጩን የጣለ ወንድ, ለንቦጭ መጣል, ማለክለክ, ማኩረፍ, ወንድ, ወንድ ማለክለክ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የእጅ ምልክት
🙎🏿‍♂	ለንቦጩን የጣለ ወንድ, ለንቦጭ መጣል, ማለክለክ, ማኩረፍ, ወንድ, ወንድ ማለክለክ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የእጅ ምልክት
🙎‍♀	ማለክለክ, ሴት, ሴት ማለክለክ, የእጅ ምልክት
🙎🏻‍♀	ማለክለክ, ሴት, ሴት ማለክለክ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የእጅ ምልክት
🙎🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ማለክለክ, ሴት, ሴት ማለክለክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የእጅ ምልክት
🙎🏽‍♀	ማለክለክ, ሴት, ሴት ማለክለክ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የእጅ ምልክት
🙎🏾‍♀	ማለክለክ, ሴት, ሴት ማለክለክ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የእጅ ምልክት
🙎🏿‍♀	ማለክለክ, ሴት, ሴት ማለክለክ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የእጅ ምልክት
🙅	አታስበው, አታስቢው, አታካትት, አካላዊ ቋንቋ, አይ, አይ የሚል ምልክት የሚሰጥ ሰው, አይሆንም, እጅ, ከልክል, ክልክል, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም, ያልተፈቀደ
🙅🏻	አታስበው, አታስቢው, አታካትት, አካላዊ ቋንቋ, አይ, አይ የሚል ምልክት የሚሰጥ ሰው, አይሆንም, እጅ, ከልክል, ክልክል, የቆዳ ዓይነት-1-2, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም, የእጅ ምልክት ለአይሆንም: የቆዳ ዓይነት-1-2, ያልተፈቀደ
🙅🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አታስበው, አታስቢው, አታካትት, አካላዊ ቋንቋ, አይ, አይ የሚል ምልክት የሚሰጥ ሰው, አይሆንም, እጅ, ከልክል, ክልክል, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም, የእጅ ምልክት ለአይሆንም: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ያልተፈቀደ
🙅🏽	አታስበው, አታስቢው, አታካትት, አካላዊ ቋንቋ, አይ, አይ የሚል ምልክት የሚሰጥ ሰው, አይሆንም, እጅ, ከልክል, ክልክል, የቆዳ ዓይነት-4, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም, የእጅ ምልክት ለአይሆንም: የቆዳ ዓይነት-4, ያልተፈቀደ
🙅🏾	አታስበው, አታስቢው, አታካትት, አካላዊ ቋንቋ, አይ, አይ የሚል ምልክት የሚሰጥ ሰው, አይሆንም, እጅ, ከልክል, ክልክል, የቆዳ ዓይነት-5, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም, የእጅ ምልክት ለአይሆንም: የቆዳ ዓይነት-5, ያልተፈቀደ
🙅🏿	አታስበው, አታስቢው, አታካትት, አካላዊ ቋንቋ, አይ, አይ የሚል ምልክት የሚሰጥ ሰው, አይሆንም, እጅ, ከልክል, ክልክል, የቆዳ ዓይነት-6, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም, የእጅ ምልክት ለአይሆንም: የቆዳ ዓይነት-6, ያልተፈቀደ
🙅‍♂	አይሆንም, አይሆንም የሚል የእጅ ምልክት የሚያሳይ ወንድ, እጅ, ወንድ, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ወንድ
🙅🏻‍♂	አይሆንም, አይሆንም የሚል የእጅ ምልክት የሚያሳይ ወንድ, እጅ, ወንድ, የቆዳ ዓይነት-1-2, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ወንድ, የእጅ ምልክት ለአይሆንም ወንድ: የቆዳ ዓይነት-1-2
🙅🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አይሆንም, አይሆንም የሚል የእጅ ምልክት የሚያሳይ ወንድ, እጅ, ወንድ, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ወንድ, የእጅ ምልክት ለአይሆንም ወንድ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🙅🏽‍♂	አይሆንም, አይሆንም የሚል የእጅ ምልክት የሚያሳይ ወንድ, እጅ, ወንድ, የቆዳ ዓይነት-4, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ወንድ, የእጅ ምልክት ለአይሆንም ወንድ: የቆዳ ዓይነት-4
🙅🏾‍♂	አይሆንም, አይሆንም የሚል የእጅ ምልክት የሚያሳይ ወንድ, እጅ, ወንድ, የቆዳ ዓይነት-5, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ወንድ, የእጅ ምልክት ለአይሆንም ወንድ: የቆዳ ዓይነት-5
🙅🏿‍♂	አይሆንም, አይሆንም የሚል የእጅ ምልክት የሚያሳይ ወንድ, እጅ, ወንድ, የቆዳ ዓይነት-6, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ወንድ, የእጅ ምልክት ለአይሆንም ወንድ: የቆዳ ዓይነት-6
🙅‍♀	ሴት, እጅ, ክልክል, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ሴት
🙅🏻‍♀	ሴት, እጅ, ክልክል, የቆዳ ዓይነት-1-2, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ሴት, የእጅ ምልክት ለአይሆንም ሴት: የቆዳ ዓይነት-1-2
🙅🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, ክልክል, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ሴት, የእጅ ምልክት ለአይሆንም ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🙅🏽‍♀	ሴት, እጅ, ክልክል, የቆዳ ዓይነት-4, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ሴት, የእጅ ምልክት ለአይሆንም ሴት: የቆዳ ዓይነት-4
🙅🏾‍♀	ሴት, እጅ, ክልክል, የቆዳ ዓይነት-5, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ሴት, የእጅ ምልክት ለአይሆንም ሴት: የቆዳ ዓይነት-5
🙅🏿‍♀	ሴት, እጅ, ክልክል, የቆዳ ዓይነት-6, የተከለከለ, የእጅ ምልክት, የእጅ ምልክት ለአይሆንም ሴት, የእጅ ምልክት ለአይሆንም ሴት: የቆዳ ዓይነት-6
🙆	እሺ, እሺ የሚል ምልክት የሚሰጥ ሰው, እጅ, ኦ አምላኬ, የአካል ብቃት እንቅስቃሴ, የእጅ ምልክት, የእጅ ምልክት ለእሺ
🙆🏻	እሺ, እሺ የሚል ምልክት የሚሰጥ ሰው, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-1-2, የአካል ብቃት እንቅስቃሴ, የእጅ ምልክት, የእጅ ምልክት ለእሺ, የእጅ ምልክት ለእሺ: የቆዳ ዓይነት-1-2
🙆🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, እሺ, እሺ የሚል ምልክት የሚሰጥ ሰው, እጅ, ኦ አምላኬ, የአካል ብቃት እንቅስቃሴ, የእጅ ምልክት, የእጅ ምልክት ለእሺ, የእጅ ምልክት ለእሺ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🙆🏽	እሺ, እሺ የሚል ምልክት የሚሰጥ ሰው, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-4, የአካል ብቃት እንቅስቃሴ, የእጅ ምልክት, የእጅ ምልክት ለእሺ, የእጅ ምልክት ለእሺ: የቆዳ ዓይነት-4
🙆🏾	እሺ, እሺ የሚል ምልክት የሚሰጥ ሰው, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-5, የአካል ብቃት እንቅስቃሴ, የእጅ ምልክት, የእጅ ምልክት ለእሺ, የእጅ ምልክት ለእሺ: የቆዳ ዓይነት-5
🙆🏿	እሺ, እሺ የሚል ምልክት የሚሰጥ ሰው, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-6, የአካል ብቃት እንቅስቃሴ, የእጅ ምልክት, የእጅ ምልክት ለእሺ, የእጅ ምልክት ለእሺ: የቆዳ ዓይነት-6
🙆‍♂	እሺ, እኔ አላምንም, እንቅስቃሴ, እጅ, ወንድ, ወንድ በእጅ ምልክት እሺ እያለ, የእጅ ምልክት, የእጅ ምልክት ለእሺ ወንድ
🙆🏻‍♂	እሺ, እኔ አላምንም, እንቅስቃሴ, እጅ, ወንድ, ወንድ በእጅ ምልክት እሺ እያለ, የቆዳ ዓይነት-1-2, የእጅ ምልክት, የእጅ ምልክት ለእሺ ወንድ, የእጅ ምልክት ለእሺ ወንድ: የቆዳ ዓይነት-1-2
🙆🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, እሺ, እኔ አላምንም, እንቅስቃሴ, እጅ, ወንድ, ወንድ በእጅ ምልክት እሺ እያለ, የእጅ ምልክት, የእጅ ምልክት ለእሺ ወንድ, የእጅ ምልክት ለእሺ ወንድ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🙆🏽‍♂	እሺ, እኔ አላምንም, እንቅስቃሴ, እጅ, ወንድ, ወንድ በእጅ ምልክት እሺ እያለ, የቆዳ ዓይነት-4, የእጅ ምልክት, የእጅ ምልክት ለእሺ ወንድ, የእጅ ምልክት ለእሺ ወንድ: የቆዳ ዓይነት-4
🙆🏾‍♂	እሺ, እኔ አላምንም, እንቅስቃሴ, እጅ, ወንድ, ወንድ በእጅ ምልክት እሺ እያለ, የቆዳ ዓይነት-5, የእጅ ምልክት, የእጅ ምልክት ለእሺ ወንድ, የእጅ ምልክት ለእሺ ወንድ: የቆዳ ዓይነት-5
🙆🏿‍♂	እሺ, እኔ አላምንም, እንቅስቃሴ, እጅ, ወንድ, ወንድ በእጅ ምልክት እሺ እያለ, የቆዳ ዓይነት-6, የእጅ ምልክት, የእጅ ምልክት ለእሺ ወንድ, የእጅ ምልክት ለእሺ ወንድ: የቆዳ ዓይነት-6
🙆‍♀	ሴት, እሺ, እጅ, የእጅ ምልክት, የእጅ ምልክት ለእሺ ሴት
🙆🏻‍♀	ሴት, እሺ, እጅ, የቆዳ ዓይነት-1-2, የእጅ ምልክት, የእጅ ምልክት ለእሺ ሴት, የእጅ ምልክት ለእሺ ሴት: የቆዳ ዓይነት-1-2
🙆🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እሺ, እጅ, የእጅ ምልክት, የእጅ ምልክት ለእሺ ሴት, የእጅ ምልክት ለእሺ ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🙆🏽‍♀	ሴት, እሺ, እጅ, የቆዳ ዓይነት-4, የእጅ ምልክት, የእጅ ምልክት ለእሺ ሴት, የእጅ ምልክት ለእሺ ሴት: የቆዳ ዓይነት-4
🙆🏾‍♀	ሴት, እሺ, እጅ, የቆዳ ዓይነት-5, የእጅ ምልክት, የእጅ ምልክት ለእሺ ሴት, የእጅ ምልክት ለእሺ ሴት: የቆዳ ዓይነት-5
🙆🏿‍♀	ሴት, እሺ, እጅ, የቆዳ ዓይነት-6, የእጅ ምልክት, የእጅ ምልክት ለእሺ ሴት, የእጅ ምልክት ለእሺ ሴት: የቆዳ ዓይነት-6
💁	ሐሜት, መረጃ, መረጃ ሰጪ, መረጃ ሰጪ ግለሰብ, ሴት, ሹፈት, እንጃ, እጅ, እገዛ, ወሬ, ጸጉርን መነስነስ, ፌዝ
💁🏻	ሐሜት, መረጃ, መረጃ ሰጪ, መረጃ ሰጪ ግለሰብ, መረጃ ሰጪ ግለሰብ: የቆዳ ዓይነት-1-2, ሴት, ሹፈት, እንጃ, እጅ, እገዛ, ወሬ, የቆዳ ዓይነት-1-2, ጸጉርን መነስነስ, ፌዝ
💁🏼	ሐሜት, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መረጃ, መረጃ ሰጪ, መረጃ ሰጪ ግለሰብ, መረጃ ሰጪ ግለሰብ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, ሹፈት, እንጃ, እጅ, እገዛ, ወሬ, ጸጉርን መነስነስ, ፌዝ
💁🏽	ሐሜት, መረጃ, መረጃ ሰጪ, መረጃ ሰጪ ግለሰብ, መረጃ ሰጪ ግለሰብ: የቆዳ ዓይነት-4, ሴት, ሹፈት, እንጃ, እጅ, እገዛ, ወሬ, የቆዳ ዓይነት-4, ጸጉርን መነስነስ, ፌዝ
💁🏾	ሐሜት, መረጃ, መረጃ ሰጪ, መረጃ ሰጪ ግለሰብ, መረጃ ሰጪ ግለሰብ: የቆዳ ዓይነት-5, ሴት, ሹፈት, እንጃ, እጅ, እገዛ, ወሬ, የቆዳ ዓይነት-5, ጸጉርን መነስነስ, ፌዝ
💁🏿	ሐሜት, መረጃ, መረጃ ሰጪ, መረጃ ሰጪ ግለሰብ, መረጃ ሰጪ ግለሰብ: የቆዳ ዓይነት-6, ሴት, ሹፈት, እንጃ, እጅ, እገዛ, ወሬ, የቆዳ ዓይነት-6, ጸጉርን መነስነስ, ፌዝ
💁‍♂	ሐሜት, መረጃ, መረጃ ሰጪ, ማምጣት, ምንም ይሁን ምን, ሴት, ስላቅ, ችላ ማለት, አሽሙረኛ, አሽሙር, እርዳታ, እጁን የሚያወዛውዝ ወንድ, እጅ, እገዛ, ወንድ መረጃ ሰጪ, ዲቫ, ጠቃሚ ምክር መስጠት, ጸጉርን መግለጥ, ጸጉርን ማወዛወዝ, ፍላጎት ማሳየት
💁🏻‍♂	ሐሜት, መረጃ, መረጃ ሰጪ, ማምጣት, ምንም ይሁን ምን, ሴት, ስላቅ, ችላ ማለት, አሽሙረኛ, አሽሙር, እርዳታ, እጁን የሚያወዛውዝ ወንድ, እጅ, እገዛ, ወንድ መረጃ ሰጪ, ወንድ መረጃ ሰጪ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, ዲቫ, ጠቃሚ ምክር መስጠት, ጸጉርን መግለጥ, ጸጉርን ማወዛወዝ, ፍላጎት ማሳየት
💁🏼‍♂	ሐሜት, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መረጃ, መረጃ ሰጪ, ማምጣት, ምንም ይሁን ምን, ሴት, ስላቅ, ችላ ማለት, አሽሙረኛ, አሽሙር, እርዳታ, እጁን የሚያወዛውዝ ወንድ, እጅ, እገዛ, ወንድ መረጃ ሰጪ, ወንድ መረጃ ሰጪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዲቫ, ጠቃሚ ምክር መስጠት, ጸጉርን መግለጥ, ጸጉርን ማወዛወዝ, ፍላጎት ማሳየት
💁🏽‍♂	ሐሜት, መረጃ, መረጃ ሰጪ, ማምጣት, ምንም ይሁን ምን, ሴት, ስላቅ, ችላ ማለት, አሽሙረኛ, አሽሙር, እርዳታ, እጁን የሚያወዛውዝ ወንድ, እጅ, እገዛ, ወንድ መረጃ ሰጪ, ወንድ መረጃ ሰጪ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, ዲቫ, ጠቃሚ ምክር መስጠት, ጸጉርን መግለጥ, ጸጉርን ማወዛወዝ, ፍላጎት ማሳየት
💁🏾‍♂	ሐሜት, መረጃ, መረጃ ሰጪ, ማምጣት, ምንም ይሁን ምን, ሴት, ስላቅ, ችላ ማለት, አሽሙረኛ, አሽሙር, እርዳታ, እጁን የሚያወዛውዝ ወንድ, እጅ, እገዛ, ወንድ መረጃ ሰጪ, ወንድ መረጃ ሰጪ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, ዲቫ, ጠቃሚ ምክር መስጠት, ጸጉርን መግለጥ, ጸጉርን ማወዛወዝ, ፍላጎት ማሳየት
💁🏿‍♂	ሐሜት, መረጃ, መረጃ ሰጪ, ማምጣት, ምንም ይሁን ምን, ሴት, ስላቅ, ችላ ማለት, አሽሙረኛ, አሽሙር, እርዳታ, እጁን የሚያወዛውዝ ወንድ, እጅ, እገዛ, ወንድ መረጃ ሰጪ, ወንድ መረጃ ሰጪ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, ዲቫ, ጠቃሚ ምክር መስጠት, ጸጉርን መግለጥ, ጸጉርን ማወዛወዝ, ፍላጎት ማሳየት
💁‍♀	መረጃ ሰጪ, ሴት, ሴት መረጃ ሰጪ, እጅ, እገዛ
💁🏻‍♀	መረጃ ሰጪ, ሴት, ሴት መረጃ ሰጪ, ሴት መረጃ ሰጪ: የቆዳ ዓይነት-1-2, እጅ, እገዛ, የቆዳ ዓይነት-1-2
💁🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መረጃ ሰጪ, ሴት, ሴት መረጃ ሰጪ, ሴት መረጃ ሰጪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, እጅ, እገዛ
💁🏽‍♀	መረጃ ሰጪ, ሴት, ሴት መረጃ ሰጪ, ሴት መረጃ ሰጪ: የቆዳ ዓይነት-4, እጅ, እገዛ, የቆዳ ዓይነት-4
💁🏾‍♀	መረጃ ሰጪ, ሴት, ሴት መረጃ ሰጪ, ሴት መረጃ ሰጪ: የቆዳ ዓይነት-5, እጅ, እገዛ, የቆዳ ዓይነት-5
💁🏿‍♀	መረጃ ሰጪ, ሴት, ሴት መረጃ ሰጪ, ሴት መረጃ ሰጪ: የቆዳ ዓይነት-6, እጅ, እገዛ, የቆዳ ዓይነት-6
🙋	ስንብት, ቻው, እኔ ማገዝ እችላለሁ, እኔን ምረጡኝ, እዚህ, እዚህ ጋ, እጅ, እጇን ያወጣች ሴት, ከፍ ያደረገ, የእጅ ምልክት, ደስ ያለው እጁን የሚያወጣ ሰው, ደስተኛ
🙋🏻	ስንብት, ቻው, እኔ ማገዝ እችላለሁ, እኔን ምረጡኝ, እዚህ, እዚህ ጋ, እጅ, እጇን ያወጣች ሴት, ከፍ ያደረገ, የቆዳ ዓይነት-1-2, የእጅ ምልክት, ደስ ያለው እጁን የሚያወጣ ሰው, ደስ ያለው እጁን የሚያወጣ ሰው: የቆዳ ዓይነት-1-2, ደስተኛ
🙋🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ስንብት, ቻው, እኔ ማገዝ እችላለሁ, እኔን ምረጡኝ, እዚህ, እዚህ ጋ, እጅ, እጇን ያወጣች ሴት, ከፍ ያደረገ, የእጅ ምልክት, ደስ ያለው እጁን የሚያወጣ ሰው, ደስ ያለው እጁን የሚያወጣ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ደስተኛ
