‾	горна црта
🤚🏾	горе, дланка, подигната, подигната дланка: тип на кожа 5, тип на кожа 5
🤚🏿	горе, дланка, подигната, подигната дланка: тип на кожа 6, тип на кожа 6
🖐️	дланка, крената рака, крената рака со раширени прсти, прст, рака, раширена, раширени прсти, стоп
🖐🏻	дланка, крената рака, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 1–2, прст, рака, раширена, раширени прсти, стоп, тип на кожа 1–2
🖐🏼	дланка, крената рака, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 3, прст, рака, раширена, раширени прсти, стоп, тип на кожа 3
🖐🏽	дланка, крената рака, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 4, прст, рака, раширена, раширени прсти, стоп, тип на кожа 4
🖐🏾	дланка, крената рака, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 5, прст, рака, раширена, раширени прсти, стоп, тип на кожа 5
🖐🏿	дланка, крената рака, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 6, прст, рака, раширена, раширени прсти, стоп, тип на кожа 6
✋️	да пукне, дај пет, дај рака, дај си пет, дај си рака, дланка, крената рака, петка, рака, стоп
✋🏻	да пукне, дај пет, дај рака, дај си пет, дај си рака, дланка, крената рака, крената рака: тип на кожа 1–2, петка, рака, стоп, тип на кожа 1–2
✋🏼	да пукне, дај пет, дај рака, дај си пет, дај си рака, дланка, крената рака, крената рака: тип на кожа 3, петка, рака, стоп, тип на кожа 3
✋🏽	да пукне, дај пет, дај рака, дај си пет, дај си рака, дланка, крената рака, крената рака: тип на кожа 4, петка, рака, стоп, тип на кожа 4
✋🏾	да пукне, дај пет, дај рака, дај си пет, дај си рака, дланка, крената рака, крената рака: тип на кожа 5, петка, рака, стоп, тип на кожа 5
✋🏿	да пукне, дај пет, дај рака, дај си пет, дај си рака, дланка, крената рака, крената рака: тип на кожа 6, петка, рака, стоп, тип на кожа 6
🖖	вулканец, вулкански поздрав, дланка, живеј долго, живеј долго и просперирај, поздрав, прст, спок, ѕвездени патеки
🖖🏻	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 1–2, дланка, живеј долго, живеј долго и просперирај, поздрав, прст, спок, тип на кожа 1–2, ѕвездени патеки
🖖🏼	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 3, дланка, живеј долго, живеј долго и просперирај, поздрав, прст, спок, тип на кожа 3, ѕвездени патеки
🖖🏽	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 4, дланка, живеј долго, живеј долго и просперирај, поздрав, прст, спок, тип на кожа 4, ѕвездени патеки
🖖🏾	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 5, дланка, живеј долго, живеј долго и просперирај, поздрав, прст, спок, тип на кожа 5, ѕвездени патеки
🖖🏿	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 6, дланка, живеј долго, живеј долго и просперирај, поздрав, прст, спок, тип на кожа 6, ѕвездени патеки
🫱	десно, надесно, рака, рака на десно, ракување
🫱🏻	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 1–2, ракување, тип на кожа 1–2
🫱🏼	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 3, ракување, тип на кожа 3
🫱🏽	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 4, ракување, тип на кожа 4
🫱🏾	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 5, ракување, тип на кожа 5
🫱🏿	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 6, ракување, тип на кожа 6
🫱🏻‍🫲🏼	договор, договорено, рака, ракување, ракување: тип на кожа 1–2 и тип на кожа 3, состанок, средба, тип на кожа 1–2, тип на кожа 3
🫱🏻‍🫲🏽	договор, договорено, рака, ракување, ракување: тип на кожа 1–2 и тип на кожа 4, состанок, средба, тип на кожа 1–2, тип на кожа 4
🫱🏻‍🫲🏾	договор, договорено, рака, ракување, ракување: тип на кожа 1–2 и тип на кожа 5, состанок, средба, тип на кожа 1–2, тип на кожа 5
🫱🏻‍🫲🏿	договор, договорено, рака, ракување, ракување: тип на кожа 1–2 и тип на кожа 6, состанок, средба, тип на кожа 1–2, тип на кожа 6
🫱🏼‍🫲🏻	договор, договорено, рака, ракување, ракување: тип на кожа 3 и тип на кожа 1–2, состанок, средба, тип на кожа 1–2, тип на кожа 3
🫱🏼‍🫲🏽	договор, договорено, рака, ракување, ракување: тип на кожа 3 и тип на кожа 4, состанок, средба, тип на кожа 3, тип на кожа 4
🫱🏼‍🫲🏾	договор, договорено, рака, ракување, ракување: тип на кожа 3 и тип на кожа 5, состанок, средба, тип на кожа 3, тип на кожа 5
🫱🏼‍🫲🏿	договор, договорено, рака, ракување, ракување: тип на кожа 3 и тип на кожа 6, состанок, средба, тип на кожа 3, тип на кожа 6
🫱🏽‍🫲🏻	договор, договорено, рака, ракување, ракување: тип на кожа 4 и тип на кожа 1–2, состанок, средба, тип на кожа 1–2, тип на кожа 4
🫱🏽‍🫲🏼	договор, договорено, рака, ракување, ракување: тип на кожа 4 и тип на кожа 3, состанок, средба, тип на кожа 3, тип на кожа 4
🫱🏽‍🫲🏾	договор, договорено, рака, ракување, ракување: тип на кожа 4 и тип на кожа 5, состанок, средба, тип на кожа 4, тип на кожа 5
🫱🏽‍🫲🏿	договор, договорено, рака, ракување, ракување: тип на кожа 4 и тип на кожа 6, состанок, средба, тип на кожа 4, тип на кожа 6
🫱🏾‍🫲🏻	договор, договорено, рака, ракување, ракување: тип на кожа 5 и тип на кожа 1–2, состанок, средба, тип на кожа 1–2, тип на кожа 5
🫱🏾‍🫲🏼	договор, договорено, рака, ракување, ракување: тип на кожа 5 и тип на кожа 3, состанок, средба, тип на кожа 3, тип на кожа 5
🫱🏾‍🫲🏽	договор, договорено, рака, ракување, ракување: тип на кожа 5 и тип на кожа 4, состанок, средба, тип на кожа 4, тип на кожа 5
🫱🏾‍🫲🏿	договор, договорено, рака, ракување, ракување: тип на кожа 5 и тип на кожа 6, состанок, средба, тип на кожа 5, тип на кожа 6
🫱🏿‍🫲🏻	договор, договорено, рака, ракување, ракување: тип на кожа 6 и тип на кожа 1–2, состанок, средба, тип на кожа 1–2, тип на кожа 6
🫱🏿‍🫲🏼	договор, договорено, рака, ракување, ракување: тип на кожа 6 и тип на кожа 3, состанок, средба, тип на кожа 3, тип на кожа 6
🫱🏿‍🫲🏽	договор, договорено, рака, ракување, ракување: тип на кожа 6 и тип на кожа 4, состанок, средба, тип на кожа 4, тип на кожа 6
🫱🏿‍🫲🏾	договор, договорено, рака, ракување, ракување: тип на кожа 6 и тип на кожа 5, состанок, средба, тип на кожа 5, тип на кожа 6
🫲	лево, налево, рака, рака на лево, ракување
🫲🏻	лево, налево, рака, рака на лево, рака на лево: тип на кожа 1–2, ракување, тип на кожа 1–2
🫲🏼	лево, налево, рака, рака на лево, рака на лево: тип на кожа 3, ракување, тип на кожа 3
🫲🏽	лево, налево, рака, рака на лево, рака на лево: тип на кожа 4, ракување, тип на кожа 4
🫲🏾	лево, налево, рака, рака на лево, рака на лево: тип на кожа 5, ракување, тип на кожа 5
🫲🏿	лево, налево, рака, рака на лево, рака на лево: тип на кожа 6, ракување, тип на кожа 6
🫳	брка, зема, отфрла, пушта, рака со дланката надолу
🫳🏻	брка, зема, отфрла, пушта, рака со дланката надолу, рака со дланката надолу: тип на кожа 1–2, тип на кожа 1–2
🫳🏼	брка, зема, отфрла, пушта, рака со дланката надолу, рака со дланката надолу: тип на кожа 3, тип на кожа 3
🫳🏽	брка, зема, отфрла, пушта, рака со дланката надолу, рака со дланката надолу: тип на кожа 4, тип на кожа 4
🫳🏾	брка, зема, отфрла, пушта, рака со дланката надолу, рака со дланката надолу: тип на кожа 5, тип на кожа 5
🫳🏿	брка, зема, отфрла, пушта, рака со дланката надолу, рака со дланката надолу: тип на кожа 6, тип на кожа 6
🫴	дојди, не знам, нуди, повикува, понуда, рака со дланката нагоре, фаќа
🫴🏻	дојди, не знам, нуди, повикува, понуда, рака со дланката нагоре, рака со дланката нагоре: тип на кожа 1–2, тип на кожа 1–2, фаќа
🫴🏼	дојди, не знам, нуди, повикува, понуда, рака со дланката нагоре, рака со дланката нагоре: тип на кожа 3, тип на кожа 3, фаќа
🫴🏽	дојди, не знам, нуди, повикува, понуда, рака со дланката нагоре, рака со дланката нагоре: тип на кожа 4, тип на кожа 4, фаќа
🫴🏾	дојди, не знам, нуди, повикува, понуда, рака со дланката нагоре, рака со дланката нагоре: тип на кожа 5, тип на кожа 5, фаќа
🫴🏿	дојди, не знам, нуди, повикува, понуда, рака со дланката нагоре, рака со дланката нагоре: тип на кожа 6, тип на кожа 6, фаќа
🫷	блокирање, да пукне, дланка турка налево, застани, налево, одбивање, почекај, стоп, туркање
🫷🏻	блокирање, да пукне, дланка турка налево, дланка турка налево: тип на кожа 1–2, застани, налево, одбивање, почекај, стоп, тип на кожа 1–2, туркање
🫷🏼	блокирање, да пукне, дланка турка налево, дланка турка налево: тип на кожа 3, застани, налево, одбивање, почекај, стоп, тип на кожа 3, туркање
🫷🏽	блокирање, да пукне, дланка турка налево, дланка турка налево: тип на кожа 4, застани, налево, одбивање, почекај, стоп, тип на кожа 4, туркање
🫷🏾	блокирање, да пукне, дланка турка налево, дланка турка налево: тип на кожа 5, застани, налево, одбивање, почекај, стоп, тип на кожа 5, туркање
🫷🏿	блокирање, да пукне, дланка турка налево, дланка турка налево: тип на кожа 6, застани, налево, одбивање, почекај, стоп, тип на кожа 6, туркање
🫸	блокирање, да пукне, дланка турка надесно, застани, надесно, одбивање, почекај, стоп, туркање
🫸🏻	блокирање, да пукне, дланка турка надесно, дланка турка надесно: тип на кожа 1–2, застани, надесно, одбивање, почекај, стоп, тип на кожа 1–2, туркање
🫸🏼	блокирање, да пукне, дланка турка надесно, дланка турка надесно: тип на кожа 3, застани, надесно, одбивање, почекај, стоп, тип на кожа 3, туркање
🫸🏽	блокирање, да пукне, дланка турка надесно, дланка турка надесно: тип на кожа 4, застани, надесно, одбивање, почекај, стоп, тип на кожа 4, туркање
🫸🏾	блокирање, да пукне, дланка турка надесно, дланка турка надесно: тип на кожа 5, застани, надесно, одбивање, почекај, стоп, тип на кожа 5, туркање
🫸🏿	блокирање, да пукне, дланка турка надесно, дланка турка надесно: тип на кожа 6, застани, надесно, одбивање, почекај, стоп, тип на кожа 6, туркање
👌	дланка, добро, мераци, одлично, рака што се согласува, сигурно, слатко, супер, феноменално, штипне
👌🏻	дланка, добро, мераци, одлично, рака што се согласува, рака што се согласува: тип на кожа 1–2, сигурно, слатко, супер, тип на кожа 1–2, феноменално, штипне
👌🏼	дланка, добро, мераци, одлично, рака што се согласува, рака што се согласува: тип на кожа 3, сигурно, слатко, супер, тип на кожа 3, феноменално, штипне
👌🏽	дланка, добро, мераци, одлично, рака што се согласува, рака што се согласува: тип на кожа 4, сигурно, слатко, супер, тип на кожа 4, феноменално, штипне
👌🏾	дланка, добро, мераци, одлично, рака што се согласува, рака што се согласува: тип на кожа 5, сигурно, слатко, супер, тип на кожа 5, феноменално, штипне
👌🏿	дланка, добро, мераци, одлично, рака што се согласува, рака што се согласува: тип на кожа 6, сигурно, слатко, супер, тип на кожа 6, феноменално, штипне
🤌	гест со рака, замолкни, испрашување, прсти, разбери, рака, саркастично, стиснати прсти, трпение, чекај малце, ќути
🤌🏻	гест со рака, замолкни, испрашување, прсти, разбери, рака, саркастично, стиснати прсти: тип на кожа 1–2, тип на кожа 1–2, трпение, чекај малце, ќути
🤌🏼	гест со рака, замолкни, испрашување, прсти, разбери, рака, саркастично, стиснати прсти: тип на кожа 3, тип на кожа 3, трпение, чекај малце, ќути
🤌🏽	гест со рака, замолкни, испрашување, прсти, разбери, рака, саркастично, стиснати прсти: тип на кожа 4, тип на кожа 4, трпение, чекај малце, ќути
🤌🏾	гест со рака, замолкни, испрашување, прсти, разбери, рака, саркастично, стиснати прсти: тип на кожа 5, тип на кожа 5, трпение, чекај малце, ќути
🤌🏿	гест со рака, замолкни, испрашување, прсти, разбери, рака, саркастично, стиснати прсти: тип на кожа 6, тип на кожа 6, трпение, чекај малце, ќути
🤏	дланка што штипе, за малку, мала сума, малку, мало, прсти, уште малку, штипе
🤏🏻	дланка што штипе, дланка што штипе: тип на кожа 1–2, за малку, мала сума, малку, мало, прсти, тип на кожа 1–2, уште малку, штипе
🤏🏼	дланка што штипе, дланка што штипе: тип на кожа 3, за малку, мала сума, малку, мало, прсти, тип на кожа 3, уште малку, штипе
🤏🏽	дланка што штипе, дланка што штипе: тип на кожа 4, за малку, мала сума, малку, мало, прсти, тип на кожа 4, уште малку, штипе
🤏🏾	дланка што штипе, дланка што штипе: тип на кожа 5, за малку, мала сума, малку, мало, прсти, тип на кожа 5, уште малку, штипе
🤏🏿	дланка што штипе, дланка што штипе: тип на кожа 6, за малку, мала сума, малку, мало, прсти, тип на кожа 6, уште малку, штипе
✌️	два прста, дланка, мир, победа, прст, рака, рака покажува мир, рака покажува победа
✌🏻	два прста, дланка, мир, победа, прст, рака, рака покажува мир, рака покажува победа, рака покажува победа: тип на кожа 1–2, тип на кожа 1–2
✌🏼	два прста, дланка, мир, победа, прст, рака, рака покажува мир, рака покажува победа, рака покажува победа: тип на кожа 3, тип на кожа 3
✌🏽	два прста, дланка, мир, победа, прст, рака, рака покажува мир, рака покажува победа, рака покажува победа: тип на кожа 4, тип на кожа 4
✌🏾	два прста, дланка, мир, победа, прст, рака, рака покажува мир, рака покажува победа, рака покажува победа: тип на кожа 5, тип на кожа 5
✌🏿	два прста, дланка, мир, победа, прст, рака, рака покажува мир, рака покажува победа, рака покажува победа: тип на кожа 6, тип на кожа 6
🤞	вкрстени, палци, прсти, среќа, стискање палци
🤞🏻	вкрстени, палци, прсти, среќа, стискање палци, стискање палци: тип на кожа 1–2, тип на кожа 1–2
🤞🏼	вкрстени, палци, прсти, среќа, стискање палци, стискање палци: тип на кожа 3, тип на кожа 3
🤞🏽	вкрстени, палци, прсти, среќа, стискање палци, стискање палци: тип на кожа 4, тип на кожа 4
🤞🏾	вкрстени, палци, прсти, среќа, стискање палци, стискање палци: тип на кожа 5, тип на кожа 5
🤞🏿	вкрстени, палци, прсти, среќа, стискање палци, стискање палци: тип на кожа 6, тип на кожа 6
🫰	пари, пукање, рака со вкрстени палец и показалец, скапо, срце, љубов
🫰🏻	пари, пукање, рака со вкрстени палец и показалец, рака со вкрстени палец и показалец: тип на кожа 1–2, скапо, срце, тип на кожа 1–2, љубов
🫰🏼	пари, пукање, рака со вкрстени палец и показалец, рака со вкрстени палец и показалец: тип на кожа 3, скапо, срце, тип на кожа 3, љубов
🫰🏽	пари, пукање, рака со вкрстени палец и показалец, рака со вкрстени палец и показалец: тип на кожа 4, скапо, срце, тип на кожа 4, љубов
🫰🏾	пари, пукање, рака со вкрстени палец и показалец, рака со вкрстени палец и показалец: тип на кожа 5, скапо, срце, тип на кожа 5, љубов
🫰🏿	пари, пукање, рака со вкрстени палец и показалец, рака со вкрстени палец и показалец: тип на кожа 6, скапо, срце, тип на кожа 6, љубов
🤟	дланка, знак „те сакам“, рака, те сакам, три прста
🤟🏻	дланка, знак „те сакам“, знак „те сакам“: тип на кожа 1–2, рака, те сакам, тип на кожа 1–2, три прста
🤟🏼	дланка, знак „те сакам“, знак „те сакам“: тип на кожа 3, рака, те сакам, тип на кожа 3, три прста
🤟🏽	дланка, знак „те сакам“, знак „те сакам“: тип на кожа 4, рака, те сакам, тип на кожа 4, три прста
🤟🏾	дланка, знак „те сакам“, знак „те сакам“: тип на кожа 5, рака, те сакам, тип на кожа 5, три прста
🤟🏿	дланка, знак „те сакам“, знак „те сакам“: тип на кожа 6, рака, те сакам, тип на кожа 6, три прста
🤘	знак на роговите, прст, рака, рака што покажува рогови, рогови, рок, рокенрол
🤘🏻	знак на роговите, прст, рака, рака што покажува рогови, рака што покажува рогови: тип на кожа 1–2, рогови, рок, рокенрол, тип на кожа 1–2
🤘🏼	знак на роговите, прст, рака, рака што покажува рогови, рака што покажува рогови: тип на кожа 3, рогови, рок, рокенрол, тип на кожа 3
🤘🏽	знак на роговите, прст, рака, рака што покажува рогови, рака што покажува рогови: тип на кожа 4, рогови, рок, рокенрол, тип на кожа 4
🤘🏾	знак на роговите, прст, рака, рака што покажува рогови, рака што покажува рогови: тип на кожа 5, рогови, рок, рокенрол, тип на кожа 5
🤘🏿	знак на роговите, прст, рака, рака што покажува рогови, рака што покажува рогови: тип на кожа 6, рогови, рок, рокенрол, тип на кожа 6
🤙	дланка, повик, рака, јави ми се
🤙🏻	дланка, повик, рака, тип на кожа 1–2, јави ми се, јави ми се: тип на кожа 1–2
🤙🏼	дланка, повик, рака, тип на кожа 3, јави ми се, јави ми се: тип на кожа 3
🤙🏽	дланка, повик, рака, тип на кожа 4, јави ми се, јави ми се: тип на кожа 4
🤙🏾	дланка, повик, рака, тип на кожа 5, јави ми се, јави ми се: тип на кожа 5
🤙🏿	дланка, повик, рака, тип на кожа 6, јави ми се, јави ми се: тип на кожа 6
👈️	лево, покажува, показалец, показалец свртен налево, прст, рака
👈🏻	лево, покажува, показалец, показалец свртен налево, показалец свртен налево: тип на кожа 1–2, прст, рака, тип на кожа 1–2
👈🏼	лево, покажува, показалец, показалец свртен налево, показалец свртен налево: тип на кожа 3, прст, рака, тип на кожа 3
👈🏽	лево, покажува, показалец, показалец свртен налево, показалец свртен налево: тип на кожа 4, прст, рака, тип на кожа 4
👈🏾	лево, покажува, показалец, показалец свртен налево, показалец свртен налево: тип на кожа 5, прст, рака, тип на кожа 5
👈🏿	лево, покажува, показалец, показалец свртен налево, показалец свртен налево: тип на кожа 6, прст, рака, тип на кожа 6
👉️	десно, дланка со показалец покажува десно, покажува, показалец, показалец свртен надесно, прст, рака
👉🏻	десно, дланка со показалец покажува десно, покажува, показалец, показалец свртен надесно, показалец свртен надесно: тип на кожа 1–2, прст, рака, тип на кожа 1–2
👉🏼	десно, дланка со показалец покажува десно, покажува, показалец, показалец свртен надесно, показалец свртен надесно: тип на кожа 3, прст, рака, тип на кожа 3
👉🏽	десно, дланка со показалец покажува десно, покажува, показалец, показалец свртен надесно, показалец свртен надесно: тип на кожа 4, прст, рака, тип на кожа 4
👉🏾	десно, дланка со показалец покажува десно, покажува, показалец, показалец свртен надесно, показалец свртен надесно: тип на кожа 5, прст, рака, тип на кожа 5
👉🏿	десно, дланка со показалец покажува десно, покажува, показалец, показалец свртен надесно, показалец свртен надесно: тип на кожа 6, прст, рака, тип на кожа 6
👆️	горе, нагоре, покажува, показалец, показалец свртен нагоре, прст, рака
👆🏻	горе, нагоре, покажува, показалец, показалец свртен нагоре, показалец свртен нагоре: тип на кожа 1–2, прст, рака, тип на кожа 1–2
👆🏼	горе, нагоре, покажува, показалец, показалец свртен нагоре, показалец свртен нагоре: тип на кожа 3, прст, рака, тип на кожа 3
👆🏽	горе, нагоре, покажува, показалец, показалец свртен нагоре, показалец свртен нагоре: тип на кожа 4, прст, рака, тип на кожа 4
👆🏾	горе, нагоре, покажува, показалец, показалец свртен нагоре, показалец свртен нагоре: тип на кожа 5, прст, рака, тип на кожа 5
👆🏿	горе, нагоре, покажува, показалец, показалец свртен нагоре, показалец свртен нагоре: тип на кожа 6, прст, рака, тип на кожа 6
🖕	дланка, прст, рака, среден, среден прст, тело
🖕🏻	дланка, прст, рака, среден, среден прст: тип на кожа 1–2, тело, тип на кожа 1–2
🖕🏼	дланка, прст, рака, среден, среден прст: тип на кожа 3, тело, тип на кожа 3
🖕🏽	дланка, прст, рака, среден, среден прст: тип на кожа 4, тело, тип на кожа 4
🖕🏾	дланка, прст, рака, среден, среден прст: тип на кожа 5, тело, тип на кожа 5
🖕🏿	дланка, прст, рака, среден, среден прст: тип на кожа 6, тело, тип на кожа 6
👇️	долу, надолу, покажува, показалец, показалец свртен надолу, прст, рака
👇🏻	долу, надолу, покажува, показалец, показалец свртен надолу, показалец свртен надолу: тип на кожа 1–2, прст, рака, тип на кожа 1–2
👇🏼	долу, надолу, покажува, показалец, показалец свртен надолу, показалец свртен надолу: тип на кожа 3, прст, рака, тип на кожа 3
👇🏽	долу, надолу, покажува, показалец, показалец свртен надолу, показалец свртен надолу: тип на кожа 4, прст, рака, тип на кожа 4
👇🏾	долу, надолу, покажува, показалец, показалец свртен надолу, показалец свртен надолу: тип на кожа 5, прст, рака, тип на кожа 5
👇🏿	долу, надолу, покажува, показалец, показалец свртен надолу, показалец свртен надолу: тип на кожа 6, прст, рака, тип на кожа 6
☝️	горе, нагоре, ова, покажува, показалец, показалец нагоре, показалец свртен нагоре, прст, рака
☝🏻	горе, нагоре, ова, покажува, показалец, показалец нагоре: тип на кожа 1–2, показалец свртен нагоре, прст, рака, тип на кожа 1–2
☝🏼	горе, нагоре, ова, покажува, показалец, показалец нагоре: тип на кожа 3, показалец свртен нагоре, прст, рака, тип на кожа 3
☝🏽	горе, нагоре, ова, покажува, показалец, показалец нагоре: тип на кожа 4, показалец свртен нагоре, прст, рака, тип на кожа 4
☝🏾	горе, нагоре, ова, покажува, показалец, показалец нагоре: тип на кожа 5, показалец свртен нагоре, прст, рака, тип на кожа 5
☝🏿	горе, нагоре, ова, покажува, показалец, показалец нагоре: тип на кожа 6, показалец свртен нагоре, прст, рака, тип на кожа 6
🫵	вперен показалец, покажува, показалец покажува кон гледачот, ти
🫵🏻	вперен показалец, покажува, показалец покажува кон гледачот, показалец покажува кон гледачот: тип на кожа 1–2, ти, тип на кожа 1–2
🫵🏼	вперен показалец, покажува, показалец покажува кон гледачот, показалец покажува кон гледачот: тип на кожа 3, ти, тип на кожа 3
🫵🏽	вперен показалец, покажува, показалец покажува кон гледачот, показалец покажува кон гледачот: тип на кожа 4, ти, тип на кожа 4
🫵🏾	вперен показалец, покажува, показалец покажува кон гледачот, показалец покажува кон гледачот: тип на кожа 5, ти, тип на кожа 5
🫵🏿	вперен показалец, покажува, показалец покажува кон гледачот, показалец покажува кон гледачот: тип на кожа 6, ти, тип на кожа 6
👍️	горе, да, добро, ми се допаѓа, одлично, палец нагоре, рака, сигурно, супер, јасно
👍🏻	горе, да, добро, ми се допаѓа, одлично, палец нагоре, палец нагоре: тип на кожа 1–2, рака, сигурно, супер, тип на кожа 1–2, јасно
👍🏼	горе, да, добро, ми се допаѓа, одлично, палец нагоре, палец нагоре: тип на кожа 3, рака, сигурно, супер, тип на кожа 3, јасно
👍🏽	горе, да, добро, ми се допаѓа, одлично, палец нагоре, палец нагоре: тип на кожа 4, рака, сигурно, супер, тип на кожа 4, јасно
👍🏾	горе, да, добро, ми се допаѓа, одлично, палец нагоре, палец нагоре: тип на кожа 5, рака, сигурно, супер, тип на кожа 5, јасно
👍🏿	горе, да, добро, ми се допаѓа, одлично, палец нагоре, палец нагоре: тип на кожа 6, рака, сигурно, супер, тип на кожа 6, јасно
👎️	-1, долу, лошо, не, не е добро, не ми се допаѓа, не сакам, палец, палец надолу, рака
👎🏻	-1, долу, лошо, не, не е добро, не ми се допаѓа, не сакам, палец, палец надолу, палец надолу: тип на кожа 1–2, рака, тип на кожа 1–2
👎🏼	-1, долу, лошо, не, не е добро, не ми се допаѓа, не сакам, палец, палец надолу, палец надолу: тип на кожа 3, рака, тип на кожа 3
👎🏽	-1, долу, лошо, не, не е добро, не ми се допаѓа, не сакам, палец, палец надолу, палец надолу: тип на кожа 4, рака, тип на кожа 4
👎🏾	-1, долу, лошо, не, не е добро, не ми се допаѓа, не сакам, палец, палец надолу, палец надолу: тип на кожа 5, рака, тип на кожа 5
👎🏿	-1, долу, лошо, не, не е добро, не ми се допаѓа, не сакам, палец, палец надолу, палец надолу: тип на кожа 6, рака, тип на кожа 6
✊️	бокс, крената тупаница, рака, солидарност, стегната, тупаница
✊🏻	бокс, крената тупаница, крената тупаница: тип на кожа 1–2, рака, солидарност, стегната, тип на кожа 1–2, тупаница
✊🏼	бокс, крената тупаница, крената тупаница: тип на кожа 3, рака, солидарност, стегната, тип на кожа 3, тупаница
✊🏽	бокс, крената тупаница, крената тупаница: тип на кожа 4, рака, солидарност, стегната, тип на кожа 4, тупаница
✊🏾	бокс, крената тупаница, крената тупаница: тип на кожа 5, рака, солидарност, стегната, тип на кожа 5, тупаница
✊🏿	бокс, крената тупаница, крената тупаница: тип на кожа 6, рака, солидарност, стегната, тип на кожа 6, тупаница
👊	апсолутно, бокс, брат, дај си рака, рака, се сложувам, стегната, така е, тупаница што се приближува, удар
👊🏻	апсолутно, бокс, брат, дај си рака, рака, се сложувам, стегната, така е, тип на кожа 1–2, тупаница што се приближува, тупаница што се приближува: тип на кожа 1–2, удар
👊🏼	апсолутно, бокс, брат, дај си рака, рака, се сложувам, стегната, така е, тип на кожа 3, тупаница што се приближува, тупаница што се приближува: тип на кожа 3, удар
👊🏽	апсолутно, бокс, брат, дај си рака, рака, се сложувам, стегната, така е, тип на кожа 4, тупаница што се приближува, тупаница што се приближува: тип на кожа 4, удар
👊🏾	апсолутно, бокс, брат, дај си рака, рака, се сложувам, стегната, така е, тип на кожа 5, тупаница што се приближува, тупаница што се приближува: тип на кожа 5, удар
👊🏿	апсолутно, бокс, брат, дај си рака, рака, се сложувам, стегната, така е, тип на кожа 6, тупаница што се приближува, тупаница што се приближува: тип на кожа 6, удар
🤛	лева тупаница, налево, тупаница
🤛🏻	лева тупаница, лева тупаница: тип на кожа 1–2, налево, тип на кожа 1–2, тупаница
🤛🏼	лева тупаница, лева тупаница: тип на кожа 3, налево, тип на кожа 3, тупаница
🤛🏽	лева тупаница, лева тупаница: тип на кожа 4, налево, тип на кожа 4, тупаница
🤛🏾	лева тупаница, лева тупаница: тип на кожа 5, налево, тип на кожа 5, тупаница
🤛🏿	лева тупаница, лева тупаница: тип на кожа 6, налево, тип на кожа 6, тупаница
🤜	десна тупаница, десно, надесно, тупаница
🤜🏻	десна тупаница, десна тупаница: тип на кожа 1–2, десно, надесно, тип на кожа 1–2, тупаница
🤜🏼	десна тупаница, десна тупаница: тип на кожа 3, десно, надесно, тип на кожа 3, тупаница
🤜🏽	десна тупаница, десна тупаница: тип на кожа 4, десно, надесно, тип на кожа 4, тупаница
🤜🏾	десна тупаница, десна тупаница: тип на кожа 5, десно, надесно, тип на кожа 5, тупаница
🤜🏿	десна тупаница, десна тупаница: тип на кожа 6, десно, надесно, тип на кожа 6, тупаница
👏	аплауз, браво, добра работа, добро направено, одлично, одобрување, раце што аплаудираат, супер, феноменално, честитки
👏🏻	аплауз, аплауз: тип на кожа 1–2, браво, добра работа, добро направено, одлично, одобрување, раце што аплаудираат, супер, тип на кожа 1–2, феноменално, честитки
👏🏼	аплауз, аплауз: тип на кожа 3, браво, добра работа, добро направено, одлично, одобрување, раце што аплаудираат, супер, тип на кожа 3, феноменално, честитки
👏🏽	аплауз, аплауз: тип на кожа 4, браво, добра работа, добро направено, одлично, одобрување, раце што аплаудираат, супер, тип на кожа 4, феноменално, честитки
👏🏾	аплауз, аплауз: тип на кожа 5, браво, добра работа, добро направено, одлично, одобрување, раце што аплаудираат, супер, тип на кожа 5, феноменално, честитки
