‾	linea in alto, linea sopra, sopralineatura
⇖	freccia doppia nord-ovest
⇗	freccia doppia nord-est
⇘	freccia doppia sud-est
⇙	freccia doppia sud-ovest
⇚	freccia tripla a sinistra
⇛	freccia tripla a destra
⇜	freccia ondulare a sinistra
⇝	freccia ondulare a destra
⇞	freccia doppia verso l’alto con doppia barra
⇟	freccia doppia verso il basso con doppia barra
⇠	freccia tratteggiata a sinistra
⇡	freccia tratteggiata verso l’alto
⇢	freccia tratteggiata a destra
⇣	freccia tratteggiata verso il basso
⇤	freccia a sinistra verso barra
⇥	freccia a destra verso barra
⇦	freccia vuota a sinistra
⇧	freccia vuota verso l’alto
⇨	freccia vuota a destra
⇩	freccia vuota verso il basso
⇪	freccia vuota verso l’alto dalla barra
⇵	freccia verso il basso con freccia verso l’alto a destra
∀	per ogni, quantificatore universale
∂	derivata parziale
∃	esiste
∅	insieme vuoto, operatore insiemistico
∆	delta, incremento, simbolo di incremento, triangolo
∇	delta rovesciato, nabla, triangolo rovesciato
∈	appartenente a, contiene, elemento, insieme, relazione, simbolo di appartenenza
∉	elemento, non appartiene
∋	contiene, elemento
∎	C.V.D., CVD, Q.E.D., QED, come volevasi dimostrare, end of proof, quod erat demonstrandum
∏	prodotto n-ario
∑	sommatoria n-aria
+	addizionare, addizione, aggiungere, più, segno più, somma, sommare
±	più o meno
÷	dividere, divisione, obelo, segno della divisione, segno di divisione
×	moltiplicare, moltiplicazione, per, segno della moltiplicazione, segno di moltiplicazione
<	apertura tag, minore, minore di, tag
≮	disuguaglianza, matematica, non minore di
=	uguale, uguale a
≠	disuguaglianza, disuguale, diversità, diverso, non uguale
>	chiusura tag, maggiore, maggiore di, tag
≯	disuguaglianza, matematica, non maggiore di
¬	negazione, non
|	barra, barra verticale, linea, linea verticale, trattino, trattino verticale
~	tilde
−	meno, segno meno, sottrarre, sottrazione
⁻	apice, meno, segno meno in apice
∓	meno o più, più o meno
∕	barra di divisione
⁄	barra di frazione
∗	operatore asterisco
