‾	винкулум, горна черта
🫲🏽	лява ръка, ляво, наляво, ръка, ръкостискане, сочеща наляво ръка, сочеща наляво ръка: средна на цвят кожа, средна на цвят кожа
🫲🏾	лява ръка, ляво, наляво, ръка, ръкостискане, сочеща наляво ръка, сочеща наляво ръка: средно тъмна кожа, средно тъмна кожа
🫲🏿	лява ръка, ляво, наляво, ръка, ръкостискане, сочеща наляво ръка, сочеща наляво ръка: тъмна кожа, тъмна кожа
🫳	вдигам, вземам, изпускам, отхвърлям, прогонвам, ръка, ръка с длан надолу
🫳🏻	вдигам, вземам, изпускам, отхвърлям, прогонвам, ръка, ръка с длан надолу, ръка с длан надолу: светла кожа, светла кожа
🫳🏼	вдигам, вземам, изпускам, отхвърлям, прогонвам, ръка, ръка с длан надолу, ръка с длан надолу: средно светла кожа, средно светла кожа
🫳🏽	вдигам, вземам, изпускам, отхвърлям, прогонвам, ръка, ръка с длан надолу, ръка с длан надолу: средна на цвят кожа, средна на цвят кожа
🫳🏾	вдигам, вземам, изпускам, отхвърлям, прогонвам, ръка, ръка с длан надолу, ръка с длан надолу: средно тъмна кожа, средно тъмна кожа
🫳🏿	вдигам, вземам, изпускам, отхвърлям, прогонвам, ръка, ръка с длан надолу, ръка с длан надолу: тъмна кожа, тъмна кожа
🫴	идвам, кажи ми, не знам, повиквам, предлагам, предложение, ръка, ръка с длан нагоре, хващам
🫴🏻	идвам, кажи ми, не знам, повиквам, предлагам, предложение, ръка, ръка с длан нагоре, ръка с длан нагоре: светла кожа, светла кожа, хващам
🫴🏼	идвам, кажи ми, не знам, повиквам, предлагам, предложение, ръка, ръка с длан нагоре, ръка с длан нагоре: средно светла кожа, средно светла кожа, хващам
🫴🏽	идвам, кажи ми, не знам, повиквам, предлагам, предложение, ръка, ръка с длан нагоре, ръка с длан нагоре: средна на цвят кожа, средна на цвят кожа, хващам
🫴🏾	идвам, кажи ми, не знам, повиквам, предлагам, предложение, ръка, ръка с длан нагоре, ръка с длан нагоре: средно тъмна кожа, средно тъмна кожа, хващам
🫴🏿	идвам, кажи ми, не знам, повиквам, предлагам, предложение, ръка, ръка с длан нагоре, ръка с длан нагоре: тъмна кожа, тъмна кожа, хващам
🫷	дай пет, дай пет I наляво I натискам I отказвам I стоп I чакам, наляво, натискаща наляво ръка, отказ, пауза, ръка, стоп, чакай
🫷🏻	дай пет, дай пет I наляво I натискам I отказвам I стоп I чакам, наляво, натискаща наляво ръка, натискаща наляво ръка: светла кожа, отказ, пауза, ръка, светла кожа, стоп, чакай
🫷🏼	дай пет, дай пет I наляво I натискам I отказвам I стоп I чакам, наляво, натискаща наляво ръка, натискаща наляво ръка: средно светла кожа, отказ, пауза, ръка, средно светла кожа, стоп, чакай
🫷🏽	дай пет, дай пет I наляво I натискам I отказвам I стоп I чакам, наляво, натискаща наляво ръка, натискаща наляво ръка: средна на цвят кожа, отказ, пауза, ръка, средна на цвят кожа, стоп, чакай
🫷🏾	дай пет, дай пет I наляво I натискам I отказвам I стоп I чакам, наляво, натискаща наляво ръка, натискаща наляво ръка: средно тъмна кожа, отказ, пауза, ръка, средно тъмна кожа, стоп, чакай
🫷🏿	дай пет, дай пет I наляво I натискам I отказвам I стоп I чакам, наляво, натискаща наляво ръка, натискаща наляво ръка: тъмна кожа, отказ, пауза, ръка, стоп, тъмна кожа, чакай
🫸	дай пет, дай пет I натискам I отказвам I надясно I стоп I чакам, натискаща надясно ръка, отказ, пауза, ръка, стоп, чакай
🫸🏻	дай пет, дай пет I натискам I отказвам I надясно I стоп I чакам, натискаща надясно ръка, натискаща надясно ръка: светла кожа, отказ, пауза, ръка, светла кожа, стоп, чакай
🫸🏼	дай пет, дай пет I натискам I отказвам I надясно I стоп I чакам, натискаща надясно ръка, натискаща надясно ръка: средно светла кожа, отказ, пауза, ръка, средно светла кожа, стоп, чакай
🫸🏽	дай пет, дай пет I натискам I отказвам I надясно I стоп I чакам, натискаща надясно ръка, натискаща надясно ръка: средна на цвят кожа, отказ, пауза, ръка, средна на цвят кожа, стоп, чакай
🫸🏾	дай пет, дай пет I натискам I отказвам I надясно I стоп I чакам, натискаща надясно ръка, натискаща надясно ръка: средно тъмна кожа, отказ, пауза, ръка, средно тъмна кожа, стоп, чакай
🫸🏿	дай пет, дай пет I натискам I отказвам I надясно I стоп I чакам, натискаща надясно ръка, натискаща надясно ръка: тъмна кожа, отказ, пауза, ръка, стоп, тъмна кожа, чакай
👌	ok, Жест „окей“, добре, жест „окей“, много ясно, окей, разбрано, разбрахме се, ръка, тяло
👌🏻	ok, Жест „окей“: светла кожа, добре, жест „окей“, много ясно, окей, разбрано, разбрахме се, ръка, светла кожа, тяло
👌🏼	ok, Жест „окей“: средно светла кожа, добре, жест „окей“, много ясно, окей, разбрано, разбрахме се, ръка, средно светла кожа, тяло
👌🏽	ok, Жест „окей“: средна на цвят кожа, добре, жест „окей“, много ясно, окей, разбрано, разбрахме се, ръка, средна на цвят кожа, тяло
👌🏾	ok, Жест „окей“: средно тъмна кожа, добре, жест „окей“, много ясно, окей, разбрано, разбрахме се, ръка, средно тъмна кожа, тяло
👌🏿	ok, Жест „окей“: тъмна кожа, добре, жест „окей“, много ясно, окей, разбрано, разбрахме се, ръка, тъмна кожа, тяло
🤌	въпрос, жест с ръка, какво, пръсти, саркастично, събрани, събрани пръсти, търпение
🤌🏻	въпрос, жест с ръка, какво, пръсти, саркастично, светла кожа, събрани, събрани пръсти: светла кожа, търпение
🤌🏼	въпрос, жест с ръка, какво, пръсти, саркастично, средно светла кожа, събрани, събрани пръсти: средно светла кожа, търпение
🤌🏽	въпрос, жест с ръка, какво, пръсти, саркастично, средна на цвят кожа, събрани, събрани пръсти: средна на цвят кожа, търпение
🤌🏾	въпрос, жест с ръка, какво, пръсти, саркастично, средно тъмна кожа, събрани, събрани пръсти: средно тъмна кожа, търпение
🤌🏿	въпрос, жест с ръка, какво, пръсти, саркастично, събрани, събрани пръсти: тъмна кожа, тъмна кожа, търпение
🤏	малка сума, малко, мъничко, нещо малко, пръсти, ръка с приближени палец и показалец
🤏🏻	малка сума, малко, мъничко, нещо малко, пръсти, ръка с приближени палец и показалец, ръка с приближени палец и показалец: светла кожа, светла кожа
🤏🏼	малка сума, малко, мъничко, нещо малко, пръсти, ръка с приближени палец и показалец, ръка с приближени палец и показалец: средно светла кожа, средно светла кожа
🤏🏽	малка сума, малко, мъничко, нещо малко, пръсти, ръка с приближени палец и показалец, ръка с приближени палец и показалец: средна на цвят кожа, средна на цвят кожа
🤏🏾	малка сума, малко, мъничко, нещо малко, пръсти, ръка с приближени палец и показалец, ръка с приближени палец и показалец: средно тъмна кожа, средно тъмна кожа
🤏🏿	малка сума, малко, мъничко, нещо малко, пръсти, ръка с приближени палец и показалец, ръка с приближени палец и показалец: тъмна кожа, тъмна кожа
✌️	Жест за победа, жест за победа, мир, победа, ръка, тяло
✌🏻	Жест за победа: светла кожа, жест за победа, мир, победа, ръка, светла кожа, тяло
✌🏼	Жест за победа: средно светла кожа, жест за победа, мир, победа, ръка, средно светла кожа, тяло
✌🏽	Жест за победа: средна на цвят кожа, жест за победа, мир, победа, ръка, средна на цвят кожа, тяло
✌🏾	Жест за победа: средно тъмна кожа, жест за победа, мир, победа, ръка, средно тъмна кожа, тяло
✌🏿	Жест за победа: тъмна кожа, жест за победа, мир, победа, ръка, тъмна кожа, тяло
🤞	късмет, палци, ръка, стискане, стискане на палци
🤞🏻	късмет, палци, ръка, светла кожа, стискане, стискане на палци, стискане на палци: светла кожа
🤞🏼	късмет, палци, ръка, средно светла кожа, стискане, стискане на палци, стискане на палци: средно светла кожа
🤞🏽	късмет, палци, ръка, средна на цвят кожа, стискане, стискане на палци, стискане на палци: средна на цвят кожа
🤞🏾	късмет, палци, ръка, средно тъмна кожа, стискане, стискане на палци, стискане на палци: средно тъмна кожа
🤞🏿	късмет, палци, ръка, стискане, стискане на палци, стискане на палци: тъмна кожа, тъмна кожа
🫰	любов, пари, ръка с преплетени палец и показалец, скъпо, сърце, щракване
🫰🏻	любов, пари, ръка с преплетени палец и показалец, ръка с преплетени палец и показалец: светла кожа, светла кожа, скъпо, сърце, щракване
🫰🏼	любов, пари, ръка с преплетени палец и показалец, ръка с преплетени палец и показалец: средно светла кожа, скъпо, средно светла кожа, сърце, щракване
🫰🏽	любов, пари, ръка с преплетени палец и показалец, ръка с преплетени палец и показалец: средна на цвят кожа, скъпо, средна на цвят кожа, сърце, щракване
🫰🏾	любов, пари, ръка с преплетени палец и показалец, ръка с преплетени палец и показалец: средно тъмна кожа, скъпо, средно тъмна кожа, сърце, щракване
🫰🏿	любов, пари, ръка с преплетени палец и показалец, ръка с преплетени палец и показалец: тъмна кожа, скъпо, сърце, тъмна кожа, щракване
🤟	жест „обичам те“, обичам те, ръка, три пръста
🤟🏻	жест „обичам те“, жест „обичам те“: светла кожа, обичам те, ръка, светла кожа, три пръста
🤟🏼	жест „обичам те“, жест „обичам те“: средно светла кожа, обичам те, ръка, средно светла кожа, три пръста
🤟🏽	жест „обичам те“, жест „обичам те“: средна на цвят кожа, обичам те, ръка, средна на цвят кожа, три пръста
🤟🏾	жест „обичам те“, жест „обичам те“: средно тъмна кожа, обичам те, ръка, средно тъмна кожа, три пръста
🤟🏿	жест „обичам те“, жест „обичам те“: тъмна кожа, обичам те, ръка, три пръста, тъмна кожа
🤘	Знак на рогата, знак на рогата, метъл, пръст, рога, рок, рок музика, ръка, тяло
🤘🏻	Знак на рогата: светла кожа, знак на рогата, метъл, пръст, рога, рок, рок музика, ръка, светла кожа, тяло
🤘🏼	Знак на рогата: средно светла кожа, знак на рогата, метъл, пръст, рога, рок, рок музика, ръка, средно светла кожа, тяло
🤘🏽	Знак на рогата: средна на цвят кожа, знак на рогата, метъл, пръст, рога, рок, рок музика, ръка, средна на цвят кожа, тяло
🤘🏾	Знак на рогата: средно тъмна кожа, знак на рогата, метъл, пръст, рога, рок, рок музика, ръка, средно тъмна кожа, тяло
🤘🏿	Знак на рогата: тъмна кожа, знак на рогата, метъл, пръст, рога, рок, рок музика, ръка, тъмна кожа, тяло
🤙	знак, знак за обаждане, обаждане, ръка
🤙🏻	знак, знак за обаждане, знак за обаждане: светла кожа, обаждане, ръка, светла кожа
🤙🏼	знак, знак за обаждане, знак за обаждане: средно светла кожа, обаждане, ръка, средно светла кожа
🤙🏽	знак, знак за обаждане, знак за обаждане: средна на цвят кожа, обаждане, ръка, средна на цвят кожа
🤙🏾	знак, знак за обаждане, знак за обаждане: средно тъмна кожа, обаждане, ръка, средно тъмна кожа
🤙🏿	знак, знак за обаждане, знак за обаждане: тъмна кожа, обаждане, ръка, тъмна кожа
👈️	показалец, показалец наляво откъм опакото на ръката, показалец, сочещ наляво, пръст, соча, сочещ наляво, сочещ наляво показалец
👈🏻	показалец, показалец наляво откъм опакото на ръката, показалец, сочещ наляво, показалец, сочещ наляво: светла кожа, пръст, светла кожа, соча, сочещ наляво, сочещ наляво показалец
👈🏼	показалец, показалец наляво откъм опакото на ръката, показалец, сочещ наляво, показалец, сочещ наляво: средно светла кожа, пръст, соча, сочещ наляво, сочещ наляво показалец, средно светла кожа
👈🏽	показалец, показалец наляво откъм опакото на ръката, показалец, сочещ наляво, показалец, сочещ наляво: средна на цвят кожа, пръст, соча, сочещ наляво, сочещ наляво показалец, средна на цвят кожа
👈🏾	показалец, показалец наляво откъм опакото на ръката, показалец, сочещ наляво, показалец, сочещ наляво: средно тъмна кожа, пръст, соча, сочещ наляво, сочещ наляво показалец, средно тъмна кожа
👈🏿	показалец, показалец наляво откъм опакото на ръката, показалец, сочещ наляво, показалец, сочещ наляво: тъмна кожа, пръст, соча, сочещ наляво, сочещ наляво показалец, тъмна кожа
👉️	Показалец надясно откъм опакото на ръката, показалец, показалец надясно откъм опакото на ръката, показалец, сочещ надясно, пръст, ръка, соча, сочещ надясно
👉🏻	Показалец надясно откъм опакото на ръката, показалец, показалец надясно откъм опакото на ръката, показалец, сочещ надясно, показалец, сочещ надясно: светла кожа, пръст, ръка, светла кожа, соча, сочещ надясно
👉🏼	Показалец надясно откъм опакото на ръката, показалец, показалец надясно откъм опакото на ръката, показалец, сочещ надясно, показалец, сочещ надясно: средно светла кожа, пръст, ръка, соча, сочещ надясно, средно светла кожа
👉🏽	Показалец надясно откъм опакото на ръката, показалец, показалец надясно откъм опакото на ръката, показалец, сочещ надясно, показалец, сочещ надясно: средна на цвят кожа, пръст, ръка, соча, сочещ надясно, средна на цвят кожа
👉🏾	Показалец надясно откъм опакото на ръката, показалец, показалец надясно откъм опакото на ръката, показалец, сочещ надясно, показалец, сочещ надясно: средно тъмна кожа, пръст, ръка, соча, сочещ надясно, средно тъмна кожа
👉🏿	Показалец надясно откъм опакото на ръката, показалец, показалец надясно откъм опакото на ръката, показалец, сочещ надясно, показалец, сочещ надясно: тъмна кожа, пръст, ръка, соча, сочещ надясно, тъмна кожа
👆️	Показалец нагоре откъм опакото на ръката, нагоре, показалец, показалец нагоре откъм опакото на ръката, показалец, сочещ нагоре, ръка, соча, сочещ нагоре, сочещ нагоре показалец
👆🏻	Показалец нагоре откъм опакото на ръката, нагоре, показалец, показалец нагоре откъм опакото на ръката, показалец, сочещ нагоре, показалец, сочещ нагоре: светла кожа, ръка, светла кожа, соча, сочещ нагоре, сочещ нагоре показалец
👆🏼	Показалец нагоре откъм опакото на ръката, нагоре, показалец, показалец нагоре откъм опакото на ръката, показалец, сочещ нагоре, показалец, сочещ нагоре: средно светла кожа, ръка, соча, сочещ нагоре, сочещ нагоре показалец, средно светла кожа
👆🏽	Показалец нагоре откъм опакото на ръката, нагоре, показалец, показалец нагоре откъм опакото на ръката, показалец, сочещ нагоре, показалец, сочещ нагоре: средна на цвят кожа, ръка, соча, сочещ нагоре, сочещ нагоре показалец, средна на цвят кожа
👆🏾	Показалец нагоре откъм опакото на ръката, нагоре, показалец, показалец нагоре откъм опакото на ръката, показалец, сочещ нагоре, показалец, сочещ нагоре: средно тъмна кожа, ръка, соча, сочещ нагоре, сочещ нагоре показалец, средно тъмна кожа
👆🏿	Показалец нагоре откъм опакото на ръката, нагоре, показалец, показалец нагоре откъм опакото на ръката, показалец, сочещ нагоре, показалец, сочещ нагоре: тъмна кожа, ръка, соча, сочещ нагоре, сочещ нагоре показалец, тъмна кожа
🖕	пръст, ръка, среден пръст, тяло
🖕🏻	пръст, ръка, светла кожа, среден пръст, среден пръст: светла кожа, тяло
🖕🏼	пръст, ръка, среден пръст, среден пръст: средно светла кожа, средно светла кожа, тяло
🖕🏽	пръст, ръка, среден пръст, среден пръст: средна на цвят кожа, средна на цвят кожа, тяло
🖕🏾	пръст, ръка, среден пръст, среден пръст: средно тъмна кожа, средно тъмна кожа, тяло
🖕🏿	пръст, ръка, среден пръст, среден пръст: тъмна кожа, тъмна кожа, тяло
👇️	Показалец надолу откъм опакото на ръката, надолу, показалец, показалец надолу откъм опакото на ръката, показалец, сочещ надолу, соча, сочещ надолу
👇🏻	Показалец надолу откъм опакото на ръката, надолу, показалец, показалец надолу откъм опакото на ръката, показалец, сочещ надолу, показалец, сочещ надолу: светла кожа, светла кожа, соча, сочещ надолу
👇🏼	Показалец надолу откъм опакото на ръката, надолу, показалец, показалец надолу откъм опакото на ръката, показалец, сочещ надолу, показалец, сочещ надолу: средно светла кожа, соча, сочещ надолу, средно светла кожа
👇🏽	Показалец надолу откъм опакото на ръката, надолу, показалец, показалец надолу откъм опакото на ръката, показалец, сочещ надолу, показалец, сочещ надолу: средна на цвят кожа, соча, сочещ надолу, средна на цвят кожа
👇🏾	Показалец надолу откъм опакото на ръката, надолу, показалец, показалец надолу откъм опакото на ръката, показалец, сочещ надолу, показалец, сочещ надолу: средно тъмна кожа, соча, сочещ надолу, средно тъмна кожа
👇🏿	Показалец надолу откъм опакото на ръката, надолу, показалец, показалец надолу откъм опакото на ръката, показалец, сочещ надолу, показалец, сочещ надолу: тъмна кожа, соча, сочещ надолу, тъмна кожа
☝️	Показалец нагоре, нагоре, показалец, пръст, соча
☝🏻	Показалец нагоре: светла кожа, нагоре, показалец, пръст, светла кожа, соча
☝🏼	Показалец нагоре: средно светла кожа, нагоре, показалец, пръст, соча, средно светла кожа
☝🏽	Показалец нагоре: средна на цвят кожа, нагоре, показалец, пръст, соча, средна на цвят кожа
☝🏾	Показалец нагоре: средно тъмна кожа, нагоре, показалец, пръст, соча, средно тъмна кожа
☝🏿	Показалец нагоре: тъмна кожа, нагоре, показалец, пръст, соча, тъмна кожа
🫵	вие, показалец, показалец, сочещ към гледащия, посочвам, ръка, сочещ към гледащия, ти
🫵🏻	вие, показалец, показалец, сочещ към гледащия, показалец, сочещ към гледащия: светла кожа, посочвам, ръка, светла кожа, сочещ към гледащия, ти
🫵🏼	вие, показалец, показалец, сочещ към гледащия, показалец, сочещ към гледащия: средно светла кожа, посочвам, ръка, сочещ към гледащия, средно светла кожа, ти
🫵🏽	вие, показалец, показалец, сочещ към гледащия, показалец, сочещ към гледащия: средна на цвят кожа, посочвам, ръка, сочещ към гледащия, средна на цвят кожа, ти
🫵🏾	вие, показалец, показалец, сочещ към гледащия, показалец, сочещ към гледащия: средно тъмна кожа, посочвам, ръка, сочещ към гледащия, средно тъмна кожа, ти
🫵🏿	вие, показалец, показалец, сочещ към гледащия, показалец, сочещ към гледащия: тъмна кожа, посочвам, ръка, сочещ към гледащия, ти, тъмна кожа
👍️	+1, Палец нагоре, браво, вдигнат палец, да, добре, много ясно, нагоре, палец, разбира се, ръка, хубаво, чудесно
👍🏻	+1, Палец нагоре: светла кожа, браво, вдигнат палец, да, добре, много ясно, нагоре, палец, разбира се, ръка, светла кожа, хубаво, чудесно
👍🏼	+1, Палец нагоре: средно светла кожа, браво, вдигнат палец, да, добре, много ясно, нагоре, палец, разбира се, ръка, средно светла кожа, хубаво, чудесно
👍🏽	+1, Палец нагоре: средна на цвят кожа, браво, вдигнат палец, да, добре, много ясно, нагоре, палец, разбира се, ръка, средна на цвят кожа, хубаво, чудесно
👍🏾	+1, Палец нагоре: средно тъмна кожа, браво, вдигнат палец, да, добре, много ясно, нагоре, палец, разбира се, ръка, средно тъмна кожа, хубаво, чудесно
👍🏿	+1, Палец нагоре: тъмна кожа, браво, вдигнат палец, да, добре, много ясно, нагоре, палец, разбира се, ръка, тъмна кожа, хубаво, чудесно
👎️	-1, Палец надолу, надолу, не ми харесва, палец, ръка
👎🏻	-1, Палец надолу: светла кожа, надолу, не ми харесва, палец, ръка, светла кожа
👎🏼	-1, Палец надолу: средно светла кожа, надолу, не ми харесва, палец, ръка, средно светла кожа
👎🏽	-1, Палец надолу: средна на цвят кожа, надолу, не ми харесва, палец, ръка, средна на цвят кожа
👎🏾	-1, Палец надолу: средно тъмна кожа, надолу, не ми харесва, палец, ръка, средно тъмна кожа
👎🏿	-1, Палец надолу: тъмна кожа, надолу, не ми харесва, палец, ръка, тъмна кожа
✊️	Вдигнат юмрук, вдигнат юмрук, ръка, солидарност, стиснат, удар, юмрук
✊🏻	Вдигнат юмрук, Вдигнат юмрук: светла кожа, вдигнат юмрук, ръка, светла кожа, солидарност, стиснат, удар, юмрук
✊🏼	Вдигнат юмрук, Вдигнат юмрук: средно светла кожа, вдигнат юмрук, ръка, солидарност, средно светла кожа, стиснат, удар, юмрук
✊🏽	Вдигнат юмрук, Вдигнат юмрук: средна на цвят кожа, вдигнат юмрук, ръка, солидарност, средна на цвят кожа, стиснат, удар, юмрук
✊🏾	Вдигнат юмрук, Вдигнат юмрук: средно тъмна кожа, вдигнат юмрук, ръка, солидарност, средно тъмна кожа, стиснат, удар, юмрук
✊🏿	Вдигнат юмрук, Вдигнат юмрук: тъмна кожа, вдигнат юмрук, ръка, солидарност, стиснат, тъмна кожа, удар, юмрук
👊	ръка, стиснат, тяло, удар, юмрук
👊🏻	ръка, светла кожа, стиснат, тяло, удар, юмрук, юмрук: светла кожа
👊🏼	ръка, средно светла кожа, стиснат, тяло, удар, юмрук, юмрук: средно светла кожа
👊🏽	ръка, средна на цвят кожа, стиснат, тяло, удар, юмрук, юмрук: средна на цвят кожа
👊🏾	ръка, средно тъмна кожа, стиснат, тяло, удар, юмрук, юмрук: средно тъмна кожа
👊🏿	ръка, стиснат, тъмна кожа, тяло, удар, юмрук, юмрук: тъмна кожа
🤛	наляво, обърнат наляво юмрук, юмрук
🤛🏻	наляво, обърнат наляво юмрук, обърнат наляво юмрук: светла кожа, светла кожа, юмрук
🤛🏼	наляво, обърнат наляво юмрук, обърнат наляво юмрук: средно светла кожа, средно светла кожа, юмрук
🤛🏽	наляво, обърнат наляво юмрук, обърнат наляво юмрук: средна на цвят кожа, средна на цвят кожа, юмрук
🤛🏾	наляво, обърнат наляво юмрук, обърнат наляво юмрук: средно тъмна кожа, средно тъмна кожа, юмрук
🤛🏿	наляво, обърнат наляво юмрук, обърнат наляво юмрук: тъмна кожа, тъмна кожа, юмрук
🤜	надясно, обърнат надясно юмрук, юмрук
🤜🏻	надясно, обърнат надясно юмрук, обърнат надясно юмрук: светла кожа, светла кожа, юмрук
🤜🏼	надясно, обърнат надясно юмрук, обърнат надясно юмрук: средно светла кожа, средно светла кожа, юмрук
🤜🏽	надясно, обърнат надясно юмрук, обърнат надясно юмрук: средна на цвят кожа, средна на цвят кожа, юмрук
🤜🏾	надясно, обърнат надясно юмрук, обърнат надясно юмрук: средно тъмна кожа, средно тъмна кожа, юмрук
🤜🏿	надясно, обърнат надясно юмрук, обърнат надясно юмрук: тъмна кожа, тъмна кожа, юмрук
👏	Пляскащи ръце, аплодисменти, браво, добра работа, пляскане, пляскащи ръце, поздравления, ръка, тяло, чудесно
👏🏻	Пляскащи ръце, Пляскащи ръце: светла кожа, аплодисменти, браво, добра работа, пляскане, пляскащи ръце, поздравления, ръка, светла кожа, тяло, чудесно
👏🏼	Пляскащи ръце, Пляскащи ръце: средно светла кожа, аплодисменти, браво, добра работа, пляскане, пляскащи ръце, поздравления, ръка, средно светла кожа, тяло, чудесно
👏🏽	Пляскащи ръце, Пляскащи ръце: средна на цвят кожа, аплодисменти, браво, добра работа, пляскане, пляскащи ръце, поздравления, ръка, средна на цвят кожа, тяло, чудесно
👏🏾	Пляскащи ръце, Пляскащи ръце: средно тъмна кожа, аплодисменти, браво, добра работа, пляскане, пляскащи ръце, поздравления, ръка, средно тъмна кожа, тяло, чудесно
👏🏿	Пляскащи ръце, Пляскащи ръце: тъмна кожа, аплодисменти, браво, добра работа, пляскане, пляскащи ръце, поздравления, ръка, тъмна кожа, тяло, чудесно
🙌	Човек с вдигнати ръце, вдигнат, жест, похвала, празнуване, ура, човек с вдигнати ръце
🙌🏻	Човек с вдигнати ръце, Човек с вдигнати ръце: светла кожа, вдигнат, жест, похвала, празнуване, светла кожа, ура, човек с вдигнати ръце
🙌🏼	Човек с вдигнати ръце, Човек с вдигнати ръце: средно светла кожа, вдигнат, жест, похвала, празнуване, средно светла кожа, ура, човек с вдигнати ръце
🙌🏽	Човек с вдигнати ръце, Човек с вдигнати ръце: средна на цвят кожа, вдигнат, жест, похвала, празнуване, средна на цвят кожа, ура, човек с вдигнати ръце
🙌🏾	Човек с вдигнати ръце, Човек с вдигнати ръце: средно тъмна кожа, вдигнат, жест, похвала, празнуване, средно тъмна кожа, ура, човек с вдигнати ръце
🙌🏿	Човек с вдигнати ръце, Човек с вдигнати ръце: тъмна кожа, вдигнат, жест, похвала, празнуване, тъмна кожа, ура, човек с вдигнати ръце
🫶	любов, обичам те, ръце, ръце във формата на сърце
🫶🏻	любов, обичам те, ръце, ръце във формата на сърце, ръце във формата на сърце: светла кожа, светла кожа
🫶🏼	любов, обичам те, ръце, ръце във формата на сърце, ръце във формата на сърце: средно светла кожа, средно светла кожа
🫶🏽	любов, обичам те, ръце, ръце във формата на сърце, ръце във формата на сърце: средна на цвят кожа, средна на цвят кожа
🫶🏾	любов, обичам те, ръце, ръце във формата на сърце, ръце във формата на сърце: средно тъмна кожа, средно тъмна кожа
🫶🏿	любов, обичам те, ръце, ръце във формата на сърце, ръце във формата на сърце: тъмна кожа, тъмна кожа
👐	Отворени ръце, джаз, отворен, отворени ръце, прегръдка, ръка, тяло
👐🏻	Отворени ръце, Отворени ръце: светла кожа, джаз, отворен, отворени ръце, прегръдка, ръка, светла кожа, тяло
👐🏼	Отворени ръце, Отворени ръце: средно светла кожа, джаз, отворен, отворени ръце, прегръдка, ръка, средно светла кожа, тяло
👐🏽	Отворени ръце, Отворени ръце: средна на цвят кожа, джаз, отворен, отворени ръце, прегръдка, ръка, средна на цвят кожа, тяло
👐🏾	Отворени ръце, Отворени ръце: средно тъмна кожа, джаз, отворен, отворени ръце, прегръдка, ръка, средно тъмна кожа, тяло
👐🏿	Отворени ръце, Отворени ръце: тъмна кожа, джаз, отворен, отворени ръце, прегръдка, ръка, тъмна кожа, тяло
🤲	Събрани длани, Събрани длани, сочещи нагоре, желание, молитва, сочещи нагоре, събрани длани
🤲🏻	Събрани длани, Събрани длани, сочещи нагоре, Събрани длани, сочещи нагоре: светла кожа, желание, молитва, светла кожа, сочещи нагоре, събрани длани
🤲🏼	Събрани длани, Събрани длани, сочещи нагоре, Събрани длани, сочещи нагоре: средно светла кожа, желание, молитва, сочещи нагоре, средно светла кожа, събрани длани
🤲🏽	Събрани длани, Събрани длани, сочещи нагоре, Събрани длани, сочещи нагоре: средна на цвят кожа, желание, молитва, сочещи нагоре, средна на цвят кожа, събрани длани
🤲🏾	Събрани длани, Събрани длани, сочещи нагоре, Събрани длани, сочещи нагоре: средно тъмна кожа, желание, молитва, сочещи нагоре, средно тъмна кожа, събрани длани
🤲🏿	Събрани длани, Събрани длани, сочещи нагоре, Събрани длани, сочещи нагоре: тъмна кожа, желание, молитва, сочещи нагоре, събрани длани, тъмна кожа
🤝	ръка, ръкостискане, сделка, среща, съгласие
🤝🏻	ръка, ръкостискане, ръкостискане: светла кожа, светла кожа, сделка, среща, съгласие
🤝🏼	ръка, ръкостискане, ръкостискане: средно светла кожа, сделка, средно светла кожа, среща, съгласие
🤝🏽	ръка, ръкостискане, ръкостискане: средна на цвят кожа, сделка, средна на цвят кожа, среща, съгласие
🤝🏾	ръка, ръкостискане, ръкостискане: средно тъмна кожа, сделка, средно тъмна кожа, среща, съгласие
🤝🏿	ръка, ръкостискане, ръкостискане: тъмна кожа, сделка, среща, съгласие, тъмна кожа
🙏	Събрани ръце, благодаря, благословен, жест, молба, молитва, моля, моля се, ръце, събрани ръце
🙏🏻	Събрани ръце, Събрани ръце: светла кожа, благодаря, благословен, жест, молба, молитва, моля, моля се, ръце, светла кожа, събрани ръце
🙏🏼	Събрани ръце, Събрани ръце: средно светла кожа, благодаря, благословен, жест, молба, молитва, моля, моля се, ръце, средно светла кожа, събрани ръце
