‾	винкулум, горна черта
⇓	двойна стрелка надолу
⇔	двойна лява и дясна стрелка
⇎	зачеркната двойна лява и дясна стрелка
⇖	сочеща на северозапад двойна стрелка
⇗	сочеща на североизток двойна стрелка
⇘	сочеща на югоизток двойна стрелка
⇙	сочеща на югозапад двойна стрелка
⇚	тройна стрелка наляво
⇛	тройна стрелка надясно
⇜	стрелка наляво със завъртулка
⇝	стрелка надясно със завъртулка
⇞	стрелка нагоре с две напречни черти
⇟	стрелка надолу с две напречни черти
⇠	пунктирана стрелка наляво
⇡	пунктирана стрелка нагоре
⇢	пунктирана стрелка надясно
⇣	пунктирана стрелка надолу
⇤	стрелка наляво с черта
⇥	стрелка надясно с черта
⇦	празна стрелка наляво
⇧	празна стрелка нагоре
⇨	празна стрелка надясно
⇩	празна стрелка надолу
⇪	празна стрелка нагоре, празна стрелка нагоре, разделена с черта, разделена с черта
⇵	стрелка надолу отляво и стрелка нагоре
∀	всеки, всички, даден, за всички, универсален
∂	диференциален, частичен диференциален
∃	съществува
∅	математика, оператор на множество, празно множество
∆	промяна, триъгълник
∇	набла, триъгълник
∈	елемент, елемент на, множество, принадлежност, съдържа
∉	елемент, не е елемент
∋	елемент, съдържа като член
∎	qed, край на доказателство, надгробен камък, халмос
∏	Декартово произведение, логика, произведение
∑	математика, сбор при n-арност
+	добавяне, знак плюс, плюс, събиране
±	плюс-минус
÷	деление, делено, знак за деление, обелос
×	знак за умножение, по, умножение, умножено
<	отварящ таг, по-малко от, таг
≮	математика, не по-малко от, неравенство
=	равенство, равно, равно на
≠	не равно, неравенство, различие
>	затварящ таг, по-голямо от, таг
≯	математика, не по-голямо от, неравенство
¬	не, отрицание
|	вертикална линия, вертикална черта, линия, перпендикуляр, черта, щрих, щрих на Шефер
~	тилда
−	знак минус, изваждане, минус
⁻	горен индекс, горен минус, минус
∓	минус или плюс, плюс-минус
∕	виргула, наклонена черта, наклонена черта за деление
⁄	виргула, дробна наклонена черта, наклонена черта
∗	звезда, оператор астериск
∘	композиция, оператор, оператор пръстен
∙	оператор, оператор водещ символ
√	ирационално число, квадратен корен, корен, на квадрат, радикал, радикс
∝	пропорционален, пропорционалност
∞	безкрайност, знак за безкрайност
∟	математика, прав ъгъл
∠	остър, ъгъл
∣	делител, разделя
∥	успореден
∧	клин, логическо и
∩	множество, пресичане
∪	множество, обединение, съвкупност
