‾	kan layi
↾	layin nuna sama mai rabin alama zuwa dama, layin sama mai rabin alama zuwa dama
↿	layi mai rabin alama, layin nuna sama mai rabin alama zuwa hagu, layin sama mai rabin alama zuwa hagu
⇀	layi mai rabin alama, layin dama mai rabin alama zuwa sama, layin nuna dama mai rabin alama zuwa sama
⇁	layi mai rabin alama, layin dama mai rabin alama zuwa kasa
⇂	layi mai rabin alama, layin kasa mai rabin alama zuwa dama
⇃	layi mai rabin alama, layin kasa mai rabin alama zuwa hagu
⇄	alamar nuna hannun dama bisa mai nuna hanyar hagu
⇅	kibiya, kibiyoyi masu nuna sama da ƙasa, sama, ƙasa
⇆	hagu, kibiya, nuna hagu a kan kibiyoyi masu nuna dama
⇇	alamar nuna hanyar hagu guda biyu
⇈	alamar nuna hanyar sama guda biyu
⇉	alamar nuna hanyar dama guda biyu
⇊	alamar nuna hanyar kasa guda biyu
⇋	layin hagu mai rabin alama kan layin dama mai rabin alama
⇌	layin dama mai rabin alama kan layin hagu mai rabin alama
⇐	alamar hanyar hagu guda biyu
⇍	layin tsallake alamar hanyar hagu guda biyu
⇑	alamar hanyar sama guda biyu
⇒	alamar hanyar dama guda biyu
⇏	layin tsallake alamar hanyar dama guda biyu
⇓	alamar kasa biyu
⇔	alamar hagu da dama biyu
⇎	layin tsallake alamar hagu da dama biyu
⇖	alamar hanya biyu tsakanin arewa da yamma
⇗	alamar hanya biyu tsakanin arewa da gabas
⇘	alamar hanya biyu tsakanin kudu da gabas
⇙	alamar hanya biyu tsakanin kudu da yamma
⇚	layin alamar hagu uku
⇛	layin alamar dama uku
⇜	layin alamar hagu uku da zanen igiya
⇝	layin alamar dama uku da zanen igiya
⇞	alamar sama biyu da layi biyu
⇟	alamar kasa biyu da layi biyu
⇠	alamar layin hagu
⇡	alamar layin sama
⇢	alamar layin dama
⇣	alamar layin kasa
⇤	alamar layin hagu da tushe
⇥	alamar layin dama da tushe
⇦	ruffafen alamar layin hagu
⇧	ruffafen alamar layin sama
⇨	ruffafen alamar layin dama
⇩	ruffafen alamar layin kasa
⇪	ruffafen alamar layin sama daga tushe, uffafen alalamar layin sama daga tushe
⇵	alamar layin kasa a hannun daman alamar kasa
∀	duka, kowane, na duka, na koʼina, wanda aka bayar
∂	banbanci, bangaren bambanci
∃	akwai
∅	fankon rukuni, ilmin kidaya, saita mai aiki
∆	alwatika, ƙari
∇	alamar nabla, alwatika
∈	kashi, kashi na, saita, ya ƙunshi, zama memban
∉	ba kashi ba, kashi
∋	kashi, ya kunshi memba
∎	an yi bayyani daidai, karshe, karshen lissafi, karshen shaida
∏	dabaru, samfur, samfur ba na kullum ba
∑	ilmin kidaya, kari, kari ba na yau da kullum ba
+	alamar da, ƙara, ƙari
±	da-ɗebe
÷	alamar rabo, obelus, raba, rarrabuwa
×	alamar yawaita, ninka, sau, yawaita
<	alama, alamar buɗewa, ƙasa da, ƙasa-da
≮	ba kasa-da ba, ilmin kidaya, rashin daidaito
=	daidai
≠	ba daidai ba, rashin daidaito
>	alama, alamar rufewa, mafi girma fiye da
≯	ba fiye da ba, ilmin kidaya, rashin daidaito
¬	ba, rashi
|	bugun jini, bututu, layi, layin tsaye, sanda, sandar tsaye, stsy
~	karkatar
−	alamar ɗebe, rage, ɗebe
⁻	debewar rubutun sama, rubutun sama, ɗebe
∓	cirewa-ko-karawa, karawa-cirewa
∕	alamar bugun jini, alamar rabowa, yanke
⁄	alamar rabowa, alamar rabowa na kashi, yanke
∗	alamar tauraro, tauraro
∘	alama, alamar zobe, haduwa
∙	alama, alamar harsashi
√	murabbaʼi, radix, saiwa, sikwayarut, surd, tsattsaura
∝	daidaito, gwargwado
∞	alamar rashin iyaka, rashin iyaka
∟	ilmin kidaya, kusurwar dama
∠	babban, kusurwa
∣	mai rabawa, yana rabawa
∥	layi marasa haduwa
∧	a zahiri, dakko, maʼana da, tsinke
∩	alamar mahaɗa, mahaɗa, saita
∪	saita, tari, ƙungiya
∫	kunshi, lissafi
∬	alamar kunshi biyu, lissafi
∮	lankwasashen kunshi
∴	dabaru, saboda haka
∵	dabaru, domin
∶	rabo
∷	daidaito, rabbai
∼	alama, alamar motsin ruwa
∽	juyayyen alamar motsin ruwa, motsin ruwa
∾	juyayyen raggon S
≃	ilmin lissafi, kusa, kusa da daidai
≅	daidaita, ilmin kidaya, kaman daidai, siffa daidai, siffa daya
≈	kimani, kusan daidai, kusanci
≌	daidaita, duka daya, ilmin lissafi
≒	kusan daidai da siffan hoton
≖	daidaita, ilmin lissafi, zobe cikin alamar daidaita
≡	daidai, daidai yake da, iri ɗaya, sau uku
≣	daidaita, daidaitar dole, ilmin lissafi
≤	daidai, rashin daidaito, ya yi daidai, ƙasa da ko kuma daidai, ƙasa-da
≥	daidai, mafi girma, mafi girma ko daidai, rashin daidaito, ya yi daidai
≦	alamar kasa-da kan na daidaita, lissafi, rashin daidaita
≧	alamar fiye-da kan na daidaita, ilmin lissafi, rashin daidaita
≪	ilmin lissafi, kasa-da sosai, rashin daidaita
≫	fiye-da sosai, ilmin lissafi, rashin daidaita
≬	tsakanin
≳	fiye-da mai daidaita, ilmin lissafi, rashin daidaita
≺	alamar rukuni, ilmin lissafi, kafin
≻	alamar rukuni, bayan, ilmin lissafi
⊁	alamar rukuni, bai cin gaba, ilmin lissafi
⊂	rukuni, rukuni na, saita
⊃	alamar rukuni, babban rukuni, ilmin lissafi
⊆	daidai karamin rukuni
⊇	daidai babban rukuni, daidaita, ilmin lissafi
⊕	alamar kari cikin daʼirar, kari
⊖	alamar ragowa cikin daʼirar, banbancin siffa irir daya wankewa, symmetric difference
⊗	alamar juyawa cikin daʼirar, amsan juya lambobi, awon lissafin wuri
⊘	alamar rabawa cikin daʼirar, ilmin lissafi, raba-daidai
⊙	XNOR, alama, alamar digo cikin daʼirar
⊚	alamar zobe cikin daʼirar
⊛	alama, alamar kaman tauraro, alamar kaman tauraro cikin daʼirar
⊞	ilmin lissafi, kaman ƙari, murabbaʼi da ƙari
⊟	alamar ragowa cikin murabbaʼi, ilmin lissafi, kaman rabowa
⊥	amsan karya, kalmomin amsan karya
⊮	babu dole
⊰	alamar rukuni, ilmin lissafi, riga cikin dangantaka
⊱	alamar rukuni, bayan cikin dangantaka, ilmin lissafi
⋭	bayyanin rukuni, does not contkaman bai kunshi daidai bangaren rukuni ba, ilmin lissafi, kaman bai kunshi daidai bangaren rukuni ba
⊶	ainihi
⊹	hadaddun matiris dayawa, ilmin lisaffi, matiris da basu juyu ba, matiris na murabbaʼi
⊿	alwakitan dama, ilmin lissafi, madaidaicin alwakitan dama
⋁	dabaru, karkace, maʼana ba na yau da kullum ba ko
⋂	alamar rukuni, ilmin lissafi, shiga tsakiya, shiga tsakiya ba na yau da kullum ba
⋃	alamar rukuni, ilmin lissafi, ƙungiya, ƙungiya ba na yau da kullum ba
⋅	alama, alamar digo
⋆	alama, alama na tauraro
⋈	alamar 0 da 1 kawai, igiyan ado na wuya, ƙungiya na halitta
⋒	alamar rukuni, ilmin lissafi, shiga tsakiya, shiga tsakiya sau biyu
⋘	ilmin lissafi, kasa-da sosai sosai, rashin daidaita
⋙	ilmin lissafi, rashin daidaita, yafi sosai sosai
⋮	ellipsis, ilmin lissafi, tsayayyen ellipsis
⋯	ellipsis, layin tsakiya na tsayayyen ellipsis
⋰	daidai kwantanchen ellipsis, ellipsis, ilmin lissafi
⋱	daidai kasan kwantanchen ellipsis, ellipsis, ilmin lissafi
■	cikkaken murabbaʼi
□	fankon murabbaʼi
▢	fankon murabbaʼi da zagayayyen kwana
▣	fankon murabbaʼi da cikkaken murabbaʼi
▤	fankon murabbaʼi da cikkon kwantacen layi
▥	fankon murabbaʼi da cikkon tsayyayen layi
▦	murabbbaʼi mai cike da juyayun layuka
▧	cikakken murabbaʼi na kasan dama a kusurwar sama na hagu
▨	cikakken murabbaʼi na kasan hagu a kusurwar sama na dama
▩	layin cika filin murabbaʼi
▬	cikkaken murabbaʼi mai dari
▭	fankon murabbaʼi mai dari
▮	murabbaʼi mai dari cike da tsayyayen layi
▰	cikkaken murabbaʼi mai dari da santsi
▲	alwatika, cika, cika alwatika mai nunawa sama, kibiya, sama
△	fankon alwatika mai kanlon sama
▴	cikkaken karamin alwatika mai kanlon sama
▵	fankon karamin alwatika mai kanlon sama
▷	fankon alwatika mai kanlon dama, fankon karamin alwatika mai kanlon sama
▸	cikkaken karamin alwatika mai kanlon dama
▹	fankon karamin alwatika mai kanlon dama
►	cikkaken alama mai kanlon dama
▻	fankon alama mai kanlon dama
▼	alwatika, cika, cika alwatika mai nunawa ƙasa, kibiya, ƙasa
▽	fankon alwatika mai kanlon kasa
▾	cikkaken karamin alwatika mai kanlon kasa
▿	fankon karamin alwatika mai kanlon kasa
◁	fankon alwatika mai kanlon hagu
◂	cikkaken karamin alwatika mai kanlon hagu
◃	fankon karamin alwatika mai kanlon hagu
◄	cikkaken alama mai kanlon hagu
◅	fankon alama mai kanlon hagu
◆	cikkaken zane mai kama da luʼu-luʼu
◇	fankon zane mai kama da luʼu-luʼu
◈	fankon zanen mai kama da luʼu-luʼu da luʼu-luʼu a ciki
◉	cikkaken daʼirar cikin fankon daʼirar, cikkakun daʼirar, daʼirar, digo cikin daʼirar, unguwa
◊	alewa, daiman, rhombus
○	daʼira, daʼira buɗaɗɗiya, zobe
◌	daʼirar cike da digo
◍	daʼirar cike da tsayayyen layi
◎	daʼirar biyu, daʼirar cikin daʼirar, manufi
●	daʼira, daʼira cike
◐	rabin cikkaken daʼirar rabin fanko
◑	rabin cikkaken daʼirar dama rabin fanko
◒	rabin cikkaken daʼirar kasa rabin fanko
◓	rabin cikkaken daʼirar sama rabin fanko
◔	cikkaken daʼirar bangaren dama na sama
◕	cikkaken daʼirar banda bangaren hagu na sama
◖	cikkaken rabin daʼidar hagu
◗	cikkaken rabin daʼidar dama
◘	karkatacciyar harbi
◙	fankon daʼidar cikin cikkaken murabbaʼi, karkataccen fankon daʼidar
◜	bakar kusurwar hagu na sama
◝	bakar kusurwar dama na sama
◞	bakar kusurwar dama na kasa
◟	bakar kusurwar hagu na kasa
◠	rabin daʼidar sama
◡	rabin daʼidar kasa
◢	cikkaken alwatikan kasa na dama
◣	cikkaken alwatikan kasa na hagu
◤	cikkaken alwatikan sama na hagu
◥	cikkaken alwatikan sama na dama
◦	fankon harbi
◯	babbar daʼira buɗaɗɗiya, daʼira, zobe
◳	fankon murabbaʼi da karamin murabbaʼi na sama a kusurwan dama, fankon murabbaʼi karamin murabbaʼi na sama a kusurwan dama
◷	fankon daʼidar da karamin murabbaʼin dama na sama
◿	alwatikan kusurwan kasa na dama
♪	alama ta kiɗa, kiɗa, takwas
⨧	da lamba 2 a karkashi
⨯	samfurin haduwan vector
⨼	samfur na ciki
⩣	maʼana ko layin kas biyu
⩽	kasa-da kwantacce daidai
⪍	kasa-da sama da kaman daidai
⪚	layi biyu daidai fiye-da, riga sama ba kusa daidai
⪺	riga sama ba kusa daidai
♭	alama, bemolle, lebur, waƙa
♯	alamar kiɗa, bayanin kula, diesis, dièse, waƙa
😀	baki har kunne, faran-faran, faraʼa, fuska, fuska mai murmushin baki har kunne, murmushi, uska
😃	a buɗe, baki, fuska, fuska mai murmushi tare da baki a buɗe, fuska mai murmushi tare da manyan idanu, murmushi, ya yi
😄	a buɗe, baki, dariya, fuska, fuska mai murmushi tare da idanu, ido, murmushi, wage baki
😁	dariya, fuska, fuska mai murmushi tare da idanu, fuska mai murmushi tare da idanuu, gonar auduga, haƙora, ido, murmushi, murmushi na baki har kunne, raha, wage baki, yaƙe
😆	baki, baki a buɗe, dariya, fuska, gamsu, lumshe idanu, lumshe ido, murmushi, murmushin yaƙe tare da lumshe ido, ƙyalƙyalewa, ƙyaƙyacewa
😅	a buɗe, dariya, fuska, fuska mai murmushi tare da gumi mai sanyi, gumi, kyarma, murmushi, oho dai, sanyi, wai
🤣	dariya, dariya da hawaye, daɓe, farin ciki, fuska, hawaye, kukan daɗi, mirgina, mirgina a daɓe da dariya, murna za ta kashe ni, na ji daɗi, ƙyalƙyala dariya, ƙyaƙyatawa
😂	abin dariya, ahayye, dariya, dariyar ƙeta, fuska, fuska mai hawayen murna, hahaha, hawaye, murna, ƙyalƙyalewa
🙂	faraʼa, fuska, fuska mai murmushi kaɗan, murmushi, murna, nuna farin ciki kaɗan, sakin fuska
🙃	a birkice, da walakin, fuska, fuska a birkice, fuska a juye, hehehe, juya tunani, kai ya juye, sama a ƙasa, tantama
🫠	fuska narke, habaici, kunyatawa, narke, narkewa, ruwa, shaguɓe, zafi, ɓace
😉	fuska, fuska mai yin ƙifta, ido ɗaya, kanne ido, yi ƙifta, yin ido, ƙifta ido, ƙyara ido, ƙyarawa
😊	annashuwa, farin ciki, fulako, fuska, fuska mai murmushi haɗe da idanu, ido, ji kunya, jin daɗi, kunya, murmushi
😇	aminci, fuska, fuska mai murmushi tare da da’irar haske, fuskar gimbiya, labarin aljana, lumana, mafarki, malaika, maras laifi, murmushi, tatsuniya, tunani
🥰	bege, cikin soyayya, fuska mai dariya da zukata, kunya, marari, murmushi, shauƙi, soyayya, zuciya, zuciya cike da ƙauna, zukata, ƙauna
😍	bege, fuska, fuska mai murmushi tare da idanun zuciya, fuskar ƙauna, ido, kyakkyawa, kyau, murmushi, sanyin idona, so, ƙauna, ƙayatarwa
🤩	alʼajabi, buga-tauraro, cikin soyayya, dariya, faram-faram, fuska, idanu, matuƙar farin ciki, tauraro, walwala, yin dariya har kunne, ƙyaƙyacewa
😘	bege, fuska, fuska mai ba da wani sumba, kewa, kin burge ni, kis, marari, masoyi, masoyiya, so, sumba, ɗoki
😗	Fuska mai yin sumba, ahayye, fuska, fuskar kis, ina son ki, jan raʼayi, kis, nema, sahiba, sahibi, soyayya, sumba, sumbata
☺️	faraʼa, farin ciki, fuska, fuska mai murmushi, mai shaci, mai walwala, murmushi, nishaɗi, sakin fuska
😚	a rufe, amsuwa, fuska, fuska mai yin sumba tare da rufaffen Idanu, gamsuwa, ido, kis, kunya, lumshe ido, masoyi, neman so, sumba
😙	dare, fuska, fuska mai murmushi, fuska mai sumba da idanu masu murmushi, fuska mai yin sumba tare da idanu masu murmushi, ido, ido rufe, kis, murmushi, sumba
🥲	farin ciki, fuska mai murmushi ɗauke da hawaye, godiya, hawaye, mai alfahari, murmushi, murna, sami sauƙi, shafar, smiley
😋	abinci, daɗi, fuska, fuska da take ɗanɗana abinci mai daɗi, kwaɗayi, lagwada, lamushewa, lashewa, mai daɗi, murmushi, suɗe baki, um, yum, yunwa, ɗanɗano
😛	fati, fuska, fuska tare da harshe a waje, gwalo, harshe, lalala, tura haushi, ya yi
😜	abin dariya, dariya, dariyar mugunta, fuska, fuska tare da harshe a waje da ido mai ƙifta, gwalo, harshe, hauka, ido, zolaya, ƙifta
🤪	babba, fuska mai masifar so, idanu, ido, kwaɗayi, shashanci, shirme, wage baki, ƙarami
😝	Allah ya ƙara, dariya, dariyar mugunta, dariyar ƙeta, fuska, fuska da harshe waje da rufaffun idanu, gwalo, harshe, ido, maƙetaci, ƙyalƙyalewa, ƙyaƙyacewa, ɗanɗano
🤑	an siye shi, baki, fuska, fuska mai bakin-kuɗi, fuskar kuɗi, kuɗi, kwaɗayin kuɗi, son naira
🤗	fuska, fuska mai murmushi tare da runguma, fuska mai runguma, ku zo, mai runguma, maraba, murna, runguma
🤭	abin dariya, alʼajabi, au!, fuska tare da hannu bisa baki, kash, mamaki, nunin baƙin ciki, oh, rufe baki, sirri, to fa
🫢	assha, ba a bakina ba, bakina da goro, fuska da buɗe idanu da miƙa baki, ina tsoro, kunya, mamaki, rashin yarda, tsorata, tsoro
🫣	fuska tare da leƙo ido ɗaya, jin kunya, kame, leƙa ido ɗaya, leƙe, leƙe da ido ɗaya, zura ido, ƙurilla
🤫	fuska mai shiru, iya bakinka, kama bakinka, mai shiru, rufe baki, shiru, shish, ya isa, yi shiru
🤔	fuska, fuska mai tunani, hangen nesa, laʼakari, nazari, tunani, tunowa
🫡	cansa, e, eh, fuska mai sarawa, haka, ina sarawa, jinjina, rana, sarawa, sojoji, tabbas, to, yassa
🤐	ba a bakina ba, baki, baki mai zif, fuska, fuskar baki mai zif, kame baki, kulle baki, rufe baki, shiru, sirri, zif
🤨	alʼajabi, fuska tare da ɗagaggiyar gira, hmm, mai shakka, mamaki, maras aminci, rashin yarda, shakka, tsoro, ɗaga gira, ɗagaggiyar gira
😐️	ba ruwana, babu kyau, fuska, fuska mai tsaka-tsakanci, fuskar gwalewa, ko a jikina, kurum, mai tsaka-tsakanci, mai zan ce, mara damuwa ko farin ciki, mara shige, me zan ce, zura ido
😑	ba ruwana, ban sani ba, fuska, fuska mara shige, mara shige, maras shige, oho, rashin jin daɗi
😶	ba a magana, ba abin cewa, ba magana, ba ta cewa, baki, fuska, fuska ban da baki, mai shiru, shiru, sirri
🫥	baƙin ciki, damuwa, ganuwa, hm, kai ka sani, kewaye da ɗige fuska, ko in kula, ko ma me ne, mai gabatarwa, ɓace, ɓoye
😶‍🌫	Fuska a sama, Fuskan mara mai da hankali
😏	bos, fuska, fuska mai murmushin wauta, gatsine, gira, iya-shege, kanne ido, murguɗa baki, murmushin wauta, oga, wauta, yaƙe, zargi
😒	ba annashuwa, ba faraʼa, baƙin ciki, fusata, fuska, fuska mara sha’awa, jimami, kishi, mara sha’awa, rashin jin daɗi, takaici
🙄	fari da ido, farin ido, fuska, fuska tare da idanu masu mirgina, harara, idanu, kallon hadari, kallon hadarin kaji, kallon sama da ƙasa, kaɗa idanu, mai mirgina, rainin hankali
😬	ciza haƙora, duba haƙora, fuska, fuska na ɗauren fuska, haƙora, likitan haƙora, tsanani, yaƙe, yaƙunanniyar fuska, ɗauren fuska
😮‍💨	busa, busa iska, gajiya, gajiya tilis, hayaƙi, kai, kukan azaba, neman iska, numfashi, numfashin fuska, raɗa, sauki, tararrabi, tausayi
🤥	fuska, fuska mai yin ƙarya, maƙaryaci, pinocchio, sarkin ƙarya, sharri, zuƙi ta malle, ƙarya
🫨	alʼajabi, fuska, gigice, girgiza, girgiza fuska, girgizar ƙasa, hauka, ruɗe, tsorace
🙂‍↔	aʼa, girgiza, girgiza kai a kwance
🙂‍↕	Girgiza kai a tsaye, e, yarda da kai
😌	aminci, fuska, fuska mai kwancin hankali, kunya, kwancin hankali, kwanciyar hankali, natsuwa, samun sakewa
😔	fushi, fuska, fuska mai yin tunani, gundura, kunya, mai sanyin jiki, mai yin tunani, rashin burgewa, shiru-shiru
😪	barci, fuska, fuska mai jin barci, gajiya, jin bacci, kuka
🤤	fuska, fuska mai nuna ɓacin rai, nuna ɓacin rai, yawu, yawun barci, zubar da yawu, ɓacin rai
😴	barci, dare, fuska, fuska mai yin barci, gajiya, gyangyaɗi, kwanciya, minshari, mu kwan lafiya, sai da safe, zzz
🫩	fuska, fuska mai kumburi a ƙasan ido, gajiya, idanuwa, jakunkuna, mai jin barci, makara
😷	abin rufen fuska, fesmas, fuska, fuska mai abin rufen fuska na aikin kula da lafiya, fuska mai abin rufen fuska na kula da lafiya, likita, magani, maras lafiya, sanyi, takunkumi
🤒	awon zafi, cuta, fuska, fuska mai tsinken awon zafin jiki, lafiya, mara lafiya, maras lafiya, rashin lafiya, tsinken awon zafin jiki, zafin jiki
🤕	bandeji, ciwo, fuska, fuska mai bandejin-kai, jin zafi, rauni
🤢	amai, fuska, fuska mai tashin zuciya, hararwa, kumallo, mai tashin zuciya, mara lafiya, muni, rashin lafiya
🤮	abin ƙyama, amai, fuska yin amai, fuskar yin amai, hararwa, kwaɓa, maras lafiya, ƙyanƙyami
🤧	Fuskan rashin lafiya, atishawa, fuska, fuska mai yin atishawa, geshundheit, mura, rashin lafiya, zazzaɓi
🥵	fuska, fuska mai zafi, gajiya tuɓus, gumi, haki, jar fuska, jin zafi, shan zafi, zafi, zafin bugu, zazzaɓi, zufa
🥶	daskarewa, dusar ƙanƙara, fuska mai sanyi, fuska mai shuɗi, hunturu, icicles, jin sanyi, rawar haƙori, rawar ɗari, sanyi
🥴	buguwa, cikin maye, fuska mai kasala, idanu mara kyau, jiri, mankas, matashin tukwici, rawar baki, tsuke baki
😵	fuska, fuska mai jin jiri, gajiya, jiri, juwa, mutuwa, rashin lafiya, zazzaɓi
😵‍💫	damuwa, fuska da ido karkatace, jiri, jiri-jiri, juwa, karkace, ku, rikice, rikitace, wai, wuhuhu, ɗaure kai
🤯	ba zai yiwu ba, fasa kai, fashewa, firgitacce, kai mai bashewa, mamaki, tarwatsewa, ƙarya ne
🤠	cowboy, dariya, fuska, fuska mai hular kaboyi, hula, kaboyi, kaboyi na mace
🥳	biki, farin ciki, fati, fuska mai liyafa, hula, liyafa, murna, ranar haihuwa, shagali, taya murna, usur, walima
