‾	Oberstrich, Überstrich
👩🏾‍🏭	Arbeiter, Fabrik, Fabrikarbeiterin, Montage, industriell, mitteldunkle Hautfarbe
👩🏿‍🏭	Arbeiter, Fabrik, Fabrikarbeiterin, Montage, dunkle Hautfarbe, industriell
🎅	Samichlaus, Weihnachten, Weihnachtsmann
🎅🏻	Samichlaus, Weihnachten, Weihnachtsmann, helle Hautfarbe
🎅🏼	Samichlaus, Weihnachten, Weihnachtsmann, mittelhelle Hautfarbe
🎅🏽	Samichlaus, Weihnachten, Weihnachtsmann, mittlere Hautfarbe
🎅🏾	Samichlaus, Weihnachten, Weihnachtsmann, mitteldunkle Hautfarbe
🎅🏿	Samichlaus, Weihnachten, Weihnachtsmann, dunkle Hautfarbe
🧛	Blutsauger, Dracula, Halloween, Person, Reisszähne, Untoter, Vampir, Zähne, untot
🧛🏻	Blutsauger, Dracula, Halloween, Person, Reisszähne, Untoter, Vampir, Zähne, helle Hautfarbe, untot
🧛🏼	Blutsauger, Dracula, Halloween, Person, Reisszähne, Untoter, Vampir, Zähne, mittelhelle Hautfarbe, untot
🧛🏽	Blutsauger, Dracula, Halloween, Person, Reisszähne, Untoter, Vampir, Zähne, mittlere Hautfarbe, untot
🧛🏾	Blutsauger, Dracula, Halloween, Person, Reisszähne, Untoter, Vampir, Zähne, mitteldunkle Hautfarbe, untot
🧛🏿	Blutsauger, Dracula, Halloween, Person, Reisszähne, Untoter, Vampir, Zähne, dunkle Hautfarbe, untot
🧟‍♂	Zombiemann
💇	Coiffeur, Friseur(in), Friseuse, Frisur, Frisör(in), Haare, Haarschnitt, Person, Person beim Haareschneiden, Schere
💇🏻	Coiffeur, Friseur(in), Friseuse, Frisur, Frisör(in), Haare, Haarschnitt, Person, Person beim Haareschneiden, Schere, helle Hautfarbe
💇🏼	Coiffeur, Friseur(in), Friseuse, Frisur, Frisör(in), Haare, Haarschnitt, Person, Person beim Haareschneiden, Schere, mittelhelle Hautfarbe
💇🏽	Coiffeur, Friseur(in), Friseuse, Frisur, Frisör(in), Haare, Haarschnitt, Person, Person beim Haareschneiden, Schere, mittlere Hautfarbe
💇🏾	Coiffeur, Friseur(in), Friseuse, Frisur, Frisör(in), Haare, Haarschnitt, Person, Person beim Haareschneiden, Schere, mitteldunkle Hautfarbe
💇🏿	Coiffeur, Friseur(in), Friseuse, Frisur, Frisör(in), Haare, Haarschnitt, Person, Person beim Haareschneiden, Schere, dunkle Hautfarbe
💇‍♂	Coiffeur, Friseur, Haarschnitt, Mann, Mann beim Haareschneiden, Schere
💇🏻‍♂	Coiffeur, Friseur, Haarschnitt, Mann, Mann beim Haareschneiden, Schere, helle Hautfarbe
💇🏼‍♂	Coiffeur, Friseur, Haarschnitt, Mann, Mann beim Haareschneiden, Schere, mittelhelle Hautfarbe
💇🏽‍♂	Coiffeur, Friseur, Haarschnitt, Mann, Mann beim Haareschneiden, Schere, mittlere Hautfarbe
💇🏾‍♂	Coiffeur, Friseur, Haarschnitt, Mann, Mann beim Haareschneiden, Schere, mitteldunkle Hautfarbe
💇🏿‍♂	Coiffeur, Friseur, Haarschnitt, Mann, Mann beim Haareschneiden, Schere, dunkle Hautfarbe
💇‍♀	Coiffeur, Frau, Frau beim Haareschneiden, Friseur, Haarschnitt, Schere
💇🏻‍♀	Coiffeur, Frau, Frau beim Haareschneiden, Friseur, Haarschnitt, Schere, helle Hautfarbe
💇🏼‍♀	Coiffeur, Frau, Frau beim Haareschneiden, Friseur, Haarschnitt, Schere, mittelhelle Hautfarbe
💇🏽‍♀	Coiffeur, Frau, Frau beim Haareschneiden, Friseur, Haarschnitt, Schere, mittlere Hautfarbe
💇🏾‍♀	Coiffeur, Frau, Frau beim Haareschneiden, Friseur, Haarschnitt, Schere, mitteldunkle Hautfarbe
💇🏿‍♀	Coiffeur, Frau, Frau beim Haareschneiden, Friseur, Haarschnitt, Schere, dunkle Hautfarbe
🚶	Fussgänger(in), gehen, gehend, wandern
🚶🏻	Fussgänger(in), Fussgänger(in): helle Hautfarbe, gehen, gehend, helle Hautfarbe, wandern
🚶🏼	Fussgänger(in), Fussgänger(in): mittelhelle Hautfarbe, gehen, gehend, mittelhelle Hautfarbe, wandern
🚶🏽	Fussgänger(in), Fussgänger(in): mittlere Hautfarbe, gehen, gehend, mittlere Hautfarbe, wandern
🚶🏾	Fussgänger(in), Fussgänger(in): mitteldunkle Hautfarbe, gehen, gehend, mitteldunkle Hautfarbe, wandern
🚶🏿	Fussgänger(in), Fussgänger(in): dunkle Hautfarbe, dunkle Hautfarbe, gehen, gehend, wandern
🚶‍♂	Fussgänger, Mann, Spaziergang, gehen
🚶🏻‍♂	Fussgänger, Fussgänger: helle Hautfarbe, Mann, Spaziergang, gehen, helle Hautfarbe
🚶🏼‍♂	Fussgänger, Fussgänger: mittelhelle Hautfarbe, Mann, Spaziergang, gehen, mittelhelle Hautfarbe
🚶🏽‍♂	Fussgänger, Fussgänger: mittlere Hautfarbe, Mann, Spaziergang, gehen, mittlere Hautfarbe
🚶🏾‍♂	Fussgänger, Fussgänger: mitteldunkle Hautfarbe, Mann, Spaziergang, gehen, mitteldunkle Hautfarbe
🚶🏿‍♂	Fussgänger, Fussgänger: dunkle Hautfarbe, Mann, Spaziergang, dunkle Hautfarbe, gehen
🚶‍♀	Frau, Fussgängerin, Spaziergang, gehen
🚶🏻‍♀	Frau, Fussgängerin, Fussgängerin: helle Hautfarbe, Spaziergang, gehen, helle Hautfarbe
🚶🏼‍♀	Frau, Fussgängerin, Fussgängerin: mittelhelle Hautfarbe, Spaziergang, gehen, mittelhelle Hautfarbe
🚶🏽‍♀	Frau, Fussgängerin, Fussgängerin: mittlere Hautfarbe, Spaziergang, gehen, mittlere Hautfarbe
🚶🏾‍♀	Frau, Fussgängerin, Fussgängerin: mitteldunkle Hautfarbe, Spaziergang, gehen, mitteldunkle Hautfarbe
🚶🏿‍♀	Frau, Fussgängerin, Fussgängerin: dunkle Hautfarbe, Spaziergang, dunkle Hautfarbe, gehen
🚶‍➡	Fussgänger(in), Fussgänger(in) nach rechts, gehen, gehend, wandern
🚶🏻‍➡	Fussgänger(in), Fussgänger(in) nach rechts, gehen, gehend, wandern
🚶🏼‍➡	Fussgänger(in), Fussgänger(in) nach rechts, gehen, gehend, wandern
🚶🏽‍➡	Fussgänger(in), Fussgänger(in) nach rechts, gehen, gehend, wandern
🚶🏾‍➡	Fussgänger(in), Fussgänger(in) nach rechts, gehen, gehend, wandern
🚶🏿‍➡	Fussgänger(in), Fussgänger(in) nach rechts, gehen, gehend, wandern
🚶‍♀‍➡	Frau, Fussgängerin, Fussgängerin nach rechts, Spaziergang, gehen
🚶🏻‍♀‍➡	Frau, Fussgängerin, Fussgängerin nach rechts, Spaziergang, gehen
🚶🏼‍♀‍➡	Frau, Fussgängerin, Fussgängerin nach rechts, Spaziergang, gehen
🚶🏽‍♀‍➡	Frau, Fussgängerin, Fussgängerin nach rechts, Spaziergang, gehen
🚶🏾‍♀‍➡	Frau, Fussgängerin, Fussgängerin nach rechts, Spaziergang, gehen
🚶🏿‍♀‍➡	Frau, Fussgängerin, Fussgängerin nach rechts, Spaziergang, gehen
🚶‍♂‍➡	Fussgänger, Fussgänger nach rechts, Mann, Spaziergang, gehen
🚶🏻‍♂‍➡	Fussgänger, Fussgänger nach rechts, Mann, Spaziergang, gehen
🚶🏼‍♂‍➡	Fussgänger, Fussgänger nach rechts, Mann, Spaziergang, gehen
🚶🏽‍♂‍➡	Fussgänger, Fussgänger nach rechts, Mann, Spaziergang, gehen
🚶🏾‍♂‍➡	Fussgänger, Fussgänger nach rechts, Mann, Spaziergang, gehen
🚶🏿‍♂‍➡	Fussgänger, Fussgänger nach rechts, Mann, Spaziergang, gehen
🧑‍🦯	Barrierefreiheit, Person mit Langstock, blind
🧑🏻‍🦯	Barrierefreiheit, Person mit Langstock, blind, helle Hautfarbe
🧑🏼‍🦯	Barrierefreiheit, Person mit Langstock, blind, mittelhelle Hautfarbe
🧑🏽‍🦯	Barrierefreiheit, Person mit Langstock, blind, mittlere Hautfarbe
🧑🏾‍🦯	Barrierefreiheit, Person mit Langstock, blind, mitteldunkle Hautfarbe
🧑🏿‍🦯	Barrierefreiheit, Person mit Langstock, blind, dunkle Hautfarbe
🧑‍🦯‍➡	Barrierefreiheit, Person mit Langstock, blind
🧑🏻‍🦯‍➡	Barrierefreiheit, Person mit Langstock, blind
🧑🏼‍🦯‍➡	Barrierefreiheit, Person mit Langstock, blind
🧑🏽‍🦯‍➡	Barrierefreiheit, Person mit Langstock, blind
🧑🏾‍🦯‍➡	Barrierefreiheit, Person mit Langstock, blind
🧑🏿‍🦯‍➡	Barrierefreiheit, Person mit Langstock, blind
🧗‍♂	Bergsteiger, Kletterer, bergsteigen, klettern
🧗🏻‍♂	Bergsteiger, Kletterer, bergsteigen, helle Hautfarbe, klettern
🧗🏼‍♂	Bergsteiger, Kletterer, bergsteigen, klettern, mittelhelle Hautfarbe
🧗🏽‍♂	Bergsteiger, Kletterer, bergsteigen, klettern, mittlere Hautfarbe
🧗🏾‍♂	Bergsteiger, Kletterer, bergsteigen, klettern, mitteldunkle Hautfarbe
🧗🏿‍♂	Bergsteiger, Kletterer, bergsteigen, dunkle Hautfarbe, klettern
🧗‍♀	Bergsteigerin, Kletterin, bergsteigen, klettern
🧗🏻‍♀	Bergsteigerin, Kletterin, bergsteigen, helle Hautfarbe, klettern
🧗🏼‍♀	Bergsteigerin, Kletterin, bergsteigen, klettern, mittelhelle Hautfarbe
🧗🏽‍♀	Bergsteigerin, Kletterin, bergsteigen, klettern, mittlere Hautfarbe
🧗🏾‍♀	Bergsteigerin, Kletterin, bergsteigen, klettern, mitteldunkle Hautfarbe
🧗🏿‍♀	Bergsteigerin, Kletterin, bergsteigen, dunkle Hautfarbe, klettern
👣	Abdruck, Fussabdruck, Fussabdrücke
🫆	Abdruck, Fingerabdruck, Polizei, Sicherheit, Täter, Täterin
🦳	weisses Haar
🫏	Dummkopf, Esel, Grautier, Maultier, Säugetier, Tier, stur, störrisch
🦣	Aussterben, Mammut, Stosszahn, gross, wollig
🐁	Maus, Nage, Tier, weiss
🐻‍❄	Arktis, Eisbär, Nordpol, weiss
🦤	Aussterben, Dodo, Mauritius, gross
🪽	Engel, Federn, Flügel, Mythologie, Vogel, fliegen
🐦‍🔥	Asche, Donnervogel, Fantasy, Feuer, Feuervogel, Phönix, Vogel, Wiedergeburt
🐛	Insekt, Raupe, Tier, gefrässig
🪰	Fliege, Insekt, Krankheit, Made, Mücke, Plage, Schmeissfliege, Tier, fliegen, verwesen
💐	Blumen, Blumenstrauss, Bouquet
🪻	Blume, Hyazinthe, Lavendel, Lupine, Löwenmaul
🪾	Baum ohne Blätter, Dürre, Herbst, Winter, blätterlos, kahl
🌶️	Chili
🫑	Gemüse, Paprika, Peperoni
🫚	Ginger Beer, Ingwer, Ingwerwurzel, scharf
🫛	Bohne, Edamame, Erbse, Gemüse, Hülsenfrüchte
🫜	Beete, Garten, Gemüse, Rande, Randen, Rübe, Wurzel
🍞	Brot, Brotlaib, Essen, Kohlenhydrate, Laib Brot, Toast, Weissbrot, Weizen
🍗	Geflügel, Poulet, Pouletschenkel
🍝	Nudeln mit Tomatensauce, Pasta, Spaghetti
🍠	Geröstete Süsskartoffel, Süsskartoffel, geröstet
🍡	Dango, Mochi-Kugeln auf einem Spiess, Restaurant, japanisches Gericht
🥟	Empanada, Gyōza, Jiaozi, Kloss, Pierogi, Teigtasche, chinesische Teigtasche, dumpling, empanada, essen, potsticker
🍧	Eis, Sorbet, Wassereis, zerstossen
🍩	Donut, Doughnut, Essen, Kuchen, süss
🧁	Cupcake, Gebäck, Konditorei, Muffin, süss
🍫	Essen, Schokolade, Schokoladentafel, Süssigkeit
🍬	Bonbon, Süssigkeit
🍭	Lolli, Lutscher, Süssigkeit
🍮	Dessert, Nachspeise, Nachtisch, Pudding, Sauce, Schokolade
🍯	Honig, Honigtopf, süss
☕️	Getränk, Heissgetränk, Kaffee, Tee, dampfend, heiss, trinken
🫖	Kanne, Tee, Teekanne, Teekrug, trinken
🍻	Bier, Bierkrüge, anstossen
🥂	Champagner, Getränk, Sekt, Sektgläser, anstossen, feiern
🫗	Flüssigkeit ausgiessen, Getränk, Glas, ausgiessen, giessen, leer, trinken
🏺	Amphore, Gefäss, Krug, Vase, Wassermann, kochen
🏜️	Wüste, heiss
🏙️	Gebäude, Grossstadt, Hochhäuser, Häuser, Skyline, Stadt, Wolkenkratzer
🌇	Grossstadt, Hochhäuser, Morgenrot, Sonnenaufgang, Sonnenuntergang, Sonnenuntergang in der Stadt, Wolkenkratzer
♨️	Dampf, Heisse Quellen, Quellen, dampfend, heiss, heisse Quellen
🚃	Eisenbahnwagen, Fahrzeug, Strassenbahn, Strassenbahnwagen, Tram, Wagen, Wagon, Zug
🚊	Strassenbahn, Tram
🚋	Strassenbahn, Strassenbahnwagen, Tram, Tramwagen
🚎	Oberleitungsbus, Strassenbahn, Tram, Trolleybus
🛣️	Autobahn, Schnellstrasse
🛸	Alien, Ausserirdisch, UFO, fliegende Untertasse
⭐️	Stern, weisser mittelgrosser Stern
🌌	Galaxie, Milchstrasse
🌥️	Sonne, Sonne hinter grosser Wolke, Wetter, Wolke, grosse Wolke
🔥	Feuer, Flamme, heiss
💧	Schweiss, Tropfen, Wasser, Wassertropfen
⚽️	Ball, Fussball
🥅	Fussball, Netz, Sport, Tor
🪅	Feier, Hau drauf, Mexiko, Objekt, Party, Pinada, Pinata, Piñata, Süssigkeiten, mexikanisch, süss
🥽	Augenschutz, Schutzbrille, Schweissen, Schwimmen
🥼	Arzt, Arztkittel, Doc, Doktor, Experiment, Kleidung, Kleidungsstück, Laborkittel, Labormantel, Wissenschaftler, weisse Jacke, weisser Mantel
🪭	Faltfächer, Flamenco, Fächer, fächern, heiss, kühl, scheu, tanzen
🎒	Ranzen, Rucksack, Schule, Schulranzen, Schulsack, Tornister
🩴	Flipflops, Zehensandale, Zehensandalen
🪮	Afro Pick, Kamm, kämmen
⛑️	Helm, Helm mit weissem Kreuz, Hilfe, Kreuz
🪇	Instrument, Maraca, Musik, Trommel, schütteln
🪈	Blockflöte, Flöte, Holzblasinstrument, Musik, Pfeife
🪉	Amor, Harfe, Instrument, Liebe, Musik, Orchester
🪫	Akku leer, Batterie leer, schwache Batterie
🔍	Lupe nach links, Suche, Vergrösserungsglas
🔎	Lupe nach rechts, Suche, Vergrösserungsglas
📆	Abreisskalender, Kalender
📌	Reisszwecke, anpinnen
📍	Reisszwecke, anpinnen, rund, runde Reisszwecke
✂️	Schere, basteln, schneiden
🔑	Passwort, Schlüssel, schliessen
⛓‍💥	Freiheit, Kette, befreien, kaputt, kaputte Kette, losreissen, reissen
🪏	Loch, Schaufel, Spaten, ausgraben, graben, schaufeln, vergraben
🩼	Behinderung, Beinverletzung, Fussverletzung, Gehhilfe, Gehstütze, Hilfe, Krücke, Schmerzen, Stock, Verletzung, verletzt
🩻	Röntgen
🛗	Lift
🪠	Klempner, Pümpel, Sanitär, Saugglocke, WC
🫧	Schaum, Seife, Seifenblasen, sauber
🪪	Ausweis, Fahrausweis, ID
🚮	Abfall, Müll, Mülleimer, Sauberkeit, Symbol „Papierkorb“, wegschmeissen, wegwerfen
🚼️	Baby-Symbol, Symbol „Baby“, Wickelraum
🛅	Gepäck, Gepäckaufbewahrung, Schliessfach
🚸	Kinder, Kinder-queren-die-Strasse-Schild, Vorsicht
🚷	Fussgänger-verboten-Schild, verboten
☢️	Radioaktivität, radioaktiv
🪯	Khanda-Emblem
🛜	Computer, Internet, Netzwerk, WIFI, WLAN, drahtlos, kabellos
➕️	Plus
➖️	Minus
❔️	Satzzeichen, weiss, weisses Fragezeichen
❕️	Satzzeichen, weiss, weisses Ausrufezeichen
⭕️	Kreis, grosser Kreis, hohler roter Kreis, o, rot
✅️	Weisses Häkchen, abgehakt, erledigt
➰️	Looping, Schleife
🫟	Farbe, Farbklecks, Fleck, Klecks, Spritzer, kleckern, verschütten
🔠	Eingabesymbol lateinische Grossbuchstaben, Grossbuchstaben, lateinische Grossbuchstaben
🅰️	Blut, Blutgruppe, Grossbuchstabe A in Quadrat, a, negativ, positiv
🆎	Blut, Blutgruppe, Grossbuchstaben AB in rotem Quadrat, ab, negativ, positiv
🅱️	Blut, Blutgruppe, Grossbuchstabe B in Quadrat, b, negativ, positiv
🆑	CL, Grossbuchstaben CL in rotem Quadrat
🆔	Grossbuchstaben ID in lila Quadrat, ID
Ⓜ️	Buchstabe, Grossbuchstabe, Kreis, M, eingekreist
🆖	Grossbuchstaben NG in blauem Quadrat, NG
🅾️	0, Blut, Blutgruppe, Grossbuchstabe O in Quadrat, negativ, positiv
🆗	Grossbuchstaben OK in blauem Quadrat, OK
🅿️	Grossbuchstabe P in Quadrat, Parkplatz, Quadrat
🆚	Grossbuchstaben VS in orangefarbenem Quadrat, VS, versus
🔴	Ball, Grosser roter Kreis, Kreis, rot
🔵	Ball, Grosser blauer Kreis, Kreis, blau
⚫️	Ball, Grosser schwarzer Kreis, Kreis, schwarz
⚪️	Ball, Grosser weisser Kreis, Kreis, weiss
⬛️	Grosses schwarzes Quadrat, Quadrat, schwarz
⬜️	Grosses weisses Quadrat, Quadrat, weiss
◼️	Mittelgrosses schwarzes Quadrat, Quadrat, schwarz
◻️	Mittelgrosses weisses Quadrat, Quadrat, weiss
◽️	Mittelkleines weisses Quadrat, Quadrat, weiss
▫️	Kleines weisses Quadrat, Quadrat, weiss
🔶	Grosse orangefarbene Raute, Raute, orangefarben
🔷	Grosse blaue Raute, Raute, blau
🔳	Schaltfläche, Weisse quadratische Schaltfläche, quadratisch, weiss
🏳️	Fahne, Wehende weisse Fahne, wehen, weisse Fahne
🏳‍⚧	Flagge, Transgender, Transgenderflagge, hellblau, pink, weiss
🇧🇳	Flagge: Brunei
🇧🇼	Flagge: Botswana
🇨🇻	Flagge: Kapverden
🇸🇧	Flagge: Salomon-Inseln
🇹🇱	Flagge: Osttimor
🇿🇼	Flagge: Zimbabwe
$	Dollar, Dollarzeichen, Geld, Peso, USD
₤	Lira, Währung
₰	Deutscher Pfennig, Pfennig, Währung
₳	ARA, Austral, Währung
₶	Livre tournois, Livre tournoise, Währung
₷	Spesmilo, Währung
₨	Rupie, Währung
﷼	Rial, Währung
µ	Masseinheit, Mikro-Zeichen, My
