‾	Oberstrich, Überstrich
◁	weisses nach links weisendes Dreieck
◃	weisses nach links weisendes kleines Dreieck
◅	weisser nach links weisender Zeiger
◇	weisses Karo
◈	weisses Karo mit kleinem schwarzem Karo
◉	Bullauge, Kreis, kleiner schwarzer Kreis, konzentrische Kreise, weisser Kreis mit kleinem schwarzem Kreis
◎	Ziel, doppelter Kreis, konzentrische Kreise
◕	schwarzer Kreis mit weissem Viertel oben links
◙	schwarzes Quadrat mit weissem Kreis
◦	weisses Aufzählungszeichen
◯	Kreis, Ring, grosser hohler Kreis
◳	weisses Quadrat mit Viertel oben rechts
◷	weisser Kreis mit Viertel oben rechts
◿	weisses Dreieck unten rechts
♪	Achtel, Achtelsnote, Musik, Note
⪚	gleich über grösser als
😃	Gesicht, grinsendes Gesicht mit grossen Augen, lol, lustig
😅	Gesicht, Lachender Smiley mit kaltem Schweiss, Schweiss, lustig, schwitzen
🤪	Auge, Augen, Gesicht, Smiley, gross, irre, klein, verrückt
🫡	Aye aye, Gesicht, Truppen, grüssendes Gesicht, jawohl, ok, salutieren
🤐	Geheimnis, Gesicht, Mund, Reissverschluss, Smiley, Smiley mit Reissverschlussmund, halten, schweigen, wahren
😶‍🌫	Kopf in den Wolken, abwesend, benebelt, geistig umnachtet
😮‍💨	ausatmendes Gesicht
🥵	Fieber, Gesicht, Hitzeschlag, Hitzschlag, Smiley, Zunge herausstrecken, erhitzt, erhitztes Gesicht, fiebrig, heiss, krank, rotes Gesicht, schnaufend, schwitzen, schwitzend, schwitzendes Gesicht, sterbend, übel
😵‍💫	Gesicht mit Spiralaugen
🥸	Gesicht mit Maske
😳	Augen, Erröteter Smiley mit grossen Augen, Gesicht, Scham, Smiley, Wangen, erröten, gross, peinlich, rot, schämen, verlegen, überrascht
🥺	Gesicht, Gnade, Kulleraugen, Smiley, Welpenaugen, anflehen, betteln, bettelndes Gesicht, bitte, bitten, bittendes Gesicht, flehendes Gesicht, grosse Augen, traurig, treuer Blick, warum nicht
😰	Angst, Angstschweiss, Gesicht, Mund, Schweiss, Smiley mit offenem Mund und kaltem Schweiss, besorgt, kalter Schweiss, nervös, offen, ängstlich
😥	Gesicht, Schweiss, enttäuscht, erleichtert, knapp, traurig, ängstlich
😓	Gesicht, Smiley mit kaltem Schweiss, geschlossene Augen
👽️	Alien, Ausserirdischer, Ausserirdisches Wesen, Gesicht, UFO
❤‍🔥	Feuer, Herz in Flammen, Liebe, brennen, brennendes Herz
❤‍🩹	Besserung, Herz mit Pflaster, Pflaster, erholen, gesund, gute Besserung, heilen
🩷	Gefühl, Herz, Liebe, flirten, gefallen, gefällt, mag, mögen, pink, rosa, süss, verliebt
🤍	Herz, weiss, weisses Herz
💥	Bombe, Boom, Comic, Explosion, Kollision, Zusammenstoss, explodieren, kollidieren, zusammenstossen
💦	Comic, Schweiss, Schweisstropfen, Training, Tropfen, Wasser, feucht, nass, schwitzen, trainieren
🖖	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, vulkanisch
🖖🏻	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: helle Hautfarbe, helle Hautfarbe, vulkanisch
🖖🏼	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mittelhelle Hautfarbe, mittelhelle Hautfarbe, vulkanisch
🖖🏽	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mittlere Hautfarbe, mittlere Hautfarbe, vulkanisch
🖖🏾	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, vulkanisch
🖖🏿	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: dunkle Hautfarbe, dunkle Hautfarbe, vulkanisch
🫷	High Five, Stopp, drücken, nach links, nach links drückende Hand, nein, warten
🫷🏻	High Five, Stopp, drücken, helle Hautfarbe, nach links, nach links drückende Hand, nach links drückende Hand: helle Hautfarbe, nein, warten
🫷🏼	High Five, Stopp, drücken, mittelhelle Hautfarbe, nach links, nach links drückende Hand, nach links drückende Hand: mittelhelle Hautfarbe, nein, warten
🫷🏽	High Five, Stopp, drücken, mittlere Hautfarbe, nach links, nach links drückende Hand, nach links drückende Hand: mittlere Hautfarbe, nein, warten
🫷🏾	High Five, Stopp, drücken, mitteldunkle Hautfarbe, nach links, nach links drückende Hand, nach links drückende Hand: mitteldunkle Hautfarbe, nein, warten
🫷🏿	High Five, Stopp, drücken, dunkle Hautfarbe, nach links, nach links drückende Hand, nach links drückende Hand: dunkle Hautfarbe, nein, warten
🫸	High Five, Stopp, drücken, nach rechts, nach rechts drückende Hand, nein, warten
🫸🏻	High Five, Stopp, drücken, helle Hautfarbe, nach rechts, nach rechts drückende Hand, nach rechts drückende Hand: helle Hautfarbe, nein, warten
🫸🏼	High Five, Stopp, drücken, mittelhelle Hautfarbe, nach rechts, nach rechts drückende Hand, nach rechts drückende Hand: mittelhelle Hautfarbe, nein, warten
🫸🏽	High Five, Stopp, drücken, mittlere Hautfarbe, nach rechts, nach rechts drückende Hand, nach rechts drückende Hand: mittlere Hautfarbe, nein, warten
🫸🏾	High Five, Stopp, drücken, mitteldunkle Hautfarbe, nach rechts, nach rechts drückende Hand, nach rechts drückende Hand: mitteldunkle Hautfarbe, nein, warten
🫸🏿	High Five, Stopp, drücken, dunkle Hautfarbe, nach rechts, nach rechts drückende Hand, nach rechts drückende Hand: dunkle Hautfarbe, nein, warten
🤘	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss
🤘🏻	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: helle Hautfarbe, helle Hautfarbe
🤘🏼	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🤘🏽	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: mittlere Hautfarbe, mittlere Hautfarbe
🤘🏾	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🤘🏿	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: dunkle Hautfarbe, dunkle Hautfarbe
👏🏻	Applaus, Beifall, Gratulation, Hand, Hände, Klatschen, applaudieren, grossartig, gut, helle Hautfarbe, klatschend, toll
👏🏼	Applaus, Beifall, Gratulation, Hand, Hände, Klatschen, applaudieren, grossartig, gut, klatschend, mittelhelle Hautfarbe, toll
👏🏽	Applaus, Beifall, Gratulation, Hand, Hände, Klatschen, applaudieren, grossartig, gut, klatschend, mittlere Hautfarbe, toll
👏🏾	Applaus, Beifall, Gratulation, Hand, Hände, Klatschen, applaudieren, grossartig, gut, klatschend, mitteldunkle Hautfarbe, toll
👏🏿	Applaus, Beifall, Gratulation, Hand, Hände, Klatschen, applaudieren, dunkle Hautfarbe, grossartig, gut, klatschend, toll
🙏	Gebet, beten, betende Hände, bitten, danken, grüssen, zusammengelegte Handflächen
🙏🏻	Gebet, beten, betende Hände, bitten, danken, grüssen, helle Hautfarbe, zusammengelegte Handflächen
🙏🏼	Gebet, beten, betende Hände, bitten, danken, grüssen, mittelhelle Hautfarbe, zusammengelegte Handflächen
🙏🏽	Gebet, beten, betende Hände, bitten, danken, grüssen, mittlere Hautfarbe, zusammengelegte Handflächen
🙏🏾	Gebet, beten, betende Hände, bitten, danken, grüssen, mitteldunkle Hautfarbe, zusammengelegte Handflächen
🙏🏿	Gebet, beten, betende Hände, bitten, danken, dunkle Hautfarbe, grüssen, zusammengelegte Handflächen
🦵	Bein, Extremität, Fuss, Gliedmasse, Knie, Körperglied, Körperteil, Treten, Tritt, gebeugtes Knie
🦵🏻	Bein, Extremität, Fuss, Gliedmasse, Knie, Körperglied, Körperteil, Treten, Tritt, gebeugtes Knie, helle Hautfarbe
🦵🏼	Bein, Extremität, Fuss, Gliedmasse, Knie, Körperglied, Körperteil, Treten, Tritt, gebeugtes Knie, mittelhelle Hautfarbe
🦵🏽	Bein, Extremität, Fuss, Gliedmasse, Knie, Körperglied, Körperteil, Treten, Tritt, gebeugtes Knie, mittlere Hautfarbe
🦵🏾	Bein, Extremität, Fuss, Gliedmasse, Knie, Körperglied, Körperteil, Treten, Tritt, gebeugtes Knie, mitteldunkle Hautfarbe
🦵🏿	Bein, Extremität, Fuss, Gliedmasse, Knie, Körperglied, Körperteil, Treten, Tritt, dunkle Hautfarbe, gebeugtes Knie
🦶	Fuss, Kick, stampfen
🦶🏻	Fuss, Fuss: helle Hautfarbe, Kick, helle Hautfarbe, stampfen
🦶🏼	Fuss, Fuss: mittelhelle Hautfarbe, Kick, mittelhelle Hautfarbe, stampfen
🦶🏽	Fuss, Fuss: mittlere Hautfarbe, Kick, mittlere Hautfarbe, stampfen
🦶🏾	Fuss, Fuss: mitteldunkle Hautfarbe, Kick, mitteldunkle Hautfarbe, stampfen
🦶🏿	Fuss, Fuss: dunkle Hautfarbe, Kick, dunkle Hautfarbe, stampfen
🦷	Zahn, Zahn ziehen, Zahnarzt, Zahnärztin, Zähne, weiss
🫦	Angst, Auf Lippe beissen, besorgt, flirtend, nervös, unbehaglich, ängstlich
🧑‍🦳	Mensch, Person, Person: weisses Haar, erwachsen, erwachsene Person, weisses Haar
🧑🏻‍🦳	Mensch, Person, Person: helle Hautfarbe, weisses Haar, erwachsen, erwachsene Person, helle Hautfarbe, weisses Haar
🧑🏼‍🦳	Mensch, Person, Person: mittelhelle Hautfarbe, weisses Haar, erwachsen, erwachsene Person, mittelhelle Hautfarbe, weisses Haar
🧑🏽‍🦳	Mensch, Person, Person: mittlere Hautfarbe, weisses Haar, erwachsen, erwachsene Person, mittlere Hautfarbe, weisses Haar
🧑🏾‍🦳	Mensch, Person, Person: mitteldunkle Hautfarbe, weisses Haar, erwachsen, erwachsene Person, mitteldunkle Hautfarbe, weisses Haar
🧑🏿‍🦳	Mensch, Person, Person: dunkle Hautfarbe, weisses Haar, dunkle Hautfarbe, erwachsen, erwachsene Person, weisses Haar
👨‍🦳	Gesicht, Mann, Mann: weisses Haar, erwachsen, weisses Haar
👨🏻‍🦳	Gesicht, Mann, Mann: helle Hautfarbe, weisses Haar, erwachsen, helle Hautfarbe, weisses Haar
👨🏼‍🦳	Gesicht, Mann, Mann: mittelhelle Hautfarbe, weisses Haar, erwachsen, mittelhelle Hautfarbe, weisses Haar
👨🏽‍🦳	Gesicht, Mann, Mann: mittlere Hautfarbe, weisses Haar, erwachsen, mittlere Hautfarbe, weisses Haar
👨🏾‍🦳	Gesicht, Mann, Mann: mitteldunkle Hautfarbe, weisses Haar, erwachsen, mitteldunkle Hautfarbe, weisses Haar
👨🏿‍🦳	Gesicht, Mann, Mann: dunkle Hautfarbe, weisses Haar, dunkle Hautfarbe, erwachsen, weisses Haar
👩‍🦳	Frau, Frau: weisses Haar, Gesicht, erwachsen, weisses Haar
👩🏻‍🦳	Frau, Frau: helle Hautfarbe, weisses Haar, Gesicht, erwachsen, helle Hautfarbe, weisses Haar
👩🏼‍🦳	Frau, Frau: mittelhelle Hautfarbe, weisses Haar, Gesicht, erwachsen, mittelhelle Hautfarbe, weisses Haar
👩🏽‍🦳	Frau, Frau: mittlere Hautfarbe, weisses Haar, Gesicht, erwachsen, mittlere Hautfarbe, weisses Haar
👩🏾‍🦳	Frau, Frau: mitteldunkle Hautfarbe, weisses Haar, Gesicht, erwachsen, mitteldunkle Hautfarbe, weisses Haar
👩🏿‍🦳	Frau, Frau: dunkle Hautfarbe, weisses Haar, Gesicht, dunkle Hautfarbe, erwachsen, weisses Haar
🧓🏻	Grosseltern, Mensch, Person, alt, erwachsen, helle Hautfarbe, weise, älter
🧓🏼	Grosseltern, Mensch, Person, alt, erwachsen, mittelhelle Hautfarbe, weise, älter
🧓🏽	Grosseltern, Mensch, Person, alt, erwachsen, mittlere Hautfarbe, weise, älter
🧓🏾	Grosseltern, Mensch, Person, alt, erwachsen, mitteldunkle Hautfarbe, weise, älter
🧓🏿	Grosseltern, Mensch, Person, alt, dunkle Hautfarbe, erwachsen, weise, älter
👴	Gesicht, Glatze, Grossvater, Mann, Opa, Senior, Älterer Mann, älterer Mann
👴🏻	Gesicht, Glatze, Grossvater, Mann, Opa, Senior, helle Hautfarbe, Älterer Mann, älterer Mann
👴🏼	Gesicht, Glatze, Grossvater, Mann, Opa, Senior, mittelhelle Hautfarbe, Älterer Mann, älterer Mann
👴🏽	Gesicht, Glatze, Grossvater, Mann, Opa, Senior, mittlere Hautfarbe, Älterer Mann, älterer Mann
👴🏾	Gesicht, Glatze, Grossvater, Mann, Opa, Senior, mitteldunkle Hautfarbe, Älterer Mann, älterer Mann
👴🏿	Gesicht, Glatze, Grossvater, Mann, Opa, Senior, dunkle Hautfarbe, Älterer Mann, älterer Mann
👵	Brille, Dutt, Frau, Gesicht, Grossmutter, Oma, Seniorin, Ältere Frau, ältere Frau
👵🏻	Brille, Dutt, Frau, Gesicht, Grossmutter, Oma, Seniorin, helle Hautfarbe, Ältere Frau, ältere Frau
👵🏼	Brille, Dutt, Frau, Gesicht, Grossmutter, Oma, Seniorin, mittelhelle Hautfarbe, Ältere Frau, ältere Frau
👵🏽	Brille, Dutt, Frau, Gesicht, Grossmutter, Oma, Seniorin, mittlere Hautfarbe, Ältere Frau, ältere Frau
👵🏾	Brille, Dutt, Frau, Gesicht, Grossmutter, Oma, Seniorin, mitteldunkle Hautfarbe, Ältere Frau, ältere Frau
👵🏿	Brille, Dutt, Frau, Gesicht, Grossmutter, Oma, Seniorin, dunkle Hautfarbe, Ältere Frau, ältere Frau
🙅	Geste, Nein, Person, Person mit überkreuzten Armen, ausschliessen, falsch, keine Chance, verbieten, verboten, verschränkte Arme, x
🙅🏻	Geste, Nein, Person, Person mit überkreuzten Armen, ausschliessen, falsch, helle Hautfarbe, keine Chance, verbieten, verboten, verschränkte Arme, x
🙅🏼	Geste, Nein, Person, Person mit überkreuzten Armen, ausschliessen, falsch, keine Chance, mittelhelle Hautfarbe, verbieten, verboten, verschränkte Arme, x
🙅🏽	Geste, Nein, Person, Person mit überkreuzten Armen, ausschliessen, falsch, keine Chance, mittlere Hautfarbe, verbieten, verboten, verschränkte Arme, x
🙅🏾	Geste, Nein, Person, Person mit überkreuzten Armen, ausschliessen, falsch, keine Chance, mitteldunkle Hautfarbe, verbieten, verboten, verschränkte Arme, x
🙅🏿	Geste, Nein, Person, Person mit überkreuzten Armen, ausschliessen, dunkle Hautfarbe, falsch, keine Chance, verbieten, verboten, verschränkte Arme, x
🙋	Hand heben, Hand hoch, Person, Person mit erhobenem Arm, Siegerpose, erhobener Arm, ich weiss, nimm mich
🙋🏻	Hand heben, Hand hoch, Person, Person mit erhobenem Arm, Siegerpose, erhobener Arm, helle Hautfarbe, ich weiss, nimm mich
🙋🏼	Hand heben, Hand hoch, Person, Person mit erhobenem Arm, Siegerpose, erhobener Arm, ich weiss, mittelhelle Hautfarbe, nimm mich
🙋🏽	Hand heben, Hand hoch, Person, Person mit erhobenem Arm, Siegerpose, erhobener Arm, ich weiss, mittlere Hautfarbe, nimm mich
🙋🏾	Hand heben, Hand hoch, Person, Person mit erhobenem Arm, Siegerpose, erhobener Arm, ich weiss, mitteldunkle Hautfarbe, nimm mich
🙋🏿	Hand heben, Hand hoch, Person, Person mit erhobenem Arm, Siegerpose, dunkle Hautfarbe, erhobener Arm, ich weiss, nimm mich
🤷	Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, schulterzuckende Person, weiss nicht, wer weiss
🤷🏻	Person, Schultern zucken, Zweifel, egal, gleichgültig, helle Hautfarbe, ich weiss nicht, keine Ahnung, schulterzuckende Person, weiss nicht, wer weiss
🤷🏼	Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mittelhelle Hautfarbe, schulterzuckende Person, weiss nicht, wer weiss
🤷🏽	Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mittlere Hautfarbe, schulterzuckende Person, weiss nicht, wer weiss
🤷🏾	Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mitteldunkle Hautfarbe, schulterzuckende Person, weiss nicht, wer weiss
🤷🏿	Person, Schultern zucken, Zweifel, dunkle Hautfarbe, egal, gleichgültig, ich weiss nicht, keine Ahnung, schulterzuckende Person, weiss nicht, wer weiss
🤷‍♂	Mann, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, schulterzuckender Mann, weiss nicht, wer weiss
🤷🏻‍♂	Mann, Person, Schultern zucken, Zweifel, egal, gleichgültig, helle Hautfarbe, ich weiss nicht, keine Ahnung, schulterzuckender Mann, weiss nicht, wer weiss
🤷🏼‍♂	Mann, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mittelhelle Hautfarbe, schulterzuckender Mann, weiss nicht, wer weiss
🤷🏽‍♂	Mann, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mittlere Hautfarbe, schulterzuckender Mann, weiss nicht, wer weiss
🤷🏾‍♂	Mann, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mitteldunkle Hautfarbe, schulterzuckender Mann, weiss nicht, wer weiss
🤷🏿‍♂	Mann, Person, Schultern zucken, Zweifel, dunkle Hautfarbe, egal, gleichgültig, ich weiss nicht, keine Ahnung, schulterzuckender Mann, weiss nicht, wer weiss
🤷‍♀	Frau, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, schulterzuckende Frau, weiss nicht
