_	dash, line, low dash, low line, underdash, underline
▲	Oopar point karta hua filled triangle, arrow, filled, triangle, up
△	hollow up-pointing triangle
▴	filled up-pointing small triangle
▵	hollow up-pointing small triangle
▷	hollow right-pointing triangle
▸	filled right-pointing small triangle
▹	hollow right-pointing small triangle
►	filled right-pointing pointer
▻	hollow right-pointing pointer
▼	arrow, down, filled, neeche point karta hua filled triangle, neeche point karta hua triangle, triangle
▽	hollow down-pointing triangle
▾	filled down-pointing small triangle
▿	hollow down-pointing small triangle
◁	hollow left-pointing triangle
◂	filled left-pointing small triangle
◃	hollow left-pointing small triangle
◄	filled left-pointing pointer
◅	hollow left-pointing pointer
◆	filled diamond
◇	hollow diamond
◈	filled diamond wala hollow diamond, hollow diamond containing filled diamond
◉	circled dot, concentric cicles filled, filled circle wala hollow circle, fisheye, ward
○	circle, hollow circle, ring
◍	vertical fill wala circle
●	circle, filled circle
◐	left se half filled circle
◑	right se half filled circle
◒	neeche se half filled circle
◓	oopar se half filled circle
◔	Circle kaa filled upper right quadrant
◕	upper left quadrant chhodkar filled circle, upper left quadrant ko chhodkar poora filled cirle
◖	half filled left circle, left se half black circle, left se half filled circle
◗	half filled right circle, right se half black circle, right se half filled circle
◙	hollow circle wala filled square, inverse hollow circle
◜	upper left quadrant circular arc
◝	upper right quadrant circular arc
◞	lower right quadrant circular arc
◟	lower left quadrant circular arc
◢	filled lower right triangle
◣	filled lower left triangle
◤	filled upper left triangle
◥	filled upper right triangle
◯	circle, large hollow circle, ring
◳	hollow square upper right quadrant
◷	hollow upper right quadrant wala hollow circle, upper right quadrant wala hollow circle
◿	lower right triangle
♪	eighth, eighth note, music, note
⨧	plus subscript two
⨯	vector cross product
⨼	interior product
⩣	logical yaa double underbar
⩽	less-than slanted equal
⪍	less-than above similar equal
⪚	baraabri na hona, double-line equal greater-than, mathematics
♯	diesis, music, note, sharp
😀	cheerful, grin, grinning, happy, happy face, laugh, laughing, nice
😃	badi aankhon wala grinning face, face, mouth, open, smile
😄	eye, face, mouth, open, smile, smile karti aankhon wala grinning face
😁	eye, face, grin, smile, smile karti aankhon wala beaming face
😆	eyes, grinning, grinning face, haha, hahaha, happy, happy face, laugh, lol, rofl
😅	cold, face, open, smile, sweat, sweating wala grinning face
🤣	funny, haha, happy, hehe, hilarious, joy, laugh, lol, rofl, rolling
😂	face, joy, khushi ke aansoo wala face, laugh, tear
🫠	embarrassed, haha, heat, hot, liquid, lol, melting, sarcasm, sarcastic
😊	blush, eye, face, smile, smiling eyes wala smiling face
😇	angel, blessed, fairy, fairytale, fantasy, halo, happy, innocent, peaceful
🥰	adore, crush, hearts, hearts wala smiling face, in love, smiling face with hearts
😍	eye, face, heart-eyes wala smiling face, love, smile
😘	face, face blowing a kiss, kiss, kiss deta face
😗	143, date, dating, face, flirt, ily, kiss, love, smooch, you
😚	closed, closed eyes wala kissing face, eye, face, kiss
😙	eye, face, kiss, smile, smiling eyes wala kissing face
🥲	aansoo wala smiling face, grateful, proud, relieved, smiling, tear, touched
😋	delicious, face, food enjoy karta face, savouring, smile, yum
😛	face, tongue, tongue dikhaata face
😜	eye, face, joke, tongue, tongue dikhaata winking face, wink
😝	eye, face, horrible, taste, tongue, tongue nikaalta squinting face
🤗	face, hug, hug karta smiling face, hugging, open hands, smiling face
🤭	mouth par haath wala face, whoops
🫢	amazement, awe, disbelief, embarrass, khuli aankhein aur munh par haath, scared, surprise
🫣	captivated, fingers ke beech se jhaankta face, jhaankna, stare
🫡	OK, good, luck, ma’am, respect, salute, saluting, sir, troops, yes
🤨	distrust, raised eyebrow wala face, skeptic
😐️	awkward, blank, expressionless, fine, jealous, neutral, straight, unhappy, unimpressed, whatever
😑	awkward, blank, expressionless, fine, jealous, neutral, straight, unhappy, unimpressed, whatever
😶	bina mouth wala face, face, mouth, quiet, silent
🫥	depressed, disappear, dotted, face, hidden, hide, introvert, invisible, whatever, wtv
😶‍🌫	absentminded, baadlon mein face, baadlon mein head, fog mein face
😏	boss, face, flirt, kidding, shade, slick, snicker suspicious, swag
😒	bored, jealous, pissed, ugh, uhh, unhappy, weird, whatever
🙄	eyeroll, eyes, face, rolling, rolling eyes wala face
😮‍💨	breathe out fast, exhale karta face, groan, relief, whisper, whistle
🫨	crazy, earthquake, face, omg, panic, shaking, shock, surprise, vibrate, wow
🙂‍↔	left right head shaking, left-right sir hilaana, nahi, no, shake
🙂‍↕	haan, nod, oopar-neeche sir hilaana, yes
😔	bored, died, disappointed, face, losing, lost, pensive, sad, sucks
😴	bedtime, goodnight, nap, night, sleep, sleeping, tired, whatever, yawn, zzz
🫩	baggy under eyes wala face
😷	cold, doctor, face, mask, medical mask wala face, sick
🤒	face, ill, sick, thermometer, thermometer wala face
🤕	bandage, face, head-bandage wala face, hurt, injury
🤢	face, nauseated face, vomit
🤮	barf, ew, face, gross, puke, sick, spew, vomit, vomiting
😵	crossed-out eyes, crossed-out eyes wala face, dead, face, knocked out
😵‍💫	dizzy, hypnotized, spiral, spiral eyes wala face, trouble, whoa
🥳	bday, birthday, celebrate, celebration, excited, happy, hat, hooray, party
🥸	disguise, eyebrow, glasses, glasses on eyes, incognito, moustache, naak, nose, spy
😎	bright, cool, face, sun, sunglasses, sunglasses wala face
🧐	face, face with monocle, monocle, monocle pahne face, stuffy
😕	boring, confused, dunno, face, frown, hm, sad, sorry
🫤	diagonal mouth wala face, disappointed, meh, skeptical, unsure
😟	anxious, butterflies, face, nervous, sad, stressed, surprised, worried
😮	face, mouth, open, open mouth wala face, sympathy
😳	amazed, awkward, crazy, disbelief, embarrassed, flushed, heat, hot, impressed, wow
🥺	begging, big, eyes, face, mercy, please, pretty, puppy, sad, why
🥹	Aansoo rokta face, angry, cry, proud, resist, sad
😦	face, frown, mouth, open, open mouth wala frowning face
😧	dukhi, dukhi face, face
😰	blue, cold, face, rushed, sweat, sweating wala anxious face
😥	disappointed, face, relieved, sad lekin relieved face, whew
😭	cry, face, loudly rone wala face, sad, sob, tear
😱	dar se scream karta face, face, fear, munch, scared, scream
😖	Hairaan face, confounded, face
😓	cold, face, sweat, sweating wala udaas face
😩	crying, fail, feels, hungry, mad, nooo, sad, sleepy, tired, unhappy
🥱	bedtime, bored, goodnight, nap, sleepy, tired, whatever, yawn, zzz
😤	face, nose se steam nikalti dikhaane wala face, triumph, won
😡	angry, gussa, gusse mein laal, mad, maddening, rage, unhappy, upset
😠	angry, blame, face, frustrated, gussa, mad, rage, unhappy, upset
🤬	mouth par symbols wala face, shapath
😈	face, fairy tale, fantasy, horns, horns wala smiling face, smile
👿	demon, devil, face, fantasy, horns wala angry face, imp
💀	body, dead, death, monster, skeleton face, skull, yolo
☠️	crossbones, death, face, monster, skull, skull aur crossbones
💩	comic, dung, monster, pile, poo, poop, smelly, smh, stinky, turd
👹	creature, devil, fairy, fairytale, fantasy, mask, monster, scary
👺	angry, creature, face, fairy, fairytale, fantasy, mask, mean, monster
👻	boo, creature, excited, fairy, fairytale, fantasy, ghost, halloween, silly
👽️	alien, creature, extraterrestrial, face, fantasy, monster, space, ufo
👾	alien, creature, extraterrestrial, fantasy, game, monster, pixelated, space, ufo
😸	cat, eye, face, grin, smile, smiling eyes wali grinning cat
😹	cat, face, joy, khushi ke aansoo bahaati cat kaa face, tear
😻	cat, eye, face, heart, heart-eyes wali smiling cat, love, smile
😼	Dissapointment ke saath smile karti cat, ajeeb smile karti billi, cat, cat-face, ironic, ironic smile wali cat
🙈	Bura na dekhne wala monkey, evil, face, forbidden, monkey, see
🙉	bura na sunne wala monkey, evil, face, forbidden, monkey
🙊	bura na bolne wala monkey, evil, face, forbidden, monkey, speak
💘	arrow, arrow wala heart, cupid
💝	ribbon, ribbon wala heart, valentine
💖	143, emotion, excited, good, heart, ily, kisses, morning, night, sparkle
💗	excited, grow karta hua heart, growing, nervous, pulse
💕	do hearts, love
💟	heart, heart ki decoration
❣️	exclamation, exclamation sign wala heart, mark, punctuation
❤‍🔥	burn, burning heart, heart, love, lust, sacred heart
❤‍🩹	healthier, improving, improving heart, mending, recovering, recovering heart, well
🩷	143, adorable, cute, emotion, heart, ily, like, love, pink heart, special
🩵	143, blue, blue sky, cyan, emotion, heart, ily, love, teal
💯	100, 100%, Absolute, TRUE, agree, full marks, hundred, point, score
💦	comic, splashing, sweat, sweating ke droplets
💨	cloud, comic, dashing, door, fart, fast, go, gone, running, smoke
👁‍🗨	balloon, bubble, eye, speech, speech bubble mein eye, witness
💭	balloon, bubble, cloud, comic, dream, idea, invention, thoughts, wonder
👋	hand, wave, wave karta haath, waving
👋🏻	Fair skin, hand, wave, wave karta haath, wave karta haath: Fair skin, waving
👋🏼	hand, medium-fair skin, wave, wave karta haath, wave karta haath: medium-fair skin, waving
👋🏽	hand, medium skin, wave, wave karta haath, wave karta haath: medium skin, waving
👋🏾	hand, medium-dark skin, wave, wave karta haath, wave karta haath: medium-dark skin, waving
👋🏿	dark skin, hand, wave, wave karta haath, wave karta haath: dark skin, waving
🤚	backhand, raised, uthe huye haath ki back side
🤚🏻	Fair skin, backhand, raised, uthe huye haath ki back side, uthe huye haath ki back side: Fair skin
🤚🏼	backhand, medium-fair skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: medium-fair skin
🤚🏽	backhand, medium skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: medium skin
🤚🏾	backhand, medium-dark skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: medium-dark skin
🤚🏿	backhand, dark skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: dark skin
🖐️	faili fingers wala haath, finger, hand, splayed
🖐🏻	Fair skin, faili fingers wala haath, faili fingers wala haath: Fair skin, finger, hand, splayed
🖐🏼	faili fingers wala haath, faili fingers wala haath: medium-fair skin, finger, hand, medium-fair skin, splayed
🖐🏽	faili fingers wala haath, faili fingers wala haath: medium skin, finger, hand, medium skin, splayed
🖐🏾	faili fingers wala haath, faili fingers wala haath: medium-dark skin, finger, hand, medium-dark skin, splayed
