🍇	fruta, graspo, ua, vin
🍈	fruta, melon
¤	moneda desconosùa
֏	dram armen
؋	afgan afghanistan
৳	taka bangladeze
฿	bat tailandeze
៛	rial canbojan
₡	colonbo costarican
₦	naira nigeriana
₪	novo siglo izraelian
₫	dong vietnameze
₭	kip laosian
₮	tugrik móngolo
₲	guaranì paraguaian
₴	grivna ucraina
₵	cedi ganeze
₸	tenge kazakistan
₺	lira turca
₼	manat azerbaijan
₾	lari jeorjan
