🕵🏿‍♂	dark skin tone, detective, investigator, man, sleuth, spy
🕵‍♀	detective, investigator, sleuth, spy, woman
🕵🏻‍♀	detective, investigator, light skin tone, sleuth, spy, woman
🕵🏼‍♀	detective, investigator, medium-light skin tone, sleuth, spy, woman
🕵🏽‍♀	detective, investigator, medium skin tone, sleuth, spy, woman
🕵🏾‍♀	detective, investigator, medium-dark skin tone, sleuth, spy, woman
🕵🏿‍♀	dark skin tone, detective, investigator, sleuth, spy, woman
🤵‍♂	man, man in tux, man in tuxedo, tux, tuxedo
🤵🏻‍♂	light skin tone, man, man in tux, man in tuxedo, tux, tuxedo
🤵🏼‍♂	man, man in tux, man in tuxedo, medium-light skin tone, tux, tuxedo
🤵🏽‍♂	man, man in tux, man in tuxedo, medium skin tone, tux, tuxedo
🤵🏾‍♂	man, man in tux, man in tuxedo, medium-dark skin tone, tux, tuxedo
🤵🏿‍♂	dark skin tone, man, man in tux, man in tuxedo, tux, tuxedo
👰‍♀	bride, veil, woman, woman with veil
👰🏻‍♀	bride, light skin tone, veil, woman, woman with veil
👰🏼‍♀	bride, medium-light skin tone, veil, woman, woman with veil
👰🏽‍♀	bride, medium skin tone, veil, woman, woman with veil
👰🏾‍♀	bride, medium-dark skin tone, veil, woman, woman with veil
👰🏿‍♀	bride, dark skin tone, veil, woman, woman with veil
🎅	Christmas, Father Christmas, Santa, Santa Claus, celebration
🎅🏻	Christmas, Father Christmas, Santa, Santa Claus, Santa: light skin tone, celebration, light skin tone
🎅🏼	Christmas, Father Christmas, Santa, Santa Claus, Santa: medium-light skin tone, celebration, medium-light skin tone
🎅🏽	Christmas, Father Christmas, Santa, Santa Claus, Santa: medium skin tone, celebration, medium skin tone
🎅🏾	Christmas, Father Christmas, Santa, Santa Claus, Santa: medium-dark skin tone, celebration, medium-dark skin tone
🎅🏿	Christmas, Father Christmas, Santa, Santa Claus, Santa: dark skin tone, celebration, dark skin tone
🤶	Christmas, Mrs Claus, Mrs Santa Claus, Mrs. Claus, celebration
🤶🏻	Christmas, Mrs Claus, Mrs Santa Claus, Mrs. Claus, celebration, light skin tone
🤶🏼	Christmas, Mrs Claus, Mrs Santa Claus, Mrs. Claus, celebration, medium-light skin tone
🤶🏽	Christmas, Mrs Claus, Mrs Santa Claus, Mrs. Claus, celebration, medium skin tone
🤶🏾	Christmas, Mrs Claus, Mrs Santa Claus, Mrs. Claus, celebration, medium-dark skin tone
🤶🏿	Christmas, Mrs Claus, Mrs Santa Claus, Mrs. Claus, celebration, dark skin tone
💇‍♂	haircut, hairdresser, man, man getting haircut
💇🏻‍♂	haircut, hairdresser, light skin tone, man, man getting haircut
💇🏼‍♂	haircut, hairdresser, man, man getting haircut, medium-light skin tone
💇🏽‍♂	haircut, hairdresser, man, man getting haircut, medium skin tone
💇🏾‍♂	haircut, hairdresser, man, man getting haircut, medium-dark skin tone
💇🏿‍♂	dark skin tone, haircut, hairdresser, man, man getting haircut
💇‍♀	haircut, hairdresser, woman, woman getting haircut
💇🏻‍♀	haircut, hairdresser, light skin tone, woman, woman getting haircut
💇🏼‍♀	haircut, hairdresser, medium-light skin tone, woman, woman getting haircut
💇🏽‍♀	haircut, hairdresser, medium skin tone, woman, woman getting haircut
💇🏾‍♀	haircut, hairdresser, medium-dark skin tone, woman, woman getting haircut
💇🏿‍♀	dark skin tone, haircut, hairdresser, woman, woman getting haircut
🧑‍🦯	accessibility, blind, person with guide cane, person with long mobility cane
🧑🏻‍🦯	accessibility, blind, light skin tone, person with guide cane, person with long mobility cane, person with long mobility cane: light skin tone
🧑🏼‍🦯	accessibility, blind, medium-light skin tone, person with guide cane, person with long mobility cane, person with long mobility cane: medium-light skin tone
🧑🏽‍🦯	accessibility, blind, medium skin tone, person with guide cane, person with long mobility cane, person with long mobility cane: medium skin tone
🧑🏾‍🦯	accessibility, blind, medium-dark skin tone, person with guide cane, person with long mobility cane, person with long mobility cane: medium-dark skin tone
🧑🏿‍🦯	accessibility, blind, dark skin tone, person with guide cane, person with long mobility cane, person with long mobility cane: dark skin tone
🧑‍🦯‍➡	accessibility, blind, person with guide cane, person with long mobility cane, person with long mobility cane facing right
🧑🏻‍🦯‍➡	accessibility, blind, person with guide cane, person with long mobility cane, person with long mobility cane facing right
🧑🏼‍🦯‍➡	accessibility, blind, person with guide cane, person with long mobility cane, person with long mobility cane facing right
🧑🏽‍🦯‍➡	accessibility, blind, person with guide cane, person with long mobility cane, person with long mobility cane facing right
🧑🏾‍🦯‍➡	accessibility, blind, person with guide cane, person with long mobility cane, person with long mobility cane facing right
🧑🏿‍🦯‍➡	accessibility, blind, person with guide cane, person with long mobility cane, person with long mobility cane facing right
🧑‍🦼	accessibility, electric wheelchair, person in motorised wheelchair, wheelchair
🧑🏻‍🦼	accessibility, electric wheelchair, light skin tone, person in motorised wheelchair, person in motorised wheelchair: light skin tone, wheelchair
🧑🏼‍🦼	accessibility, electric wheelchair, medium-light skin tone, person in motorised wheelchair, person in motorised wheelchair: medium-light skin tone, wheelchair
🧑🏽‍🦼	accessibility, electric wheelchair, medium skin tone, person in motorised wheelchair, person in motorised wheelchair: medium skin tone, wheelchair
🧑🏾‍🦼	accessibility, electric wheelchair, medium-dark skin tone, person in motorised wheelchair, person in motorised wheelchair: medium-dark skin tone, wheelchair
🧑🏿‍🦼	accessibility, dark skin tone, electric wheelchair, person in motorised wheelchair, person in motorised wheelchair: dark skin tone, wheelchair
🧑‍🦼‍➡	accessibility, electric wheelchair, person in motorised wheelchair, person in motorised wheelchair facing right, wheelchair
🧑🏻‍🦼‍➡	accessibility, electric wheelchair, person in motorised wheelchair, person in motorised wheelchair facing right, wheelchair
🧑🏼‍🦼‍➡	accessibility, electric wheelchair, person in motorised wheelchair, person in motorised wheelchair facing right, wheelchair
🧑🏽‍🦼‍➡	accessibility, electric wheelchair, person in motorised wheelchair, person in motorised wheelchair facing right, wheelchair
🧑🏾‍🦼‍➡	accessibility, electric wheelchair, person in motorised wheelchair, person in motorised wheelchair facing right, wheelchair
🧑🏿‍🦼‍➡	accessibility, electric wheelchair, person in motorised wheelchair, person in motorised wheelchair facing right, wheelchair
👨‍🦼	accessibility, electric wheelchair, man, man in motorised wheelchair, wheelchair
👨🏻‍🦼	accessibility, electric wheelchair, light skin tone, man, man in motorised wheelchair, man in motorised wheelchair: light skin tone, wheelchair
👨🏼‍🦼	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair: medium-light skin tone, medium-light skin tone, wheelchair
👨🏽‍🦼	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair: medium skin tone, medium skin tone, wheelchair
👨🏾‍🦼	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair: medium-dark skin tone, medium-dark skin tone, wheelchair
👨🏿‍🦼	accessibility, dark skin tone, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair: dark skin tone, wheelchair
👨‍🦼‍➡	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair facing right, wheelchair
👨🏻‍🦼‍➡	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair facing right, wheelchair
👨🏼‍🦼‍➡	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair facing right, wheelchair
👨🏽‍🦼‍➡	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair facing right, wheelchair
👨🏾‍🦼‍➡	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair facing right, wheelchair
👨🏿‍🦼‍➡	accessibility, electric wheelchair, man, man in motorised wheelchair, man in motorised wheelchair facing right, wheelchair
👩‍🦼	accessibility, electric wheelchair, wheelchair, woman, woman in motorised wheelchair
👩🏻‍🦼	accessibility, electric wheelchair, light skin tone, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair: light skin tone
👩🏼‍🦼	accessibility, electric wheelchair, medium-light skin tone, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair: medium-light skin tone
👩🏽‍🦼	accessibility, electric wheelchair, medium skin tone, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair: medium skin tone
👩🏾‍🦼	accessibility, electric wheelchair, medium-dark skin tone, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair: medium-dark skin tone
👩🏿‍🦼	accessibility, dark skin tone, electric wheelchair, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair: dark skin tone
👩‍🦼‍➡	accessibility, electric wheelchair, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair facing right
👩🏻‍🦼‍➡	accessibility, electric wheelchair, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair facing right
👩🏼‍🦼‍➡	accessibility, electric wheelchair, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair facing right
👩🏽‍🦼‍➡	accessibility, electric wheelchair, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair facing right
👩🏾‍🦼‍➡	accessibility, electric wheelchair, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair facing right
👩🏿‍🦼‍➡	accessibility, electric wheelchair, wheelchair, woman, woman in motorised wheelchair, woman in motorised wheelchair facing right
🧖‍♂	man in steam room
🧖🏻‍♂	man in steam room: light skin tone
🧖🏼‍♂	man in steam room: medium-light skin tone
🧖🏽‍♂	man in steam room: medium skin tone
🧖🏾‍♂	man in steam room: medium-dark skin tone
🧖🏿‍♂	man in steam room: dark skin tone
🧖‍♀	woman in steam room
🧖🏻‍♀	woman in steam room: light skin tone
🧖🏼‍♀	woman in steam room: medium-light skin tone
🧖🏽‍♀	woman in steam room: medium skin tone
🧖🏾‍♀	woman in steam room: medium-dark skin tone
🧖🏿‍♀	woman in steam room: dark skin tone
🏌️	ball, golf, golfer, person golfing
🏌🏻	ball, golf, golfer, light skin tone, person golfing
🏌🏼	ball, golf, golfer, medium-light skin tone, person golfing
🏌🏽	ball, golf, golfer, medium skin tone, person golfing
🏌🏾	ball, golf, golfer, medium-dark skin tone, person golfing
🏌🏿	ball, dark skin tone, golf, golfer, person golfing
🏌‍♂	golf, golfer, man, man golfing
🏌🏻‍♂	golf, golfer, light skin tone, man, man golfing
🏌🏼‍♂	golf, golfer, man, man golfing, medium-light skin tone
🏌🏽‍♂	golf, golfer, man, man golfing, medium skin tone
🏌🏾‍♂	golf, golfer, man, man golfing, medium-dark skin tone
🏌🏿‍♂	dark skin tone, golf, golfer, man, man golfing
🏌‍♀	golf, golfer, woman, woman golfing
🏌🏻‍♀	golf, golfer, light skin tone, woman, woman golfing
🏌🏼‍♀	golf, golfer, medium-light skin tone, woman, woman golfing
🏌🏽‍♀	golf, golfer, medium skin tone, woman, woman golfing
🏌🏾‍♀	golf, golfer, medium-dark skin tone, woman, woman golfing
🏌🏿‍♀	dark skin tone, golf, golfer, woman, woman golfing
🏄️	person surfing, surfer, surfing
🏄🏻	light skin tone, person surfing, surfer, surfing
🏄🏼	medium-light skin tone, person surfing, surfer, surfing
🏄🏽	medium skin tone, person surfing, surfer, surfing
🏄🏾	medium-dark skin tone, person surfing, surfer, surfing
🏄🏿	dark skin tone, person surfing, surfer, surfing
🏄‍♂	man, surfer, surfing
🏄🏻‍♂	light skin tone, man, surfer, surfing
🏄🏼‍♂	man, medium-light skin tone, surfer, surfing
🏄🏽‍♂	man, medium skin tone, surfer, surfing
🏄🏾‍♂	man, medium-dark skin tone, surfer, surfing
🏄🏿‍♂	dark skin tone, man, surfer, surfing
🏄‍♀	surfer, surfing, woman
🏄🏻‍♀	light skin tone, surfer, surfing, woman
🏄🏼‍♀	medium-light skin tone, surfer, surfing, woman
🏄🏽‍♀	medium skin tone, surfer, surfing, woman
🏄🏾‍♀	medium-dark skin tone, surfer, surfing, woman
🏄🏿‍♀	dark skin tone, surfer, surfing, woman
🚣	boat, person, person rowing boat, rowboat
🚣🏻	boat, light skin tone, person, person rowing boat, rowboat
🚣🏼	boat, medium-light skin tone, person, person rowing boat, rowboat
🚣🏽	boat, medium skin tone, person, person rowing boat, rowboat
🚣🏾	boat, medium-dark skin tone, person, person rowing boat, rowboat
🚣🏿	boat, dark skin tone, person, person rowing boat, rowboat
🏊️	person swimming, swim, swimmer
🏊🏻	light skin tone, person swimming, swim, swimmer
🏊🏼	medium-light skin tone, person swimming, swim, swimmer
🏊🏽	medium skin tone, person swimming, swim, swimmer
🏊🏾	medium-dark skin tone, person swimming, swim, swimmer
🏊🏿	dark skin tone, person swimming, swim, swimmer
🏊‍♂	man, man swimming, swim, swimmer
🏊🏻‍♂	light skin tone, man, man swimming, swim, swimmer
🏊🏼‍♂	man, man swimming, medium-light skin tone, swim, swimmer
🏊🏽‍♂	man, man swimming, medium skin tone, swim, swimmer
🏊🏾‍♂	man, man swimming, medium-dark skin tone, swim, swimmer
🏊🏿‍♂	dark skin tone, man, man swimming, swim, swimmer
🏊‍♀	swim, swimmer, woman, woman swimming
🏊🏻‍♀	light skin tone, swim, swimmer, woman, woman swimming
🏊🏼‍♀	medium-light skin tone, swim, swimmer, woman, woman swimming
🏊🏽‍♀	medium skin tone, swim, swimmer, woman, woman swimming
🏊🏾‍♀	medium-dark skin tone, swim, swimmer, woman, woman swimming
🏊🏿‍♀	dark skin tone, swim, swimmer, woman, woman swimming
🚴	bicycle, biking, cyclist, person biking, person riding a bike
🚴🏻	bicycle, biking, cyclist, light skin tone, person biking, person riding a bike, person riding a bike: light skin tone
🚴🏼	bicycle, biking, cyclist, medium-light skin tone, person biking, person riding a bike, person riding a bike: medium-light skin tone
🚴🏽	bicycle, biking, cyclist, medium skin tone, person biking, person riding a bike, person riding a bike: medium skin tone
🚴🏾	bicycle, biking, cyclist, medium-dark skin tone, person biking, person riding a bike, person riding a bike: medium-dark skin tone
🚴🏿	bicycle, biking, cyclist, dark skin tone, person biking, person riding a bike, person riding a bike: dark skin tone
🚴‍♂	bicycle, cycling, cyclist, man, man riding a bike
🚴🏻‍♂	bicycle, cycling, cyclist, light skin tone, man, man riding a bike, man riding a bike: light skin tone
🚴🏼‍♂	bicycle, cycling, cyclist, man, man riding a bike, man riding a bike: medium-light skin tone, medium-light skin tone
🚴🏽‍♂	bicycle, cycling, cyclist, man, man riding a bike, man riding a bike: medium skin tone, medium skin tone
🚴🏾‍♂	bicycle, cycling, cyclist, man, man riding a bike, man riding a bike: medium-dark skin tone, medium-dark skin tone
🚴🏿‍♂	bicycle, cycling, cyclist, dark skin tone, man, man riding a bike, man riding a bike: dark skin tone
🚴‍♀	bicycle, cycling, cyclist, woman, woman riding a bike
🚴🏻‍♀	bicycle, cycling, cyclist, light skin tone, woman, woman riding a bike, woman riding a bike: light skin tone
🚴🏼‍♀	bicycle, cycling, cyclist, medium-light skin tone, woman, woman riding a bike, woman riding a bike: medium-light skin tone
🚴🏽‍♀	bicycle, cycling, cyclist, medium skin tone, woman, woman riding a bike, woman riding a bike: medium skin tone
🚴🏾‍♀	bicycle, cycling, cyclist, medium-dark skin tone, woman, woman riding a bike, woman riding a bike: medium-dark skin tone
🚴🏿‍♀	bicycle, cycling, cyclist, dark skin tone, woman, woman riding a bike, woman riding a bike: dark skin tone
🤹	balance, juggle, multi-task, person juggling, skill
🤹🏻	balance, juggle, light skin tone, multi-task, person juggling, skill
🤹🏼	balance, juggle, medium-light skin tone, multi-task, person juggling, skill
🤹🏽	balance, juggle, medium skin tone, multi-task, person juggling, skill
🤹🏾	balance, juggle, medium-dark skin tone, multi-task, person juggling, skill
🤹🏿	balance, dark skin tone, juggle, multi-task, person juggling, skill
🤹‍♂	juggling, man, multi-task
🤹🏻‍♂	juggling, light skin tone, man, multi-task
🤹🏼‍♂	juggling, man, medium-light skin tone, multi-task
🤹🏽‍♂	juggling, man, medium skin tone, multi-task
🤹🏾‍♂	juggling, man, medium-dark skin tone, multi-task
🤹🏿‍♂	dark skin tone, juggling, man, multi-task
🤹‍♀	juggling, multi-task, woman
🤹🏻‍♀	juggling, light skin tone, multi-task, woman
🤹🏼‍♀	juggling, medium-light skin tone, multi-task, woman
🤹🏽‍♀	juggling, medium skin tone, multi-task, woman
🤹🏾‍♀	juggling, medium-dark skin tone, multi-task, woman
🤹🏿‍♀	dark skin tone, juggling, multi-task, woman
🛀	bath, bathtub, person taking bath, tub
🛀🏻	bath, bathtub, light skin tone, person taking bath, tub
🛀🏼	bath, bathtub, medium-light skin tone, person taking bath, tub
🛀🏽	bath, bathtub, medium skin tone, person taking bath, tub
🛀🏾	bath, bathtub, medium-dark skin tone, person taking bath, tub
🛀🏿	bath, bathtub, dark skin tone, person taking bath, tub
🛌	hotel, person in bed, sleep, sleeping
🛌🏻	hotel, light skin tone, person in bed, sleep, sleeping
🛌🏼	hotel, medium-light skin tone, person in bed, sleep, sleeping
🛌🏽	hotel, medium skin tone, person in bed, sleep, sleeping
🛌🏾	hotel, medium-dark skin tone, person in bed, sleep, sleeping
🛌🏿	dark skin tone, hotel, person in bed, sleep, sleeping
🦌	deer, stag
🦏	rhino, rhinoceros
🐭	face, mouse, pet
🐁	mouse, pet, rodent
🐀	pet, rat, rodent
🐨	koala, marsupial
🦃	bird, poultry, turkey
🐔	bird, chicken, poultry
🦅	bird of prey, eagle
🦉	bird of prey, owl, wise
🐬	dolphin, porpoise
🐠	fish, reef fish, tropical
🐌	mollusc, snail
🦋	butterfly, insect, moth
🐛	bug, caterpillar, insect, worm
🕷️	arachnid, spider
🦟	dengue, fever, insect, malaria, mosquito, mozzie, virus
🪴	grow, house, nurturing, plant, pot plant
🍊	fruit, mandarin, orange
🥝	food, fruit, kiwi fruit
🌽	corn, corn on the cob, sweetcorn
🌶️	chilli, hot pepper, pepper
🫑	capsicum
