‾	اوور اسٹرائیک, اوور لائن, خط اشتراک
↓	تیر, نیچے, نیچے کی طرف اشارہ کرنے والا تیر
↜	بائیں طرف لہراتا تیر
↝	دائیں طرف لہراتا تیر
↞	بائيں طرف دو سر والا تیر
↟	اوپر کی طرف دو سر والا تیر
↠	دائيں طرف دو سر والا تیر
↡	نیچے کی طرف دو سر والا تیر
↢	بائیں طرف تیر کا پچھلا حصہ
↣	دائیں طرف تیر کا پچھلا حصہ
↤	بار سے بائیں طرف تیر
↥	بار سے اوپر کی طرف تیر
↦	بار سے دائیں طرف تیر
↧	بار سے نیچے کی طرف تیر
↨	بیس والا اوپر نیچے کی طرف اشارہ کرتا تیر
↫	دائرہ والا بائیں طرف اشارہ کرتا تیر
↬	دائرہ والا دائیں طرف اشارہ کرتا تیر
↭	بائیں دائيں لہراتا تیر
↯	نیچے کی طرف اشارہ کرتا ٹیڑھا میڑھا تیر
↰	اوپر کی طرف تیر کا اشارہ بائیں طرف
↱	اوپر کی طرف تیر کا اشارہ دائیں طرف
↲	نیچے کی طرف تیر کا اشارہ بائيں طرف
↳	نیچے کی طرف تیر کا اشارہ دائيں طرف
↴	دائیں طرف سے تیر کا اشارہ نیچے کی طرف
↵	نیچے کی طرف سے تیر کا اشارہ بائيں طرف
↶	قوسی شکل کا اوپر سے نیم دائرہ والا تیر
↷	گھڑی وار اوپر سے نیم دائرہ والا تیر
↸	لمبے بار سے شمال مغرب کی طرف اشارہ کرتا تیر
↹	بائیں طرف, بار, تیر, دائیں طرف اشارہ کرتا تیر بار سے بائیں طرف اشارہ کرتا تیر بار
↺	قوسی شکل کا کھلا دائرہ والا تیر
↻	گھڑی وار کھلا دائرہ والا تیر
↼	اوپر کی طرف سے بائیں طرف اشارہ کرتا ہارپون بارب, بارب
↽	نیچے کی طرف سے اوپر کی طرف اشارہ کرتا ہارپون بارب
↾	بارب, دائیں طرف سے اوپر کی طرف اشارہ کرتا ہارپون بارب
↿	اوپر سے بائیں طرف اشارہ کرتا ہارپون بارب, بارب
⇀	اوپر کی طرف سے دائیں طرف اشارہ کرتا ہارپون بارب, بارب
⇁	بارب, نیچے کی طرف سے دائیں طرف اشارہ کرتا ہارپون بارب
⇂	بارب, دائیں طرف سے نیچے کی طرف اشارہ کرتا ہارپون بارب
⇃	بائیں طرف سے نیچے کی طرف اشارہ کرتا ہارپون بارب, بارب
⇄	بائيں طرف کے تیر پر دائیں طرف اشارہ کرتا ہوا تیر
⇅	اوپر, اوپر اور نیچے کی طرف اشارہ کرنے والا تیر, تیر, نیچے
⇆	بائيں, تیر, دائيں, دائیں اور بائيں طرف اشارہ کرنے والا تیر
⇇	بائيں طرف جوڑا بنائے ہوئے تیر
⇈	اوپر کی طرف جوڑا بنائے ہوئے تیر
⇉	دائيں طرف جوڑا بنائے ہوئے تیر
⇊	نیچے کی طرف جوڑا بنائے ہوئے تیر
⇋	دائیں طرف کے ہارپون پر بائيں طرف کا ہارپون
⇌	بائیں طرف کے ہارپون پر دائيں طرف کا ہارپون
⇐	بائیں طرف اشارہ کرتا ہوا ڈبل تیر
⇍	بائیں طرف اشارہ کرتا ہوا ڈبل تیر اسٹروک
⇑	اوپر کی طرف اشارہ کرتا ہوا ڈبل تیر
⇒	دائیں طرف اشارہ کرتا ہوا ڈبل تیر
⇏	دائیں طرف اشارہ کرتا ہوا ڈبل تیر اسٹروک
⇓	نیچے کی طرف اشارہ کرتا ہوا ڈبل تیر
⇔	بائيں دائیں طرف اشارہ کرتا ہوا ڈبل تیر
⇎	بائيں دائيں طرف اشارہ کرنے والا ڈبل تیر اسٹروک
⇖	شمال مغرب کی طرف اشارہ کرنے والا ڈبل تیر
⇗	شمال مشرق کی طرف اشارہ کرنے والا ڈبل تیر
⇘	جنوب مشرق کی طرف اشارہ کرنے والا ڈبل تیر
⇙	جنوب مغرب کی طرف اشارہ کرنے والا ڈبل تیر
⇚	بائيں طرف اشارہ کرنے والا تہرا تیر
⇛	دائيں طرف اشارہ کرنے والا تہرا تیر
⇜	بائيں طرف اشارہ کرنے والا ٹیڑھا میڑھا تیر
⇝	دائيں طرف اشارہ کرنے والا ٹیڑھا میڑھا تیر
⇞	ڈبل اسٹروک والا اوپر کی طرف اشارہ کرتا ہوا تیر
⇟	ڈبل اسٹروک والا نیچے کی طرف اشارہ کرتا ہوا تیر
⇠	بائيں طرف اشارہ کرتا ہوا ڈیش والا تیر
⇡	اوپر کی طرف اشارہ کرتا ہوا ڈیش والا تیر
⇢	دائیں طرف اشارہ کرتا ہوا ڈیش والا تیر
⇣	نیچے کی طرف اشارہ کرتا ہوا ڈیش والا تیر
⇤	بائیں طرف اشارہ کرنے والا تیر بار
⇥	دائیں طرف اشارہ کرنے والا تیر بار
⇦	بائيں طرف اشارہ کرنے والا کھوکھلا تیر
⇧	اوپر کی طرف اشارہ کرنے والا کھوکھلا تیر
⇨	دائيں طرف اشارہ کرنے والا کھوکھلا تیر
⇩	نیچے کی طرف اشارہ کرنے والا کھوکھلا تیر
⇪	بار سے اوپر کی طرف اشارہ کرنے والا کھوکھلا تیر
⇵	نیچے کی طرف تیر بائيں سائیڈ اوپر کی طرف اشارہ کرنے والا تیر
∀	دی گئی, سبھی, سبھی کے لیے, کلی طور پر, کوئی بھی
∂	تفریق, جزوی تفریق
∃	وہاں موجود ہے
∅	خالی سیٹ
∆	اضافہ, مثلث
∇	مثلث, نابلہ
∈	حامل, رکنیت, سیٹ, عنصر, کا عنصر
∉	عنصر, عنصر نہیں
∋	بطور ممبر شامل ہے, عنصر
∎	ثبوت کا اختتام, سنگ مزار, کیو ای ڈی, ہالموس
∏	n-ary پروڈکٹ, حاصل ضرب, منطق
∑	n-ary جوڑ, حاصل جمع, ریاضیات
+	جمع, جمع کی علامت, جوڑیں
±	جمع منفی
÷	تقسیم, تقسیم کرنا, علامت تحریف, علامت تقسیم
×	ضرب, ضرب دینا, علامت ضرب, مرتبہ
<	سے کم, ٹیگ, کھلا ٹیگ
≮	ریاضیات, سے کم نہیں, غیر برابری
=	برابر, مساوی
≠	عدم مساوات, غیر مساوات, غیر مساوی
>	بند ٹیگ, سے بڑا, ٹیگ
≯	ریاضیات, سے زیادہ نہیں, غیر برابری
¬	نفی, نہیں
|	اسٹروک, اسٹک, بار, شیفر اسٹروک, عمودی بار, عمودی لائن, لائن, وی بار, پائپ, پائیک
~	ٹلڈا
−	منفی, منفی کی علامت, منہا
⁻	سپر اسکرپٹ مائنس, سپراسکرپٹ, مائنس
∓	مائنس یا پلس, پلس-مائنس
∕	اسٹروک, ترچھی لکیر, تقسیم سلیش, سلیش
⁄	ترچھی لکیر, سٹروک, کسر سلیش
∗	آسٹرسک آپریٹر, ستارہ
∘	آپریٹر, رنگ آپریٹر, مرکب
∙	آپریٹر, بلٹ آپریٹر, بلیٹ آپریٹر
√	جذرالمربع, جزر, ریڈکس, ریڈیکل, مختفی, مربع
∝	متناسب, متناسبیت
∞	لا متناہی, لا متناہی علامت
∟	ریاضیات, زاویہ قائمہ
∠	حادہ, زاویہ
∣	تقسیم کرنا, تقسیم کنندہ
∥	مماثل
∧	اے سی, سوال کے مطابق, منطقی اور, ویج
∩	تقاطع, سیٹ
∪	سیٹ, مجموعہ, یونین
∫	عدد صحیح, علم الاحصاء
∬	دوہرا عدد صحیح, علم الاحصاء
∮	کونٹور انٹیگرل
∴	چنانچہ
∵	کیوں کہ
∶	نسبت
∷	تناسب, متناسبیت
∼	آپریٹر, ٹیلڈ آپریٹر
∽	معکوس ٹیلڈ, ٹیلڈ
∾	الٹایا ہوا لیزی s
≃	ریاضیات, متقارب, متقاربی انداز سے برابر
≅	باہمی مناسبت, برابری, تقریبا برابر, ریاضیات, مشاکلت
≈	تخمینہ, تقریباً, تقریباً مساوی
≌	برابری, ریاضیات, سب برابر
≒	تقریبا مساوی تصویر
≖	برابری, برابری میں رنگ, ریاضیات, مساوات میں رنگ
≡	تہرا, مماثل, مماثل ہے, ہو بہو
≣	مکمل طور پر مساوی
≤	برابر, سے کم, سے کم یا مساوی, عدم مساوات, مساوی
≥	برابر, سے بڑا, سے بڑا یا مساوی, عدم مساوات, مساوی
≦	مساوی سے کم
≧	مساوی سے زیادہ
≪	سے بہت کم
≫	سے بہت زیادہ
≬	درمیان
≳	ہم قدر سے زیادہ
≺	ریاضیات, سیٹ آپریٹر, پہلے آتا ہے
≻	بعد میں آتا ہے, ریاضیات, سیٹ آپریٹر
⊁	بعد میں نہیں آتا ہے, ریاضیات, سیٹ آپریٹر
⊂	ذیلی سیٹ, سیٹ, کا ذیلی سیٹ
⊃	ریاضیات, سپرسیٹ, سیٹ آپریٹر
⊆	سب سیٹ کے برابر
⊇	سپر سیٹ کے برابر
⊕	سرکل کردہ پلس
⊖	سرکل کردہ مائنس
⊗	سرکل کے اوقات
⊘	سرکل کردہ تقسیمی سلیش
⊙	سرکل کردہ ڈاٹ آپریٹر
⊚	سرکل کردہ رنگ آپریٹر
⊛	سرکل کردہ آسٹیرسک آپریٹر
⊞	چوکور پلس
⊟	چوکور مائنس
⊥	اپ ٹیک
⊮	مجبور نہیں کرتا
⊰	تعلقات میں مقدم ہونا
⊱	تعلقات میں کامیابی
⋭	عام ذیلی گروہ کی برابری کے طور پر شامل نہیں ہے
⊶	اصل
⊹	ہر میٹیئن کنجوگیٹ میٹرکس
⊿	دائیں مثلث
⋁	n-ary لاجیکل یا
⋂	n-ary مقام انقطاع
⋃	n-ary یونین
⋅	ڈاٹ آپریٹر
⋆	ستارہ آپریٹر
⋈	قدرتی شمولیت
⋒	ڈبل مقام انقطاع
⋘	کے بنسبت بہت زیادہ کم
⋙	کے بنسبت بہت زیادہ
⋮	عمودی بیضوی
⋯	درمیانی افقی بیضوی
⋰	اوپر دائيں طرف اشارہ کرنے والا وتری بیضوی
⋱	نیچے دایاں ڈائگونل بیضوی
■	بھرا ہوا مربع
□	کھوکھلا مربع
▢	گول کونے والا کھوکھلا مربع
▣	بھرے ہوئے مربع پر مشتمل کھوکھلا مربع
▤	افقی بھراؤ والا مربع
▥	عمودی بھراؤ والا مربع
▦	آرتھوگنل کراؤس ہیچ بھراؤ والا مربع
▧	اوپر بائيں نیچے دائيں بھراؤ والا مربع
▨	اوپر دائيں نیچے بائيں بھراؤ والا مربع
▩	وتری کراؤس ہیچ بھراؤ والا مربع
▬	بھرا ہوا مستطیل
▭	کھوکھلا مستطیل
▮	بھرا ہوا عمودی مستطیل
▰	بھرا ہوا متوازی الاضلاع
▲	اوپر, اوپر کی طرف اشارہ کرتا ہوا بھرا ہوا مثلث, بھرا ہوا, تیر, مثلث
△	کھوکھلا اوپر کی طرف اشارہ کرنے والا مثلث
▴	بھرا ہوا اوپر کی طرف اشارہ کرنے والا چھوٹا مثلث
▵	کھوکھلا اوپر کی طرف اشارہ کرنے والا چھوٹا مثلث
▷	کھوکھلا دائيں طرف اشارہ کرنے والا مثلث
▸	بھرا ہوا دائيں طرف اشارہ کرنے والا چھوٹا مثلث
▹	کھوکھلا دائيں طرف اشارہ کرنے والا چھوٹا مثلث
►	بھرا ہوا دائيں طرف اشارہ کرنے والا پوائنٹر
▻	کھوکھلا دائيں طرف اشارہ کرنے والا پوائنٹر
▼	بھرا ہوا, تیر, مثلث, نیچے, نیچے کی طرف اشارہ کرتا ہوا بھرا ہوا مثلث
▽	کھوکھلا نیچے کی طرف اشارہ کرنے والا مثلث
▾	بھرا ہوا نیچے کی طرف اشارہ کرنے والا چھوٹا مثلث
▿	کھوکھلا نیچے کی طرف اشارہ کرنے والا چھوٹا مثلث
◁	کھوکھلا بائيں طرف اشارہ کرنے والا مثلث
◂	بھرا ہوا بائيں طرف اشارہ کرنے والا چھوٹا مثلث
◃	کھوکھلا بائيں طرف اشارہ کرنے والا چھوٹا مثلث
◄	بھرا ہوا بائيں طرف اشارہ کرنے والا پوائنٹر
◅	کھوکھلا بائيں طرف اشارہ کرنے والا پوائنٹر
◆	بھرا ہوا ڈائمنڈ
◇	کھوکھلا ڈائمنڈ
◈	کھوکھلا ڈائمنڈ میں شامل بھرا ہوا ڈائمنڈ
◉	کھوکھلا دائرہ میں شامل بھرا ہوا دائرہ
◊	رومبس, شکل معین, ڈائمنڈ
○	خالی سرکل, رنگ, سرکل
◌	ڈاٹ سے بنایا گيا دائرہ
◍	عمودی بھراؤ سے بنایا گيا دائرہ
◎	ہم مرکز دائرے
●	بھرا ہوا سرکل, سرکل
◐	دائرہ کا بایاں نصف بھرا ہوا
◑	دائرہ کا دایاں نصف بھرا ہوا
◒	دائرہ کے نیچے کا نصف بھرا ہوا
◓	دائرہ کے اوپر کا نصف بھرا ہوا
◔	دائرہ کے اوپر کا دایاں ربع دائرہ بھرا ہوا
◕	اوپری بائیں چوتھائی حصہ کو چھوڑ کر پورا بھرا ہوا دائرہ
◖	بایاں نصف بھرا ہوا دائرہ
◗	دایاں نصف بھرا ہوا دائرہ
◘	الٹا بلیٹ
◙	الٹا کھوکھلا دائرہ, بھرے ہوئے چوکور میں شامل کھوکھلا دائرہ
◜	دائرہ کے چوتھے حصہ کا اوپری بایاں قوس
◝	دائرہ کے چوتھے حصہ کا اوپری دایاں قوس
◞	دائرہ کے چوتھے حصہ کا نچلا دایاں قوس
◟	دائرہ کے چوتھے حصہ کا نچلا بایاں قوس
◠	اوپر کا نصف دائرہ
◡	نیچے کا نصف دائرہ
◢	بھرا ہوا نیچے کا دایاں مثلث
◣	بھرا ہوا نیچے کا بایاں مثلث
◤	بھرا ہوا اوپر کا بایاں مثلث
◥	بھرا ہوا اوپر کا دایاں مثلث
