〗	ሓጹር, ናይ ለንስ ሓጹር, ኣዚዩ ዕጹው ናይ ኩርናዕ ሓጹር, ክፉት ናይ ለንስ ሓጹር
§	ሕጡበ ጽሑፍ, ሶልክሮው, ክፋል
¶	ሕጥበ ጽሑፍ, ምልክት ናይ ሕጥበ ጽሑፍ, ኣሊንያ, ፒልስችሮው, ፓራፍ
@	ስትሩደል, ኣምፐርሳት, ኣሮባ, ኣሮባስ, ኣብ ምልክት, ኣብ ንግዳዊ, ኣብ-ምልክት
*️	ኣስተርሲክ, ኮኾብ, ዊልድካርድ
/	ሰሊዱስ, ስላሽ, ቄናን, ቪርጉለ, ወቅዒ, ዋክ
\	ባክስላሽ, ዋክ, ግምጣል ሰሊዱስ
&	ኣምፐርሳንድ, ኤት, ከምኡ`ውን
#️	lb, ሃሽ, ሃሽታግ, ምልክት ሃሽ, ቁጽሪ, ፓወንድ
%	ሚእታዊት, ሳንቲም, ንነፍሲ ወከፍ
‰	mille, ሚል, ንነፍሲ ወከፍ, አብ ሚሌ, አብ ማይል, ፐርሚል
†	ሓወልቲ, ምልክት ሽቶል, ሽቶል, ኦበሉስ
‡	ሓወልቲ, ሽቶል, ኦበሉስ, ድርብ, ድርብ ምልክት ሽቶል
•	ዓረር, ዶት
‧	ሃይፈን, ነጥቢ, ናይ ሃይፈን ነጥቢ, ዳሽ
′	ቀዳማዊ
″	ቀዳማዊ, ድርብ ቀዳማዊ
‴	ስሉሳዊ ቀዳማዊ, ቀዳማዊ
‸	ሓባሪት ተውሳኽ
※	መወከሲ ምልክት
⁂	ስሉስ ኮኾብ, ኮኾብ, ጉጅለ ኮኾብ
`	ቃና, ኣደማምጻ, ዕቱብ, ዕቱብ ኣደማምጻ
´	ቃና, ኣዘራርባ, ዝጊልሐ ኣደማምጻ, ጊሉሕ
^	ሃት, ሓዪ, ምልክት ኤክሶር, ምቁጽጻር, ሲርኩምፍለክስ, ሲርኩምፍለክስ ኣደማምጻ, ቸቭሮን, ኣመልካቲት, ኣደማምጻ, ካረት, ውሻል
¨	ትረማ, ኡምልዋት, ዲያረሲስ
°	መርትዖ, ሰዓት, ደረጃ
℗	መሰል ደራሲ, ምዕቃብ, ምዕቃብ ድምጺ መሰል ደራሲ, ድምጺ
←	ምልክት, ጸጋማይ-ጫፍ ምልክት, ጸጋም
↚	ንጸጋም ዝሕብር ፍላጻ ሕንጻጽ
→	ምልክት, የማናይ, የማናይ-ጫፍ ምልክት
↛	ንየማን ዝሕብር ፍላጻ ሕንጻጽ
↑	ምልክት, ንላዕሊ, ንላዕሊ-ጫፍ ምልክት
↓	ምልክት, ታሕተዋይ, ታሕተዋይ-ጫፍ ምልክት
