‾	apọju
↢	atọ́ka onírù tó kọjú sí òsì
↣	atọ́ka onírù tó kọjú sí ọ̀tún
↤	atọ́ka tó kọjú sí òsì látorí ọ̀pá
↥	atọ́ka tó kọjú sí òkè látorí ọ̀pá
↦	atọ́ka tó kọjú sí ọ̀tún látorí ọ̀pá
↧	atọ́ka tó kọjú sí ìsàlẹ̀ látorí ọ̀pá
↨	atọ́ka tó lọ sókè àti ìsàlẹ̀ pẹ̀lú ìdí
↫	atọ́ka tó kọjú sí òsì tó ni kókó ní ìdí
↬	atọ́ka tó kọjú sí ọ̀tún pẹ̀lú kókó ní ìdí
↭	atọ́ka ṣíṣẹ́wẹ́lẹ́ tó kọjú sí òsì àti ọ̀tún
↯	atọ́ka wíwọ́ tó doríkodò, wíwọ́
↰	atọ́ka nínàró tó ṣẹ́po korí sí òsì
↱	atọ́ka nínàró tó ṣẹ́po korí sí ọ̀tún
↲	atọ́ka dídoríkodò tó ṣẹ́po korí sí òsì
↳	atọ́ka dídoríkodò tó ṣẹ́po korí sí ọ̀tún
↴	atọ́ka tó dojúkọ ọ̀tún tó ṣẹ́po doríkodò
↵	atọ́ka tó doríkodò tó ṣẹ́po dojúkọ òsì
↶	atọ́ka tó yípo lókè lòdì sí ọwọ́ aago dé àárín-méjì
↷	atọ́ka tó yípo lókè bí ọwọ́ aago dé àárín-méjì
↸	atọ́ka ọlọ́pàá gígùn lórí tó kọjú sí ìwọ̀ oòrùn àríwá
↹	apá-òsì, ìkọ́, ọ̀pá, ọ̀pá oní ìkọ́ apá-òsì lórí apá-ọ̀tún
↺	atọ́ka yíyípo lòdì sí ọwọ́ aago tó ṣísílẹ̀ lókè
↻	atọ́ka yíyípo bí ọwọ́ aago tó ṣísílẹ̀ lókè
↼	ẹ̀gún, ọ̀kọ̀ ẹlẹ́gùn-ún òsì tó kọjú sókè
↽	ọ̀kọ̀ ẹlẹ́gùn-ún ní òsì tó kọjú sísàlẹ̀, ọ̀kọ̀ ẹlẹ́gùn-ún òsì tó kọjú sísàlẹ̀
↾	ẹ̀gún, ọ̀kọ̀ ẹlẹ́gùn-ún òkè tó kọjú sí ọ̀tún
↿	ẹ̀gún, ọ̀kọ̀ ẹlẹ́gùn-ún òkè tó kọjú sí òsì
⇀	ìkọ́, ìkọ́ apá-ọ̀tún tó kọrí sókè
⇁	ìkọ́, ìkọ́ apá-ọ̀tún tó darí wà lẹ̀
⇂	ẹ̀gún, ọ̀kọ̀ ẹlẹ́gùn-ún ìsàlẹ̀ tó kọjú sí ọ̀tún
⇃	ẹ̀gún, ọ̀kọ̀ ẹlẹ́gùn-ún ìsàlẹ̀ tó kọjú sí òsì
⇄	atọ́ka tó kọjú sí ọ̀tún lórí atọ́ka tó kọjú sí òsì
⇅	ìsàlẹ̀, òkè, ọ̀fà, ọ̀fà didojuko òkè àti ọ̀fà didojuko ìsàlẹ̀
⇆	òsì, ọ̀fà, ọ̀fà didojuko òsì lórí ọ̀fà didojuko ọ̀tún, ọ̀tún
⇇	atọ́ka méjì tó kọjú sí òsì
⇈	atọ́ka méjì tó kọjú sí òkè
⇉	atọ́ka méjì tó kọjú sí ọ̀tún, atọ́ka méjì tó kọjú sí ọ̀ọ̀tún
⇊	atọ́ka méjì tó kọjú sí ìsàlẹ̀
⇋	ọ̀kọ̀ tó kọjú sí òsì lórí ọ̀kọ̀ tó kọjú sí ọ̀tún
⇌	ọ̀kọ̀ tó kọjú sí ọ̀tún lórí ọ̀kọ̀ tó kọjú sí òsì
⇐	atọ́ka onílà méjì tó kọjú sí òsì
⇍	atọ́ka onílà méjì tó kọjú sí òsì pẹ̀lú ìlà laarin
⇑	atọ́ka onílà méjì tó kọjú sí òkè
⇒	atọ́ka onílà méjì tó kọjú sí ọ̀tún
⇏	atọ́ka onílà méjì tó kọjú sí ọ̀tún pẹ̀lú ìlà laarin
⇓	atọ́ka onílà méjì tó kọjú sí ìsàlẹ̀
⇔	atọ́ka onílà méjì tó kọjú sí òsì àti ọ̀tún
⇎	atọ́ka onílà méjì tó kọjú sí òsì àti ọ̀tún pẹ̀lú ìlà laarin
⇖	atọ́ka onílà méjì tó kọjú sí ìwọ̀ oòrùn àríwá
⇗	atọ́ka onílà méjì tó kọjú sí ìlà oòrùn àríwá
⇘	atọ́ka onílà méjì tó kọjú sí ìlà oòrùn gúsù
⇙	atọ́ka onílà méjì tó kọjú sí ìwọ̀ oòrùn gúsù
⇚	atọ́ka onílà mẹ́ta tó kọjú sí òsì
⇛	atọ́ka onílà mẹ́ta tó kọjú sí ọ̀tún
⇜	atọ́ka sísúnpọ̀ tó kọjú sí òsì
⇝	atọ́ka sísúnpọ̀ tó kọjú sí ọ̀tún
⇞	atọ́ka tó kọjú sí òkè pẹ̀lú ìlà méjì laarin
⇟	atọ́ka tó kọjú sí ìsàlẹ̀ pẹ̀lú ìlà méjì laarin
⇠	atọ́ka onílà dídùbú alálàfo tó kọjú si òsì
⇡	atọ́ka onílà dídùbú alálàfo tó kọjú si òkè
⇢	atọ́ka onílà dídùbú alálàfo tó kọjú si ọ̀tún
⇣	atọ́ka onílà dídùbú alálàfo tó kọjú si ìsàlẹ̀
⇤	atọ́ka ọlọ́pàá lórí tó kọjú sí òsì
⇥	atọ́ka ọlọ́pàá lórí tó kọjú sí ọ̀tún
⇦	atọ́ka onílà méjì àsopọ̀ tó kọjú sí òsì
⇧	atọ́ka onílà méjì àsopọ̀ tó kọjú sí òkè
⇨	atọ́ka onílà méjì àsopọ̀ tó kọjú sí ọ̀tún
⇩	atọ́ka onílà méjì àsopọ̀ tó kọjú sí ìsàlẹ̀
⇪	atọ́ka oníhò laarin tó kọjú sókè látorí ọ̀pá
⇵	atọ́ka tó kọjú sílẹ̀ lẹ́gbẹ̀ẹ́ òsì atọ́ka tó kọjú sókè
∀	fifúnni, fún gbogbogbò, gbogbogbò, wíwọ́pọ̀, èyóówù
∂	ìyàtọ̀, ìyàtọ̀ apákan, ìyàtọ́ apákan
∃	ó wà
∅	amúṣẹ́ṣe àkójọ, àkójọ ṣíṣófo, ẹ̀kọ́ nípa ìṣirò
∆	ihameta, iposi
∇	ihameta, nabila, nabíla
∈	apa, apa ti, jẹ̀ ara, ní
∉	ara ohun kan pàtó, kìí ṣe ara ohun kan pàtó
∋	ara ohun kan pàtó, ó wà lára rẹ̀ bí ẹ̀yà-ara
∎	halmos, q.e.d., qed, òkúta asààmìi ibojì, òpin ẹ̀rí, ẹ̀rí ìkẹyìn
∏	àbájáde ìlọ́po n-ary, àgbéjáde ọjà, èrò ní ìbámu pẹ̀lú ìlànà
∑	àròpọ̀, àròpọ̀ n-ary, ẹ̀kọ́ nípa ìṣirò
+	àfikún, àmi àfikún, àmì àfikún, ìfisi
±	àfikún-ìyọkúrò
÷	ami ipin, ipin, àmi ìpín
×	ami ilopo, ilopo, lọ́nà, àmì ilopo
<	kére sí, kére-sí, táàgi sísilẹ̀
≮	kò kéré-sí, àìdọ́gba, ẹ̀kọ́ nípa ìṣirò
=	jẹ́, wọn jẹ́
≠	ipa àije, láà jẹ̀, láà jẹ́
>	táàgì, tóbi ju, tóbi-ju
≯	kò ga-jùlọ, àìdọ́gba, ẹ̀kọ́ nípa ìṣirò
¬	kò, ìyísodí, ìyísódì
|	báà, igi, ila, ìlà otún sí ósí
~	táìdì
−	ami iyokuro, yokuro, àmì ìyọkúrò
⁻	iwe nla, iwe nla iyokuro, iyokuro
∓	àròpọ̀-àyọkúrò, àyọkúrò-tàbí-àròpọ̀, ìyọkúrò-tàbí-àròpọ̀
∕	síláàṣì, síláàṣì ìpín, ìlà tó dẹ̀gbẹ́, ìlà òòró tó dẹ̀gbẹ́
⁄	síláàṣì ìdá, ìlà tó dẹ̀gbẹ́, ìlà òòró tó dẹ̀gbẹ́
∗	amojú ẹ̀rọ àmì ìràwọ̀, ìràwọ̀
∘	amúṣẹ́ṣe, amúṣẹ́ṣe òrùka, èròjà inú ohun-èlò
∙	amúṣẹ́ṣe, amúṣẹ́ṣe ọta
√	ipin, ruutu, sikuwe, sikuwe rutu
∝	níwọ̀n tó báamu, tó jẹ mọ́ ìwọ̀n tó báamu
∞	aipari, ami aipari
∟	igun onílà òòró, onílà òòró, ẹ̀kọ́ nípa ìṣirò
∠	igun, àìtó igun òòró
∣	olùpín, ń pín
∥	ìlà ọgbọọgba lẹ́gbẹ̀ẹ́ ara
∧	ac, ti èrò ní ìbámu pẹ̀lú ìlànà àti, wẹ́ẹ̀jì, àti pàápàá
∩	enta, nipa, orita, oritameta
∪	apapo, isopo, nipa } isopo
∫	kálíkúlọ̀sì, ti odidi nọ́ńbà
∬	kálíkúlọ̀sì, ti odidi nọ́ńbà aláwẹ́ méjì
∮	ìṣirò odidi nọ́ńbà ti kọ̀ǹtọ́ọ̀
∴	nítori náà, nítorí náà, èrò ní ìbámu pẹ̀lú ìlànà
∵	nítorípé, èrò ní ìbámu pẹ̀lú ìlànà
∶	ìwọ̀n ìbáramu nọ́ńbà méjì
∷	nípa ìṣirò ìbáramu nọ́ńbà méjì, ìṣirò ìbáramu nọ́ńbà méjì
∼	amúṣẹ́ṣe, amúṣẹ́ṣe tílídè
∽	tílídè, tílídè akọjúsódì
∾	s oní-ìdúbùú
≃	méjèèjì fẹ́rẹ̀ báradọ́gba, ìlà àléèbá ìlà kọdọrọ, ẹ̀kọ́ ìṣirò
≅	aisomọ́fisìmù, fẹ́rẹ̀ dọ́gba, ìbáradọ́gba ìṣirò, ìdọ́gba, ẹ̀kọ́ ìṣirò
≈	dí, láti jẹ̀, láti jẹ́, wa di
≌	gbogbo rẹ̀ dọ́gba, ìdọ́gba, ẹ̀kọ́ ìṣirò
≒	fẹ́rẹ̀ dọ́gba pẹ̀lú àwòrán náà
≖	ìdọ́gba, òrùka ní ìdọ́gba, ẹ̀kọ́ ìṣirò
≡	bakan naa, bee ni, bii, lona meta
≣	jẹ́ bákan náà pátápátá, ìdọ́gba, ẹ̀kọ́ ìṣirò
≤	jẹ́, kére sí tàbí jẹ́, kére-sí, wọn jẹ́
≥	jẹ́, kére sí tàbí jẹ́, tóbi ju tàbí jẹ́, wọn jẹ́, àìmọra
≦	kéré-sí lórí dọ́gba, àìdọ́gba, ẹ̀kọ́ ìṣirò
≧	ga-jùlọ lórí dọ́gba, àìdọ́gba, ẹ̀kọ́ ìṣirò
≪	kéré-sí púpọ̀, àìdọ́gba, ẹ̀kọ́ ìṣirò
≫	ga-jùlọ púpọ̀, àìdọ́gba, ẹ̀kọ́ ìṣirò
≬	laarin
≳	ga-jù èyí tó jẹ́ bákan náà lọ, àìdọ́gba, ẹ̀kọ́ ìṣirò
≺	amúṣẹ́ṣe àkójọ, wà ṣaájú, ẹ̀kọ́ ìṣirò
≻	amúṣẹ́ṣe àkójọ, wá lẹ̀yín, wá lẹ́yìn, ẹ̀kọ́ ìṣirò
⊁	amúṣẹ́ṣe àkójọ, kò wá lẹ́yìn, ẹ̀kọ́ ìṣirò
⊂	lára, lára ni
⊃	amúṣẹ́ṣe àkójọ, àkójọ-títayọ, ẹ̀kọ́ ìṣirò
⊆	àkójọ-abẹ́ dọ́gba
⊇	àkójọ-títayọ dọ́gba, ìdọ́gba, ẹ̀kọ́ ìṣirò
⊕	àròpọ̀, ààmì àròpọ̀ nínú òrùka
⊖	ààmì àyọkúrò nínú òrùka, ìwọ́kúrò, ìyàtọ̀ ọgbọọgba
⊗	tẹ́ńsọ̀, àbájáde ìlọ́po, ààmi ìlọ́po nínú òrùka
⊘	bíi ti ìpín, síláàṣì ìpín nínú òrùka, ẹ̀kọ́ ìṣirò
⊙	XNOR, amúṣẹ́ṣe, amúṣẹ́ṣe ojú-ààmì nínú òrùka
⊚	amúṣẹ́ṣe òrùka nínú òrùka
⊛	amúṣẹ́ṣe, amúṣẹ́ṣe ààmì ìràwọ̀ nínú òrùka, ààmì ìràwọ̀
⊞	bíi ti àròpọ̀, ààmì àròpọ̀ nínú àpótí onígun-mẹ́rin, ẹ̀kọ́ ìṣirò
⊟	bíi ti àyọkúrò, ààmì àyọkúrò nínú àpótí onígun-mẹ́rin, ẹ̀kọ́ ìṣirò
⊥	eet, falsum, ìṣó kékeré, ìṣó tó kọjú sókè
⊮	kìí lo ipá
⊰	amúṣẹ́ṣe àkójọ, wà ṣaájú lábẹ́ àṣepọ̀, ẹ̀kọ́ ìṣirò
⊱	amúṣẹ́ṣe àkójọ, wá lẹ́yìn lábẹ́ àṣepọ̀, ẹ̀kọ́ ìṣirò
⋭	kò ní ohun kan bíi dídọ́gba ẹgbẹ́-abẹ́ déédé, ìdábàá èròǹgbà ẹgbẹ́, ẹ̀kọ́ ìṣirò
⊶	ojúlówó
⊹	mátíríìsì hermitian conjugate, mátíríìsì tó fẹ̀gbẹ́ tira, mátíríìsì àpótí onígun ọgbọọgba mẹ́rin, ẹ̀kọ́ ìṣirò
⊿	àpótí onígun mẹ́ta pẹ̀lú igun òòró, ẹ̀kọ́ ìṣirò
⋁	n-ary ti èrò ní ìbámu pẹ̀lú ìlànà tàbí, àìsopọ̀ ohun ọ̀tọ̀ méjì, èrò ní ìbámu pẹ̀lú ìlànà
⋂	amúṣẹ́ṣe àkójọ, ipò ìpàdépọ̀, ipò ìpàdépọ̀ n-ary, ẹ̀kọ́ ìṣirò
⋃	amúṣẹ́ṣe àkójọ, ìsọdọ̀kan, ìsọdọ̀kan n-ary, ẹ̀kọ́ ìṣirò
⋅	amúṣẹ́ṣe, amúṣẹ́ṣe ojú-ààmì
