‾	וינקולום, מחיקה, קו עליון
↲	חץ, למטה ושמאלה, ראש חץ למטה שמאלה
↳	חץ, למטה וימינה, ראש חץ למטה ימינה
↴	חץ, חץ פינתי למטה ימינה, למטה וימינה, פינה
↵	חץ, חץ פינתי למטה שמאלה, למטה ושמאלה, פינה
↶	חץ, חץ מעגלי עליון נגד כיוון השעון, מעגלי, נגד כיוון השעון, עליון
↷	חץ, חץ מעגלי עליון עם כיוון השעון, מעגלי, עליון, עם כיוון השעון
↸	חץ, חץ צפון מערב פס ארוך, פס ארוך, צפון מערב
↹	חץ, ימינה, פס, פסי חיצים שמאלה מעל ימינה, שמאלה, שמאלה מעל ימינה
↺	חץ, חץ מעגלי פתוח נגד כיוון השעון, מעגלי, נגד כיוון השעון
↻	חץ, חץ מעגלי פתוח עם כיוון השעון, מעגלי, עם כיוון השעון
↼	קוץ, קוץ צלצל שמאלה למעלה
↽	קוץ צלצל שמאלה למטה
↾	קוץ, קוץ צלצל ימינה למעלה
↿	קוץ, קוץ צלצל שמאלי למעלה
⇀	קוץ, קוץ צלצל ימני למעלה
⇁	קוץ, קוץ צלצל ימני למטה
⇂	קוץ, קוץ צלצל ימינה למטה
⇃	קוץ, קוץ צלצל שמאלי למטה
⇄	חץ ימינה, חץ ימינה מעל חץ שמאלה, חץ שמאלה, ימינה ושמאלה
⇅	חיצים, חיצים למעלה ולמטה, חיצים שפונים למעלה ולמטה, חץ, למטה, למעלה
⇆	חיצים, חיצים ימינה ושמאלה, חץ, ימינה ושמאלה
⇇	צמד חיצים שמאלה
⇈	צמד חיצים למעלה
⇉	צמד חיצים ימינה
⇊	צמד חיצים למטה
⇋	צלצל שמאלה מעל צלצל ימינה
⇌	צלצל ימינה מעל צלצל שמאלה
⇐	חץ כפול שמאלה
⇍	חץ כפול שמאלה מחוק
⇑	חץ כפול למעלה
⇒	חץ כפול ימינה
⇏	חץ כפול ימינה מחוק
⇓	חץ כפול למטה
⇔	חץ כפול שמאלה ימינה
⇎	חץ כפול שמאלה ימינה מחוק
⇖	חץ כפול צפון מערב
⇗	חץ כפול צפון מזרח
⇘	חץ כפול דרום מזרח
⇙	חץ כפול דרום מערב
⇚	שלושה חיצים שמאלה
⇛	שלושה חיצים ימינה
⇜	חץ משורבט שמאלה
⇝	חץ משורבט ימינה
⇞	חץ למעלה עם מחיקה כפולה
⇟	חץ למטה עם מחיקה כפולה
⇠	חץ מקווקו שמאלה
⇡	חץ מקווקו למעלה
⇢	חץ מקווקו ימינה
⇣	חץ מקווקו למטה
⇤	חץ שמאלה, חץ שמאלה אל פס, פס
⇥	חץ ימינה, חץ ימינה אל פס, פס
⇦	חץ חלול, חץ חלול שמאלה, חץ שמאלה
⇧	חץ חלול, חץ חלול למעלה, חץ למעלה
⇨	חץ חלול, חץ חלול ימינה, חץ ימינה
⇩	חץ חלול, חץ חלול למטה, חץ למטה
⇪	חץ חלול, חץ חלול למעלה מפס, חץ למעלה, חץ מפס
⇵	חץ, חץ למטה משמאל למעלה מימין, למטה, למעלה, שמאלה
∀	אוניברסלי, לכל, נתון
∂	דיפרנציאל, נגזרת, נגזרת חלקית
∃	קיים, קיימות
∅	אופרטור קבוצות, הקבוצה הריקה, מתמטיקה, קבוצה ריקה
∆	דלתא, משולש, תוספת
∇	הפוך, משולש, משולש הפוך
∈	אלמנט, אלמנט של, חבר ב-, מערך, נכלל, רכיב, רכיב של
∉	אופרטור קבוצות, אי-שייכות, לא נמצא ב-, לא שייך ל-
∋	אופרטור קבוצות, נמצא ב-, שייך ל-, שייכות
∎	Q.E.D., QED, הלמוש, מ.ש.ל., מש״ל
∏	לוגיקה, מכפלה, מכפלת קבוצה
∑	מתמטיקה, סיגמה, סכום, סכום קבוצה
+	בנוסף, הוספה, סימן פלוס, פלוס
±	בערך, מינוס, פחות או יותר, פלוס, פלוס-מינוס
÷	חילוק, חלוקה, סימן חילוק, סימן לחילוק
×	איקס קטן, הכפלה, כפל, סימן, סימן הכפלה, פעמים
<	פחות, קטן מ-, תג, תג פותח
≮	אי-שוויון, לא קטן מ-, מתמטיקה
=	שווה, שווה ל-, שוויון
≠	אי-שוויון, לא שווה, שונה
>	גדול, גדול מ-, יותר, תג, תג סוגר
≯	אי-שוויון, לא גדול מ-, מתמטיקה
¬	לא, שלילה
|	פיסוק, קו, קו אנכי, קו ניצב
~	בערך, טילדה, פיסוק
−	הפחתה, מינוס, סימן מינוס, פחות
⁻	מינוס, סימן, סימן מינוס עילי, עילי
∓	חיבור, חיבור או חיסור, חיסור, פלוס-מינוס
∕	חלקי, לוכסן, לוכסן חילוק, קו נטוי
⁄	חלקי, לוכסן, לוכסן שברים, קו נטוי
∗	אופרטור כוכבית, כוכב, כוכבית
∘	אופרטור, אופרטור טבעת, קומפוזיציה
∙	אופרטור, אופרטור תבליט
√	שורש, שורש מרובע, שורש ריבועי
∝	יחסי, פרופורציונלי
∞	אינסוף, אינסופי, סימן אינסוף
∟	זווית ישרה
∠	זווית, זווית חדה
∣	חילוק, מחלק
∥	מקביל
∧	׳וגם׳ לוגי
∩	חיתוך, קבוצה
∪	אוסף, איחוד, קבוצה
∫	אינטגרל
∬	אינטגרל כפול
∮	אינטגרל במסילה, אינטגרל קווי
∴	היקש לוגי, לכן
∵	בגלל, היקש לוגי
∶	יחס
∷	פרופורציה, פרופורציונליות
∼	אופרטור, אופרטור טילדה
∽	טילדה, טילדה הפוכה
∾	s שכובה הפוכה
≃	אסימפטוטה, מתמטיקה, שוויון אסימפטוטי
≅	איזומורפיות, בערך שווה, שוויון, שקול, שקילות
≈	בערך, בקירוב, כמעט, כמעט שווה, קירוב
≌	מתמטיקה, שוויון, שוויון כולל
≒	תמונת שוויון דומה
≖	מתמטיקה, שוויון, שוויון טבעת
≡	בדיוק, זהה, זהה ל-, שווה ערך, שקול
≣	מוגדר בתור, שווה תמיד ל-, שקול ל-
≤	פחות, קטן, קטן מ- או שווה ל-, שווה, שוויון
≥	גדול, גדול מ- או שווה ל-, יותר, שווה, שוויון
≦	אי-שוויון, מתמטיקה, קטן מ- מעל שווה
≧	אי-שוויון, גדול מ- מעל שווה, מתמטיקה
≪	אי-שוויון, הרבה פחות מ-, מתמטיקה
≫	אי-שוויון, הרבה יותר מ-, מתמטיקה
≬	בין
≳	אי-שוויון, גדול מ- או שווה ל-, גדול מ- שווה, מתמטיקה
≺	אופרטור קבוצות, מתמטיקה, קודם ל-
≻	אופרטור קבוצות, מתמטיקה, עוקב
⊁	אופרטור קבוצות, לא עוקב, מתמטיקה
⊂	מוכל ב-, נכלל ב-, קבוצה, קבוצת משנה
⊃	אופרטור קבוצות, מכיל, מתמטיקה
⊆	אופרטור קבוצות, מוכל או שווה ל-, מתמטיקה
⊇	אופרטור קבוצות, מכיל, מתמטיקה, קבוצה מכילה
⊕	חיבור, סכום, סכום ישר, פלוס במעגל
⊖	הפרש סימטרי, מינוס, מינוס במעגל, שחיקה
⊗	כפל במעגל, מכפלה, מכפלה טנזורית
⊘	חילוק, לוכסן חילוק במעגל, מתמטיקה
⊙	XNOR, אופרטור, נקודה במעגל
⊚	אופרטור טבעת במעגל, טבעת במעגל
⊛	אופרטור, כוכבית, כוכבית במעגל
⊞	חיבור, מתמטיקה, פלוס בריבוע
⊟	מינוס, מינוס בריבוע, מתמטייקה
⊥	זווית ישרה, מאונך, ניצב
⊮	לא אוכף
⊰	אופרטור קבוצות, מתמטיקה, קודם ביחס
⊱	אופרטור קבוצות, מתמטיקה, עוקב ביחס
⋭	לא מכיל כתת-קבוצה נורמלית שווה, מתמטיקה, תורת הקבוצות
⊶	מקורי
⊹	מטריצה הרמיטיאנית, מטריצה מרובעת, מתמטיקה
⊿	זווית ישרה, משולש זווית ישרה, משולשת זווית ישרה, מתמטיקה
⋁	או קבוצה, לוגיקה, מתמטיקה
⋂	אופרטור קבוצות, חיתוך, חיתוך קבוצות, מתמטיקה
⋃	אופרטור קבוצות, איחוד, איחוד קבוצות, מתמטיקה
⋅	אופרטור, אופרטור נקודה
⋆	אופרטור, אופרטור של כוכבית
⋈	אופרטור בינארי, איחוד טבעי, עניבת פרפר
⋒	אופרטור קבוצות, חיתוך, חיתוך כפול, מתמטיקה
⋘	אי-שוויון, מתמטיקה, קטן בהרבה מ-
⋙	אי-שוויון, גדול בהרבה מ-, מתמטיקה
⋮	מתמטיקה, שלוש נקודות, שלוש נקודות אנכיות
⋯	שלוש נקודות, שלוש נקודות אופקיות באמצע
⋰	מתמטיקה, קובוץ הפוך, שלוש נקודות, שלוש נקודות ימינה כלפי מעלה
⋱	מתמטיקה, קובוץ, שלוש נקודות, שלוש נקודות ימינה כלפי מטה, שלוש נקודת ימינה כלפי מטה
■	ריבוע מלא
□	ריבוע חלול
▢	ריבוע חלול עם פינות מעוגלות
▣	ריבוע חלול שמכיל ריבוע מלא
▤	ריבוע עם מילוי אופקי
▥	ריבוע עם מילוי אנכי
▦	ריבוע עם מילוי מקווקו
▧	מילוי ריבוע בצד השמאלי העליון והימני התחתון, מילוי ריבוע משמאל למעלה ומימין למטה
▨	מילוי ריבוע בצד הימני העליון והשמאלי התחתון
▩	מילוי צלב אלכסוני של ריבוע
▬	מלבן מלא
▭	מלבן חלול
▮	מלבן אנכי מלא
▰	מקבילית מלאה
▲	חץ, חץ שפונה למעלה, כלפי מעלה, למעלה, משולש, משולש שחור שפונה כלפי מעלה, שחור
△	משולש חלול שמצביע כלפי מעלה
▴	משולש קטן מלא שמצביע כלפי מעלה
▵	משולש קטן חלול שמצביע כלפי מעלה
▷	משולש חלול שמצביע ימינה
▸	משולש קטן מלא שמצביע ימינה
▹	משולש קטן חלול שמצביע ימינה
►	מצביע מלא ימינה
▻	מצביע חלול ימינה
▼	חץ, חץ שפונה למטה, כלפי מטה, למטה, משולש, משולש שחור שפונה כלפי מטה, שחור
▽	משולש חלול שמצביע למטה
▾	משולש קטן מלא שמצביע למטה
▿	משולש קטן חלול שמצביע למטה
◁	משולש חלול שמצביע שמאלה
◂	משולש קטן מלא שמצביע שמאלה
◃	משולש קטן חלול שמצביע שמאלה
◄	מצביע מלא שמאלה
◅	מצביע חלול שמאלה
◆	מעוין מלא
◇	מעוין חלול
◈	מעוין חלול שמכיל מעוין מלא
◉	עיגול חלול שמכיל עיגול מלא
◊	יהלום, מעוין, מעוין קטן
○	חלול, עיגול, עיגול חלול קטן
◌	עיגול מנוקד
◍	עיגול עם מילוי אנכי
◎	בול פגיעה, מעגלים קונצנטריים
●	עיגול, עיגול שחור קטן, שחור, תבליט
◐	עיגול שחציו השמאלי מלא
◑	עיגול שחציו הימני מלא
◒	עיגול שחציו התחתון מלא
◓	עיגול שחציו העליון מלא
◔	עיגול שהרבע הימני העליון שלו מלא
◕	למעט הרבע השמאלי העליון, עיגול מלא, עיגול מלא, למעט הרבע השמאלי העליון
◖	חצי עיגול שמאלי מלא
◗	חצי עיגול ימני מלא
◘	תבליט הפוך
◙	ריבוע מלא שמכיל עיגול חלול
◜	רבע שמאלי עליון של קשת מעגלית
◝	רבע ימני עליון של קשת מעגלית
◞	רבע ימני תחתון של קשת מעגלית
◟	רבע שמאלי תחתון של קשת מעגלית
◠	חצי עליון של עיגול
◡	חצי תחתון של עיגול
◢	חלק ימני תחתון מלא של מלבן
◣	חלק שמאלי תחתון מלא של מלבן
◤	חלק שמאלי עליון מלא של מלבן
◥	חלק ימני עליון מלא של מלבן
◦	תבליט חלול
