‾	надчеркивание, ҫӳлтен йӗр
↱	стрелка ҫӳлелле та сылтӑмалла пӑрӑннӑ
↲	стрелка аялалла та сулахаялла пӑрӑннӑ
↳	стрелка аялалла та сылтӑмалла пӑрӑннӑ
↴	стрелка сылтӑмалла та аялалла пӑрӑннӑ
↵	кĕске стрелка аялалла та сулахаялла пӑрӑннӑ
↶	ҫурма ҫаврашка стрелка та сехет стрелкине хирӗҫ
↷	ҫурма ҫаврашка стрелка та сехет йӗппи
↸	стрелка вӑрӑм йӗр айӗнче ҫурҫӗрхӗвеланӑҫнелле
↹	стрелка влево над стрелкой вправо с перпендикулярными чертами
↺	круглая стрелка с наконечником против часовой стрелки
↻	круглая стрелка с наконечником по часовой стрелке
↼	гарпун влево с зубцом вверх
↽	гарпун влево с зубцом вниз
↾	гарпун вверх с зубцом вправо
↿	гарпун вверх с зубцом влево
⇀	гарпун вправо с зубцом вверх
⇁	гарпун вправо с зубцом вниз
⇂	гарпун вниз с зубцом вправо
⇃	гарпун вниз с зубцом влево
⇄	стрелка вправо над стрелкой влево
⇅	аялалла, стрелка, стрелоксем ҫӳлелле тата аялалла, стрелоксем ҫӳлелле тата аялалла кӑтартаҫҫӗ, ҫӳлелле
⇆	стрелка, стрелоксем сулахаялла çийĕн сылтӑмалла кӑтартаҫҫӗ, сулахаялла, сылтӑмалла
⇇	парные стрелки влево
⇈	парные стрелки вверх
⇉	парные стрелки вправо
⇊	парные стрелки вниз
⇋	гарпун влево над гарпуном вправо
⇌	гарпун вправо над гарпуном влево
⇐	двойная стрелка влево
⇍	двойная перечеркнутая стрелка влево
⇑	двойная стрелка вверх
⇒	иккĕллĕ стрелка сылтӑмалла
⇏	хуратса иккĕллĕ стрелка сылтӑмалла
⇓	двойная стрелка вниз
⇔	иккĕллĕ стрелка сулахаялла-сылтӑмалла
⇎	хуратса иккĕллĕ стрелка сулахаялла-сылтӑмалла
⇖	ҫурҫӗрхӗвеланӑҫӗнчи икӗ стрелка
⇗	ҫурҫӗрхӗвелтухӑҫӗнчи икӗ стрелка
⇘	кӑнтӑрхӗвелтухӑҫ икӗ стрелка
⇙	кӑнтӑрхӗвеланӑҫ икӗ стрелка
⇚	сулахаялла виҫӗ стрелка
⇛	сылтӑмалла виҫӗ стрелка
⇜	авӑнчӑклӑ стрелка
⇝	кукӑрмакӑр стрелка
⇞	стрелка вверх с двойным перечеркиванием
⇟	стрелка вниз с двойным перечеркиванием
⇠	пунктирная стрелка влево
⇡	пунктирная стрелка вверх
⇢	пунктирная стрелка вправо
⇣	пунктирная стрелка вниз
⇤	стрелка влево, упирающаяся в планку
⇥	стрелка вправо, упирающаяся в планку
⇦	полая стрелка влево
⇧	полая стрелка вверх
⇨	полая стрелка вправо
⇩	полая стрелка вниз
⇪	полая стрелка вверх на прямоугольнике
⇵	йӗппи аялалла ҫӳлелле
∀	кирек, пуриншӗн те, пурте, пӗтӗмӗшлӗх кванторӗ
∂	харпăр тăхăм
∃	пур, пурнӑҫ кванторӗ
∅	пушă йыш
∆	виҫкӗтеслӗх, ӳсни
∇	Гамильтон операторĕ, виҫкӗтеслӗх, набла (Гамильтон операторĕ), набла оператор
∈	йыш, йыш членĕ, шутне кĕрет, элемент
∉	йыш членĕ мар, шутне кĕрет мар, элемент мар
∋	членĕ шутне кĕрет
∎	ӗнентерӳ вӗҫӗ
∏	n-арный, хутласси
∑	n-арный, сумма
+	плюс, плюс палли, хушасси, ӳстерни
±	плюс-минус
÷	обелюс, пайла, пайлану, пайлану палли
×	нумайлатни, хутлани, хутлас паллӑ, хутласси
<	кĕтесле хăлăпкасем, кĕтесле хăлăпкасем уҫни, пĕчĕреххине, тег, тег уҫни
≮	пĕчĕкрех мар
=	танлăх, танлăх палли
≠	танлăх мар, танлăх мар палли
>	кĕтесле хăлăпкасем, кĕтесле хăлăпкасем хупӑнни, пысăкраххине, тег, тег хупӑнни
≯	пысăкрах мар
¬	çуклатни, мар, пăрахăçлани, тунни
|	вертикаллӗ йĕр, вертикаллӗ лини
~	тильда, эквивалентлӑх ҫыхӑнӑвӗ
−	кăларасси, минус, минус палли
⁻	минус, строка çинчи, строка çинчи минус палли
∓	минус е плюс, плюс е минус
∕	пайласси палли, слэш палли
⁄	вак палли, слэш палли
∗	Ходж ҫӑлтӑр операторӗ, астерикс, ҫӑлтӑр, ҫӑлтӑр палли
∘	суперпозици, функцисен композицийӗ
∙	операторӗ, хутласси, хутласси операторӗ
√	ирациллӗ хисеп, радикал, тымар, тымар палли, тӑваткал, тӑваткал тымар
∝	пропорци, пропорцилле
∞	вĕçсĕрлĕх, вĕçсĕрлĕх палли
∟	кӗтес, тӳрӗ, тӳрӗ кӗтес
∠	кӗтес, шӗвӗр
∣	пайлакан хисеп, пайлаканни
∥	параллельлĕ
∧	конъюнкци, логикӑллӑ тата
∩	йыш, йышсен хĕресленĕвĕ, хĕресленĕвĕ
∪	йыш, йышсен пĕрлешĕвĕ, пĕтĕçӳ, пурĕ пĕрле илни, пӗрлешӳ
∫	интеграл, интегралла шутлав
∬	иккĕлле, иккĕлле интеграл, интеграл, интегралла шутлав
∮	интеграл, контурлă, контурлă интеграл
∴	çапла вара, апла пулсан, логика
∵	логика, мӗншӗн тесен
∶	шайлашу
∷	пропорци, пропорцилӗх
∼	тильда операторӗ
∽	ӳпӗнтернӗ тиильда
∾	ӳпӗнтернӗ s
≃	асимптотика танлăх
≅	конгруэнтлăх
≈	çывхарту, аппроксимаци, пĕр танлăх, пӗр тан
≌	пурте пӗртанлӑх
≒	конгруэнтлăх ӳкерни
≖	танлах палли ункӑ
≡	çавахлăх, пĕр пек, пĕрешкел
≣	конгруэнтлăх, ҫирӗп танлăх
≤	кĕтесле хăлăпкасем, кĕтесле хăлăпкасем уҫни, пĕчĕкрех, тег, тег уҫни
≥	кĕтесле хăлăпкасем, кĕтесле хăлăпкасем хупӑнни, пысăкрах, тег, тег хупӑнни
≦	математика, меньше над равно, неравенство
≧	больше над равно, математика, неравенство
≪	чылай пĕчĕреххине
≫	чылай пысăкраххине
≬	хушӑ
≳	эквивалент ытларах
≺	иртнĕ, маларахри, умӗнхи
≻	кайранхи, хыççăнхи, ӳлĕмри
⊁	ӳлĕмри мар
⊂	аййыш, аййыш членĕсем, элементсем пĕрле шутне кĕрет
⊃	йыш çийĕн
⊆	хытă мар аййыш
⊇	хытă мар йыш çийĕн
⊕	тӳрӗ сумма
⊖	минус в круге
⊗	тензорла хутлавлăх
⊘	дробная черта в круге, математика
⊙	оператор, оператор точки в круге
⊚	кольцевой оператор в круге
⊛	оператор звездочки в круге
⊞	плюс в квадрате
⊟	вычитание, знак минуса, математика, минус, минус в квадрате
⊥	перпендикуляр
⊮	не влечет
⊰	математика, оператор над множеством, предшествует, предшествует относительно
⊱	математика, оператор над множеством, следует, следует относительно
⋭	математика, не содержит как нормальную подгруппу или не равно, теория групп
⊶	прообраз
⊹	квадратная матрица, математика, самосопряженная матрица, эрмитова сопряженная матрица
⊿	направленный вправо, треугольник, треугольник вершиной вправо
⋁	n-арное логическое или, дизъюнкция, логика
⋂	n-арное пересечение, математика, оператор над множеством, пересечение
⋃	n-арное объединение, математика, объединение, оператор над множеством
⋅	оператор произведения
⋆	оператор, оператор звезды
⋈	бабочка, бинарный оператор, галстук-бабочка, естественное соединение
⋒	двойное пересечение, математика, оператор над множеством, пересечение
⋘	пайтах пĕчĕреххине
⋙	пайтах пысăкраххине
⋮	вертикаль виçĕ пăнчă
⋯	яппун виçĕ пăнчă
