‾	надчеркивание, ҫӳлтен йӗр
🩷	килĕштеретĕп, килӗшет, кӗрен, кӗрен чӗре, саватăп, савнӑ, уйрӑмах, чӗре, ытарайми, юрататăп, юрататăп çапла, юратни манăн, юрату
🧡	хӗрлӗрех, хӗрлӗрех чӗре, чӗре
💛	сарă чĕре, сарӑ, уйрӑлу, чӗре, юрату
💚	симӗс, симӗс чӗре, чӗре, юрату
💙	кӑвак, кӑвак чӗре, чӗре, юрату
🩵	ҫутӑ кӑвак чӗре
💜	хĕрхĕлтĕм, хĕрхĕлтĕм чӗре, чӗре, юрату
🤎	хӑмӑр, хӑмӑр чӗре, чӗре, юрату
🖤	курайманлӑх, хаярлӑх, хура, хура чӗре, чӗре
🩶	сӑрӑ чӗре, тӗттӗм чӗре
🤍	чӗре, шурӑ, шурӑ чӗре, юрату
💋	курнӑҫу, помада, романтика, туйӑмсене, тутасем, чупту, чуптуни, чуптӑву йӗрӗ, эмоцисем, юрату
💯	100, 100 процент, çапла çав, аха ҫав, идеаллӑ результат, килӗшетӗп, пĕтĕмпех килĕштеретĕп, питĕ те тĕрĕс, точно, тӗп тӗрӗс, тӗрӗс, тӳррӗн, шӳтлетӗп, ҫӗр, ҫӗр балл, ҫӗр хут малалла
💢	"ҫилли" палли, палли, тарӑху, хаярлӑх, ҫилли
💥	бомба, бум, хӗм, шартлату
💫	астероид, метеорит, пуҫ ҫаврӑнни, ҫаврӑнакан ҫӑлтӑр, ҫӑлтӑр
💦	йӗпе, тар, тар тумламӗсем, тренировка, тумлам, шыв, шыв тумламӗсем
💨	куҫран ҫухални, пӗлӗт, тарса ӳкни, тусан, тӗтӗм, хӑвӑрт, ҫухални
🕳️	тӗпсӗр шӑтӑк, уҫӑ люк, хура, шӑтӑк
💬	вӗҫленмен шухӑш, малаллах, мӑлатуклӑ пӗлӗт, мӗн шухӑшлатӑн эсӗ?, нумай мӑлатуклӑ, пӗлӗт, сӑмах, шухӑшсем
👁‍🗨	йӗрлеве хирӗҫ, куҫ, свидетель, свидетель значокӗ, сӑнаса тӑмалла
🗨️	кӑвак пӗлӗт, пустуй пӗлӗт, пушӑ пӗлӗт, пӗлӗт, сулахайра, сӑмах, хура, шухӑш
🗯️	негатив, пӗлӗт, сылтӑмалла, хаяр пӗлӗт, хаярлӑх, ҫилӗ, ҫилӗллӗ пӗлӗт
💭	аса илме, идея, пӗлӗт, пӗлӗтсем, шухӑшлама, шухӑшлӑ, шухӑшлӑ пӗлӗт, шухӑшсем, ӗмӗтленме
💤	ХрХрр, соня, тӗлӗк, харлаттар, харлаттаратӑп, ыйхӑ, ҫывӑрать, ҫывӑратӑп, ҫывӑрма
👋	аллипе, аллипе сулать, алтупанӗ, алӑ, салам, сулать, халлӗхе
👋🏻	аллипе, аллипе сулать: сӑран ҫутӑ тӗсӗ, алтупанӗ, алӑ, салам, сулать, сӑран ҫутӑ тӗсӗ, халлӗхе
👋🏼	аллипе, аллипе сулать: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алтупанӗ, алӑ, салам, сулать, халлӗхе, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👋🏽	аллипе, аллипе сулать: сӑран вӑтам тонӗ, алтупанӗ, алӑ, салам, сулать, сӑран вӑтам тонӗ, халлӗхе
👋🏾	аллипе, аллипе сулать: сӑран вӑтам тӗксӗм тонӗ, алтупанӗ, алӑ, салам, сулать, сӑран вӑтам тӗксӗм тонӗ, халлӗхе
👋🏿	аллипе, аллипе сулать: сӑран тӗксӗм тонӗ, алтупанӗ, алӑ, салам, сулать, сӑран тӗксӗм тонӗ, халлӗхе
🤚	алтупанӗ, салам, стоп, халлӗхе, ҫӗкленӗ, ҫӗкленӗ алӑ
🤚🏻	алтупанӗ, салам, стоп, сӑран ҫутӑ тӗсӗ, халлӗхе, ҫӗкленӗ, ҫӗкленӗ алӑ, ҫӗкленӗ алӑ: сӑран ҫутӑ тӗсӗ
🤚🏼	алтупанӗ, салам, стоп, халлӗхе, ҫӗкленӗ, ҫӗкленӗ алӑ, ҫӗкленӗ алӑ: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🤚🏽	алтупанӗ, салам, стоп, сӑран вӑтам тонӗ, халлӗхе, ҫӗкленӗ, ҫӗкленӗ алӑ, ҫӗкленӗ алӑ: сӑран вӑтам тонӗ
🤚🏾	алтупанӗ, салам, стоп, сӑран вӑтам тӗксӗм тонӗ, халлӗхе, ҫӗкленӗ, ҫӗкленӗ алӑ, ҫӗкленӗ алӑ: сӑран вӑтам тӗксӗм тонӗ
🤚🏿	алтупанӗ, салам, стоп, сӑран тӗксӗм тонӗ, халлӗхе, ҫӗкленӗ, ҫӗкленӗ алӑ, ҫӗкленӗ алӑ: сӑран тӗксӗм тонӗ
🖐️	5, алтупанне, алӑ, карнӑ ал тупанӗ, пиллӗк, пӳрнесене, сулла, уҫнӑ
🖐🏻	5, алтупанне, алӑ, карнӑ ал тупанӗ: сӑран ҫутӑ тӗсӗ, пиллӗк, пӳрнесене, сулла, сӑран ҫутӑ тӗсӗ, уҫнӑ
🖐🏼	5, алтупанне, алӑ, карнӑ ал тупанӗ: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, пиллӗк, пӳрнесене, сулла, уҫнӑ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🖐🏽	5, алтупанне, алӑ, карнӑ ал тупанӗ: сӑран вӑтам тонӗ, пиллӗк, пӳрнесене, сулла, сӑран вӑтам тонӗ, уҫнӑ
🖐🏾	5, алтупанне, алӑ, карнӑ ал тупанӗ: сӑран вӑтам тӗксӗм тонӗ, пиллӗк, пӳрнесене, сулла, сӑран вӑтам тӗксӗм тонӗ, уҫнӑ
🖐🏿	5, алтупанне, алӑ, карнӑ ал тупанӗ: сӑран тӗксӗм тонӗ, пиллӗк, пӳрнесене, сулла, сӑран тӗксӗм тонӗ, уҫнӑ
✋️	алӑ, пиллӗк, пӳрнесем, салам, стоп, тӑр, ҫӗкленӗ ал тупанӗ, ҫӗкленӗ алӑ, ҫӳлелле
✋🏻	алӑ, пиллӗк, пӳрнесем, салам, стоп, сӑран ҫутӑ тӗсӗ, тӑр, ҫӗкленӗ ал тупанӗ: сӑран ҫутӑ тӗсӗ, ҫӗкленӗ алӑ, ҫӳлелле
✋🏼	алӑ, пиллӗк, пӳрнесем, салам, стоп, тӑр, ҫӗкленӗ ал тупанӗ: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ҫӗкленӗ алӑ, ҫӳлелле, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
✋🏽	алӑ, пиллӗк, пӳрнесем, салам, стоп, сӑран вӑтам тонӗ, тӑр, ҫӗкленӗ ал тупанӗ: сӑран вӑтам тонӗ, ҫӗкленӗ алӑ, ҫӳлелле
✋🏾	алӑ, пиллӗк, пӳрнесем, салам, стоп, сӑран вӑтам тӗксӗм тонӗ, тӑр, ҫӗкленӗ ал тупанӗ: сӑран вӑтам тӗксӗм тонӗ, ҫӗкленӗ алӑ, ҫӳлелле
✋🏿	алӑ, пиллӗк, пӳрнесем, салам, стоп, сӑран тӗксӗм тонӗ, тӑр, ҫӗкленӗ ал тупанӗ: сӑран тӗксӗм тонӗ, ҫӗкленӗ алӑ, ҫӳлелле
🖖	аллипе, алӑ, вулкан салючӗ, вӑрӑм ҫул тата аталану, нинӑпа, саламлани, спок
🖖🏻	аллипе, алӑ, вулкан салючӗ, вулкан салючӗ: сӑран ҫутӑ тӗсӗ, вӑрӑм ҫул тата аталану, нинӑпа, саламлани, спок, сӑран ҫутӑ тӗсӗ
🖖🏼	аллипе, алӑ, вулкан салючӗ, вулкан салючӗ: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, вӑрӑм ҫул тата аталану, нинӑпа, саламлани, спок, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🖖🏽	аллипе, алӑ, вулкан салючӗ, вулкан салючӗ: сӑран вӑтам тонӗ, вӑрӑм ҫул тата аталану, нинӑпа, саламлани, спок, сӑран вӑтам тонӗ
🖖🏾	аллипе, алӑ, вулкан салючӗ, вулкан салючӗ: сӑран вӑтам тӗксӗм тонӗ, вӑрӑм ҫул тата аталану, нинӑпа, саламлани, спок, сӑран вӑтам тӗксӗм тонӗ
🖖🏿	аллипе, алӑ, вулкан салючӗ, вулкан салючӗ: сӑран тӗксӗм тонӗ, вӑрӑм ҫул тата аталану, нинӑпа, саламлани, спок, сӑран тӗксӗм тонӗ
🫱	аллаппи сылтӑмалла, алӑ, алӑ сылтӑмалла, алӑ чӑмӑртани, кармашмалла, пӳрнесемпе сылтӑмалла, сылтӑм алӑ, сылтӑмалла, тытмалла
🫱🏻	аллаппи сылтӑмалла, алӑ, алӑ сылтӑмалла: сӑран ҫутӑ тӗсӗ, алӑ чӑмӑртани, кармашмалла, пӳрнесемпе сылтӑмалла, сылтӑм алӑ, сылтӑмалла, сӑран ҫутӑ тӗсӗ, тытмалла
🫱🏼	аллаппи сылтӑмалла, алӑ, алӑ сылтӑмалла: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ чӑмӑртани, кармашмалла, пӳрнесемпе сылтӑмалла, сылтӑм алӑ, сылтӑмалла, тытмалла, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏽	аллаппи сылтӑмалла, алӑ, алӑ сылтӑмалла: сӑран вӑтам тонӗ, алӑ чӑмӑртани, кармашмалла, пӳрнесемпе сылтӑмалла, сылтӑм алӑ, сылтӑмалла, сӑран вӑтам тонӗ, тытмалла
🫱🏾	аллаппи сылтӑмалла, алӑ, алӑ сылтӑмалла: сӑран вӑтам тӗксӗм тонӗ, алӑ чӑмӑртани, кармашмалла, пӳрнесемпе сылтӑмалла, сылтӑм алӑ, сылтӑмалла, сӑран вӑтам тӗксӗм тонӗ, тытмалла
🫱🏿	аллаппи сылтӑмалла, алӑ, алӑ сылтӑмалла: сӑран тӗксӗм тонӗ, алӑ чӑмӑртани, кармашмалла, пӳрнесемпе сылтӑмалла, сылтӑм алӑ, сылтӑмалла, сӑран тӗксӗм тонӗ, тытмалла
🫱🏻‍🫲🏼	алӑ тытни: сӑран ҫутӑ тӗсӗ ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран ҫутӑ тӗсӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏻‍🫲🏽	алӑ тытни: сӑран ҫутӑ тӗсӗ сӑран вӑтам тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, сӑран ҫутӑ тӗсӗ, тӗлпулу
🫱🏻‍🫲🏾	алӑ тытни: сӑран ҫутӑ тӗсӗ сӑран вӑтам тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тӗксӗм тонӗ, сӑран ҫутӑ тӗсӗ, тӗлпулу
🫱🏻‍🫲🏿	алӑ тытни: сӑран ҫутӑ тӗсӗ сӑран тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран тӗксӗм тонӗ, сӑран ҫутӑ тӗсӗ, тӗлпулу
🫱🏼‍🫲🏻	алӑ тытни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ сӑран ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран ҫутӑ тӗсӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏼‍🫲🏽	алӑ тытни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ сӑран вӑтам тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏼‍🫲🏾	алӑ тытни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ сӑран вӑтам тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тӗксӗм тонӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏼‍🫲🏿	алӑ тытни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ сӑран тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран тӗксӗм тонӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏽‍🫲🏻	алӑ тытни: сӑран вӑтам тонӗ сӑран ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, сӑран ҫутӑ тӗсӗ, тӗлпулу
🫱🏽‍🫲🏼	алӑ тытни: сӑран вӑтам тонӗ ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏽‍🫲🏾	алӑ тытни: сӑран вӑтам тонӗ сӑран вӑтам тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, сӑран вӑтам тӗксӗм тонӗ, тӗлпулу
🫱🏽‍🫲🏿	алӑ тытни: сӑран вӑтам тонӗ сӑран тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, сӑран тӗксӗм тонӗ, тӗлпулу
🫱🏾‍🫲🏻	алӑ тытни: сӑран вӑтам тӗксӗм тонӗ сӑран ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тӗксӗм тонӗ, сӑран ҫутӑ тӗсӗ, тӗлпулу
🫱🏾‍🫲🏼	алӑ тытни: сӑран вӑтам тӗксӗм тонӗ ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тӗксӗм тонӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏾‍🫲🏽	алӑ тытни: сӑран вӑтам тӗксӗм тонӗ сӑран вӑтам тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, сӑран вӑтам тӗксӗм тонӗ, тӗлпулу
🫱🏾‍🫲🏿	алӑ тытни: сӑран вӑтам тӗксӗм тонӗ сӑран тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тӗксӗм тонӗ, сӑран тӗксӗм тонӗ, тӗлпулу
🫱🏿‍🫲🏻	алӑ тытни: сӑран тӗксӗм тонӗ сӑран ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран тӗксӗм тонӗ, сӑран ҫутӑ тӗсӗ, тӗлпулу
🫱🏿‍🫲🏼	алӑ тытни: сӑран тӗксӗм тонӗ ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран тӗксӗм тонӗ, тӗлпулу, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫱🏿‍🫲🏽	алӑ тытни: сӑран тӗксӗм тонӗ сӑран вӑтам тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тонӗ, сӑран тӗксӗм тонӗ, тӗлпулу
🫱🏿‍🫲🏾	алӑ тытни: сӑран тӗксӗм тонӗ сӑран вӑтам тӗксӗм тонӗ, алӑ тытрӑмӑр, алӑсене, калаҫса татӑлтӑмӑр, килӗшӳ, саламларӑмӑр, сӑран вӑтам тӗксӗм тонӗ, сӑран тӗксӗм тонӗ, тӗлпулу
🫲	алӑ, алӑ сулахаялла, алӑ тыт, алӑпа, пӳрнепе сулахаялла, сулахай алӑ, сулахаялла
🫲🏻	алӑ, алӑ сулахаялла: сӑран ҫутӑ тӗсӗ, алӑ тыт, алӑпа, пӳрнепе сулахаялла, сулахай алӑ, сулахаялла, сӑран ҫутӑ тӗсӗ
🫲🏼	алӑ, алӑ сулахаялла: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ тыт, алӑпа, пӳрнепе сулахаялла, сулахай алӑ, сулахаялла, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫲🏽	алӑ, алӑ сулахаялла: сӑран вӑтам тонӗ, алӑ тыт, алӑпа, пӳрнепе сулахаялла, сулахай алӑ, сулахаялла, сӑран вӑтам тонӗ
🫲🏾	алӑ, алӑ сулахаялла: сӑран вӑтам тӗксӗм тонӗ, алӑ тыт, алӑпа, пӳрнепе сулахаялла, сулахай алӑ, сулахаялла, сӑран вӑтам тӗксӗм тонӗ
🫲🏿	алӑ, алӑ сулахаялла: сӑран тӗксӗм тонӗ, алӑ тыт, алӑпа, пӳрнепе сулахаялла, сулахай алӑ, сулахаялла, сӑран тӗксӗм тонӗ
🫳	алтупанне аялалла, алтупанӗпе аялалла, алӑ, суйласа, ямалла, ӳкермелле
🫳🏻	алтупанне аялалла, алтупанӗпе аялалла, алтупанӗпе аялалла: сӑран ҫутӑ тӗсӗ, алӑ, суйласа, сӑран ҫутӑ тӗсӗ, ямалла, ӳкермелле
🫳🏼	алтупанне аялалла, алтупанӗпе аялалла, алтупанӗпе аялалла: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ, суйласа, ямалла, ӳкермелле, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫳🏽	алтупанне аялалла, алтупанӗпе аялалла, алтупанӗпе аялалла: сӑран вӑтам тонӗ, алӑ, суйласа, сӑран вӑтам тонӗ, ямалла, ӳкермелле
🫳🏾	алтупанне аялалла, алтупанӗпе аялалла, алтупанӗпе аялалла: сӑран вӑтам тӗксӗм тонӗ, алӑ, суйласа, сӑран вӑтам тӗксӗм тонӗ, ямалла, ӳкермелле
🫳🏿	алтупанне аялалла, алтупанӗпе аялалла, алтупанӗпе аялалла: сӑран тӗксӗм тонӗ, алӑ, суйласа, сӑран тӗксӗм тонӗ, ямалла, ӳкермелле
🫴	алтупанне, алтупанне ҫӳлелле, алтупанӗпе ҫӳлелле, алӑ, илӗртсе, кала, сӗнӗр, тытӑр, чӗнӗр
🫴🏻	алтупанне, алтупанне ҫӳлелле, алтупанӗпе ҫӳлелле, алтупанӗпе ҫӳлелле: сӑран ҫутӑ тӗсӗ, алӑ, илӗртсе, кала, сӑран ҫутӑ тӗсӗ, сӗнӗр, тытӑр, чӗнӗр
🫴🏼	алтупанне, алтупанне ҫӳлелле, алтупанӗпе ҫӳлелле, алтупанӗпе ҫӳлелле: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ, илӗртсе, кала, сӗнӗр, тытӑр, чӗнӗр, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫴🏽	алтупанне, алтупанне ҫӳлелле, алтупанӗпе ҫӳлелле, алтупанӗпе ҫӳлелле: сӑран вӑтам тонӗ, алӑ, илӗртсе, кала, сӑран вӑтам тонӗ, сӗнӗр, тытӑр, чӗнӗр
🫴🏾	алтупанне, алтупанне ҫӳлелле, алтупанӗпе ҫӳлелле, алтупанӗпе ҫӳлелле: сӑран вӑтам тӗксӗм тонӗ, алӑ, илӗртсе, кала, сӑран вӑтам тӗксӗм тонӗ, сӗнӗр, тытӑр, чӗнӗр
🫴🏿	алтупанне, алтупанне ҫӳлелле, алтупанӗпе ҫӳлелле, алтупанӗпе ҫӳлелле: сӑран тӗксӗм тонӗ, алӑ, илӗртсе, кала, сӑран тӗксӗм тонӗ, сӗнӗр, тытӑр, чӗнӗр
🫷	аллаппи, алтупанӗпе сулахаялла, алӑ, кӗтме, пар, пауза, пиллӗк, стоп, сулахаялла, тытса тӑма, тӑхта, тӗртме, чарма, чарӑнма
🫷🏻	аллаппи, алтупанӗпе сулахаялла, алтупанӗпе сулахаялла: сӑран ҫутӑ тӗсӗ, алӑ, кӗтме, пар, пауза, пиллӗк, стоп, сулахаялла, сӑран ҫутӑ тӗсӗ, тытса тӑма, тӑхта, тӗртме, чарма, чарӑнма
🫷🏼	аллаппи, алтупанӗпе сулахаялла, алтупанӗпе сулахаялла: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ, кӗтме, пар, пауза, пиллӗк, стоп, сулахаялла, тытса тӑма, тӑхта, тӗртме, чарма, чарӑнма, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫷🏽	аллаппи, алтупанӗпе сулахаялла, алтупанӗпе сулахаялла: сӑран вӑтам тонӗ, алӑ, кӗтме, пар, пауза, пиллӗк, стоп, сулахаялла, сӑран вӑтам тонӗ, тытса тӑма, тӑхта, тӗртме, чарма, чарӑнма
🫷🏾	аллаппи, алтупанӗпе сулахаялла, алтупанӗпе сулахаялла: сӑран вӑтам тӗксӗм тонӗ, алӑ, кӗтме, пар, пауза, пиллӗк, стоп, сулахаялла, сӑран вӑтам тӗксӗм тонӗ, тытса тӑма, тӑхта, тӗртме, чарма, чарӑнма
🫷🏿	аллаппи, алтупанӗпе сулахаялла, алтупанӗпе сулахаялла: сӑран тӗксӗм тонӗ, алӑ, кӗтме, пар, пауза, пиллӗк, стоп, сулахаялла, сӑран тӗксӗм тонӗ, тытса тӑма, тӑхта, тӗртме, чарма, чарӑнма
🫸	алтупанӗ, алтупанӗпе сылтӑмалла, алӑ, кӗтме, пауза, пиллӗк, стоп, сылтӑмалла, тӑхта, тӗрт, чарма, чарӑну, ҫук
🫸🏻	алтупанӗ, алтупанӗпе сылтӑмалла, алтупанӗпе сылтӑмалла: сӑран ҫутӑ тӗсӗ, алӑ, кӗтме, пауза, пиллӗк, стоп, сылтӑмалла, сӑран ҫутӑ тӗсӗ, тӑхта, тӗрт, чарма, чарӑну, ҫук
🫸🏼	алтупанӗ, алтупанӗпе сылтӑмалла, алтупанӗпе сылтӑмалла: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ, кӗтме, пауза, пиллӗк, стоп, сылтӑмалла, тӑхта, тӗрт, чарма, чарӑну, ҫук, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫸🏽	алтупанӗ, алтупанӗпе сылтӑмалла, алтупанӗпе сылтӑмалла: сӑран вӑтам тонӗ, алӑ, кӗтме, пауза, пиллӗк, стоп, сылтӑмалла, сӑран вӑтам тонӗ, тӑхта, тӗрт, чарма, чарӑну, ҫук
🫸🏾	алтупанӗ, алтупанӗпе сылтӑмалла, алтупанӗпе сылтӑмалла: сӑран вӑтам тӗксӗм тонӗ, алӑ, кӗтме, пауза, пиллӗк, стоп, сылтӑмалла, сӑран вӑтам тӗксӗм тонӗ, тӑхта, тӗрт, чарма, чарӑну, ҫук
🫸🏿	алтупанӗ, алтупанӗпе сылтӑмалла, алтупанӗпе сылтӑмалла: сӑран тӗксӗм тонӗ, алӑ, кӗтме, пауза, пиллӗк, стоп, сылтӑмалла, сӑран тӗксӗм тонӗ, тӑхта, тӗрт, чарма, чарӑну, ҫук
👌	"пурте аван"тесе алӑ сулни, алӑ, алӑпа, калаҫса татӑлтӑмӑр, килӗшетӗп, лайӑх, ой, ок, отлично, пурте лайӑх ", пурте лайӑх", утатпӑр, хӑлаҫлантӑмӑр
👌🏻	"пурте аван"тесе алӑ сулни: сӑран ҫутӑ тӗсӗ, алӑ, алӑпа, калаҫса татӑлтӑмӑр, килӗшетӗп, лайӑх, ой, ок, отлично, пурте лайӑх ", пурте лайӑх", сӑран ҫутӑ тӗсӗ, утатпӑр, хӑлаҫлантӑмӑр
👌🏼	"пурте аван"тесе алӑ сулни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ, алӑпа, калаҫса татӑлтӑмӑр, килӗшетӗп, лайӑх, ой, ок, отлично, пурте лайӑх ", пурте лайӑх", утатпӑр, хӑлаҫлантӑмӑр, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👌🏽	"пурте аван"тесе алӑ сулни: сӑран вӑтам тонӗ, алӑ, алӑпа, калаҫса татӑлтӑмӑр, килӗшетӗп, лайӑх, ой, ок, отлично, пурте лайӑх ", пурте лайӑх", сӑран вӑтам тонӗ, утатпӑр, хӑлаҫлантӑмӑр
👌🏾	"пурте аван"тесе алӑ сулни: сӑран вӑтам тӗксӗм тонӗ, алӑ, алӑпа, калаҫса татӑлтӑмӑр, килӗшетӗп, лайӑх, ой, ок, отлично, пурте лайӑх ", пурте лайӑх", сӑран вӑтам тӗксӗм тонӗ, утатпӑр, хӑлаҫлантӑмӑр
👌🏿	"пурте аван"тесе алӑ сулни: сӑран тӗксӗм тонӗ, алӑ, алӑпа, калаҫса татӑлтӑмӑр, килӗшетӗп, лайӑх, ой, ок, отлично, пурте лайӑх ", пурте лайӑх", сӑран тӗксӗм тонӗ, утатпӑр, хӑлаҫлантӑмӑр
🤌	алӑ, кисть, пӗр чӗптӗм, пӳрне, рга, сарказм, чӗрес, ывӑҫ, ыйту
🤌🏻	алӑ, кисть, пӗр чӗптӗм, пӗр чӗптӗм: сӑран ҫутӑ тӗсӗ, пӳрне, рга, сарказм, сӑран ҫутӑ тӗсӗ, чӗрес, ывӑҫ, ыйту
🤌🏼	алӑ, кисть, пӗр чӗптӗм, пӗр чӗптӗм: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, пӳрне, рга, сарказм, чӗрес, ывӑҫ, ыйту, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🤌🏽	алӑ, кисть, пӗр чӗптӗм, пӗр чӗптӗм: сӑран вӑтам тонӗ, пӳрне, рга, сарказм, сӑран вӑтам тонӗ, чӗрес, ывӑҫ, ыйту
🤌🏾	алӑ, кисть, пӗр чӗптӗм, пӗр чӗптӗм: сӑран вӑтам тӗксӗм тонӗ, пӳрне, рга, сарказм, сӑран вӑтам тӗксӗм тонӗ, чӗрес, ывӑҫ, ыйту
🤌🏿	алӑ, кисть, пӗр чӗптӗм, пӗр чӗптӗм: сӑран тӗксӗм тонӗ, пӳрне, рга, сарказм, сӑран тӗксӗм тонӗ, чӗрес, ывӑҫ, ыйту
🤏	"сахал", "сахал"алӑ сулни, аллипе, алӑ, кӑшт ҫеҫ, кӑштах, пысӑках мар, сахал
🤏🏻	"сахал", "сахал"алӑ сулни: сӑран ҫутӑ тӗсӗ, аллипе, алӑ, кӑшт ҫеҫ, кӑштах, пысӑках мар, сахал, сӑран ҫутӑ тӗсӗ
