‾	vinkulum, ɛsontwamu, ɛsosensaneɛ
😷	aduro, anim, anim ne mɛdikaa nkatanim, dr, dɔkota, dɛntise, dɛɛmatɔlɔgise, mmoawa, mɛdikaa, nkatanim, nwunu, yare
🤒	anim, anim ne tɛmɔmita, tɛmɔmita, yare
🤕	anim, anim ne ti baanegye, baanegye, opira, ouch, pira, ti baanegye
🤢	abofono, abofono anim, anim, atantadeɛ, tantan, yare, ɛfeɛ
🤮	anim, anim a ɛrefe, baafo, ew, fa gu hɔ, fe, feɛ, refe, soro, tantan, to, yare
🤧	anim, fiiva, flu, gɛsɔndhɛte, hwansi, hwansie anim, rehwansi, yare
🥵	anim, anim-kɔkɔɔ, fiivarihye, home hahyehahye, hye, hyew anim, rete mfifire, rewu, strooko, tɛkrɛma, ɛhyew
🥶	anim, anim nwununwunu, anim-bruu, bruu, friisin, frɔstbite, isisilese, nwunu, sɔbziro, ɛse
🥴	aboro, ani, anim, anisobiri, ano, tipsi, weefi, woosi, woosi anim, ɛnnidi so
😵	abrɛ, abɔ, abɔnten, ani, anim, anim ne ani a wɔatwam, anisobiri, atenka, atwam, awu, yare
😵‍💫	ani, anim, anim ne ani ntwaho, anisobiri, asɛm, hipnotise, keserenee, ntwaho, omg, semaali, whoa, woah, woosi
🤯	adwene, ahu, daabi, kwan, nwanwa, pae, repae, ti, ti a apae, ɛpae adwene
🤠	anim, kaawboe, kaawboe kyɛ anim, kaawgɛɛle, kyɛ
🥳	abɛn, afahyɛ, ani agye, anigyeɛ, anim, awoda, bday, hooray, hyɛ fa, paati, paati anim, ɛkyɛ
🥸	ani akyi nwii, anim, ano nwii, disgaase, disgaase anim, glaasese, hwene, inkɔgenito, onipa, sipae, taahye
😎	anigye, anim, bro, homee, hyeese, hyerɛn, kuu, kyeelin, mpoano, rad, sanglasese, selee, serewee, serewee anim ne sanglasese, setaale, swag, win
🤓	anim, espɛɛte, geeke, giftede, glasese, nimdeni, nyansani, nɛɛde, nɛɛde anim, semaate
🧐	anim, anim ne monokeele, fansi, klaasi, monokeele, sikani, staafi
😕	aane, anim, anim a ɛyɛ basaa, awerɛhoɔ, basaa, hm, meh, muna, nnim, nnuho, ɛnyɛ
🫤	akyea, akyinnyegyeɛ, anim, anim ne ano a akyea, ano, ayɛ basaa, basaa, basaayɛ, biara, huammɔ, meh, nnye nni, wtv
😟	adwendwene, ahopopoɔ, anim, anim basaa, awerɛhoɔ, ayamhyehyeɛ, basaa, brɛ, kokoɔ, nwanwa, suro
🙁	anim, anim a amuna kakraa bi, awerɛhoɔ, kakraa, muna, remuna
☹️	anim, anim a amuna, awerɛhoɔ, muna, remuna
😮	ahodwiri, ahodwirisɛm, ahommɔborɔ, anim, anim ne ano a abue, ano, anwanwasɛm, bue, gye di, nwanwa, omg, werɛ afi, whoa, wo, wow
😯	ahodwiri anim, anim, nwanwa, omg, pusa, whoa, woah, ɛpike
😲	ahodwiri, anim, boɔ, daabi, korakora, kwan, nwanwa, nwanwa anim, omg
😳	ahodwiri, ani gye ho, anim, aniwuo, dam, deɛn, flɔhye, flɔhye anim, gyeez, hye, nnye nni, nwanwa, wawu, wow, ɔhyew
🥺	adɛn, akyɛwpa anim, ani, anim, awerɛhoɔ, fɛɛfɛ, kraman ba, kɛseɛ, mmɔburohunu, repa kyɛw, srɛ wo, ɛnyɛ
🥹	ahohoahoa, akyi, anigye, anigyeɛ, anim, anim a ɛretwe nisuo san, anisɔ, aniwuo, atenka, awerɛhoɔ, aww, kura, nisuo, srɛ wo, su, tena bio
😦	anim, anim a amuna ne ano a abue, ano, bue, bɔ ban, deɛn, huuhu, muna, nwanwa, remuna, suro, wakye no, wow
😧	ani nnye, anim, basaa, deɛn, huuhu, nwanwa, suro, werɛ afi, wow, yeaa, yeaa anim
😨	adwendwene, anim, basaa, huuhuu, ntwantosoɔ, suro, suro anim
😰	anim, anim basaa ne mfifire, ano, basaa, bruu, bue, eek, mfifire, mpereho, nwunu, suro, yikes
😥	ahotɔ, anim, awerɛhoɔ, awerɛhoɔ nanso ahotɔ anim, basaa, berɛ, frɛ, huammɔdie, mfifire, nwonworan, to mu, whew, ɛnyɛ
😢	ani nnye, anigyina, anim, atenka, awerɛhoɔ, basaa, esu anim, nisuo, resu, su, triste
😭	ani nnye, anim, awerɛhoɔ, denden, nisuo, resu, su, su denden anim
😱	ahodwiri, anim, anim teɛteɛm wɔ ehu mu, epike, huuhu, nwanwa, reteɛteɛm, suro, teɛteɛm, teɛteɛmuni, wesa, woah
😖	abufuo, anim, atenka, awerɛhoɔ, bahato, basaa, basaa anim, keserenee, tantan
😣	anim, hwɛ gyee, kɔsɛnterete, kɔsɛnteretehyen, nkoden, nkoden anim, tipae
😞	ani nnye, anim, awerɛhoɔ, basaa, huammɔ, huammɔ anim, nkoguo, rehwere, twatosoɔ
😓	anim, atenka, awerɛhoɔ, awerɛhoɔ anim ne mfifire, mfifire, nwunu, suro, tipae, to mu, yikes
😩	abufuo, ani kum, ani nnye, anim, anim a abrɛ, atenka, awerɛhoɔ, brɛ, daabi, kɔm, nkoguo, resu
😫	anim, atenka, awerɛhoɔ, boɔ, brɛ, brɛ anim, hwanse, nna
🥱	anadwo, aniha, anikum, anim, biara, brɛ, da, da yie, heram, heram anim, nna, nnaberɛ, reheram, zzz
😤	abufuo, adi nkonim, ani nnye, anim, anim a wusie firi hwenem pue, atenka, bo afu, hwene, koko pae, nkonim, wusie
😡	abufuo, adi nkonim, ani, atenka, atɛm, kokopae anim, kɔkɔɔ
😠	abufuo, abufuo anim, abufusɛm, ani nnye, anim, atenka, atɛm, baha, bo afu, twa to so
🤬	abufuo, anim, anim a ɛwɔ simboo, ano, dam, duabɔ, kasafi, simboo, sɛnsa
😈	adaemone, anim, anim a ɛresere ne mmɛn, atɛm, bonsam, bɔne, fantasi, fɛɛre, fɛɛreteele, mmɛn, pɛɛpoo, resere, sere, teele
👿	abufuo, abufuo anim ne mmɛn, adaemone, anim, atɛm, bonsam, bɔne, fantasi, fɛɛre, fɛɛreteele, imp, mmɛn, nipabɔne, pɛɛpoo, teele
💀	anim, awu, fɛɛre, fɛɛreteele, honam, lmao, meyɛ, owuo, sasabonsam, teele, tikora, yolo
☠️	Dompe, anim, nnompe a atwam, owuo, sasabonsam, tikora, tikora ne nnompe a wɔtwam, wawu
💩	aboa, agyanan, agyanan boa, anim, boa, bs, doo, fml, kankan, kɔmeke, smh
🤡	anim, klaawo, klaawo anim
👹	anim, bonsam, fantasi, fɛɛre, fɛɛreteele, huuhuu, krekya, nkatanimu, sasabonsam, teele, ɔɔga
👺	abufuo, anim, fantasi, fɛɛre, fɛɛreteele, gɔɔbeline, krekya, nkatanim, sasabonsam, teele, tirimuoden
👻	ani agye, anim, boo, fantasi, fɛɛre, fɛɛreteele, haloweene, huhuu, hunahuna, krekya, saman, sasabonsam, siili, teele
👽️	aaliene, anim, estratɛrɛstɛria, fantasi, fɛɛre, fɛɛreteele, krekya, sasabonsam, spesi, teele, ufo
👾	aaliene, aaliene sasabonsam, anim, estratɛrɛstɛria, fantasi, fɛɛre, fɛɛreteele, geema, geeme, geemese, krekya, piselatɛde, sasabonsam, spesi, teele, ufo
🤖	anim, robɔto, sasabonsam
😺	aboa, anim, ano, bue, sereɛ, ɔkra, ɔkra resere, ɔresere
😸	aboa, ani, anim, nwenwene, renwenwene, resere, sere, ɔkra, ɔkra ne ani a ɛresere
😹	aboa, anigyeɛ, anim, lol, nisuo, resere, sere, ɔkra, ɔkra a ɔde anigyeɛ nisuo resu
😻	aboa, akoma, akoma-aniwa, anim, aniwa, sere, ɔdɔ, ɔkra, ɔkra a ɔresere a n’ani yɛ akoma, ɔresere
😼	aboa, akyim, anim, arɔneke, sereɛ, ɔkra, ɔkra ne sereɛ a akyim
😽	aboa, anim, aniwa, anofeɛ, refe ano, wɔato mu, ɔkra, ɔkra a ɔrefe ano
🙀	aboa, abrɛ, anim, nwanwa, oh, ɔkra, ɔkra a wabrɛ
😿	aboa, anim, awerɛhoɔ, resu, su, tear, ɔkra, ɔkra a ɔresu
😾	aboa, anim, wadwa, ɔkra, ɔkra a wadwa
🙈	adoe, ahintasɛm, akyiwadeɛ, anim, bɔne, daabi, fɛre, hwɛ, nhwɛ-bɔne-biara adoe, nneyɛeɛ, omg, sie, smh, suro, werɛ fiiɛ, wɔmma kwan
🙉	aboa, adoe, ahintasɛm, akyiwadeɛ, anim, aso, bɔne, daabi, nneyɛeɛ, ntie-bɔne-biara adoe, shh, tie, tmi, ɛnyɛ
🙊	aboa, adoe, ahintasɛm, akyiwadeɛ, anim, bɔne, daabi, ka, komm, nka-bɔne-biara adoe, nnyɛeɛ, oops, setɛlɛfo, ɛnyɛ
💌	akoma, krataa, mel, romanse, valentine, ͻdͻ, ͻdͻ krataa
💘	143, adɔɔbse, agyan, akoma, akoma a agyan hyɛ mu, atenka, ily, kupid, mpenatwe, romanse, valentine, ɔdɔ
💝	143, afenhyia, akoma, akoma ne ribine, atenka, ily, mfeano, ribine, valentine, xoxo
💖	143, akoma, akoma a ɛtete gya, anadwo, ani agye, anɔpa, atenka, ily, mfeano, pa, tete gya, xoxo
💗	143, ahopopoɔ, akoma, akoma a ɛrenyini, akomapɔɔso, ani agye, atenka, ily, mfeano, muah, pɔɔso, renyini, xoxo
💓	143, akoma, akoma a ɛrebɔ, akomabɔ, atenka, ily, kaadio, pɔɔseetin, pɔɔso, rebɔ, ɔdɔ
💞	143, adɔɔbse, afenhyia, akoma, akoma a ɛretware, atenka, retware
💕	143, afenhyia, akoma, akoma mmienu, atenka, dɔ, ily, mfeano, mmienu, mpena, mpenatwe, xoxo, ɔdɔ
💟	143, akoma, akoma dɛkorahyen, atenka, dɛkorahyen, fitaa, hɛfo, pɛɛpoo
❣️	akoma, akoma nteamu, duruduru, maake, nteamu, pɔntwiehyen
💔	abubu, akoma, akoma a abubu, akomateɛ, akonam, apɛkyɛ, atenka, awerɛhoɔ, bu
❤‍🔥	akoma, akoma da gya mu, akɔnnɔ, gya, hye, suro, ɔdɔ
❤‍🩹	akoma, akoma a wɔatare, deɛ ahoɔden wom, kama, rekɔ so, renya ahotɔ, retare, rɛkuperatin
❤️	akoma, akoma kɔkɔɔ, atenka, kɔkɔɔ, ɔdɔ
🩷	143, akoma, akoma pinke, anika, atenka, dɛɛdɛ, ily, ketewa kama, pinke, pɛ, soronko, ɔdɔ
🧡	143, akoma, ankaa, ankaa akoma
💛	143, akokɔsradeɛ, akoma, akoma akokɔsradeɛ, atenka, ily, kaadeake, ɔdɔ
💚	143, ahabanmono, akoma, akoma ahabanmono, atenka, ily, romantike, ɔdɔ
💙	143, akoma, akoma bruu, atenka, bruu, ily, romanse, ɔdɔ
🩵	143, akoma, akoma bruu kakraa, atenka, bruu, ily, kakraa, kayan, ketewa fɛɛfɛ, pɛ, soronko, teale, ɔdɔ, ɔsoro
💜	143, akoma, akoma pɛɛpoo, atenka, ily, kama paa, pɛɛpoo, ɔdɔ
🤎	143, akoma, akoma dodoe, dodoe
🖤	akoma, akoma tuntum, atirimuoden, bɔne, tuntum
🩶	143, akoma, akoma nsonso, atenka, ily, nsonso, seleba, sleete, soronko, ɔdɔ
🤍	143, akoma, akoma fitaa, fitaa
💋	agyinahyɛdeɛ, akoma, ano, anofeɛ, anofeɛ agyinahyɛdeɛ, atenka, mpenatwe, refe ano, romanse, sɛɛse
💯	100, NOKORƐ, a+, fa sie, fleeke, gye tom, ma, mma, nokorɛ, nokorɛdie, pefee, pɔnse, pɔnse ɔha, pɛɛfɛte, yup, ɔha, ɛyɛ dɛn ara
💢	abufuo, abufuo agyinahyɛdeɛ, agyinahyɛdeɛ, bo afu, kɔmeke
💥	boom, bɔmbo, kɔlide, kɔmeke, kɔɔlihyen, ɛsplode kɔɔlihyen
💫	diisi, kɔmeke, nsoromma, rehyerɛn, retoto
💦	adwuma, adwumaden, afɔ, koko, kɔmeke, mfifire, nsuo, piti, sosɔ
💨	awee, daahye, daahyen, dahyeen awee, gotta, kɔ, kɔeɛ, kɔmeke, mmunukum, ntɛm, retu mmirika, wusie, ɛta
🕳️	tokuro
💬	baaloo, bɔbuu, daalɔgo, kasa, kasa baaloo, kɔmeke, nkra, sms, taapen
👁‍🗨	adanseɛ, ani, ani wɔ kasa bɔbuu mu, baaluu, bɔbuu, kasa
🗨️	baaluu, benkum, benkum kasa bɔbuu, bɔbuu, daalɔgo, kasa
🗯️	abufuo, baaluu, bɔbuu, nifa, nifa abufuo bɔbuu
💭	adwene, adwene baaluu, awiadaeɛ, baaluu, bɔbuu, daeɛ, dwene, gyinaeɛ, invenhyen, invente, kaatoono, kɔmeke, mununkum, nya nteaseɛ, susu
💤	ZZZ, abrɛ, anadwo, ani kum, da, da yie, kama, kɔmeke, reda, zzz
👋	akyire yi, bye, cya, g2g, gtg, hello, hey, hi, him nsa, nkyea, nsa a ɛrehim, outtie, ttfn, wo, yo
🤚	akyi, nsa, nsa akyi a apagya, nsaakyi, pagya
🖐️	abue, apagya, gyae, nsa, nsa ne nsateaa a abue, nsateaa
✋️	5, apagya, gyae, nsa, nsa a apagya, num, soro
🖖	nkyea, nsa, nsateaa, vulcan nkyea
🫱	du, kura, kyea, nifa, nsa, nsa nifa, nsamnkyea
🫲	benkum, du, kura, kyea, nsa, nsa benkum, nsamnkyea
🫳	de ato fam, fa to fam, fam, gya kwan, nsa, nsam, nsam hwɛ fam, shoo, soro, yi
🫴	bra, fa ma, him nsa, ka, kura, kye, ma so, me, nim, nsa, nsam, nsam a ɛhwɛ soro
🫷	benkum, gyae, gyina, kura, mpene, nsa, nsa repia kɔ benkum, num, pia, repia, si kwan, soro, twa asom, twɛn
🫸	gyae, gyina, kura, nifa, nsa, nsa repia kɔ nifa, num, pia, po, repia, si kwan, soro, twa asom, twɛn
👌	OK, OK nsa, ahomeka, fleek, fosho, kama, kama paa, mate aseɛ, mia, mmiɛnsa, nsa, nya, okay, papa no no, sɔ hwɛ, turodoo, yoo
🤌	abotrɛ, amia, deɛn, huh, kura, mpoatwa, nneyɛeɛ, nsa, nsateaa, nsateaa a amia, nsɛm a wɔbisabisa, ntoboaseɛ, ugh, zip
🤏	dodoɔ, kakraa, ketewa, ko, nsa, nsa a amia, nsateaa, remia
✌️	asomdwoeɛ, nkonimdie, nkonimdie nsa, nsa, v
🤞	atwa, mmeamu, nsa, nsateaa, nsateaa a wɔde abankyere ho, ti pa
🫰	<3, atwa, index, kokuromotie, koma, ne bo yɛ den, nsa, nsa a wɔde akyerɛkyerɛkwan nsateaa ne kokuromotie abɔ mu, nsateaa, sika, snap, ɔdɔ
🤟	ILY, mmiɛnsa, nsa, nsa a wɔde yɛ ade, nsateaa, wo, ɔdɔ, ɔdɔ-wo, ɔdɔ-wo sɛnkyerɛnne
🤘	fa nsa hyɛ aseɛ, kɔ-so, mmɛn, mmɛn no ho sɛnkyerɛnne, nsa, nsateaa
🤙	Shaka, frɛ, frɛ me nsa, hodwo, me, nsa, twa so
👈️	benkum, indɛse, kyerɛ, nsa, nsaakyi, nsaakyi indɛse a ɛkyerɛ benkum so, nsateaa, rekyerɛ
👉️	indɛse, kyerɛ, nifa, nsa, nsaakyi, nsaakyi indɛse a ɛkyerɛ nifa so, nsateaa, rekyerɛ
👆️	indɛse, kyerɛ, nsa, nsaakyi, nsaakyi indɛse a ɛkyerɛ soro so, nsateaa, rekyerɛ, soro
🖕	mfinimfini, mfinimfini nsateaa, nsa, nsateaa
👇️	fam, indɛse, kyerɛ, nsa, nsaakyi, nsaakyi indɛse rekyerɛ fam, nsateaa, rekyerɛ
☝️	indɛse, indɛse rekyerɛ soro, kyerɛ, nsa, nsateaa, rekyerɛ, soro, wei
🫵	indɛse, indɛse rekyerɛ ɔhwɛfoɔ no so, nsa, nsateaa, pem, rekyerɛ, wo, wɔ, ɔhwɛfoɔ
👍️	+1, aane, kokuromotie, kokuromotie a ɛkɔ soro, nsa, papa, pɛ, soro
👎️	-1, bɔne, daabi, fam, kokuromotie, kokuromotie a ɛkɔ fam, mpene, nsa, papa
✊️	amoa, apagya, baakoyɛ a wɔyɛ, nsa, pɔnkye, twɛdeɛ, twɛdeɛ a apagya
👊	amoa, bom, boom, bro, bruh, gye tom, nokorɛ, nokwasɛm, nsa, pim, pɔnkye, rock, ttyl, twɛdeɛ, twɛdeɛ a ɛreba, ɛreba
🤛	benkum, twɛdeɛ, twɛdeɛ a ɛhwɛ benkum
🤜	nifa, twɛdeɛ, twɛdeɛ a ɛhwɛ nifa
👏	adwuma, anigyeɛ, ayekoo, fɛɛfɛɛ, kama, kɛseɛ, mpaeɛ, nsa, nsa a ɛrebom, nsambɔ, papa, yay, yɔnkoɔ, ɔpeneeɛ
🙌	afahyɛ, hooray, nkamfoɔ, nneyɛeɛ, nsa, nsa a ɛrepagya, pagya, ɛrepagya
🫶	<3, akoma, akoma nsa, nsa, wo, ɔdɔ
👐	bam, bue, dane, gyaase, nsa, nsa a abue
🤲	anoboa, bɔ mpaeɛ, dua, mpaeɛ, nkabom, nsa, nsam, nsateaa a ɛkɔ soro bom, pɛ, soro
🤝	apam, kyea, nhyiamu, nsa, nsamkyea, nteaseɛ
🙏	ahyira, akyɛwpa, amoa, aseda, bisa, bɔ mpaeɛ, cmon, kyerɛ aniso, muasebɔ, nneyɛeɛ, nsa, nsa a aka abom, num, pa kyɛw, soro, thx
✍️	atwerɛ, nsa, nsa a wɔde twerɛ nsɛm, twerɛ
💅	ahosiesie, ani nka, animtwie, awie, biara, kɔsmɛtise, manikiɔw, mmɔwerɛ, mmɔwerɛ pɔlihye, pɔlihye
🤳	fon, kamera, selfie
💪	abasa, aboa, abɔ, adesoa a wɔma so, ahoɔden, baasɛpse, baasɛpse a aflɛse, bro, bɛnkye, deɛ ɔpagya nnadeɛ, flɛse, gainse, gym, kɛlse, mia, mɔɔso
🦾	abasa, adwumayɔ, afidie akwaa, dadeɛ abasa a ɛkɔba, deɛ ɛkɔba
🦿	adwumayɔ, afidie akwaa, dadeɛ nan a ɛkɔba, deɛ ɛkɔba, nan
🦵	abuka, akwaa, bɔ, kotodwe, nan
🦶	bɔ, nan, nan ase, nankɔn, tia
👂️	aso, nipadua, nnyegyeeɛ, otie, retie, tie
🦻	adwumayɛ, aso, aso ne otie eede, den, mmoa, otie
👃	aso, hwene, hwua, nipadua, nsɛmhwuahwua, ɛhwua
🧠	adwene, nimdefoɔ, nyansa
🫀	aduyɛ, aduyɛ akoma, akoma, akoma ho aduyɛ, akomabɔ, akwaa, bɔ, kann, kɔkɔɔ, pɔɔlso
🫁	ahrawa, akwaa, home, home kɔ mu, home pue, ohome, ɔhome
🦷	fitaa, fufuo, ɛse, ɛse duyɛfoɔ
🦴	apɛdeɛ dompe, dompe, nnompe, ɔkraman
👀	adehwɛ, ani, anim, googɔli, hwɛ, nipadua, omg, rehwɛ, tetɛ
👁️	1, ani, aniwa, baako, nipadua
👅	nipadua, tafre, tɛkrɛma
👄	ahoɔfɛ, ano, anofeɛ, lipsitike, mfeano, nipadua
🫦	ahokyere, ano, ano a obi reka, ayamhyehyɛeɛ, dɛfɛdɛfɛ, fe ano, ka, lipsitike, redɛfɛdɛfɛ, reka, suro, sɛɛsi
👶	abɔdoma, abɔfra, akwadaa foforɔ, goo, mmɔfra, nkwadaa, nyinsɛn, sua
🧒	akwadaa, ani a ɛhyerɛn, kumaa, nanaa, sua
👦	akwadaa, ani a ɛhyerɛn, babarima, barima, kumaa, nanaa, sua
👧	Vɛɛgo, akwadaa, ani a ɛhyerɛn, kumaa, nanaa, sodiake, sua, ɔbaa, ɔbabaa
🧑	onipa, panin
👱	kɔkɔɔ, nwii kɔkɔɔ, onipa, onipa: nwii kɔkɔɔ
🧑‍🦰	nwi kͻkͻͻ, onipa, onipa: nwi kͻkͻͻ, panin
🧑‍🦳	nwi fitaa, onipa, onipa: nwi fitaa, panin
🧑‍🦲	onipa, onipa: tipa, panin, tipa
👨	bro, panin, ɔbarima
🧔	abodwesɛ, deɛ wɔ abodwesɛ, mfemfem, onipa, onipa: abodwesɛ
🧔‍♂	abodwesɛ, barima, barima: abodwesɛ, deɛ wɔ abodwesɛ, mfemfem
👱‍♂	barima, barima: nwii kɔkɔɔ, kɔkɔɔ, nwii
👨‍🦰	bro, nwi kͻkͻͻ, panin, ɔbarima, ɔbarima: nwi kͻkͻͻ
👨‍🦳	bro, nwi fitaa, panin, ɔbarima, ɔbarima: nwi fitaa
👨‍🦲	bro, panin, tipa, ɔbarima, ɔbarima: tipa
👩	maame, panin, ɔbaa
🧔‍♀	abodwesɛ, deɛ wɔ abodwesɛ, mfemfem, ɔbaa, ɔbaa: abodwesɛ
👱‍♀	kɔkɔɔ, maame, nwii, ɔbaa: nwii kɔkɔɔ
👩‍🦰	maame, maame: nwi kͻkͻͻ, nwi kͻkͻͻ, panin, ɔbaa
👩‍🦳	maame, maame: nwi fitaa, nwi fitaa, panin, ɔbaa
👩‍🦲	maame, maame: tipa, panin, tipa, ɔbaa
🧓	Onipa a wanyini, anyini, nana, nyansani, onipa, opanin, panin
👴	akwakora, anyini, atipa, barima, grampse, nana, nanabarima, nyansani, panin
👵	abrewa, anyini, maame, nana, nanabaa, nyansa, panin, ɔbaa
🙍	abasamtuo, abufuo, aha no, bahato, muna, nneyɛeɛ, n’ani nnye ho, onipa, onipa a wamuna, remuna
🙍‍♂	abasamtuo, abufuo, ahaw no, bahato, barima, barima remuna, muna, nneyɛeɛ, n’ani nnye ho, remuna
🙍‍♀	abasamtuo, abufuo, ahaw no, bahato, muna, nneyɛeɛ, n’ani nnye ho, remuna, ɔbaa, ɔbaa remuna
🙎	abubuo, bo afu, grɛmaase, huammɔ, muna, onipa, onipa pɔɔtine, pɔɔtine, sɔɔko, waaene
🙎‍♂	abubuo, barima, barima pɔɔtine, bo afu, grɛmaase, huammɔ, muna, pɔɔtine, sɔɔko, waaene
🙎‍♀	abubuo, bo afu, grɛmaase, huammɔ, muna, pɔɔtine, sɔɔko, waaene, ɔbaa, ɔbaa pɔɔtine
🙅	DAABI, akyiwadeɛ, bara, nneyɛeɛ, nsa, onipa, onipa reyɛ DAABI nsɛnkyerɛnne, ɛnyɛ
🙅‍♂	DAABI, akyiwadeɛ, bara, barima, barima reyɛ DAABI nsɛnkyerɛnne, nnyeɛeɛ, nsa, ɛnyɛ
🙅‍♀	DAABI, akyiwadeɛ, bara, nneyɛeɛ, nsa, ɔbaa, ɔbaa reyɛ DAABI nsɛnkyerɛnne, ɛnyɛ
🙆	OK, nneyɛeɛ, nsa, omg, onipa, onipa reyɛ OK nsɛnkyerɛnne, ɛsesaase
🙆‍♂	OK, barima, barima reyɛ OK nsɛnkyerɛnne, nneyɛeɛ, nsa, omg, ɛsesaase
🙆‍♀	OK, nneyɛeɛ, nsa, omg, ɔbaa, ɔbaa reyɛ OK nsɛnkyerɛnne, ɛsesaase
💁	aniberɛ mu, biara, dane, flike, kɔnkɔnsa, nsa, onipa, onipa tiipi nsa, sa, sakaasteke, sakasime, sassi, tiipi
💁‍♂	aniberɛ mu, barima, barima tiipi nsa, biara, dane, flike, kɔnkɔnsa, nsa, sa, sakaasteke, sakasime, sassi, tiipi
💁‍♀	aniberɛ mu, biara, dane, flike, kɔnkɔnsa, nsa, sa, sakaasteke, sakasime, sassi, tiipi, ɔbaa, ɔbaa tiipi nsa
🙋	asɛmmisa, fa, me, nim, nnyɛeɛ, nsa, onipa, onipa repagya nsa, pagya, repagya, ɛha
🙋‍♂	asɛmmisa, barima, barima repagya nsa, fa, me, nim, nnyɛeɛ, nsa, pagya, repagya, ɛha
🙋‍♀	asɛmmisa, fa, me, nim, nnyɛeɛ, nsa, pagya, repagya, ɔbaa, ɔbaa repagya ne nsa, ɛha
🧏	akwanya, aso, mum, nneyɛeɛ, onipa, tie, ɛmum
🧏‍♂	akwanya, aso, barima, mum, mum barima, nneyɛeɛ, tie
🧏‍♀	akwanya, aso, mum, nneyɛeɛ, tie, ɔbaa, ɔbaa mum
🙇	ahonu, bisa, bɔ mu ase, dwene ho, fakye, kafra, kyɛwpa, mmoa, mmɔbɔ, nneyɛeɛ, nweneho, onipa, onipa rebɔ ne mu ase, rebɔ mu ase, srɛ
🙇‍♂	ahonu, barima, barima rebɔ ne mu ase, bisa, bɔ mu ase, dwene ho, fakye, kafra, kyɛwpa, mmoa, mmɔbɔ, nneyɛeɛ, nweneho, rebɔ mu ase, srɛ
🙇‍♀	ahonu, bisa, bɔ mu ase, dwene ho, fakye, kafra, kyɛwpa, mmoa, mmɔbɔ, nneyɛeɛ, nweneho, rebɔ mu ase, srɛ, ɔbaa, ɔbaa rebɔ ne mu ase
🤦	abɔ hu, ahomeguo, animnsam, bio, daabi, gyidie, nwanwa, oh, omg, onipa, onipa de ne nsam ato n’anim, smh, ɛnyɛ
🤦‍♂	abɔ hu, ahomeguo, animnsam, barima, barima de ne nsam ato n’anim, bio, daabi, gyidie, nwanwa, oh, omg, smh, ɛnyɛ
🤦‍♀	abɔ hu, ahomeguo, animnsam, bio, daabi, gyidie, nwanwa, oh, omg, smh, ɔbaa, ɔbaa de ne nsa rebɔ n’anim, ɛnyɛ
🤷	biara, bu ani gu so, dunno, hwan, idk, mmati pagya, nim, nni gyidie, nnim hwee, onipa, onipa repagya ne mmati, repagya mmati, susu ho, ɛbia
🤷‍♂	barima, barima repagya ne mmati, biara, bu ani gu so, dunno, hwan, idk, mmati pagya, nim, nni gyidie, nnim hwee, repagya mmati, susu ho, ɛbia
🤷‍♀	biara, bu ani gu so, dunno, hwan, idk, mmati pagya, nim, nni gyidie, nnim hwee, repagya mmati, susu ho, ɔbaa, ɔbaa repagya ne mmati, ɛbia
🧑‍⚕	apomuden, apomuden dwumayɛfoɔ, apomudenhwɛ, dwumayɛni, dɔkota, nɛɛse, tɛrapiste
👨‍⚕	apomuden, apomuden dwumayɛfoɔ barima, apomudenhwɛ, barima, dwumayɛni, dɔkota, nɛɛse, tɛrapiste
👩‍⚕	apomuden, apomuden dwumayɛfoɔ ɔbaa, apomudenhwɛ, dwumayɛni, dɔkota, nɛɛse, tɛrapiste, ɔbaa
🧑‍🎓	gradwiate, sukuuni
👨‍🎓	barima, gradwiate, sukuuni, sukuuni barima
👩‍🎓	gradwiate, sukuuni, sukuuni baa, ɔbaa
🧑‍🏫	instrata, lɛkyura, prɔfɛsa, tikya
👨‍🏫	barima, instrata, lɛkyura, prɔfɛsa, tikya, tikyani barima
👩‍🏫	instrata, lɛkyura, prɔfɛsa, tikya, tikyani baa, ɔbaa
🧑‍⚖	Gyaagye, atɛntrenee, gyaagye, mmara, nsenia
👨‍⚖	Barima gyaagye, Gyaagye, atɛntrenee, barima, mmara, nsenia
👩‍⚖	Gyaagye, atɛntrenee, mmara, nsenia, ɔbaa, ɔbaa gyaagye
🧑‍🌾	Okuani, gaadena, rankya
👨‍🌾	Okuani, Okuani barima, barima, gaadena, rankya
👩‍🌾	Okuani, Okuani baa, gaadena, rankya, Ɔbaa
🧑‍🍳	Hyɛɛfo, kuk
👨‍🍳	Barima kuk, Hyɛɛfo, barima, kuk
👩‍🍳	Hyɛɛfo, kuk, Ɔbaa kuk, ɔbaa
🧑‍🔧	Mɛkanike, mɛkanike, plɔmba, Ɛlɛtrihyian, ɔdetɔni
👨‍🔧	Barima mɛkanike, barima, mɛkanike, plɔmba, Ɛlɛtrihyian, ɔdetɔni
👩‍🔧	mɛkanike, plɔmba, Ɔbaa, Ɔbaa mɛkanike, Ɛlɛtrihyian, ɔdetɔni
🧑‍🏭	Asɛmbli, Faktre dwumayɛni, dwumayɛni, faktre, mfididwuma
👨‍🏭	Asɛmbli, Faktre dwumayɛni barima, barima, dwumayɛni, faktre, mfididwuma
