‾	vinkulum, ɛsontwamu, ɛsosensaneɛ
℗	hokwan, kyere, nnwom, nnwom kyere hokwan
←	akyerɛkyerɛkwan, benkum, benkumhwɛ, benkumhwɛ akyerɛkyerɛkwan
→	akyerɛkyerɛkwan, nifa, nifa so, nifa-so akyerԑkyerԑkwan, tɛlefon
↑	akyerɛkyerɛkwan, akyerɛkyerɛkwan a ɛhwɛ fam, soro, sorohwɛ
↓	akyerɛkyerɛkwan, fam, famhwɛ, famhwԑ akyerԑkyerԑkwan
↜	aaro, benkumhwɛ, benkumhwɛ weefo aaro, weefo
↝	aaro, nifahwɛ, nifahwɛ weefo aaro, weefo
↞	aaro, benkumhwɛ, benkumhwɛ aaro ti mmienu, mmienu, ti
↟	aaro, mmienu, sorohwɛ, sorohwɛ aaro ti mmienu, ti
↡	aaro, famhwɛ, famhwɛ aaro ti mmienu, mmienu, ti
↢	aaro, benkumhwɛ, benkumhwɛ aaro dua, dua
↤	aaro, abaa, benkumhwɛ, benkumhwɛ aaro firi abaa, firi
↥	aaro, abaa, firi, sorohwɛ, sorohwɛ aaro firi abaa
↧	aaro, abaa, famhwɛ, famhwɛ aaro firi abaa, firi
↨	aaro, aseɛ, fam, ne, soro, soro fam aaro ne aseɛ
↫	aaro, benkumhwɛ, benkumhwɛ aaro luupu, luupu
↬	aaro, luupu, nifahwɛ, nifahwɛ aaro luupu
↭	aaro, benkum, benkum nifa weefo aaro, nifa, weefo
↯	aaro, famhwɛ kontonoeɛ aaro, fanhwɛ, kontonoeɛ
↰	aaro, ano, benkumhwɛ, sorohwɛ, sorohwɛ aaro ano benkumhwɛ
↱	aaro, ano, nifahwɛ, sorohwɛ, sorohwɛ aaro ano nifahwɛ
↲	aaro, ano, benkumhwɛ, famhwɛ, famhwɛ aaro ano benkumhwɛ
↳	aaro, ano, famhwɛ, famhwɛ aaro ano nifahwɛ, nifahwɛ
↴	aaro, famhwɛ, kɔna, nifahwɛ, nifahwɛ aaro kɔna famhwɛ
↵	aaro, benkumhwɛ, famhwɛ, famhwɛ aaro kɔna benkumhwɛ, kɔna
↶	aaro, antiklɔkowaese, antiklɔkowaese soro kankofa aaro, kankofa, soro
↷	aaro, kankofa, klɔkowaese, klɔkowaese soro kankofa aaro, soro
↸	aaro, abaa, atifi, atifi atɔeɛ aaro abaa tenten, atɔeɛ, tenten
↹	aaro, abaa, benkumhwɛ, benkumhwɛ wɔ nifahwɛ aaro mmaa so, mmaa, nifahwɛ, so
↺	aaro, antiklɔkowaese, antiklɔkowaese mmueɛ kanko aaro, bue, kanko
↻	aaro, bue, kanko, klɔkowaese, klɔkowaese mmueɛ kanko aaro
↼	baabo, benkumhwɛ, benkumhwɛ hapuuno baabo sorohwɛ, hapuuno, sorohwɛ
↽	baabo, benkumhwɛ, benkumhwɛ hapuuno baabo famhwɛ, famhwɛ, hapuuno
↾	baabo, hapuuno, nifahwɛ, sorohwɛ, sorohwɛ hapuuno baabo nifahwɛ
↿	baabo, benkumhwɛ, hapuunu, sorohwɛ, sorohwɛ hapuuno baabo benkumhwɛ
⇀	baabo, hapuunu, nifahwɛ, nifahwɛ hapuunu baabo sorohwɛ, sorohwɛ
⇁	baabo, famhwɛ, hapuunu, nifahwɛ, nifahwɛ hapuunu baabo famhwɛ
⇂	baabo, famhwɛ, famhwɛ hapuunu baabo nifahwɛ, hapuunu, nifahwɛ
⇃	baabo, benkumhwɛ, famhwɛ, famhwɛ hapuunu baabo benkumhwɛ, hapuunu
⇄	aaro, benkumhwɛ, nifahwɛ, nifahwɛ aaro wɔ benkumhwɛ aaro so, so
⇅	aaro, fam, famhwɛ, ne, soro, sorohwɛ, sorohwɛ ne famhwɛ aaro
⇆	aaro, benkum, benkumhwɛ, benkumhwɛ wɔ nifahwɛ aaro so, nifa, nifahwɛ, so
⇇	aaro, benkumhwɛ, benkumhwɛ nkabom aaro, nkabom
⇈	aaro, nkabom, sorogwɛ, sorohwɛ nkabom aaro
⇉	aaro, nifahwɛ, nifahwɛ nkabom aaro, nkabom
⇊	aaro, famhwɛ, famhwɛ nkabom aaro, nkabom
⇋	benkumhwɛ, benkumhwɛ hapuunu wɔ nifahwɛ hapuuno so, hapuunu, nifahwɛ, so
⇌	benkumhwɛ, hapuunu, nifahwɛ, nifahwɛ hapuunu wɔ benkumhwɛ hapuuno so, so
⇐	aaro, benkumhwɛ, benkumhwɛ aaro mmienu, mmienu
⇍	aaro, benkumhwɛ, benkumhwɛ aaro mmienu strɔko, mmienu, strɔko
⇑	aaro, mmienu, sorohwɛ, sorohwɛ aaro mmienu
⇓	aaro, famhwɛ, famhwɛ aaro mmienu, mmienu
⇖	aaro, atifi, atifi atɔeɛ aaro mmienu, atɔeɛ, mmienu
⇗	aaro, apueeɛ, atifi, atifi apueeɛ aaro mmienu, mmienu
⇘	aaro, anaafoɔ, anaafoɔ apueeɛ aaro mmienu, apueeɛ, mmienu
⇙	aaro, anaafoɔ, anaafoɔ atɔeɛ aaro mmienu, atɔeɛ, mmienu
⇚	aaro, benkumhwɛ, benkumhwɛ aaro mmiɛnsa, mmiɛnsa
⇛	aaro, mmiɛnsa, nifahwɛ, nifahwɛ aaro mmiɛnsa
⇜	aaro, benkumhwɛ, benkumhwɛ skwigii aaro, skwigii
⇝	aaro, nifahwɛ, nifahwɛ skwigii aaro, skwigii
⇞	aaro, mmienu, sorohwɛ, sorohwɛ aaro mmienu strɔko, strɔko
⇟	aaro, famhwɛ, famhwɛ aaro mmienu strɔko, mmienu, strɔko
⇠	aaro, benkumhwɛ, benkumhwɛ daahye aaro, daahye
⇡	aaro, daahye, sorohwɛ, sorohwɛ daahye aaro
⇢	aaro, daahye, nifahwɛ, nifahwɛ daahye aaro
⇣	aaro, daahye, famhwɛ, famhwɛ daahye aaro
⇤	aaro, abaa, benkumhwɛ, benkumhwɛ aaro abaa
⇥	aaro, abaa, nifahwɛ, nifahwɛ aaro abaa
⇦	aaro, benkumhwɛ, benkumhwɛ tokuro aaro, tokuro
⇧	aaro, sorohwɛ, sorohwɛ tokuro aaro, tokuro
⇨	aaro, nifahwɛ, nifahwɛ tokuro aaro, tokuro
⇩	aaro, famhwɛ, famhwɛ tokuro aaro, tokuro
⇪	aaro, abaa, firi, sorohwɛ, sorohwɛ tokuro aaro firi abaa, tokuro
÷	ahyɛsodeɛ, kyɛ mu, nkyɛmu, nkyԑmu nsɛnkyerɛnne, obelɔso
×	bͻ ho, mmͻho, mmͻho akyerɛkyerɛkwan, mpɛn, nsɛnkyerɛnne
√	radikaa, radise, ruuto, sokwɛɛ, sokwɛɛ ruuto, sɛɛde
∞	ahyɛnsodeɛ, ɛnni awieeɛ, ɛnni awieeɛ ahyɛnsodeɛ
■	ayɛ ma, sokwɛɛ, sokwɛɛ a ayɛ ma
□	sokwɛɛ, sokwɛɛ a tokuro da mu, tokuro
▢	ayɛ kanko, kɔna, ne, sokwɛɛ, tokuro, tokuro sokwɛɛ ne kɔna a ayɛ kanko
▣	ayɛ ma, sokwɛɛ, tokuro, tokuro sokwɛɛ a ayɛ ma sokwɛɛ wom, wom
▤	ayɛ ma, ne, sokwɛɛ, sokwɛɛ a mmaa tɛtrɛɛ ayɛ no ma, tɛtrɛɛ
▥	ayɛ ma, ne, sokwɛɛ, sokwɛɛ a mmaa tenten ayɛ no ma, tenten
▦	ayɛ ma, krɔsshaakye, sokwɛɛ, sokwɛɛ a ɔktagɔn krɔsshaakye ayɛ no ma, ɔktagɔn
▧	ayɛ ma, benkum, fam, nifa, sokwɛɛ, sokwɛɛ a soro benkum fam nifa ayɛ no ma, soro
▨	ayɛ ma, benkum, fam, nifa, sokwɛɛ, sokwɛɛ a soro benkum fam benkum ayɛ no ma, soro
▩	ayɛ ma, daegɔnaa, krɔsshaakye, sokwɛɛ, sokwɛɛ a daegɔnaa krɔsshaakye ayɛ no ma
▬	ayɛ ma, rɛktangeele, rɛktangeele a ayɛ ma
▭	rɛktangeele, rɛktangeele a tokuro da mu, tokuro
▮	ayɛ ma, rɛktangeele, rɛktangeele tenten a ayɛ ma, tenten
▰	ayɛ ma, paralɛlogramo, paralɛlogramo a ayɛ ma
▲	aaro, ayɛ ma, soro, soro-hwɛ, soro-hwɛ traeangeele a ayɛ ma, traeangeele
△	soro-hwɛ, soro-hwɛ traeangeele a tokuro da mu, tokuro, traeangeele
▴	ayɛ ma, ketewa, soro-hwɛ, soro-hwɛ traeangeele ketewa a ayɛ ma, traeangeele
▵	ketewa, soro-hwɛ, soro-hwɛ traeangeele ketewa a tokuro da mu, tokuro, traeangeele
▸	ayɛ ma, ketewa, nifa-hwɛ, nifa-hwɛ traeangeele ketewa a ayɛ ma, traeangeele
▹	ketewa, nifa-hwɛ, nifa-hwɛ traeangeele ketewa a tokuro da mu, tokuro, traeangeele
►	akyerɛkyerɛkwan, ayɛ ma, nifa-hwɛ, nifa-hwɛ akyerɛkyerɛkwan a ayɛ ma
▻	akyerɛkyerɛkwan, nifa-hwɛ, nifa-hwɛ akyerɛkyerɛkwan a tokuro da mu, tokuro
▼	aaro, ayɛ ma, fam, fam-hwɛ, fam-hwɛ traeangeele a ayɛ ma, traeangeele
▽	fam-hwɛ, fam-hwɛ traeangeele tokuro da mu, tokuro, traeangeele
▾	ayɛ ma, fam-hwɛ, fam-hwɛ traeangeele ketewa a ayɛ ma, ketewa, traeangeele
▿	fam-hwɛ, fam-hwɛ traeangeele ketewa a tokuro da mu, ketewa, tokuro, traeangeele
◂	ayɛ ma, benkum-hwɛ, benkum-hwɛ traeangeele ketewa a ayɛ ma, ketewa, traeangeele
◃	benkum-hwɛ, benkum-hwɛ traeangeele ketewa a tokuro da mu, ketewa, tokuro, traeangeele
