‾	ᱚᱵᱷᱟᱨ ᱞᱟᱹᱭᱤᱱ
🤧	ᱪᱷᱩᱨ ᱢᱚᱲᱟ
🥵	ᱜᱚᱨᱚᱢ ᱢᱚᱲᱟ
🥶	ᱨᱟᱵᱟᱝ ᱢᱚᱲᱟ
🥴	ᱟᱹᱰᱤ ᱢᱚᱡᱽ ᱢᱚᱲᱟ
😵	ᱛᱤᱨᱪᱷᱟᱹ ᱢᱚᱲᱟ
😵‍💫	ᱜᱷᱩᱨᱟᱹᱣ ᱢᱮᱫ ᱢᱚᱲᱟ
🤯	ᱵᱚᱦᱚᱜ ᱚᱴᱚᱡᱚᱜ
🤠	ᱰᱟᱹᱝᱜᱽᱨᱤ ᱜᱩᱯᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱴᱩᱯᱤ
🥳	ᱥᱚᱲᱮ ᱢᱚᱲᱟ
🥸	ᱢᱚᱲᱟ
🤡	ᱡᱚᱠᱚᱨ ᱢᱚᱲᱟ
👻	ᱵᱷᱩᱛ
😺	ᱯᱩᱥᱤ ᱤᱥᱤᱲ ᱠᱟᱫᱟᱭ
💌	ᱫᱩᱞᱟᱹᱲᱤᱭᱟᱹ ᱪᱤᱴᱷᱤ
💕	ᱵᱟᱨᱭᱟ ᱨᱤᱫᱟᱹᱭ
💋	ᱪᱚᱜ ᱪᱤᱱᱦᱟᱹ
💯	ᱥᱟᱭ ᱯᱚᱮᱱᱴᱥ
💢	ᱨᱟᱹᱜᱤ ᱪᱤᱱᱦᱟᱹ
💥	ᱚᱴᱮᱡ
💦	ᱩᱫᱽᱜᱟᱹᱨ ᱡᱚᱨᱚ
🕳️	ᱵᱷᱩᱜᱟᱹᱜ
💬	ᱨᱚᱲ ᱵᱮᱞᱩᱱ
👁‍🗨	ᱨᱮᱲ ᱢᱮᱫ ᱨᱤᱢᱤᱞ
🗨️	ᱞᱮᱝᱜᱟ ᱨᱚᱲ ᱨᱤᱢᱤᱞ
🗯️	ᱡᱚᱡᱚᱢ ᱨᱟᱹᱜᱤ ᱨᱤᱢᱤᱞ
💭	ᱩᱭᱦᱟᱹᱨ ᱯᱷᱩᱠᱟᱹ
💤	ᱡᱟᱹᱯᱤᱫ
👋	ᱛᱤ, ᱛᱤ ᱦᱩᱨᱞᱟᱹ, ᱦᱩᱨᱞᱟ.
🤚	ᱛᱤ ᱛᱩᱞ ᱨᱟᱠᱟᱵ
🖐️	ᱛᱤ ᱠᱟᱹᱴᱩᱵ ᱠᱚ ᱯᱟᱥᱱᱟᱣ ᱠᱟᱱᱟ
✋️	ᱛᱤ ᱛᱩᱞ
🖖	ᱛᱤ ᱥᱮᱞᱭᱩᱴ
🫱	ᱡᱚᱡᱚᱢ ᱛᱤ
🫲	ᱞᱮᱝᱜᱟ ᱛᱤ
🫳	ᱛᱤ ᱛᱟᱞᱠᱷᱟ ᱞᱟᱛᱟᱨ
🫴	ᱛᱤ ᱛᱟᱞᱠᱷᱟ ᱪᱮᱛᱟᱱ
👌	ᱛᱤ ᱛᱮ ᱜᱩᱞᱟᱹᱭ
🖕	ᱛᱟᱞᱟ ᱠᱟᱹᱴᱩᱵ
👇️	ᱞᱟᱛᱟᱨ ᱥᱮᱫ ᱩᱫᱩᱜ
☝️	ᱪᱮᱛᱟᱱ ᱥᱮᱫ ᱩᱫᱩᱜ
🫵	ᱦᱚᱲ ᱥᱮᱱ ᱩᱫᱩᱜ
👍️	ᱮᱝᱜᱟ ᱠᱟᱹᱴᱩᱵ ᱫᱮᱠᱷᱟᱣ
👎️	ᱮᱝᱜᱟ ᱠᱟᱹᱴᱩᱵ ᱩᱞᱴᱟᱹ
✊️	ᱢᱩᱴᱷᱟᱹ ᱛᱩᱞ ᱠᱟᱱᱟ
👊	ᱦᱟᱹᱡᱩᱜ ᱠᱟᱱ ᱢᱩᱴᱷᱟᱹ
🤛	ᱞᱮᱝᱜᱟ ᱢᱩᱦᱟᱹ ᱢᱩᱴᱷᱟᱹ
🤜	ᱡᱚᱡᱚᱢ ᱢᱩᱦᱟᱹ ᱢᱩᱴᱷᱟᱹ
👏	ᱛᱷᱟᱭᱚ ᱛᱤ
🙌	ᱛᱩᱞ ᱛᱤ
🫶	ᱫᱩᱞᱟᱹᱲ ᱛᱤ
👐	ᱠᱷᱩᱞᱟᱹ ᱛᱤ
🤲	ᱥᱟᱶᱛᱮ ᱛᱤ ᱛᱟᱞᱠᱷᱟ
🤝	ᱛᱤ ᱢᱮᱲᱟᱣ
🙏	ᱡᱚᱦᱟᱨ
✍️	ᱚᱞ ᱛᱤ
💅	ᱨᱟᱢᱟ ᱡᱚᱛᱚᱱ
🤳	ᱥᱮᱞᱯᱷᱤ
👂️	ᱞᱩᱛᱩᱨ
🦷	ᱰᱟᱴᱟ
🦴	ᱡᱟᱝ
👀	ᱢᱮᱫ
👶	ᱜᱤᱫᱽᱨᱟ
🧒	ᱜᱤᱫᱽᱨᱟᱹ
👦	ᱠᱚᱲᱟ
👧	ᱠᱩᱲᱤ
🧑	ᱦᱚᱲ ᱜᱮ
🧑‍🦰	ᱟᱨᱟᱜ ᱩᱵ, ᱦᱚᱲ ᱜᱮ, ᱦᱚᱲ ᱜᱮ: ᱟᱨᱟᱜ ᱩᱵ
🧑‍🦳	ᱦᱚᱲ ᱜᱮ, ᱦᱚᱲ ᱜᱮ: ᱯᱩᱸᱱᱰ ᱩᱵ, ᱯᱩᱸᱱᱰ ᱩᱵ
👨	ᱦᱚᱲ
🧔‍♂	ᱦᱚᱲᱟᱜ ᱰᱟᱹᱰᱦᱤ
👨‍🦰	ᱟᱨᱟᱜ ᱩᱵ, ᱦᱚᱲ, ᱦᱚᱲ: ᱟᱨᱟᱜ ᱩᱵ
👨‍🦳	ᱦᱚᱲ, ᱦᱚᱲ: ᱯᱩᱸᱱᱰ ᱩᱵ, ᱯᱩᱸᱱᱰ ᱩᱵ
👩	ᱢᱟᱹᱭᱡᱩ
🧔‍♀	ᱢᱟᱹᱭᱡᱩ ᱫᱟᱹᱰᱦᱤ
👩‍🦰	ᱟᱨᱟᱜ ᱩᱵ, ᱢᱟᱹᱭᱡᱩ, ᱢᱟᱹᱭᱡᱩ: ᱟᱨᱟᱜ ᱩᱵ
👩‍🦳	ᱢᱟᱹᱭᱡᱩ, ᱢᱟᱹᱭᱡᱩ: ᱯᱩᱸᱱᱰ ᱩᱵ, ᱯᱩᱸᱱᱰ ᱩᱵ
🧓	ᱦᱟᱲᱟᱢ ᱦᱚᱲ ᱜᱮ
👴	ᱢᱟᱲᱟᱢ ᱦᱚᱲ
👵	ᱵᱩᱰᱷᱤ
🧏‍♂	ᱠᱟᱞᱟ ᱦᱚᱲ
🤽‍♂	ᱦᱚᱲ
🦰	ᱟᱨᱟᱜ ᱩᱵ
🦳	ᱯᱩᱸᱱᱰ ᱩᱵ
🐵	ᱦᱟᱹᱬᱩ ᱢᱚᱲᱟ
🐒	ᱦᱟᱹᱬᱩ
🦍	ᱜᱚᱨᱤᱞᱟ
🦧	ᱚᱨᱟᱝᱜᱩᱴᱟᱱ
🐶	ᱥᱮᱛᱟ ᱢᱚᱲᱟ
🐕️	ᱥᱮᱛᱟ
🦮	ᱜᱚᱲᱚ ᱥᱮᱛᱟ
🐕‍🦺	ᱠᱟᱹᱢᱤ ᱥᱮᱛᱟ
🐩	ᱞᱚᱢᱚᱥ ᱥᱮᱛᱟ
🐺	ᱦᱟᱰᱜᱟᱨ
🦊	ᱛᱩᱭᱩ
🐱	ᱯᱩᱥᱤ ᱢᱚᱲᱟ
🐈️	ᱯᱩᱥᱤ
🐈‍⬛	ᱦᱮᱱᱫᱮ ᱯᱩᱥᱤ
🦁	ᱠᱩᱞ
🐯	ᱛᱟᱹᱨᱩᱵ ᱢᱚᱲᱟ
🐅	ᱛᱟᱹᱨᱩᱵ
🐆	ᱪᱮᱴᱨᱟ
🐴	ᱥᱟᱫᱚᱢ ᱢᱚᱲᱟ
🫏	ᱜᱟᱫᱷᱟ
🐎	ᱥᱟᱫᱚᱢ
🦌	ᱥᱮᱞᱮᱵ
