‾	ขีดบน
‸	แคเรต
※	เครื่องหมายอ้างอิง
⁂	ดอกจัน, ดาว, แอสเทอริซึม
`	เกรฟ, เกรฟแอกเซนต์, แอกเซนต์, โทน
´	การเน้นเสียง, เครื่องหมายกำกับเสียงสูง, เสียงสูง, โทน
^	การเน้นเสียง, ตัวกำกับเสียง, ตัวกำกับเสียงเซอร์คัมเฟล็กซ์, ตัวชี้, บั้ง, มวก, ยกกำลัง, รูปสามเหลี่ยม, เครื่องหมาย, เซอร์คัมเฟล็กซ์
¨	อุมเล้าท์, เครื่องหมายไดเอเรซิส, เทรม่า, ไดเอเรซิส
°	การพิสูจน์, ชั่วโมง, องศา
℗	ลิขสิทธิ์, ลิขสิทธิ์แถบบันทึกเสียง, เสียง, เสียงบันทึก
←	ซ้าย, ลูกศร, ลูกศรชี้ซ้าย
↚	ขีดทับลูกศรซ้าย
→	ขวา, ลูกศร, ลูกศรชี้ขวา
↛	ขีดทับลูกศรขวา
↑	ขึ้น, ลูกศร, ลูกศรแบบชี้ขึ้น
↓	ลง, ลูกศร, ลูกศรแบบชี้ลง
↜	ลูกศรคลื่นซ้าย
↝	ลูกศรคลื่นขวา
↞	ลูกศรสองหัวซ้าย
↟	ลูกศรสองหัวขึ้น
↠	ลูกศรสองหัวขวา
↡	ลูกศรสองหัวลง
↢	หางลูกศรซ้าย
↣	หางลูกศรขวา
↤	ลูกศรซ้ายจากแท่ง
↥	ลูกศรขึ้นจากแท่ง
↦	ลูกศรขวาจากแท่ง
↧	ลูกศรลงจากแท่ง
↨	ลูกศรขึ้นลงมีฐาน
↫	ลูกศรซ้ายหางม้วน
↬	ลูกศรขวาหางม้วน
↭	ลูกศรคลื่นซ้ายขวา
↯	ซิกแซก, ลูกศรซิกแซกลง
↰	ลูกศรขึ้นปลายซ้าย
↱	ลูกศรขึ้นปลายขวา
↲	ลูกศรลงปลายซ้าย
↳	ลูกศรลงปลายขวา
↴	ลูกศรมุมขวาลง
↵	ลูกศรมุมลงซ้าย
↶	ลูกศรครึ่งวงกลมบนทวนเข็มนาฬิกา
↷	ลูกศรครึ่งวงกลมบนตามเข็มนาฬิกา
↸	ลูกศรแท่งยาวตะวันตกเฉียงเหนือ
↹	ทางขวา, ทางซ้าย, ลูกศร, แท่ง, แท่งลูกศรซ้ายเหนือแท่งลูกศรขวา
↺	ลูกศรวงกลมเปิดทวนเข็มนาฬิกา
↻	ลูกศรวงกลมเปิดตามเข็มนาฬิกา
↼	เงี่ยง, เงี่ยงฉมวกซ้ายขึ้น
↽	เงี่ยงฉมวกซ้ายลง
↾	เงี่ยง, เงี่ยงฉมวกขึ้นขวา
↿	เงี่ยง, เงี่ยงฉมวกขึ้นซ้าย
⇀	เงี่ยง, เงี่ยงฉมวกขวาขึ้น
⇁	เงี่ยง, เงี่ยงฉมวกขวาลง
⇂	เงี่ยง, เงี่ยงฉมวกลงขวา
⇃	เงี่ยง, เงี่ยงฉมวกลงซ้าย
⇄	ลูกศรขวาเหนือลูกศรซ้าย
⇅	ขึ้น, ลง, ลูกศร, ลูกศรชี้ขึ้นและลูกศรชี้ลง
⇆	ขวา, ซ้าย, ลูกศร, ลูกศรชี้ซ้ายเหนือลูกศรชี้ขวา
⇇	ลูกศรคู่ซ้าย
⇈	ลูกศรคู่ขึ้น
⇉	ลูกศรคู่ขวา
⇊	ลูกศรคู่ลง
⇋	ฉมวกซ้ายเหนือฉมวกขวา
⇌	ฉมวกขวาเหนือฉมวกซ้าย
⇐	ลูกศรซ้อนซ้าย
⇍	ลูกศรซ้อนซ้ายขีดทับ
⇑	ลูกศรซ้อนขึ้น
⇒	ลูกศรซ้อนขวา
⇏	ลูกศรซ้อนขวาขีดทับ
⇓	ลูกศรซ้อนลง
⇔	ลูกศรซ้อนซ้ายขวา
⇎	ลูกศรซ้อนซ้ายขวาขีดทับ
⇖	ลูกศรซ้อนตะวันตกเฉียงเหนือ
⇗	ลูกศรซ้อนตะวันออกเฉียงเหนือ
⇘	ลูกศรซ้อนตะวันออกเฉียงใต้
⇙	ลูกศรซ้อนตะวันตกเฉียงใต้
⇚	ลูกศรซ้อนสามซ้าย
⇛	ลูกศรซ้อนสามขวา
⇜	ลูกศรยึกยือซ้าย
⇝	ลูกศรยึกยือขวา
⇞	ลูกศรขึ้นขีดทับคู่
⇟	ลูกศรลงขีดทับคู่
⇠	ลูกศรเส้นประซ้าย
⇡	ลูกศรเส้นประขึ้น
