‾	ขีดบน
👍️	ชอบ, ชูนิ้วโป้ง, ชูนิ้วโป้งขึ้น, มือ, ยกขึ้น, สุดยอด, เก่ง, เจ๋ง, เยี่ยม, โอเค
👍🏻	ชอบ, ชูนิ้วโป้ง, ชูนิ้วโป้งขึ้น: โทนผิวสีขาว, มือ, ยกขึ้น, สุดยอด, เก่ง, เจ๋ง, เยี่ยม, โทนผิวสีขาว, โอเค
👍🏼	ชอบ, ชูนิ้วโป้ง, ชูนิ้วโป้งขึ้น: โทนผิวสีขาวเหลือง, มือ, ยกขึ้น, สุดยอด, เก่ง, เจ๋ง, เยี่ยม, โทนผิวสีขาวเหลือง, โอเค
👍🏽	ชอบ, ชูนิ้วโป้ง, ชูนิ้วโป้งขึ้น: โทนผิวสีเหลือง, มือ, ยกขึ้น, สุดยอด, เก่ง, เจ๋ง, เยี่ยม, โทนผิวสีเหลือง, โอเค
👍🏾	ชอบ, ชูนิ้วโป้ง, ชูนิ้วโป้งขึ้น: โทนผิวสีแทน, มือ, ยกขึ้น, สุดยอด, เก่ง, เจ๋ง, เยี่ยม, โทนผิวสีแทน, โอเค
👍🏿	ชอบ, ชูนิ้วโป้ง, ชูนิ้วโป้งขึ้น: โทนผิวสีเข้ม, มือ, ยกขึ้น, สุดยอด, เก่ง, เจ๋ง, เยี่ยม, โทนผิวสีเข้ม, โอเค
👎️	คว่ำนิ้วโป้งลง, คว่ำลง, ดิสไลค์, นิ้วโป้ง, มือ, แย่, ไม่ชอบ
👎🏻	คว่ำนิ้วโป้งลง: โทนผิวสีขาว, คว่ำลง, ดิสไลค์, นิ้วโป้ง, มือ, แย่, โทนผิวสีขาว, ไม่ชอบ
👎🏼	คว่ำนิ้วโป้งลง: โทนผิวสีขาวเหลือง, คว่ำลง, ดิสไลค์, นิ้วโป้ง, มือ, แย่, โทนผิวสีขาวเหลือง, ไม่ชอบ
👎🏽	คว่ำนิ้วโป้งลง: โทนผิวสีเหลือง, คว่ำลง, ดิสไลค์, นิ้วโป้ง, มือ, แย่, โทนผิวสีเหลือง, ไม่ชอบ
👎🏾	คว่ำนิ้วโป้งลง: โทนผิวสีแทน, คว่ำลง, ดิสไลค์, นิ้วโป้ง, มือ, แย่, โทนผิวสีแทน, ไม่ชอบ
👎🏿	คว่ำนิ้วโป้งลง: โทนผิวสีเข้ม, คว่ำลง, ดิสไลค์, นิ้วโป้ง, มือ, แย่, โทนผิวสีเข้ม, ไม่ชอบ
✊️	กำมือ, ค้อน, หมัด, อวัยวะ
✊🏻	กำมือ, กำมือ: โทนผิวสีขาว, ค้อน, หมัด, อวัยวะ, โทนผิวสีขาว
✊🏼	กำมือ, กำมือ: โทนผิวสีขาวเหลือง, ค้อน, หมัด, อวัยวะ, โทนผิวสีขาวเหลือง
✊🏽	กำมือ, กำมือ: โทนผิวสีเหลือง, ค้อน, หมัด, อวัยวะ, โทนผิวสีเหลือง
✊🏾	กำมือ, กำมือ: โทนผิวสีแทน, ค้อน, หมัด, อวัยวะ, โทนผิวสีแทน
✊🏿	กำมือ, กำมือ: โทนผิวสีเข้ม, ค้อน, หมัด, อวัยวะ, โทนผิวสีเข้ม
👊	กำปั้น, ชก, มือ, อวัยวะ
👊🏻	กำปั้น, กำปั้น: โทนผิวสีขาว, ชก, มือ, อวัยวะ, โทนผิวสีขาว
👊🏼	กำปั้น, กำปั้น: โทนผิวสีขาวเหลือง, ชก, มือ, อวัยวะ, โทนผิวสีขาวเหลือง
👊🏽	กำปั้น, กำปั้น: โทนผิวสีเหลือง, ชก, มือ, อวัยวะ, โทนผิวสีเหลือง
👊🏾	กำปั้น, กำปั้น: โทนผิวสีแทน, ชก, มือ, อวัยวะ, โทนผิวสีแทน
👊🏿	กำปั้น, กำปั้น: โทนผิวสีเข้ม, ชก, มือ, อวัยวะ, โทนผิวสีเข้ม
🤛	กำปั้น, กำปั้นขวา, ขวา
🤛🏻	กำปั้น, กำปั้นขวา, กำปั้นขวา: โทนผิวสีขาว, ขวา, โทนผิวสีขาว
🤛🏼	กำปั้น, กำปั้นขวา, กำปั้นขวา: โทนผิวสีขาวเหลือง, ขวา, โทนผิวสีขาวเหลือง
🤛🏽	กำปั้น, กำปั้นขวา, กำปั้นขวา: โทนผิวสีเหลือง, ขวา, โทนผิวสีเหลือง
🤛🏾	กำปั้น, กำปั้นขวา, กำปั้นขวา: โทนผิวสีแทน, ขวา, โทนผิวสีแทน
🤛🏿	กำปั้น, กำปั้นขวา, กำปั้นขวา: โทนผิวสีเข้ม, ขวา, โทนผิวสีเข้ม
🤜	กำปั้น, กำปั้นซ้าย, ซ้าย
🤜🏻	กำปั้น, กำปั้นซ้าย, กำปั้นซ้าย: โทนผิวสีขาว, ซ้าย, โทนผิวสีขาว
🤜🏼	กำปั้น, กำปั้นซ้าย, กำปั้นซ้าย: โทนผิวสีขาวเหลือง, ซ้าย, โทนผิวสีขาวเหลือง
🤜🏽	กำปั้น, กำปั้นซ้าย, กำปั้นซ้าย: โทนผิวสีเหลือง, ซ้าย, โทนผิวสีเหลือง
🤜🏾	กำปั้น, กำปั้นซ้าย, กำปั้นซ้าย: โทนผิวสีแทน, ซ้าย, โทนผิวสีแทน
🤜🏿	กำปั้น, กำปั้นซ้าย, กำปั้นซ้าย: โทนผิวสีเข้ม, ซ้าย, โทนผิวสีเข้ม
👏	ตบมือ, มือ, อวัยวะ
👏🏻	ตบมือ, ตบมือ: โทนผิวสีขาว, มือ, อวัยวะ, โทนผิวสีขาว
👏🏼	ตบมือ, ตบมือ: โทนผิวสีขาวเหลือง, มือ, อวัยวะ, โทนผิวสีขาวเหลือง
👏🏽	ตบมือ, ตบมือ: โทนผิวสีเหลือง, มือ, อวัยวะ, โทนผิวสีเหลือง
👏🏾	ตบมือ, ตบมือ: โทนผิวสีแทน, มือ, อวัยวะ, โทนผิวสีแทน
👏🏿	ตบมือ, ตบมือ: โทนผิวสีเข้ม, มือ, อวัยวะ, โทนผิวสีเข้ม
🙌	ชู 2 มือ, ดีใจ, มือ, อวัยวะ
🙌🏻	ชู 2 มือ, ชู 2 มือ: โทนผิวสีขาว, ดีใจ, มือ, อวัยวะ, โทนผิวสีขาว
🙌🏼	ชู 2 มือ, ชู 2 มือ: โทนผิวสีขาวเหลือง, ดีใจ, มือ, อวัยวะ, โทนผิวสีขาวเหลือง
🙌🏽	ชู 2 มือ, ชู 2 มือ: โทนผิวสีเหลือง, ดีใจ, มือ, อวัยวะ, โทนผิวสีเหลือง
🙌🏾	ชู 2 มือ, ชู 2 มือ: โทนผิวสีแทน, ดีใจ, มือ, อวัยวะ, โทนผิวสีแทน
🙌🏿	ชู 2 มือ, ชู 2 มือ: โทนผิวสีเข้ม, ดีใจ, มือ, อวัยวะ, โทนผิวสีเข้ม
🫶	คุณ, นิ้ว, มือ, มือรูปหัวใจ, รัก, หัวใจ
🫶🏻	คุณ, นิ้ว, มือ, มือรูปหัวใจ: โทนผิวสีขาว, รัก, หัวใจ, โทนผิวสีขาว
🫶🏼	คุณ, นิ้ว, มือ, มือรูปหัวใจ: โทนผิวสีขาวเหลือง, รัก, หัวใจ, โทนผิวสีขาวเหลือง
🫶🏽	คุณ, นิ้ว, มือ, มือรูปหัวใจ: โทนผิวสีเหลือง, รัก, หัวใจ, โทนผิวสีเหลือง
🫶🏾	คุณ, นิ้ว, มือ, มือรูปหัวใจ: โทนผิวสีแทน, รัก, หัวใจ, โทนผิวสีแทน
🫶🏿	คุณ, นิ้ว, มือ, มือรูปหัวใจ: โทนผิวสีเข้ม, รัก, หัวใจ, โทนผิวสีเข้ม
👐	มือ, อวัยวะ, แบมือ
👐🏻	มือ, อวัยวะ, แบมือ, แบมือ: โทนผิวสีขาว, โทนผิวสีขาว
👐🏼	มือ, อวัยวะ, แบมือ, แบมือ: โทนผิวสีขาวเหลือง, โทนผิวสีขาวเหลือง
👐🏽	มือ, อวัยวะ, แบมือ, แบมือ: โทนผิวสีเหลือง, โทนผิวสีเหลือง
👐🏾	มือ, อวัยวะ, แบมือ, แบมือ: โทนผิวสีแทน, โทนผิวสีแทน
👐🏿	มือ, อวัยวะ, แบมือ, แบมือ: โทนผิวสีเข้ม, โทนผิวสีเข้ม
🤲	ฝ่ามือติดกัน, สวดมนต์, อธิษฐาน, แบสองมือ
🤲🏻	ฝ่ามือติดกัน, สวดมนต์, อธิษฐาน, แบสองมือ, แบสองมือ: โทนผิวสีขาว, โทนผิวสีขาว
🤲🏼	ฝ่ามือติดกัน, สวดมนต์, อธิษฐาน, แบสองมือ, แบสองมือ: โทนผิวสีขาวเหลือง, โทนผิวสีขาวเหลือง
🤲🏽	ฝ่ามือติดกัน, สวดมนต์, อธิษฐาน, แบสองมือ, แบสองมือ: โทนผิวสีเหลือง, โทนผิวสีเหลือง
🤲🏾	ฝ่ามือติดกัน, สวดมนต์, อธิษฐาน, แบสองมือ, แบสองมือ: โทนผิวสีแทน, โทนผิวสีแทน
🤲🏿	ฝ่ามือติดกัน, สวดมนต์, อธิษฐาน, แบสองมือ, แบสองมือ: โทนผิวสีเข้ม, โทนผิวสีเข้ม
🤝	คืนดี, จับมือ, ตกลง, ประชุม, ร่วมงาน, เชคแฮนด์
🤝🏻	คืนดี, จับมือ, จับมือ: โทนผิวสีขาว, ตกลง, ประชุม, ร่วมงาน, เชคแฮนด์, โทนผิวสีขาว
🤝🏼	คืนดี, จับมือ, จับมือ: โทนผิวสีขาวเหลือง, ตกลง, ประชุม, ร่วมงาน, เชคแฮนด์, โทนผิวสีขาวเหลือง
🤝🏽	คืนดี, จับมือ, จับมือ: โทนผิวสีเหลือง, ตกลง, ประชุม, ร่วมงาน, เชคแฮนด์, โทนผิวสีเหลือง
🤝🏾	คืนดี, จับมือ, จับมือ: โทนผิวสีแทน, ตกลง, ประชุม, ร่วมงาน, เชคแฮนด์, โทนผิวสีแทน
🤝🏿	คืนดี, จับมือ, จับมือ: โทนผิวสีเข้ม, ตกลง, ประชุม, ร่วมงาน, เชคแฮนด์, โทนผิวสีเข้ม
🙏	ขอบคุณ, พนมมือ, มือ, อวัยวะ, เคารพ, ไหว้
🙏🏻	ขอบคุณ, พนมมือ, พนมมือ: โทนผิวสีขาว, มือ, อวัยวะ, เคารพ, โทนผิวสีขาว, ไหว้
🙏🏼	ขอบคุณ, พนมมือ, พนมมือ: โทนผิวสีขาวเหลือง, มือ, อวัยวะ, เคารพ, โทนผิวสีขาวเหลือง, ไหว้
🙏🏽	ขอบคุณ, พนมมือ, พนมมือ: โทนผิวสีเหลือง, มือ, อวัยวะ, เคารพ, โทนผิวสีเหลือง, ไหว้
🙏🏾	ขอบคุณ, พนมมือ, พนมมือ: โทนผิวสีแทน, มือ, อวัยวะ, เคารพ, โทนผิวสีแทน, ไหว้
🙏🏿	ขอบคุณ, พนมมือ, พนมมือ: โทนผิวสีเข้ม, มือ, อวัยวะ, เคารพ, โทนผิวสีเข้ม, ไหว้
✍️	มือ, อวัยวะ, เขียน, เขียนหนังสือ
✍🏻	มือ, อวัยวะ, เขียน, เขียนหนังสือ, เขียนหนังสือ: โทนผิวสีขาว, โทนผิวสีขาว
✍🏼	มือ, อวัยวะ, เขียน, เขียนหนังสือ, เขียนหนังสือ: โทนผิวสีขาวเหลือง, โทนผิวสีขาวเหลือง
✍🏽	มือ, อวัยวะ, เขียน, เขียนหนังสือ, เขียนหนังสือ: โทนผิวสีเหลือง, โทนผิวสีเหลือง
✍🏾	มือ, อวัยวะ, เขียน, เขียนหนังสือ, เขียนหนังสือ: โทนผิวสีแทน, โทนผิวสีแทน
✍🏿	มือ, อวัยวะ, เขียน, เขียนหนังสือ, เขียนหนังสือ: โทนผิวสีเข้ม, โทนผิวสีเข้ม
💅	ตกแต่ง, ทาเล็บ, นิ้ว, มือ, สำอาง, สีทาเล็บ, เสริมสวย
💅🏻	ตกแต่ง, ทาเล็บ, นิ้ว, มือ, สำอาง, สีทาเล็บ: โทนผิวสีขาว, เสริมสวย, โทนผิวสีขาว
💅🏼	ตกแต่ง, ทาเล็บ, นิ้ว, มือ, สำอาง, สีทาเล็บ: โทนผิวสีขาวเหลือง, เสริมสวย, โทนผิวสีขาวเหลือง
💅🏽	ตกแต่ง, ทาเล็บ, นิ้ว, มือ, สำอาง, สีทาเล็บ: โทนผิวสีเหลือง, เสริมสวย, โทนผิวสีเหลือง
💅🏾	ตกแต่ง, ทาเล็บ, นิ้ว, มือ, สำอาง, สีทาเล็บ: โทนผิวสีแทน, เสริมสวย, โทนผิวสีแทน
💅🏿	ตกแต่ง, ทาเล็บ, นิ้ว, มือ, สำอาง, สีทาเล็บ: โทนผิวสีเข้ม, เสริมสวย, โทนผิวสีเข้ม
🤳	กล้อง, มือถือ, เซลฟี่
🤳🏻	กล้อง, มือถือ, เซลฟี่, เซลฟี่: โทนผิวสีขาว, โทนผิวสีขาว
🤳🏼	กล้อง, มือถือ, เซลฟี่, เซลฟี่: โทนผิวสีขาวเหลือง, โทนผิวสีขาวเหลือง
🤳🏽	กล้อง, มือถือ, เซลฟี่, เซลฟี่: โทนผิวสีเหลือง, โทนผิวสีเหลือง
🤳🏾	กล้อง, มือถือ, เซลฟี่, เซลฟี่: โทนผิวสีแทน, โทนผิวสีแทน
🤳🏿	กล้อง, มือถือ, เซลฟี่, เซลฟี่: โทนผิวสีเข้ม, โทนผิวสีเข้ม
💪	กล้าม, ยกน้ำหนัก, ยิม, อวัยวะ, เบ่ง, เบ่งกล้าม, แขน, แข็งแรง, ไบเซป
💪🏻	กล้าม, ยกน้ำหนัก, ยิม, อวัยวะ, เบ่ง, เบ่งกล้าม: โทนผิวสีขาว, แขน, แข็งแรง, โทนผิวสีขาว, ไบเซป
💪🏼	กล้าม, ยกน้ำหนัก, ยิม, อวัยวะ, เบ่ง, เบ่งกล้าม: โทนผิวสีขาวเหลือง, แขน, แข็งแรง, โทนผิวสีขาวเหลือง, ไบเซป
💪🏽	กล้าม, ยกน้ำหนัก, ยิม, อวัยวะ, เบ่ง, เบ่งกล้าม: โทนผิวสีเหลือง, แขน, แข็งแรง, โทนผิวสีเหลือง, ไบเซป
💪🏾	กล้าม, ยกน้ำหนัก, ยิม, อวัยวะ, เบ่ง, เบ่งกล้าม: โทนผิวสีแทน, แขน, แข็งแรง, โทนผิวสีแทน, ไบเซป
💪🏿	กล้าม, ยกน้ำหนัก, ยิม, อวัยวะ, เบ่ง, เบ่งกล้าม: โทนผิวสีเข้ม, แขน, แข็งแรง, โทนผิวสีเข้ม, ไบเซป
🦾	กายอุปกรณ์, การเข้าถึง, หุ่นยนต์, อวัยวะ, เทียม, แขนกล
🦿	กายอุปกรณ์, การเข้าถึง, ขากล, หุ่นยนต์, อวัยวะ, เทียม
🦵	ขา, งอ, อวัยวะ, เข่า, เตะ, เท้า
🦵🏻	ขา, ขา: โทนผิวสีขาว, งอ, อวัยวะ, เข่า, เตะ, เท้า, โทนผิวสีขาว
🦵🏼	ขา, ขา: โทนผิวสีขาวเหลือง, งอ, อวัยวะ, เข่า, เตะ, เท้า, โทนผิวสีขาวเหลือง
🦵🏽	ขา, ขา: โทนผิวสีเหลือง, งอ, อวัยวะ, เข่า, เตะ, เท้า, โทนผิวสีเหลือง
🦵🏾	ขา, ขา: โทนผิวสีแทน, งอ, อวัยวะ, เข่า, เตะ, เท้า, โทนผิวสีแทน
🦵🏿	ขา, ขา: โทนผิวสีเข้ม, งอ, อวัยวะ, เข่า, เตะ, เท้า, โทนผิวสีเข้ม
🦶	กระทืบ, ข้อเท้า, เตะ, เท้า, เหยียบ
🦶🏻	กระทืบ, ข้อเท้า, เตะ, เท้า, เท้า: โทนผิวสีขาว, เหยียบ, โทนผิวสีขาว
🦶🏼	กระทืบ, ข้อเท้า, เตะ, เท้า, เท้า: โทนผิวสีขาวเหลือง, เหยียบ, โทนผิวสีขาวเหลือง
🦶🏽	กระทืบ, ข้อเท้า, เตะ, เท้า, เท้า: โทนผิวสีเหลือง, เหยียบ, โทนผิวสีเหลือง
🦶🏾	กระทืบ, ข้อเท้า, เตะ, เท้า, เท้า: โทนผิวสีแทน, เหยียบ, โทนผิวสีแทน
🦶🏿	กระทืบ, ข้อเท้า, เตะ, เท้า, เท้า: โทนผิวสีเข้ม, เหยียบ, โทนผิวสีเข้ม
👂️	ฟัง, หู, อวัยวะ
👂🏻	ฟัง, หู, หู: โทนผิวสีขาว, อวัยวะ, โทนผิวสีขาว
👂🏼	ฟัง, หู, หู: โทนผิวสีขาวเหลือง, อวัยวะ, โทนผิวสีขาวเหลือง
👂🏽	ฟัง, หู, หู: โทนผิวสีเหลือง, อวัยวะ, โทนผิวสีเหลือง
👂🏾	ฟัง, หู, หู: โทนผิวสีแทน, อวัยวะ, โทนผิวสีแทน
👂🏿	ฟัง, หู, หู: โทนผิวสีเข้ม, อวัยวะ, โทนผิวสีเข้ม
🦻	การช่วยเหลือพิเศษ, การเข้าถึง, ยาก, หู, หูใส่อุปกรณ์ช่วยฟัง, อุปกรณ์, เครื่องช่วยฟัง, ได้ยิน
🦻🏻	การช่วยเหลือพิเศษ, การเข้าถึง, ยาก, หู, หูใส่อุปกรณ์ช่วยฟัง: โทนผิวสีขาว, อุปกรณ์, เครื่องช่วยฟัง, โทนผิวสีขาว, ได้ยิน
🦻🏼	การช่วยเหลือพิเศษ, การเข้าถึง, ยาก, หู, หูใส่อุปกรณ์ช่วยฟัง: โทนผิวสีขาวเหลือง, อุปกรณ์, เครื่องช่วยฟัง, โทนผิวสีขาวเหลือง, ได้ยิน
🦻🏽	การช่วยเหลือพิเศษ, การเข้าถึง, ยาก, หู, หูใส่อุปกรณ์ช่วยฟัง: โทนผิวสีเหลือง, อุปกรณ์, เครื่องช่วยฟัง, โทนผิวสีเหลือง, ได้ยิน
🦻🏾	การช่วยเหลือพิเศษ, การเข้าถึง, ยาก, หู, หูใส่อุปกรณ์ช่วยฟัง: โทนผิวสีแทน, อุปกรณ์, เครื่องช่วยฟัง, โทนผิวสีแทน, ได้ยิน
🦻🏿	การช่วยเหลือพิเศษ, การเข้าถึง, ยาก, หู, หูใส่อุปกรณ์ช่วยฟัง: โทนผิวสีเข้ม, อุปกรณ์, เครื่องช่วยฟัง, โทนผิวสีเข้ม, ได้ยิน
👃	จมูก, ดม, อวัยวะ
👃🏻	จมูก, จมูก: โทนผิวสีขาว, ดม, อวัยวะ, โทนผิวสีขาว
👃🏼	จมูก, จมูก: โทนผิวสีขาวเหลือง, ดม, อวัยวะ, โทนผิวสีขาวเหลือง
👃🏽	จมูก, จมูก: โทนผิวสีเหลือง, ดม, อวัยวะ, โทนผิวสีเหลือง
👃🏾	จมูก, จมูก: โทนผิวสีแทน, ดม, อวัยวะ, โทนผิวสีแทน
👃🏿	จมูก, จมูก: โทนผิวสีเข้ม, ดม, อวัยวะ, โทนผิวสีเข้ม
🧠	ฉลาด, สมอง
🫀	กายวิภาค, ชีพจร, สีแดง, หทัยวิทยา, หัวใจ, อวัยวะ, เต้น
🫁	กายวิภาค, ปอด, ภายใน, ลมหายใจ, อวัยวะ
🦷	ขาว, ทันตแพทย์, ฟัน, หมอ, ไข่มุก
🦴	กระดูก, สุนัข, โครงกระดูก
👀	ตา, ตา 2 ข้าง, อวัยวะ
👁️	ข้างเดียว, ดวงตา, ตาข้างเดียว, อวัยวะ, เพ่งมอง
👅	ลิ้น, อวัยวะ
👄	ปาก, อวัยวะ
🫦	กลัว, ขบริมฝีปาก, จีบ, ประหม่า, ยั่ว, ริมฝีปาก, วิตกกังวล, อึดอัด, อ่อย, เจ้าชู้, เซ็กซี่
👶	คน, ทารก, ท้อง, ลูก, หัวจุก, เกิดใหม่, เด็ก
👶🏻	คน, ทารก, ทารก: โทนผิวสีขาว, ท้อง, ลูก, หัวจุก, เกิดใหม่, เด็ก, โทนผิวสีขาว
👶🏼	คน, ทารก, ทารก: โทนผิวสีขาวเหลือง, ท้อง, ลูก, หัวจุก, เกิดใหม่, เด็ก, โทนผิวสีขาวเหลือง
👶🏽	คน, ทารก, ทารก: โทนผิวสีเหลือง, ท้อง, ลูก, หัวจุก, เกิดใหม่, เด็ก, โทนผิวสีเหลือง
👶🏾	คน, ทารก, ทารก: โทนผิวสีแทน, ท้อง, ลูก, หัวจุก, เกิดใหม่, เด็ก, โทนผิวสีแทน
👶🏿	คน, ทารก, ทารก: โทนผิวสีเข้ม, ท้อง, ลูก, หัวจุก, เกิดใหม่, เด็ก, โทนผิวสีเข้ม
🧒	เด็ก
🧒🏻	เด็ก, เด็ก: โทนผิวสีขาว, โทนผิวสีขาว
🧒🏼	เด็ก, เด็ก: โทนผิวสีขาวเหลือง, โทนผิวสีขาวเหลือง
🧒🏽	เด็ก, เด็ก: โทนผิวสีเหลือง, โทนผิวสีเหลือง
🧒🏾	เด็ก, เด็ก: โทนผิวสีแทน, โทนผิวสีแทน
🧒🏿	เด็ก, เด็ก: โทนผิวสีเข้ม, โทนผิวสีเข้ม
👦	คน, ผู้ชาย, ลูก, หนุ่ม, หลาน, เด็ก, เด็กชาย
👦🏻	คน, ผู้ชาย, ลูก, หนุ่ม, หลาน, เด็ก, เด็กชาย: โทนผิวสีขาว, โทนผิวสีขาว
👦🏼	คน, ผู้ชาย, ลูก, หนุ่ม, หลาน, เด็ก, เด็กชาย: โทนผิวสีขาวเหลือง, โทนผิวสีขาวเหลือง
👦🏽	คน, ผู้ชาย, ลูก, หนุ่ม, หลาน, เด็ก, เด็กชาย: โทนผิวสีเหลือง, โทนผิวสีเหลือง
👦🏾	คน, ผู้ชาย, ลูก, หนุ่ม, หลาน, เด็ก, เด็กชาย: โทนผิวสีแทน, โทนผิวสีแทน
👦🏿	คน, ผู้ชาย, ลูก, หนุ่ม, หลาน, เด็ก, เด็กชาย: โทนผิวสีเข้ม, โทนผิวสีเข้ม
👧	คน, ผู้หญิง, ลูก, สาว, หลาน, เด็ก, เด็กหญิง
👧🏻	คน, ผู้หญิง, ลูก, สาว, หลาน, เด็ก, เด็กหญิง: โทนผิวสีขาว, โทนผิวสีขาว
👧🏼	คน, ผู้หญิง, ลูก, สาว, หลาน, เด็ก, เด็กหญิง: โทนผิวสีขาวเหลือง, โทนผิวสีขาวเหลือง
👧🏽	คน, ผู้หญิง, ลูก, สาว, หลาน, เด็ก, เด็กหญิง: โทนผิวสีเหลือง, โทนผิวสีเหลือง
👧🏾	คน, ผู้หญิง, ลูก, สาว, หลาน, เด็ก, เด็กหญิง: โทนผิวสีแทน, โทนผิวสีแทน
👧🏿	คน, ผู้หญิง, ลูก, สาว, หลาน, เด็ก, เด็กหญิง: โทนผิวสีเข้ม, โทนผิวสีเข้ม
🧑	คน, ผู้ใหญ่, เป็นกลางทางเพศ, ไม่ระบุเพศ
🧑🏻	คน, คน: โทนผิวสีขาว, ผู้ใหญ่, เป็นกลางทางเพศ, โทนผิวสีขาว, ไม่ระบุเพศ
🧑🏼	คน, คน: โทนผิวสีขาวเหลือง, ผู้ใหญ่, เป็นกลางทางเพศ, โทนผิวสีขาวเหลือง, ไม่ระบุเพศ
🧑🏽	คน, คน: โทนผิวสีเหลือง, ผู้ใหญ่, เป็นกลางทางเพศ, โทนผิวสีเหลือง, ไม่ระบุเพศ
🧑🏾	คน, คน: โทนผิวสีแทน, ผู้ใหญ่, เป็นกลางทางเพศ, โทนผิวสีแทน, ไม่ระบุเพศ
🧑🏿	คน, คน: โทนผิวสีเข้ม, ผู้ใหญ่, เป็นกลางทางเพศ, โทนผิวสีเข้ม, ไม่ระบุเพศ
👱	คน, คนผมทอง, ต่างชาติ, บลอนด์, ผมทอง, หัวทอง
👱🏻	คน, คนผมทอง: โทนผิวสีขาว, ต่างชาติ, บลอนด์, ผมทอง, หัวทอง, โทนผิวสีขาว
👱🏼	คน, คนผมทอง: โทนผิวสีขาวเหลือง, ต่างชาติ, บลอนด์, ผมทอง, หัวทอง, โทนผิวสีขาวเหลือง
👱🏽	คน, คนผมทอง: โทนผิวสีเหลือง, ต่างชาติ, บลอนด์, ผมทอง, หัวทอง, โทนผิวสีเหลือง
👱🏾	คน, คนผมทอง: โทนผิวสีแทน, ต่างชาติ, บลอนด์, ผมทอง, หัวทอง, โทนผิวสีแทน
👱🏿	คน, คนผมทอง: โทนผิวสีเข้ม, ต่างชาติ, บลอนด์, ผมทอง, หัวทอง, โทนผิวสีเข้ม
🧑🏻‍❤‍💋‍🧑🏼	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาว และ โทนผิวสีขาวเหลือง, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาว, โทนผิวสีขาวเหลือง, โรแมนติก
🧑🏻‍❤‍💋‍🧑🏽	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาว และ โทนผิวสีเหลือง, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาว, โทนผิวสีเหลือง, โรแมนติก
🧑🏻‍❤‍💋‍🧑🏾	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาว และ โทนผิวสีแทน, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาว, โทนผิวสีแทน, โรแมนติก
🧑🏻‍❤‍💋‍🧑🏿	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาว และ โทนผิวสีเข้ม, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาว, โทนผิวสีเข้ม, โรแมนติก
🧑🏼‍❤‍💋‍🧑🏻	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาวเหลือง และ โทนผิวสีขาว, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาว, โทนผิวสีขาวเหลือง, โรแมนติก
🧑🏼‍❤‍💋‍🧑🏽	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาวเหลือง และ โทนผิวสีเหลือง, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาวเหลือง, โทนผิวสีเหลือง, โรแมนติก
🧑🏼‍❤‍💋‍🧑🏾	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาวเหลือง และ โทนผิวสีแทน, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาวเหลือง, โทนผิวสีแทน, โรแมนติก
🧑🏼‍❤‍💋‍🧑🏿	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีขาวเหลือง และ โทนผิวสีเข้ม, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาวเหลือง, โทนผิวสีเข้ม, โรแมนติก
🧑🏽‍❤‍💋‍🧑🏻	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีเหลือง และ โทนผิวสีขาว, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาว, โทนผิวสีเหลือง, โรแมนติก
🧑🏽‍❤‍💋‍🧑🏼	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีเหลือง และ โทนผิวสีขาวเหลือง, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีขาวเหลือง, โทนผิวสีเหลือง, โรแมนติก
🧑🏽‍❤‍💋‍🧑🏾	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีเหลือง และ โทนผิวสีแทน, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีเหลือง, โทนผิวสีแทน, โรแมนติก
🧑🏽‍❤‍💋‍🧑🏿	คน, คู่รัก, จูบ, จูบ: คน คน โทนผิวสีเหลือง และ โทนผิวสีเข้ม, ร่วมกัน, วันครบรอบ, หัวใจ, เดท, โทนผิวสีเข้ม, โทนผิวสีเหลือง, โรแมนติก
