‾	вінкулум, риска згори
💅🏼	догляд, косметика, лак, лак для нігтів, лак для нігтів: помірно світлий тон шкіри, манікюр, ніготь, нігті, помірно світлий тон шкіри, робота, рука, тіло
💅🏽	догляд, косметика, лак, лак для нігтів, лак для нігтів: помірний тон шкіри, манікюр, ніготь, нігті, помірний тон шкіри, робота, рука, тіло
💅🏾	догляд, косметика, лак, лак для нігтів, лак для нігтів: помірно темний тон шкіри, манікюр, ніготь, нігті, помірно темний тон шкіри, робота, рука, тіло
💅🏿	догляд, косметика, лак, лак для нігтів, лак для нігтів: темний тон шкіри, манікюр, ніготь, нігті, робота, рука, темний тон шкіри, тіло
🤳	автопортрет, камера, селфі, телефон, фото
🤳🏻	автопортрет, камера, світлий тон шкіри, селфі, селфі: світлий тон шкіри, телефон, фото
🤳🏼	автопортрет, камера, помірно світлий тон шкіри, селфі, селфі: помірно світлий тон шкіри, телефон, фото
🤳🏽	автопортрет, камера, помірний тон шкіри, селфі, селфі: помірний тон шкіри, телефон, фото
🤳🏾	автопортрет, камера, помірно темний тон шкіри, селфі, селфі: помірно темний тон шкіри, телефон, фото
🤳🏿	автопортрет, камера, селфі, селфі: темний тон шкіри, телефон, темний тон шкіри, фото
💪	бодибілдер, важкоатлет, зігнутий, крутий, мускулистий, м’яз, напружений біцепс, рука, силач, спорт, тренування
💪🏻	бодибілдер, важкоатлет, зігнутий, крутий, мускулистий, м’яз, напружений біцепс: світлий тон шкіри, рука, світлий тон шкіри, силач, спорт, тренування
💪🏼	бодибілдер, важкоатлет, зігнутий, крутий, мускулистий, м’яз, напружений біцепс: помірно світлий тон шкіри, помірно світлий тон шкіри, рука, силач, спорт, тренування
💪🏽	бодибілдер, важкоатлет, зігнутий, крутий, мускулистий, м’яз, напружений біцепс: помірний тон шкіри, помірний тон шкіри, рука, силач, спорт, тренування
💪🏾	бодибілдер, важкоатлет, зігнутий, крутий, мускулистий, м’яз, напружений біцепс: помірно темний тон шкіри, помірно темний тон шкіри, рука, силач, спорт, тренування
💪🏿	бодибілдер, важкоатлет, зігнутий, крутий, мускулистий, м’яз, напружений біцепс: темний тон шкіри, рука, силач, спорт, темний тон шкіри, тренування
🦾	доступність, механічна рука, протез, спеціальні можливості
🦿	доступність, механічна нога, протез, спеціальні можливості
🦵	зігнута нога, коліно, копняк, кінцівка, нога, стегно, стопа, удар ногою
🦵🏻	зігнута нога, коліно, копняк, кінцівка, нога, нога: світлий тон шкіри, світлий тон шкіри, стегно, стопа, удар ногою
🦵🏼	зігнута нога, коліно, копняк, кінцівка, нога, нога: помірно світлий тон шкіри, помірно світлий тон шкіри, стегно, стопа, удар ногою
🦵🏽	зігнута нога, коліно, копняк, кінцівка, нога, нога: помірний тон шкіри, помірний тон шкіри, стегно, стопа, удар ногою
🦵🏾	зігнута нога, коліно, копняк, кінцівка, нога, нога: помірно темний тон шкіри, помірно темний тон шкіри, стегно, стопа, удар ногою
🦵🏿	зігнута нога, коліно, копняк, кінцівка, нога, нога: темний тон шкіри, стегно, стопа, темний тон шкіри, удар ногою
🦶	гомілка, нога, ніжка, стопа, стопи, ступня, удар
🦶🏻	гомілка, нога, ніжка, світлий тон шкіри, стопа, стопи, ступня, ступня: світлий тон шкіри, удар
🦶🏼	гомілка, нога, ніжка, помірно світлий тон шкіри, стопа, стопи, ступня, ступня: помірно світлий тон шкіри, удар
🦶🏽	гомілка, нога, ніжка, помірний тон шкіри, стопа, стопи, ступня, ступня: помірний тон шкіри, удар
🦶🏾	гомілка, нога, ніжка, помірно темний тон шкіри, стопа, стопи, ступня, ступня: помірно темний тон шкіри, удар
🦶🏿	гомілка, нога, ніжка, стопа, стопи, ступня, ступня: темний тон шкіри, темний тон шкіри, удар
👂️	вухо, слухати, слухаю, тіло
👂🏻	вухо, вухо: світлий тон шкіри, світлий тон шкіри, слухати, слухаю, тіло
👂🏼	вухо, вухо: помірно світлий тон шкіри, помірно світлий тон шкіри, слухати, слухаю, тіло
👂🏽	вухо, вухо: помірний тон шкіри, помірний тон шкіри, слухати, слухаю, тіло
👂🏾	вухо, вухо: помірно темний тон шкіри, помірно темний тон шкіри, слухати, слухаю, тіло
👂🏿	вухо, вухо: темний тон шкіри, слухати, слухаю, темний тон шкіри, тіло
🦻	вади слуху, вухо зі слуховим апаратом, доступність, слуховий апарат, спеціальні можливості
🦻🏻	вади слуху, вухо зі слуховим апаратом, вухо зі слуховим апаратом: світлий тон шкіри, доступність, світлий тон шкіри, слуховий апарат, спеціальні можливості
🦻🏼	вади слуху, вухо зі слуховим апаратом, вухо зі слуховим апаратом: помірно світлий тон шкіри, доступність, помірно світлий тон шкіри, слуховий апарат, спеціальні можливості
🦻🏽	вади слуху, вухо зі слуховим апаратом, вухо зі слуховим апаратом: помірний тон шкіри, доступність, помірний тон шкіри, слуховий апарат, спеціальні можливості
🦻🏾	вади слуху, вухо зі слуховим апаратом, вухо зі слуховим апаратом: помірно темний тон шкіри, доступність, помірно темний тон шкіри, слуховий апарат, спеціальні можливості
🦻🏿	вади слуху, вухо зі слуховим апаратом, вухо зі слуховим апаратом: темний тон шкіри, доступність, слуховий апарат, спеціальні можливості, темний тон шкіри
👃	ніс, тіло
👃🏻	ніс, ніс: світлий тон шкіри, світлий тон шкіри, тіло
👃🏼	ніс, ніс: помірно світлий тон шкіри, помірно світлий тон шкіри, тіло
👃🏽	ніс, ніс: помірний тон шкіри, помірний тон шкіри, тіло
👃🏾	ніс, ніс: помірно темний тон шкіри, помірно темний тон шкіри, тіло
👃🏿	ніс, ніс: темний тон шкіри, темний тон шкіри, тіло
🧠	мозок, мізки, розум, розумна, розумний, інтелект, інтелектуал
🫀	анатомічний, внутрішній орган, кардіологія, кров, орган, пульс, серце, серцебиття, центр, червоний
🫁	вдих, видих, внутрішній орган, дихання, легеня, легені, орган, подих
🦷	білий, дантист, зуб, зуби, стоматолог
🦴	кальцій, кості, кістка, кісточка, скелет, собака, собачі ласощі
👀	обличчя, око, очі, тіло
👁️	око, тіло
👅	тіло, язик
👄	губи, помада, поцілунок, рот, тіло, чутлива
🫦	закушена нижня губа, нерви, ніяковість, помада, поцілунок, сексуально, страх, стурбованість, тривога, укус, флірт, хвилюватись
👶	дитина, малеча, немовля
👶🏻	дитина, малеча, немовля, немовля: світлий тон шкіри, світлий тон шкіри
👶🏼	дитина, малеча, немовля, немовля: помірно світлий тон шкіри, помірно світлий тон шкіри
👶🏽	дитина, малеча, немовля, немовля: помірний тон шкіри, помірний тон шкіри
👶🏾	дитина, малеча, немовля, немовля: помірно темний тон шкіри, помірно темний тон шкіри
👶🏿	дитина, малеча, немовля, немовля: темний тон шкіри, темний тон шкіри
🧒	весело, гендерно-нейтральний, дитина, людина, малеча, неозначеної статі, сміх
🧒🏻	весело, гендерно-нейтральний, дитина, дитина: світлий тон шкіри, людина, малеча, неозначеної статі, світлий тон шкіри, сміх
🧒🏼	весело, гендерно-нейтральний, дитина, дитина: помірно світлий тон шкіри, людина, малеча, неозначеної статі, помірно світлий тон шкіри, сміх
🧒🏽	весело, гендерно-нейтральний, дитина, дитина: помірний тон шкіри, людина, малеча, неозначеної статі, помірний тон шкіри, сміх
🧒🏾	весело, гендерно-нейтральний, дитина, дитина: помірно темний тон шкіри, людина, малеча, неозначеної статі, помірно темний тон шкіри, сміх
🧒🏿	весело, гендерно-нейтральний, дитина, дитина: темний тон шкіри, людина, малеча, неозначеної статі, сміх, темний тон шкіри
👦	людина, малеча, хлопець, хлопчик
👦🏻	людина, малеча, світлий тон шкіри, хлопець, хлопчик, хлопчик: світлий тон шкіри
👦🏼	людина, малеча, помірно світлий тон шкіри, хлопець, хлопчик, хлопчик: помірно світлий тон шкіри
👦🏽	людина, малеча, помірний тон шкіри, хлопець, хлопчик, хлопчик: помірний тон шкіри
👦🏾	людина, малеча, помірно темний тон шкіри, хлопець, хлопчик, хлопчик: помірно темний тон шкіри
👦🏿	людина, малеча, темний тон шкіри, хлопець, хлопчик, хлопчик: темний тон шкіри
👧	діва, дівчина, дівчинка, зодіак, хвостики, шкільниця
👧🏻	діва, дівчина, дівчинка, дівчинка: світлий тон шкіри, зодіак, світлий тон шкіри, хвостики, шкільниця
👧🏼	діва, дівчина, дівчинка, дівчинка: помірно світлий тон шкіри, зодіак, помірно світлий тон шкіри, хвостики, шкільниця
👧🏽	діва, дівчина, дівчинка, дівчинка: помірний тон шкіри, зодіак, помірний тон шкіри, хвостики, шкільниця
👧🏾	діва, дівчина, дівчинка, дівчинка: помірно темний тон шкіри, зодіак, помірно темний тон шкіри, хвостики, шкільниця
👧🏿	діва, дівчина, дівчинка, дівчинка: темний тон шкіри, зодіак, темний тон шкіри, хвостики, шкільниця
🧑	гендерно-нейтральний, дорослий, людина, неозначеної статі, хлопець, хлопчик
🧑🏻	гендерно-нейтральний, дорослий, людина, людина: світлий тон шкіри, неозначеної статі, світлий тон шкіри, хлопець, хлопчик
🧑🏼	гендерно-нейтральний, дорослий, людина, людина: помірно світлий тон шкіри, неозначеної статі, помірно світлий тон шкіри, хлопець, хлопчик
🧑🏽	гендерно-нейтральний, дорослий, людина, людина: помірний тон шкіри, неозначеної статі, помірний тон шкіри, хлопець, хлопчик
🧑🏾	гендерно-нейтральний, дорослий, людина, людина: помірно темний тон шкіри, неозначеної статі, помірно темний тон шкіри, хлопець, хлопчик
🧑🏿	гендерно-нейтральний, дорослий, людина, людина: темний тон шкіри, неозначеної статі, темний тон шкіри, хлопець, хлопчик
👱	блонд, блондин, біляве, волосся, людина, людина з білявим волоссям, людина зі світлим волоссям, обличчя, світле волосся, світлий
👱🏻	блонд, блондин, біляве, волосся, людина, людина з білявим волоссям, людина з білявим волоссям: світлий тон шкіри, людина зі світлим волоссям, обличчя, світле волосся, світлий, світлий тон шкіри
👱🏼	блонд, блондин, біляве, волосся, людина, людина з білявим волоссям, людина з білявим волоссям: помірно світлий тон шкіри, людина зі світлим волоссям, обличчя, помірно світлий тон шкіри, світле волосся, світлий
👱🏽	блонд, блондин, біляве, волосся, людина, людина з білявим волоссям, людина з білявим волоссям: помірний тон шкіри, людина зі світлим волоссям, обличчя, помірний тон шкіри, світле волосся, світлий
👱🏾	блонд, блондин, біляве, волосся, людина, людина з білявим волоссям, людина з білявим волоссям: помірно темний тон шкіри, людина зі світлим волоссям, обличчя, помірно темний тон шкіри, світле волосся, світлий
👱🏿	блонд, блондин, біляве, волосся, людина, людина з білявим волоссям, людина з білявим волоссям: темний тон шкіри, людина зі світлим волоссям, обличчя, світле волосся, світлий, темний тон шкіри
🧑🏻‍❤‍💋‍🧑🏼	закоханість, кохання, любов, людина, пара, побачення, помірно світлий тон шкіри, поцілунок, річниця, світлий тон шкіри, стосунки, чоловік і жінка, що цілуються: людина, людина, світлий тон шкіри і помірно світлий тон шкіри
🧑🏻‍❤‍💋‍🧑🏽	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, поцілунок, річниця, світлий тон шкіри, стосунки, чоловік і жінка, що цілуються: людина, людина, світлий тон шкіри і помірний тон шкіри
🧑🏻‍❤‍💋‍🧑🏾	закоханість, кохання, любов, людина, пара, побачення, помірно темний тон шкіри, поцілунок, річниця, світлий тон шкіри, стосунки, чоловік і жінка, що цілуються: людина, людина, світлий тон шкіри і помірно темний тон шкіри
🧑🏻‍❤‍💋‍🧑🏿	закоханість, кохання, любов, людина, пара, побачення, поцілунок, річниця, світлий тон шкіри, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, світлий тон шкіри і темний тон шкіри
🧑🏼‍❤‍💋‍🧑🏻	закоханість, кохання, любов, людина, пара, побачення, помірно світлий тон шкіри, поцілунок, річниця, світлий тон шкіри, стосунки, чоловік і жінка, що цілуються: людина, людина, помірно світлий тон шкіри і світлий тон шкіри
🧑🏼‍❤‍💋‍🧑🏽	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, помірно світлий тон шкіри, поцілунок, річниця, стосунки, чоловік і жінка, що цілуються: людина, людина, помірно світлий тон шкіри і помірний тон шкіри
🧑🏼‍❤‍💋‍🧑🏾	закоханість, кохання, любов, людина, пара, побачення, помірно світлий тон шкіри, помірно темний тон шкіри, поцілунок, річниця, стосунки, чоловік і жінка, що цілуються: людина, людина, помірно світлий тон шкіри і помірно темний тон шкіри
🧑🏼‍❤‍💋‍🧑🏿	закоханість, кохання, любов, людина, пара, побачення, помірно світлий тон шкіри, поцілунок, річниця, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, помірно світлий тон шкіри і темний тон шкіри
🧑🏽‍❤‍💋‍🧑🏻	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, поцілунок, річниця, світлий тон шкіри, стосунки, чоловік і жінка, що цілуються: людина, людина, помірний тон шкіри і світлий тон шкіри
🧑🏽‍❤‍💋‍🧑🏼	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, помірно світлий тон шкіри, поцілунок, річниця, стосунки, чоловік і жінка, що цілуються: людина, людина, помірний тон шкіри і помірно світлий тон шкіри
🧑🏽‍❤‍💋‍🧑🏾	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, помірно темний тон шкіри, поцілунок, річниця, стосунки, чоловік і жінка, що цілуються: людина, людина, помірний тон шкіри і помірно темний тон шкіри
🧑🏽‍❤‍💋‍🧑🏿	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, поцілунок, річниця, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, помірний тон шкіри і темний тон шкіри
🧑🏾‍❤‍💋‍🧑🏻	закоханість, кохання, любов, людина, пара, побачення, помірно темний тон шкіри, поцілунок, річниця, світлий тон шкіри, стосунки, чоловік і жінка, що цілуються: людина, людина, помірно темний тон шкіри і світлий тон шкіри
🧑🏾‍❤‍💋‍🧑🏼	закоханість, кохання, любов, людина, пара, побачення, помірно світлий тон шкіри, помірно темний тон шкіри, поцілунок, річниця, стосунки, чоловік і жінка, що цілуються: людина, людина, помірно темний тон шкіри і помірно світлий тон шкіри
🧑🏾‍❤‍💋‍🧑🏽	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, помірно темний тон шкіри, поцілунок, річниця, стосунки, чоловік і жінка, що цілуються: людина, людина, помірно темний тон шкіри і помірний тон шкіри
🧑🏾‍❤‍💋‍🧑🏿	закоханість, кохання, любов, людина, пара, побачення, помірно темний тон шкіри, поцілунок, річниця, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, помірно темний тон шкіри і темний тон шкіри
🧑🏿‍❤‍💋‍🧑🏻	закоханість, кохання, любов, людина, пара, побачення, поцілунок, річниця, світлий тон шкіри, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, темний тон шкіри і світлий тон шкіри
🧑🏿‍❤‍💋‍🧑🏼	закоханість, кохання, любов, людина, пара, побачення, помірно світлий тон шкіри, поцілунок, річниця, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, темний тон шкіри і помірно світлий тон шкіри
🧑🏿‍❤‍💋‍🧑🏽	закоханість, кохання, любов, людина, пара, побачення, помірний тон шкіри, поцілунок, річниця, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, темний тон шкіри і помірний тон шкіри
🧑🏿‍❤‍💋‍🧑🏾	закоханість, кохання, любов, людина, пара, побачення, помірно темний тон шкіри, поцілунок, річниця, стосунки, темний тон шкіри, чоловік і жінка, що цілуються: людина, людина, темний тон шкіри і помірно темний тон шкіри
🧑🏻‍❤‍🧑🏼	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно світлий тон шкіри, світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, світлий тон шкіри і помірно світлий тон шкіри
🧑🏻‍❤‍🧑🏽	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, світлий тон шкіри і помірний тон шкіри
🧑🏻‍❤‍🧑🏾	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно темний тон шкіри, світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, світлий тон шкіри і помірно темний тон шкіри
🧑🏻‍❤‍🧑🏿	закоханість, кохання, кохаю тебе, людина, пара, побачення, світлий тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, світлий тон шкіри і темний тон шкіри
🧑🏼‍❤‍🧑🏻	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно світлий тон шкіри, світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно світлий тон шкіри і світлий тон шкіри
🧑🏼‍❤‍🧑🏽	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, помірно світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно світлий тон шкіри і помірний тон шкіри
🧑🏼‍❤‍🧑🏾	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно світлий тон шкіри, помірно темний тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно світлий тон шкіри і помірно темний тон шкіри
🧑🏼‍❤‍🧑🏿	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно світлий тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно світлий тон шкіри і темний тон шкіри
🧑🏽‍❤‍🧑🏻	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірний тон шкіри і світлий тон шкіри
🧑🏽‍❤‍🧑🏼	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, помірно світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірний тон шкіри і помірно світлий тон шкіри
🧑🏽‍❤‍🧑🏾	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, помірно темний тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірний тон шкіри і помірно темний тон шкіри
🧑🏽‍❤‍🧑🏿	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірний тон шкіри і темний тон шкіри
🧑🏾‍❤‍🧑🏻	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно темний тон шкіри, світлий тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно темний тон шкіри і світлий тон шкіри
🧑🏾‍❤‍🧑🏼	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно світлий тон шкіри, помірно темний тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно темний тон шкіри і помірно світлий тон шкіри
🧑🏾‍❤‍🧑🏽	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, помірно темний тон шкіри, серце, стосунки, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно темний тон шкіри і помірний тон шкіри
🧑🏾‍❤‍🧑🏿	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно темний тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, помірно темний тон шкіри і темний тон шкіри
🧑🏿‍❤‍🧑🏻	закоханість, кохання, кохаю тебе, людина, пара, побачення, світлий тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, темний тон шкіри і світлий тон шкіри
🧑🏿‍❤‍🧑🏼	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно світлий тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, темний тон шкіри і помірно світлий тон шкіри
🧑🏿‍❤‍🧑🏽	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірний тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, темний тон шкіри і помірний тон шкіри
🧑🏿‍❤‍🧑🏾	закоханість, кохання, кохаю тебе, людина, пара, побачення, помірно темний тон шкіри, серце, стосунки, темний тон шкіри, чоловік і жінка із серцем між ними, чоловік і жінка із серцем між ними: людина, людина, темний тон шкіри і помірно темний тон шкіри
🧑‍🦰	гендерно-нейтральний, дорослий, людина, людина: руде волосся, неозначеної статі, руде волосся, хлопець, хлопчик
🧑🏻‍🦰	гендерно-нейтральний, дорослий, людина, людина: світлий тон шкіри і руде волосся, неозначеної статі, руде волосся, світлий тон шкіри, хлопець, хлопчик
🧑🏼‍🦰	гендерно-нейтральний, дорослий, людина, людина: помірно світлий тон шкіри і руде волосся, неозначеної статі, помірно світлий тон шкіри, руде волосся, хлопець, хлопчик
🧑🏽‍🦰	гендерно-нейтральний, дорослий, людина, людина: помірний тон шкіри і руде волосся, неозначеної статі, помірний тон шкіри, руде волосся, хлопець, хлопчик
🧑🏾‍🦰	гендерно-нейтральний, дорослий, людина, людина: помірно темний тон шкіри і руде волосся, неозначеної статі, помірно темний тон шкіри, руде волосся, хлопець, хлопчик
🧑🏿‍🦰	гендерно-нейтральний, дорослий, людина, людина: темний тон шкіри і руде волосся, неозначеної статі, руде волосся, темний тон шкіри, хлопець, хлопчик
🧑‍🦱	гендерно-нейтральний, дорослий, кучеряве волосся, людина, людина: кучеряве волосся, неозначеної статі, хлопець, хлопчик
🧑🏻‍🦱	гендерно-нейтральний, дорослий, кучеряве волосся, людина, людина: світлий тон шкіри і кучеряве волосся, неозначеної статі, світлий тон шкіри, хлопець, хлопчик
🧑🏼‍🦱	гендерно-нейтральний, дорослий, кучеряве волосся, людина, людина: помірно світлий тон шкіри і кучеряве волосся, неозначеної статі, помірно світлий тон шкіри, хлопець, хлопчик
🧑🏽‍🦱	гендерно-нейтральний, дорослий, кучеряве волосся, людина, людина: помірний тон шкіри і кучеряве волосся, неозначеної статі, помірний тон шкіри, хлопець, хлопчик
🧑🏾‍🦱	гендерно-нейтральний, дорослий, кучеряве волосся, людина, людина: помірно темний тон шкіри і кучеряве волосся, неозначеної статі, помірно темний тон шкіри, хлопець, хлопчик
🧑🏿‍🦱	гендерно-нейтральний, дорослий, кучеряве волосся, людина, людина: темний тон шкіри і кучеряве волосся, неозначеної статі, темний тон шкіри, хлопець, хлопчик
🧑‍🦳	гендерно-нейтральний, дорослий, людина, людина: сиве волосся, неозначеної статі, сиве волосся, хлопець, хлопчик
🧑🏻‍🦳	гендерно-нейтральний, дорослий, людина, людина: світлий тон шкіри і сиве волосся, неозначеної статі, світлий тон шкіри, сиве волосся, хлопець, хлопчик
🧑🏼‍🦳	гендерно-нейтральний, дорослий, людина, людина: помірно світлий тон шкіри і сиве волосся, неозначеної статі, помірно світлий тон шкіри, сиве волосся, хлопець, хлопчик
🧑🏽‍🦳	гендерно-нейтральний, дорослий, людина, людина: помірний тон шкіри і сиве волосся, неозначеної статі, помірний тон шкіри, сиве волосся, хлопець, хлопчик
🧑🏾‍🦳	гендерно-нейтральний, дорослий, людина, людина: помірно темний тон шкіри і сиве волосся, неозначеної статі, помірно темний тон шкіри, сиве волосся, хлопець, хлопчик
🧑🏿‍🦳	гендерно-нейтральний, дорослий, людина, людина: темний тон шкіри і сиве волосся, неозначеної статі, сиве волосся, темний тон шкіри, хлопець, хлопчик
🧑‍🦲	гендерно-нейтральний, дорослий, лисина, людина, людина: лисина, неозначеної статі, хлопець, хлопчик
🧑🏻‍🦲	гендерно-нейтральний, дорослий, лисина, людина, людина: світлий тон шкіри і лисина, неозначеної статі, світлий тон шкіри, хлопець, хлопчик
🧑🏼‍🦲	гендерно-нейтральний, дорослий, лисина, людина, людина: помірно світлий тон шкіри і лисина, неозначеної статі, помірно світлий тон шкіри, хлопець, хлопчик
🧑🏽‍🦲	гендерно-нейтральний, дорослий, лисина, людина, людина: помірний тон шкіри і лисина, неозначеної статі, помірний тон шкіри, хлопець, хлопчик
🧑🏾‍🦲	гендерно-нейтральний, дорослий, лисина, людина, людина: помірно темний тон шкіри і лисина, неозначеної статі, помірно темний тон шкіри, хлопець, хлопчик
🧑🏿‍🦲	гендерно-нейтральний, дорослий, лисина, людина, людина: темний тон шкіри і лисина, неозначеної статі, темний тон шкіри, хлопець, хлопчик
👨	блондин, дорослий, людина, чоловік
👨🏻	блондин, дорослий, людина, світлий тон шкіри, чоловік, чоловік: світлий тон шкіри
👨🏼	блондин, дорослий, людина, помірно світлий тон шкіри, чоловік, чоловік: помірно світлий тон шкіри
👨🏽	блондин, дорослий, людина, помірний тон шкіри, чоловік, чоловік: помірний тон шкіри
👨🏾	блондин, дорослий, людина, помірно темний тон шкіри, чоловік, чоловік: помірно темний тон шкіри
👨🏿	блондин, дорослий, людина, темний тон шкіри, чоловік, чоловік: темний тон шкіри
🧔	борода, бородань, бородатий, людина з бородою
🧔🏻	борода, бородань, бородатий, людина з бородою, людина з бородою: світлий тон шкіри, світлий тон шкіри
🧔🏼	борода, бородань, бородатий, людина з бородою, людина з бородою: помірно світлий тон шкіри, помірно світлий тон шкіри
🧔🏽	борода, бородань, бородатий, людина з бородою, людина з бородою: помірний тон шкіри, помірний тон шкіри
🧔🏾	борода, бородань, бородатий, людина з бородою, людина з бородою: помірно темний тон шкіри, помірно темний тон шкіри
🧔🏿	борода, бородань, бородатий, людина з бородою, людина з бородою: темний тон шкіри, темний тон шкіри
🧔‍♂	борода, бородатий, чоловік із бородою
🧔🏻‍♂	борода, бородатий, світлий тон шкіри, чоловік із бородою, чоловік із бородою: світлий тон шкіри
🧔🏼‍♂	борода, бородатий, помірно світлий тон шкіри, чоловік із бородою, чоловік із бородою: помірно світлий тон шкіри
