‾	вінкулум, риска згори
⇉	дві стрілки вправо, подвійна, праворуч
⇊	дві стрілки вниз, донизу, подвійна
⇋	гарпун вліво над гарпуном вправо, дві, ліворуч, над, праворуч
⇌	гарпун вправо над гарпуном вліво, дві, ліворуч, над, праворуч
⇐	ліворуч, подвійна стрілка вліво
⇍	ліворуч, перекреслена подвійна стрілка вліво
⇑	догори, подвійна стрілка вгору
⇒	вправо, подвійна, подвійна стрілка вправо, стрілка
⇏	вправо, закреслена, перекреслена подвійна стрілка вправо, подвійна, стрілка
⇓	донизу, подвійна стрілка вниз
⇔	вліво, вправо, двонапрямлена подвійна стрілка, подвійна, стрілка
⇎	вліво, вправо, закреслена, перекреслена двонапрямлена подвійна стрілка, подвійна, стрілка
⇖	догори, діагональ, ліворуч, подвійна стрілка вліво вгору
⇗	догори, діагональ, подвійна стрілка вправо вгору, праворуч
⇘	донизу, діагональ, подвійна стрілка вправо вниз, праворуч
⇙	донизу, діагональ, ліворуч, подвійна стрілка вліво вниз
⇚	ліворуч, потрійна стрілка вліво, три
⇛	потрійна стрілка вправо, праворуч, три
⇜	ламана, ліворуч, стрілка зигзагом вліво
⇝	ламана, праворуч, стрілка зигзагом вправо
⇞	двічі перекреслена стрілка вгору, догори
⇟	двічі перекреслена стрілка вниз, донизу
⇠	ліворуч, пунктирна стрілка вліво
⇡	догори, пунктирна стрілка вгору
⇢	праворуч, пунктирна стрілка вправо
⇣	донизу, пунктирна стрілка вниз
⇤	ліворуч, обмеження, стрілка вліво в риску
⇥	обмеження, праворуч, стрілка вправо в риску
⇦	контур, ліворуч, порожниста стрілка вліво, порожня
⇧	догори, контур, порожниста стрілка вгору, порожня
⇨	контур, порожниста стрілка вправо, порожня, праворуч
⇩	донизу, контур, порожниста стрілка вниз, порожня
⇪	догори, контур, порожниста стрілка вгору з риски, порожня
⇵	вгору, вниз, подвійна, стрілка, стрілка вниз перед стрілкою вгору
∀	будь-які, всі, для будь-якого, універсально
∂	диференціал, частка, часткова похідна
∃	наявний, є, існує
∅	математика, множини, набір, оператор, порожня множина, порожній
∆	збільшення, трикутник
∇	набла, трикутник
∈	елемент, компонент, містить, набір, складник, членство
∉	входить, за межами, не, не належить, поза
∋	входить, містить, у межах, є членом
∎	q.e.d., qed, доказ, кінець, кінець доведення
∏	n-ний, добуток, логіка, множення
∑	додавання, математика, сума, сумарно
+	додавання, знак плюса, плюс
±	плюс-мінус
÷	ділення, ділити, знак ділення, обелюс
×	знак множення, множення, множити, раз
<	відкрити тег, менше ніж, тег
≮	математика, менше ніж, не, не менше, нерівність
=	дорівнює, знак рівності
≠	нерівні, нерівність
>	більше ніж, закрити тег, тег
≯	більше ніж, математика, не, не більше, нерівність
¬	заперечення, не
|	вертикальна лінія, вертикальна риска, лінія, пайп, штрих Шеффера
~	тильда
−	віднімання, знак мінуса, мінус
⁻	верхній, мінус, надрядковий мінус
∓	мінус-плюс, плюс-мінус
∕	дріб, ділити, поділ, скісна риска ділення
⁄	дріб, ділити, поділ, скісна риска дробу
∗	добуток, зірочка, множення, оператор, символ зірочки
∘	кільце, математика, оператор
∙	буліт, маркер списку, оператор
√	квадрат, квадратний корінь, корінь, радикальний, ірраціональний
∝	знак пропорційності, пропорційно, пропорція
∞	знак нескінченності, нескінченність
∟	90 градусів, математика, прямий кут
∠	гострий, кут, кутовий
∣	ділення, ділить, роздільник, розділювач
∥	паралельно, символ паралельності
∧	and, логіка, логічне "і", оператор
∩	знак перетину, набір, перетин
∪	набір, обʼєднання, поєднання, союз, сполука
∫	інтеграл, інтегрування
∬	алгебра, два, подвійний інтеграл, інтегрування
∮	алгебра, контур, контурний інтеграл, інтегрування
∴	випливає, висновок, логіка, тому
∵	бо, логіка, оскільки, тому що
∶	відношення, порівняння, пропорція
∷	порівняння, пропорційно, пропорція
∼	знак тильди, оператор, приблизно, тильда
∽	навпаки, обернена тильда, обернути, оператор, тильда
∾	горизонтально, ес, обернена лінива s, обернути
≃	асимптота, асимптотично дорівнює, математика, рівність
≅	близько, майже, математика, нерівність, приблизно дорівнює, рівність
≈	майже рівні, приблизна рівність
≌	математика, рівність, усі дорівнюють
≒	близько, майже, математика, приблизно дорівнює фігурі, рвність, фігура
≖	коло, кільце, кільце у знаку рівності, матиматика, рівність
≡	однаковий, потрійний, тотожний, тотожність, точний
≣	еквівалентність, математика, повністю, рівно, суворо, тотожність, цілком тотожні
≤	менше або дорівнює, не більше ніж
≥	більше або дорівнює, не менше ніж
≦	математика, менше ніж над знаком рівності, нерівність, рівність
≧	більше ніж над знаком рівності, математика, нерівність, рівність
≪	математика, набагато, набагато менше, нерівність
≫	математика, набагато, набагато більше, нерівність
≬	між, проміжок
≳	більше або дорівнює, більше ніж або еквівалентний, більше чи дорівнює, математика, нерівність
≺	математика, набір, оператор, перед, передувати, попереду
≻	за, математика, набір, оператор, після, слідувати за
⊁	за, математика, набір, не, не слідує за, оператор, після
⊂	набір, підмножина
⊃	математика, набір, над, оператор, строга надмножина
⊆	входить, дорівнює, математика, набір, належить, оператор, є підмножиною
⊇	входить, математика, набір, надмножина, належить, оператор, рівність
⊕	коло, круг, плюс, плюс у колі
⊖	коло, круг, мінус, мінус у колі
⊗	добуток, коло, круг, множення, тензорний добуток
⊘	коло, математика, навскіс, перекреслене, скісна риска в колі
⊙	XNOR, коло, крапка в колі, оператор, точка
⊚	коло, кільце, кільце в колі, оператор
⊛	зірка, зірочка в колі, коло, оператор
⊞	додавання, квадратний, математика, плюс у квадраті
⊟	віднімання, квадратний, математика, мінус у квадраті
⊥	вгору, висота, перпендикуляр, прямий
⊮	не викликає, не призводить, не спричиняє
⊰	відношення, математика, менше, набір, оператор, передує у відношенні
⊱	відношення, математика, менше, набір, оператор, слідує у відношенні
⋭	входить, група, математика, не містить як нормальну підгрупу або дорівнює, нормальний, ні, підгрупа, рівний, рівність, теорія, як
⊶	оригінал, прообраз
⊹	ерміт, ермітово-спряжена матриця, квадрат, математика, матриця, самоспряжений, спряжений
⊿	вправо, правий прямокутний трикутник, прямий, справа
⋁	n-ний, дизʼюнкція, логіка, логічне "або", логічний, чи
⋂	n-арний перетин, n-ний, математика, набір, оператор
⋃	n-арне обʼєднання, n-ний, математика, набір, оператор
⋅	крапка, множення, оператор точки, точка, цятка
⋆	зірка, оператор, символ "зірочка"
⋈	бінарний, логіка, математика, оператор, природне зʼєднання
⋒	два, логіка, математика, оператор, подвійний перетин
⋘	дуже суттєво менше, математика, набагато, нерівність, сильно
⋙	дуже суттєво більше, математика, набагато, нерівність, сильно
⋮	вертикальна трикрапка, вертикально, крапка, три
⋯	горизонтальна трикрапка по центру, горизонтально, еліпсис, крапки, посередині, три
⋰	діагональ, діагональна трикрапка вправо вгору, еліпсис, крапки, три
⋱	діагональ, діагональна трикрапка вправо вниз, еліпсис, крапки, три
■	заповнений квадрат, прямокутник, суцільний
□	порожнистий квадрат, порожній, прямокутник
▢	заокруглений, порожнистий квадрат зі скругленими кутами, порожній, прямокутник
▣	заповнений, контур, рамка, суцільний квадрат у контурному квадраті
▤	горизонтально заштрихований квадрат, штрихування
▥	вертикально заштрихований квадрат, штрихування
▦	квадрат зі штрихуванням "решітка", клітинка
▧	заштрихований діагонально вправо вниз, квадрат, квадрат, заштрихований діагонально вправо вниз
▨	заштрихований діагонально вліво вниз, квадрат, квадрат, заштрихований діагонально вліво вниз
▩	діагональ, квадрат із діагональним штрихуванням "решітка", клітинка
▬	заповнений прямокутник, суцільний
▭	порожнистий прямокутник, порожній
▮	заповнений вертикальний прямокутник, суцільний
▰	заповнений паралелограм, суцільний
▲	заповнений, заповнений трикутник, обернений угору, обернений угору, стрілка, трикутник, угору
△	догори, порожнистий спрямований вгору трикутник, порожній
▴	догори, заповнений, маленький суцільний трикутник вершиною вгору
▵	догори, маленький контурний трикутник вершиною вгору, порожній
▷	вправо, порожнистий спрямований вправо трикутник, порожній, трикутник
▸	заповнений, маленький суцільний трикутник вершиною вправо, праворуч
▹	маленький порожнистий спрямований вправо трикутник, порожній, праворуч
►	заповнений вказівник управо, праворуч, суцільний
▻	контурний вказівник управо, порожній, праворуч
▼	заповнений, заповнений трикутник, обернений униз, обернений униз, стрілка, трикутник, униз
▽	донизу, порожнистий спрямований вниз трикутник, порожній
▾	ліворуч, маленький заповнений спрямований вліво трикутник, суцільний
▿	донизу, маленький порожнистий спрямований вниз трикутник, порожній
◁	вліво, порожнистий спрямований вліво трикутник, порожній, трикутник
◂	заповнений, ліворуч, маленький суцільний трикутник вершиною вліво
◃	ліворуч, маленький порожнистий спрямований вліво трикутник, порожній
◄	заповнений вказівник уліво, ліворуч, суцільний
◅	контурний вказівник уліво, ліворуч, порожній
◆	заповнений ромб, квадрат, суцільний
◇	квадрат, порожнистий ромб, порожній
◈	всередині, квадрат, порожнистий ромб із заповненим ромбом, порожній, суцільний
◉	концентричні, око, порожнисте коло з кругом, порожній
◊	діамант, ромб
○	коло, кільце, порожнє коло
◌	коло крапками, контурний, круг, пунктир, штрих
◍	заштриховане вертикально коло, круг
◎	концентричні кола, круг, мішень, подвійне, ціль
●	заповнене коло, коло
◐	заповнене зліва коло, круг, ліворуч, півколо, суцільне
◑	заповнене справа коло, круг, праворуч, півколо, суцільне
◒	донизу, заповнене знизу коло, круг, півколо, суцільне
◓	догори, заповнене зверху коло, круг, півколо, суцільне
◔	коло із заповненою правою верхньою чвертю, четверта, четвертинка
◕	коло із порожнистою лівою верхньою чвертю, три чверті, четверта, четвертинка
◖	вліво, лівий півкруг, ліворуч, половина, півколо
◗	половина, правий півкруг, право, праворуч, півколо
◘	галочка, незаповнений квадратик маркування, порожній, прапорець
◙	вписаний, всередині, коло в заповненому квадраті, круг, суцільний
◜	дуга, ліва верхня чверть кола
◝	дуга, права верхня чверть кола
◞	дуга, права нижня чверть кола
◟	дуга, ліва нижня чверть кола
◠	верхнє півколо, дуга
◡	дуга, нижнє півколо
◢	донизу, заповнений трикутник із прямим кутом унизу справа, прямокутний, суцільний
◣	донизу, заповнений трикутник із прямим кутом унизу зліва, ліворуч, прямокутний, суцільний
◤	догори, заповнений трикутник із прямим кутом угорі зліва, ліворуч, прямокутний, суцільний
◥	догори, заповнений трикутник із прямим кутом угорі справа, праворуч, прямокутний, суцільний
◦	коло, круг, маркер-кільце, порожній
◯	велике порожнє коло, коло, кільце
◳	вписаний, всередині, контурний квадрат із виділеним правим верхнім квадрантом, порожній
◷	вписаний, всередині, коло з виділеним правим верхнім квадрантом, порожній, сектор
◿	внизу, контурний трикутник із прямим кутом унизу справа, кут, прямий, прямокутний, справа
♪	восьма, восьма нота, нота, одна восьма
⨧	двійка, нижній, плюс із нижнім індексом два, індекс
⨯	добуток, знак множення "хрестик", множення, ікс
⨼	внутрішнє множення, внутрішній, добуток, множення
⩣	двічі, логіка, логічне "або" з подвійним нижнім підкресленням, подвійне, підкреслення
⩽	менше або дорівнює скісне, нахил, нерівність, рівність
⪍	асимптота, менше над асимптотично дорівнює, нерівність, рівність
⪚	дорівнює над більше, нерівність, рівність
⪺	вище, майже, над, нерівність, ні, рівність, слідує над не дорівнює приблизно
♭	бемоль, музика
♯	діез, дієз
😀	вищир, обличчя, посмішка, радість, сміх, усміхнений, усмішка, широкий, широко всміхнене обличчя
😃	великий, вищир, відкритий, обличчя, очища, очі, посмішка, радість, рот, сміх, усміхнений, усмішка, широкий, широко всміхнене обличчя з очищами
😄	великий, вищир, відкритий, обличчя, очища, очі, посмішка, примружений, радість, рот, сміх, усміхнений, усмішка, широкий, широко всміхнене обличчя з примруженими очима
😁	зуби, обличчя, осяйно, осяйно всміхнене обличчя й очі, очі, посмішка, радісний, світиться, усмішка, широко, шкіриться, щасливий
😆	великий, відкритий, задоволений, обличчя, обличчя із широкою посмішкою й замруженими очима, очі, посмішка, примружений, радість, реготати, рот, сміх, смішно, усміхнений, усмішка, хаха, широкий, щасливий
😅	відкритий, задоволений, обличчя, посмішка, піт, радість, реготати, рот, сміх, смішно, усміхнений, усмішка, хаха, холодний, широкий, широко всміхнене обличчя з потом, щасливий
🤣	веселий, до сліз, качається від сміху, кумедний, обличчя, регіт, сміх, смішний, сміятися, умирати зі сміху, хаха
😂	веселий, до сліз, кумедний, лол, обличчя, обличчя в сльозах радості, радість, регіт, розсмішити, сльози, сміх, хаха
🙂	всміхнений, задоволений, обличчя, посмішка, сміх, трохи всміхнене обличчя, усміхнений, усмішка
🙃	догори дном, догори дриґом, догори ногами, обличчя, обличчя догори дриґом, хаха, хехе
🫠	зникати, лол, ніяково, обличчя, плавитися, розплавлене обличчя, розчинятися, сарказм, спека, танути, текти, хаха
😉	дражнити, жарт, залицятися, обличчя, обличчя, що підморгує, підморгувати, флірт
😊	задоволення, ніяково, обличчя, очі, посмішка, рум’янець, соромливий, усміхнене обличчя й очі, усмішка
😇	ангел, безневинність, казка, німб, обличчя, посмішка, усміхнене обличчя з німбом, усмішка, фантазія, янгол
🥰	закоханість, кохання, любов, ніжність, обличчя, сердечка, серця, симпатія, усміхнене обличчя із сердечками, усмішка, я кохаю тебе
😍	з задоволенням, з радістю, закоханий, зворушений, кохання, любов, обличчя, очі, посмішка, серце, усміхнене обличчя з очима-серцями, хочу
🤩	веселий, виграш, зірка, обличчя, очі, очі-зірочки, посмішка, щастя
😘	обличчя, обличчя, що надсилає цілунок, повітряний, поцілунок, серце, цьом, цілунок, цілую
😗	кохання, обличчя, обличчя, що цілує, побачення, поцілунок, флірт, цьом, цілувати, цілує
☺️	задоволений, обличчя, посмішка, спокійний, усміхнене обличчя, усмішка
😚	закриті, заплющені, обличчя, обличчя із заплющеними очима, що цілує, око, очі, побачення, поцілунок, флірт, цілує
😙	143, заплющений, знайомства, кохання, ніч, обличчя, обличчя з примруженими очима, що цілує, око, очі, побачення, поцілунки, поцілунок, усміхатися, усмішка, флірт, цілуватися
🥲	вдячність, гордість, зворушення, плач, полегшення, посмішка, розчулений, сльоза, смайл, усмішка, усмішка в сльозах
😋	голод, ммм, обличчя, посмішка, смак, смачно, страва, усміхнене обличчя, що облизує губи, усмішка, їжа
😛	висолопити, висунутий, добре, обличчя, обличчя з висунутим язиком, показати, радість, язик
😜	жарт, лол, обличчя, обличчя, що підморгує і показує язика, очі, показати, посмішка, підморгувати, підморгую, усмішка, хаха, язик
🤪	божевільне обличчя, божевільний, великий, малий, око, скажений
😝	висунутий, гидота, жахливий, заплющені, обличчя, обличчя з висунутим язиком і заплющеними очима, очі, смак, сміх, тьфу, фу, язик
🤑	вдавися, виграш, гроші, лотерея, обличчя, обличчя з грішми замість очей та язика, очі, рот
🤗	обличчя, обняти, обійматися, обійми, обійняв, радісний, радість, руки, щасливе обличчя з руками, що обіймають, щастя
🤭	мовчу, обличчя, обличчя, що прикриває рота рукою, ой, секрет, смішно, сюрприз, тайна, тихо, упс, хихикання
🫢	диво, здивування, мовчанка, мовчати, не вірю, не може бути, нівроку, о боже, обличчя, обличчя з розплющеними очима і рукою на роті, ого, переляк, сюрприз, тиша, шок
🫣	виглядати, витріщається, конфуз, наляканий, ніяково, обличчя, обличчя, що підглядає одним оком, одне око, підглядає, соромʼязливий, соромитися, умирає з цікавості, ховатися
🤫	замовкніть, мовчіть, не гомоніть, обличчя, обличчя, що цикає, пошепки, тихо, тихіше, тиша, тссс, шепіт
🤔	дай подумаю, думати, задума, не знаю, обличчя, обличчя в роздумах, підборіддя, роздуми, треба подумати, у роздумах, хм
🫡	ОК, буде зроблено, згода, козиряти, обличчя, обличчя, що козиряє, повага, респект, салют, слухаюсь, так, так точно, удачі, честь, шанування
🤐	блискавка, застібка, мовчати, мовчу, не казати, не скажу, обличчя, обличчя із застібкою замість рота, рот, рот на замок, як риба
🤨	брови, гм, конфуз, не вірю, не розумію, недовіра, обличчя, обличчя з піднятими бровами, отакої, скептичний, справді, що
😐️	без емоцій, все одно, заздрість, не згоден, не скажу, невражений, незадоволення, незворушний, нейтральний, нехай, ні, обличчя, обличчя з нейтральним виразом
😑	без емоцій, все одно, заздрісний, невиразний, невражений, нехай, ну й добре, обличчя, обличчя без емоцій
😶	без рота, беззвучно, мовчи, немає слів, обличчя, обличчя без рота, рот, секрет, тихо
🫥	байдуже, все одно, депресія, зникнути, невидимка, обличчя, обличчя пунктиром, пригнічений, схований, сховатися, так собі, ховатися, інтроверт
😶‍🌫	голова, дим, неуважний, обличчя, обличчя в хмарах, смог, туман, хмари
😏	бос, люблю, не дуже, обличчя, посмішка, самовдоволене обличчя, самовдоволення, себе, сумніваюсь, так собі, усмішка, ух-ти, ухти, цікаво
😒	все одно, заздрість, невдоволене, невдоволене обличчя, незадоволений, нещасливий, нудно, обличчя, розчарований, фу
🙄	байдуже, закочувати, о боже, обличчя, обличчя із закоченими очима, отакої, оце так, очі
😬	гримаса, дантист, дивно, зуби, капець, кривляння, крінж, обличчя з гримасою, посмішка, скривлене, стоматолог, усмішка
😮‍💨	вдих, видих, видихає, виснажений, втомлений, обличчя, обличчя, що видихає, полегшення, свист, смайл, стогін, туман, шепотіння, що видихає
🤥	брехло, брехня, брехун, збрехав, неправда, обличчя, обличчя, що бреше, обман, піноккіо
🫨	Боже мій!, вібрація, землетрус, несподіванка, обличчя, ошелешення, паніка, смайл, сюрприз, тремтливе обличчя, тремтіння, шок
🙂‍↔	заперечення, заперечливе хитання головою
🙂‍↕	кивання головою, ствердження
😌	дзен, задоволення, заспокоєне обличчя, обличчя, полегшення, спокій
😔	задумливий, замислене обличчя, занепокоєння, засмучений, обличчя, роздуми, розчарований
😪	втомлениий, засмучений, заспане обличчя, обличчя, сон
🤤	голодний, обличчя, обличчя, що пускає слину, пускає слину, слина
😴	втома, добраніч, заснув, ніч, обличчя, обличчя, що спить, сон, сонний, спати, спить, стомлений
🫩	виснаження, замореність, мішки, невиспане обличчя, нудьга, обличчя, очі, пізно, сонливість, утома
😷	вірус, застуда, лікар, маска, медицина, обличчя в медичній масці, хворий, холодний, інфекція
🤒	обличчя, обличчя з термометром, термометр, хворий
🤕	болить, голова, обличчя, обличчя з головною повʼязкою, пов’язка, поранений, рана, травма
🤢	блювота, закачує, нудить, нудота, обличчя, обличчя, яке нудить, погано, укачує, хвора, хворий
🤮	блювання, блювота, мені погано, нудить, нудота, обличчя, обличчя, що блює, отруївся
🤧	ОРЗ, апчхи, грип, застуда, нежить, обличчя, обличчя, що чхає, хвороба, чхання, що чхає
🥵	висолоплений язик, гаряче, гарячий, гарячка, жар, задуха, обличчя, палати, помирає, піт, розпашіле обличчя, сонячний удар, спека, тепловий удар, червоне лице, червонощокий
🥶	бурулька, замерзле обличчя, замерзлий, зуб на зуб, мороз, обмороження, посинілий від холоду, синє лице, синє обличчя, холод, цокотить зубами
🥴	дурман, запаморочення, захмелілий, кайф, косі очі, одурманений, очманіле обличчя, очі розбігаються, п’яний, язик заплітається, інтоксикація
😵	запаморочене обличчя, запаморочений, обличчя
