‾	överstreck
⇋	vänsterriktad harpun över högerriktad harpun
⇌	högerriktad harpun över vänsterriktad harpun
⇐	vänsterriktad dubbelpil
⇍	vänsterriktat dubbelpilstreck
⇑	uppåtriktad dubbelpil
⇒	högerriktad dubbelpil
⇏	högerriktat dubbelpilstreck
⇓	nedåtriktad dubbelpil
⇔	vänster- och högerriktad dubbelpil
⇎	vänster- och högerriktat dubbelpilstreck
⇖	nordväst dubbelpil
⇗	nordöst dubbelpil
⇘	sydöst dubbelpil
⇙	sydväst dubbelpil
⇚	vänsterriktad trippelpil
⇛	högerriktad trippelpil
⇜	vänsterriktad krusig pil
⇝	högerriktad krusig pil
⇞	uppåtriktat dubbelpilstreck
⇟	nedåtriktat dubbelpilstreck
⇠	vänsterriktad streckad pil
⇡	uppåtriktad streckad pil
⇢	högerriktad streckad pil
⇣	nedåtriktad streckad pil
⇤	vänsterriktat pilfält
⇥	högerriktat pilfält
⇦	vänsterriktad ihålig pil
⇧	uppåtriktad ihålig pil
⇨	högerriktad ihålig pil
⇩	nedåtriktad ihålig pil
⇪	uppåtriktad ihålig pil från streck
⇵	nedåtriktad pil åt vänster uppåtriktad pil
∀	för allt
∂	partiell differential
∃	existenskvanta
∅	tom mängd
∆	tillskott, triangel
∇	nablaoperatorn, triangel
∈	element, element i, finns i, i, tillhör
∉	inte ett element
∋	tillhör mängd
∎	bevisslut
∏	n-ställig produkt
∑	n-ställig summering
+	addera, plus, plustecken
±	plus-minus
÷	dela, division, divisionstecken, obelus
×	gånger, multiplicera, multiplikation, multiplikationstecken
<	mindre än, mindre än-tecken, starttagg, tagg
≮	inte mindre än
=	lika med, likhetstecken
≠	ej lika med, inte lika med, skilt från
>	sluttagg, större än, större än-tecken, tagg
≯	inte större än
¬	icke, negation
|	lodstreck, streck, vertikalis, vertikalstreck
~	tilde
−	minus, minustecken, subtrahera
⁻	minus, upphöjt till, upphöjt till minus
∓	minus eller plus
∕	divisionsstreck
⁄	bråkstreck
∗	asteriskoperator
∘	ringoperator
∙	punktoperator
√	kvadrat, kvadratrot, rot, rotmärke
∝	proportionerlig
∞	oändlighet, oändlighetstecken
∟	rät vinkel
∠	vinkel
∣	delar
