‾	pārsvītrojums, vinkuls, virssvītrojums
⇅	augšup, augšupvērsta bultiņa un lejupvērsta bultiņa, bultiņa, lejup
⇆	bultiņa, kreisā, kreisā bultiņa virs labās bultiņas, labā, pa kreisi vērsta bultiņa virs pa labi vērstas bultiņas
⇇	kreiso bultiņu pāris
⇈	augšupvērsto bultiņu pāris
⇉	labo bultiņu pāris
⇊	lejupvērsto bultiņu pāris
⇋	kreisā harpūna virs labās harpūnas
⇌	labā harpūna virs kreisās harpūnas
⇐	kreisā dubultbultiņa
⇍	pārsvītrota kreisā dubultbultiņa
⇑	augšupvērsta dubultbultiņa
⇒	labā dubultbultiņa
⇏	pārsvītrota labā dubultbultiņa
⇓	lejupvērsta dubultbultiņa
⇔	kreisā-labā dubultbultiņa
⇎	pārsvītrota kreisā-labā dubultbultiņa
⇖	uz ZR vērsta dubultbultiņa
⇗	uz ZA vērsta dubultbultiņa
⇘	uz DA vērsta dubultbultiņa
⇙	uz DR vērsta dubultbultiņa
⇚	kreisā trīskāršā bultiņa
⇛	labā trīskāršā bultiņa
⇜	kreisā salocītā bultiņa
⇝	labā salocītā bultiņa
⇞	augšupvērsta dubultpārsvītrota bultiņa
⇟	lejupvērsta dubultpārsvītrota bultiņa
⇠	kreisā svītrbultiņa
⇡	augšupvērsta svītrbultiņa
⇢	labā svītrbultiņa
⇣	lejupvērsta svītrbultiņa
⇤	kreisā bultiņa ar svītru
⇥	labā bultiņa ar svītru
⇦	kreisā baltā bultiņa
⇧	augšupvērsta baltā bultiņa
⇨	labā baltā bultiņa
⇩	lejupvērsta baltā bultiņa
⇪	augšupvērsta baltā bultiņa no svītras
⇵	lejupvērsta bultiņa pa kreisi no augšupvērstas bultiņas
∀	jebkuram, katram, universāls, visi, visiem
∂	daļējs diferenciālis
∃	pastāv
∅	matemātika, secības operators, tukša kopa
∆	pieaugums, trīsstūris
∇	nabla, trīsstūris
∈	elements, elements no, kopa, piederība, satur
∉	nav elements
∋	ietver kā locekli
∎	beigas, kapakmens, pierādīšanas beigas
∏	loģika, n-ārs produkts, produkts
∑	matemātika, n-āra summa, summa
+	pieskaitīt, plus, pluszīme (+)
±	plus/mīnus, plusa/mīnusa zīme
÷	dalīt, dalīšana, dalīšanas zīme
×	reizes, reizināt, reizināšana, reizināšanas zīme
<	atverošais tags, mazāk nekā, mazāks nekā, tags
≮	matemātika, nav mazāks par, nevienādība
=	vienāds, vienāds ar
≠	nav vienāds, nav vienāds ar, nevienādība
>	aizverošais tags, lielāks nekā, tags
≯	matemātika, nav lielāks par, nevienādība
¬	nav, negācija
|	josla, līnija, svītra, vert. josla, vertikāla josla, vertikāla līnija, vertikāla svītra
~	tilde
−	atņemt, mīnus, mīnusa zīme
⁻	augšraksts, mīnus, mīnus augšrakstā
∓	mīnus/plus
∕	atdalītājslīpsvītra, slīpsvītra, svītra, virgule
⁄	daļsvītra, svītra, virgule
∗	zvaigznes operators, zvaigznīte
∘	riņķa operators
∙	aizzīmes operators
√	bāze, iracionāls skaitlis, kvadrāts, kvadrātsakne, sakne
∝	proporcionāli
∞	bezgalība, bezgalības zīme
∟	labais leņķis
∠	leņķis
∣	dalītājs, dalīšana
∥	paralēli
∧	loģiski un
∩	kopa, šķēlums
∪	datu kopa, kopa, kopums
∫	integrālis, rēķini
∬	dubults integrālis, rēķini
∮	kontūras integrālis
∴	tāpēc
∵	jo
∶	attiecība
∷	proporcija
∼	tildes operators
∽	apgrieztā tilde
∾	apgriezts slinks s
≃	asimptotiski vienāds
≅	aptuveni vienāds, izomorfisms, matemātika, vienādība
≈	aptuvena aprēķināšana, aptuvens, gandrīz vienāds
≌	visi vienādi
≒	aptuveni vienāds ar attēlu
≖	gredzens vienādi
≡	precīzs, trīskāršs, vienāds, vienāds ar
≣	stingri līdzvērtīgi
≤	mazāks nekā, mazāks nekā vai vienāds ar, nevienādība, vienāds, vienāds ar
≥	lielāks nekā, lielāks nekā vai vienāds ar, nevienādība, vienāds, vienāds ar
≦	matemātika, mazāks vai vienāds, nevienādība
≧	lielāks vai vienāds, matemātika, nevienādība
≪	daudz mazāk nekā
≫	daudz lielāks-nekā
≬	starp
≳	lielāks nekā ekvivalents
≺	kopas operators, matemātika, pirms
≻	seko
⊁	kopas operators, matemātika, neseko
⊂	apakškopa, apakškopa no, kopa
⊃	kopas operators, matemātika, virskopa
⊆	sakrītoša apakškopa
⊇	matemātika, sakrītoša virskopa, vienādība
⊕	pluszīme apļveida ietvarā
⊖	mīnuszīme apļveida ietvarā, samazināšana, simetriskā atšķirība
⊗	produkts, reizināšanas zīme apļveida ietvarā, tensors
⊘	dalīšanas zīme apļveida ietvarā, matemātika
⊙	XNOR, operators, punkta operators apļveida ietvarā
⊚	gredzena operators apļveida ietvarā
⊛	asterikss, operators, zvaigznīte, zvaigznīte apļveida ietvarā
⊞	līdzīgs saskaitīšanai, matemātika, pluss kvadrātveida ietvarā
⊟	atņemšanai līdzīgs, matemātika, mīnuss kvadrātveida ietvarā
⊥	eet, falsum, piespraude, piespraude uz augšu
⊮	neuzspiež
⊰	atrodas pirms attiecības, kopas operators, matemātika
