‾	надчеркивание
⇒	двойная стрелка вправо
⇏	двойная перечеркнутая стрелка вправо
⇓	двойная стрелка вниз
⇔	двойная стрелка влево-вправо
⇎	двойная перечеркнутая стрелка влево-вправо
⇖	двойная стрелка на северо-запад
⇗	двойная стрелка на северо-восток
⇘	двойная стрелка на юго-восток
⇙	двойная стрелка на юго-запад
⇚	тройная стрелка влево
⇛	тройная стрелка вправо
⇜	стрелка влево с изгибами
⇝	стрелка вправо с изгибами
⇞	стрелка вверх с двойным перечеркиванием
⇟	стрелка вниз с двойным перечеркиванием
⇠	пунктирная стрелка влево
⇡	пунктирная стрелка вверх
⇢	пунктирная стрелка вправо
⇣	пунктирная стрелка вниз
⇤	влево, планка, стрелка, стрелка влево, упирающаяся в планку
⇥	вправо, планка, стрелка, стрелка вправо, упирающаяся в планку
⇦	полая стрелка влево
⇧	полая стрелка вверх
⇨	полая стрелка вправо
⇩	полая стрелка вниз
⇪	полая стрелка вверх на прямоугольнике
⇵	стрелка вниз слева от стрелки вверх
∀	данность, для всех, любое, универсально
∂	дифференциал, частичный дифференциал
∃	существует
∅	математика, оператор над множеством, пустое множество
∆	инкремент, треугольник
∇	набла, треугольник
∈	множество, принадлежность, принадлежность множеству, содержит, состоит в, элемент
∉	не принадлежит
∋	содержит в качестве члена
∎	конец доказательства, надгробие, ч. т. д., что и требовалось доказать
∏	n-арное произведение, логика, произведение
∑	n-арное суммирование, сумма, суммирование
+	знак плюса, плюс, прибавление, сложение
±	плюс минус, плюс-минус
÷	деление, знак деления, обелюс, разделить
×	знак умножения, умножение, умноженный, умножить
<	менее, меньше, меньше чем, открыть тег, тег
≮	не меньше чем
=	знак равенства, равно, равняется
≠	знак неравенства, не равно, не равняется, неравенство
>	более, больше, больше чем, закрыть тег, тег
≯	не больше чем
¬	не, отрицание
|	вертикальная линия, вертикальная черта, пайп
~	подобие, тильда, эквивалент
−	вычитание, знак минуса, минус, уменьшение
⁻	минус, надстрочный, надстрочный минус, степень
∓	знак минус-плюс
∕	разделительный знак
⁄	дробная наклонная черта
∗	звездочка, оператор звездочки
∘	кольцевой оператор
∙	буллет-оператор, оператор, оператор произведения
√	знак корня, иррациональное число, квадратный, квадратный корень, корень, радикал
∝	пропорционально, пропорциональность
∞	бесконечность, знак бесконечности
∟	математика, правый угол, прямой угол
∠	острый угол, угол
∣	вертикальная, линия, разделитель, разделительная, разделяет, черта
∥	знаки, отношений, параллельно, параллельность
∧	конъюнктор, конъюнкция, логический оператор «и», логическое и
∩	множество, пересечение
∪	множество, объединение, совокупность
∫	интеграл, математический анализ
∬	двойной интеграл, математический анализ
∮	интеграл по замкнутому контуру, интеграл по контуру, криволинейный интеграл
∴	логический оператор, следовательно
∵	логический оператор, поскольку, потому что, так как
∶	отношение, соотношение
∷	пропорциональность, пропорция
∼	оператор, оператор тильды, тильда
∽	обратная тильда, тильда
∾	инвертированная плавная S
≃	асимптотически равно, асимптотическое равенство, математика
≅	изоморфизм, конгруэнтность, приблизительно равно, примерно равно, равенство
≈	около, почти равно, приближение, приблизительно равно, примерно, примерно равно
≌	все равны, математика, равенство
≒	знак приблизительного равенства, приблизительное равенство
≖	кольцо в равно, математика, равенство
≡	идентичный, равный, тождественное равенство, тождество, тройной
≣	математика, равенство, строго эквивалентно
≤	меньше или равно, не более, не более чем, неравенство
≥	больше или равно, не менее, не менее чем, неравенство
≦	математика, меньше над равно, неравенство
≧	больше над равно, математика, неравенство
≪	математика, намного меньше, неравенство
≫	математика, намного больше, неравенство
≬	между
≳	больше или эквивалентно, больше либо эквивалентно, математика, неравенство
≺	математика, оператор над множеством, предшествует
≻	математика, оператор над множеством, следует
⊁	математика, не следует, оператор над множеством
⊂	включено в, множество, подмножество
⊃	математика, надмножество, оператор над множеством, супермножество
⊆	подмножество равно
⊇	математика, надмножество равно, равенство
⊕	знак плюса в круге, плюс в круге
⊖	минус в круге, симметрическая разность
⊗	знак умножения в круге, произведение, тензор
⊘	дробная черта в круге, математика
⊙	оператор, оператор точки в круге
⊚	кольцевой оператор в круге
⊛	оператор, оператор звездочки в круге
⊞	знак плюса, квадрат, математика, плюс в квадрате, сложение
⊟	вычитание, знак минуса, математика, минус, минус в квадрате
⊥	вертикальный шип, фальсум, шип
⊮	не влечет
⊰	математика, оператор над множеством, предшествует, предшествует относительно
⊱	математика, оператор над множеством, следует, следует относительно
⋭	математика, не содержит как нормальную подгруппу или не равно, теория групп
⊶	прообраз
⊹	квадратная матрица, математика, самосопряженная матрица, эрмитова сопряженная матрица
⊿	математика, прямоугольный, прямоугольный треугольник, треугольник
⋁	n-арное логическое или, дизъюнкция, логика
⋂	n-арное пересечение, математика, оператор над множеством, пересечение
⋃	n-арное объединение, математика, объединение, оператор над множеством
⋅	оператор, оператор точки
⋆	оператор, оператор звезды
⋈	бабочка, бинарный оператор, галстук-бабочка, естественное соединение
⋒	двойное пересечение, математика, оператор над множеством, пересечение
⋘	гораздо меньше, математика, меньше, неравенство
⋙	больше, гораздо больше, математика, неравенство
⋮	вертикальное многоточие, математика, многоточие
⋯	внутристрочное горизонтальное многоточие, многоточие
⋰	диагональное многоточие вверх вправо, математика, многоточие
⋱	диагональное многоточие вниз вправо, математика, многоточие
■	закрашенный квадрат
□	полый квадрат
▢	полый квадрат с закругленными углами
▣	закрашенный квадрат внутри полого квадрата
▤	квадрат с горизонтальной штриховкой
▥	квадрат с вертикальной штриховкой
▦	квадрат с ортогональной перекрестной штриховкой
▧	квадрат с диагональной штриховкой слева направо
▨	квадрат с диагональной штриховкой справа налево
▩	квадрат с диагональной перекрестной штриховкой
▬	закрашенный прямоугольник, прямоугольник
▭	полый прямоугольник
▮	закрашенный вертикальный прямоугольник
▰	закрашенный параллелограмм
▲	вверх, закрашенный, закрашенный треугольник вершиной вверх, стрелка, треугольник
△	полый треугольник вершиной вверх
▴	небольшой закрашенный треугольник вершиной вверх
▵	небольшой полый треугольник вершиной вверх
▷	полый треугольник вершиной вправо
▸	небольшой закрашенный треугольник вершиной вправо
▹	небольшой полый треугольник вершиной вправо
►	закрашенный указатель вправо
▻	полый указатель вправо
▼	вниз, закрашенный, закрашенный треугольник вершиной вниз, стрелка, треугольник
▽	полый треугольник вершиной вниз
▾	небольшой закрашенный треугольник вершиной вниз
▿	небольшой полый треугольник вершиной вниз
◁	полый треугольник вершиной влево
◂	небольшой закрашенный треугольник вершиной влево
◃	небольшой полый треугольник вершиной влево
◄	закрашенный указатель влево
◅	полый указатель влево
◆	закрашенный ромб
◇	полый ромб
◈	закрашенный ромб внутри полого ромба
◉	закрашенный круг внутри полого круга
◊	бубны, косоугольник, ромб
○	круг, незакрашенный круг, полый, пустой круг, шар
◌	пунктирный круг
◍	круг с вертикальной штриховкой
◎	двойной круг, концентрические круги, мишень
●	закрашенный круг, заполненный круг, круг, шар
◐	круг с закрашенной левой половиной
◑	круг с закрашенной правой половиной
◒	круг с закрашенной нижней половиной
◓	круг с закрашенной верхней половиной
◔	круг с закрашенной верхней правой четвертью
◕	закрашенный круг с полой верхней левой четвертью
◖	закрашенная левая половина круга
◗	закрашенная правая половина круга
◘	инвертированный маркер пункта в списке
◙	полый круг внутри закрашенного квадрата
◜	дуга в верхней левой четверти
◝	дуга в верхней правой четверти
◞	дуга в нижней правой четверти
◟	дуга в нижней левой четверти
◠	верхний полукруг
◡	нижний полукруг
◢	закрашенный нижний правый треугольник
◣	закрашенный нижний левый треугольник
◤	закрашенный верхний левый треугольник
